Date,BLS,Alt,Aquifer
1987-01-16,0.0,162.15079,Upper
1987-09-28,0.0,155.61755,Upper
1988-01-29,0.0,154.56384,Upper
1988-09-30,0.0,147.47758,Upper
1989-01-25,0.0,146.71086,Upper
1989-10-04,0.0,138.19096,Upper
1990-01-26,0.0,136.14693,Upper
1990-10-02,0.0,130.27318,Upper
1991-01-29,0.0,129.37376,Upper
1991-09-30,0.0,127.663086,Upper
1992-02-03,0.0,126.34864,Upper
1992-10-06,0.0,119.228966,Upper
1993-01-25,0.0,119.15152,Upper
1993-09-30,0.0,125.91655,Upper
1994-01-28,0.0,127.92176,Upper
1994-10-04,0.0,120.16054,Upper
1995-01-30,0.0,123.1745,Upper
1995-10-04,0.0,126.80698,Upper
1996-01-14,0.0,127.111275,Upper
1996-10-07,0.0,128.18506,Upper
1997-01-31,0.0,131.79288,Upper
1997-10-07,0.0,130.73964,Upper
1998-01-28,0.0,135.20924,Upper
1998-10-07,0.0,149.1261,Upper
1999-02-01,0.0,151.91528,Upper
1999-10-05,0.0,146.43018,Upper
2000-01-31,0.0,143.70657,Upper
2001-02-01,0.0,140.54909,Upper
2003-01-21,0.0,117.10843,Upper
2003-09-22,0.0,113.013824,Upper
2004-01-29,0.0,111.25803,Upper
2005-01-24,0.0,106.521706,Upper
2006-01-24,0.0,108.24461,Upper
2006-10-04,0.0,115.930534,Upper
2007-01-23,0.0,117.252846,Upper
2008-02-11,0.0,103.11632,Upper
2009-02-16,0.0,94.57818,Upper
2010-01-22,0.0,88.11258,Upper
2011-10-14,0.0,103.11118,Upper
2012-02-07,0.0,107.73198,Upper
2012-10-20,0.0,101.91674,Upper
2013-02-20,0.0,101.84848,Upper
2020-09-30,0.0,69.37432,Upper
2022-02-14,0.0,64.36524,Upper
2022-10-10,0.0,62.111767,Upper
2023-02-14,0.0,61.024223,Upper
2023-10-04,0.0,59.042355,Upper
1987-02-05,0.0,189.97365,Lower
1987-10-12,0.0,80.24356,Lower
1988-02-02,0.0,175.83902,Lower
1988-10-10,0.0,70.68226,Lower
1989-01-27,0.0,163.76294,Lower
1989-10-10,0.0,62.929867,Lower
1990-10-08,0.0,59.810146,Lower
1991-02-06,0.0,144.20447,Lower
1991-10-10,0.0,56.626205,Lower
1992-02-05,0.0,140.33646,Lower
1992-10-19,0.0,62.499027,Lower
1993-02-12,0.0,134.96288,Lower
1993-10-14,0.0,56.178143,Lower
1994-01-31,0.0,147.41821,Lower
1994-10-06,0.0,43.13976,Lower
1995-02-03,0.0,137.02481,Lower
1995-10-04,0.0,49.560112,Lower
1996-02-02,0.0,143.06819,Lower
1997-02-06,0.0,149.60017,Lower
1997-10-08,0.0,43.643776,Lower
1998-02-13,0.0,153.0032,Lower
1998-10-08,0.0,73.1224,Lower
1999-01-28,0.0,164.55542,Lower
1999-10-06,0.0,41.846546,Lower
2000-02-07,0.0,148.32281,Lower
2001-02-02,0.0,146.32016,Lower
2003-02-03,0.0,130.2792,Lower
2003-09-19,0.0,28.70639,Lower
2004-01-28,0.0,122.50418,Lower
2006-01-30,0.0,121.45497,Lower
2006-09-28,0.0,63.734825,Lower
2020-09-30,0.0,31.2431,Lower
2020-09-30,0.0,31.2431,Lower
2022-02-08,0.0,28.678041,Lower
2022-10-10,0.0,26.912874,Lower
2023-02-21,0.0,26.091974,Lower
2023-10-04,0.0,24.720234,Lower
