Date,Subsidence_ft,Source
1/1/1901,0,Leveling
12/1/1930,0.295,Leveling
9/1/1940,1.148,Leveling
2/20/1943,1.302,Leveling
6/15/1947,1.909,Leveling
3/1/1948,2.126,Leveling
2/1/1954,4.954,Leveling
4/1/1957,5.6,Leveling
2/15/1959,5.826,Leveling
2/15/1962,6.912,Leveling
2/15/1964,7.441757235,Leveling
2/1/1970,8.585589292,Leveling
12/1/2003,12.20137456,Leveling
7/1/2004,12.41370444,InSAR
8/1/2004,12.48325825,InSAR
9/1/2004,12.53903253,InSAR
10/1/2004,12.56035799,InSAR
11/1/2004,12.5826677,InSAR
12/1/2004,12.57938686,InSAR
1/1/2005,12.56298266,InSAR
2/1/2005,12.54428187,InSAR
3/1/2005,12.52722151,InSAR
4/1/2005,12.51737899,InSAR
1/1/2006,12.69651285,InSAR
2/1/2006,12.66501679,InSAR
3/1/2006,12.64533175,InSAR
4/1/2006,12.65156534,InSAR
5/1/2006,12.6627202,InSAR
6/1/2006,12.68535799,InSAR
2/1/2007,12.83201154,InSAR
3/1/2007,12.80806141,InSAR
8/1/2007,13.04329764,InSAR
9/1/2007,13.09546299,InSAR
2/1/2008,13.14303517,InSAR
3/1/2008,13.14237901,InSAR
5/1/2009,13.673547,InSAR
6/1/2009,13.73850763,InSAR
7/1/2009,13.81265462,InSAR
8/1/2009,13.89073861,InSAR
9/1/2009,13.95701158,InSAR
10/1/2009,14.001631,InSAR
11/1/2009,14.02722155,InSAR
12/1/2009,14.03706407,InSAR
1/1/2010,14.04329767,InSAR
2/1/2010,14.03378323,InSAR
3/1/2010,14.03476749,InSAR
4/1/2010,14.04854701,InSAR
5/1/2010,14.07971499,InSAR
6/1/2010,14.13122418,InSAR
4/2/2014,15.96449804,Leveling
2/12/2015,16.53306761,InSAR
2/18/2015,16.54422247,InSAR
2/23/2015,16.55340882,InSAR
3/1/2015,16.56423559,InSAR
3/7/2015,16.57539045,InSAR
3/13/2015,16.58293638,InSAR
3/20/2015,16.59113848,InSAR
3/26/2015,16.59802824,InSAR
4/1/2015,16.60491801,InSAR
4/7/2015,16.61902562,InSAR
4/13/2015,16.63280515,InSAR
4/19/2015,16.64658468,InSAR
4/25/2015,16.6603642,InSAR
5/1/2015,16.67840882,InSAR
5/7/2015,16.69645344,InSAR
5/13/2015,16.71482615,InSAR
5/20/2015,16.73582352,InSAR
5/26/2015,16.75452431,InSAR
6/1/2015,16.77289702,InSAR
6/7/2015,16.79126972,InSAR
6/13/2015,16.80964242,InSAR
6/19/2015,16.82670279,InSAR
6/25/2015,16.84179466,InSAR
7/1/2015,16.85852694,InSAR
7/7/2015,16.87525922,InSAR
7/13/2015,16.89396001,InSAR
7/20/2015,16.91594164,InSAR
7/26/2015,16.93365818,InSAR
8/1/2015,16.95137471,InSAR
8/7/2015,16.96646658,InSAR
8/13/2015,16.98319886,InSAR
8/20/2015,16.99993114,InSAR
8/26/2015,17.01633534,InSAR
9/1/2015,17.03602038,InSAR
9/7/2015,17.054065,InSAR
9/13/2015,17.07145346,InSAR
9/19/2015,17.08654532,InSAR
9/25/2015,17.1013091,InSAR
10/1/2015,17.11246396,InSAR
10/7/2015,17.12361881,InSAR
10/13/2015,17.13510175,InSAR
10/20/2015,17.14724086,InSAR
10/26/2015,17.1606923,InSAR
11/1/2015,17.1731595,InSAR
11/7/2015,17.18497052,InSAR
11/13/2015,17.19678154,InSAR
11/19/2015,17.20924874,InSAR
11/25/2015,17.22073168,InSAR
12/1/2015,17.22794952,InSAR
12/7/2015,17.23483929,InSAR
12/13/2015,17.24041672,InSAR
12/20/2015,17.2489469,InSAR
12/26/2015,17.25583666,InSAR
1/1/2016,17.26863194,InSAR
1/7/2016,17.2797868,InSAR
1/13/2016,17.29389441,InSAR
1/20/2016,17.29389441,InSAR
1/26/2016,17.29586291,InSAR
2/1/2016,17.3063616,InSAR
2/7/2016,17.31587604,InSAR
2/13/2016,17.31554795,InSAR
2/18/2016,17.31587604,InSAR
2/24/2016,17.32145346,InSAR
3/1/2016,17.32243772,InSAR
3/7/2016,17.32440622,InSAR
3/13/2016,17.32932748,InSAR
3/20/2016,17.34409126,InSAR
3/26/2016,17.36115163,InSAR
4/1/2016,17.3700099,InSAR
4/7/2016,17.37755583,InSAR
4/13/2016,17.38772643,InSAR
4/19/2016,17.39920937,InSAR
4/25/2016,17.41430124,InSAR
5/1/2016,17.42873693,InSAR
5/7/2016,17.44186029,InSAR
5/13/2016,17.45563982,InSAR
5/20/2016,17.47598103,InSAR
5/26/2016,17.4950099,InSAR
6/1/2016,17.51896003,InSAR
6/7/2016,17.54291016,InSAR
6/13/2016,17.55931436,InSAR
6/19/2016,17.57440623,InSAR
6/25/2016,17.58884192,InSAR
7/1/2016,17.60590229,InSAR
7/7/2016,17.62689967,InSAR
7/13/2016,17.64658471,InSAR
7/20/2016,17.66823825,InSAR
7/26/2016,17.68726712,InSAR
8/1/2016,17.70498366,InSAR
8/7/2016,17.7246687,InSAR
8/13/2016,17.74435374,InSAR
8/20/2016,17.76994429,InSAR
8/26/2016,17.7840519,InSAR
9/1/2016,17.80078419,InSAR
9/7/2016,17.81456372,InSAR
9/13/2016,17.82801516,InSAR
9/19/2016,17.84015427,InSAR
9/25/2016,17.85458996,InSAR
10/1/2016,17.86836949,InSAR
10/7/2016,17.88083668,InSAR
10/13/2016,17.8969128,InSAR
10/20/2016,17.91003616,InSAR
10/26/2016,17.9215191,InSAR
11/1/2016,17.93529863,InSAR
11/7/2016,17.94940624,InSAR
11/13/2016,17.95760834,InSAR
11/19/2016,17.96285768,InSAR
11/25/2016,17.96679469,InSAR
12/1/2016,17.97007553,InSAR
12/7/2016,17.97565296,InSAR
12/13/2016,17.98287081,InSAR
12/20/2016,17.99074482,InSAR
12/26/2016,17.99566608,InSAR
1/1/2017,17.99927501,InSAR
1/7/2017,18.00321202,InSAR
1/13/2017,18.00813328,InSAR
1/20/2017,18.02224089,InSAR
1/26/2017,18.0281464,InSAR
2/1/2017,18.03897317,InSAR
2/7/2017,18.04356635,InSAR
2/12/2017,18.05111228,InSAR
2/18/2017,18.04848761,InSAR
2/23/2017,18.05012803,InSAR
3/1/2017,18.05767396,InSAR
3/7/2017,18.05800204,InSAR
3/13/2017,18.06357947,InSAR
3/20/2017,18.06948498,InSAR
3/26/2017,18.07571858,InSAR
4/1/2017,18.08260834,InSAR
4/7/2017,18.09212278,InSAR
4/13/2017,18.10426189,InSAR
4/19/2017,18.11476058,InSAR
4/25/2017,18.1246031,InSAR
5/1/2017,18.13510178,InSAR
5/7/2017,18.14461622,InSAR
5/13/2017,18.15281832,InSAR
5/20/2017,18.16003617,InSAR
5/26/2017,18.16692593,InSAR
6/1/2017,18.17283144,InSAR
6/7/2017,18.1859548,InSAR
6/13/2017,18.20170284,InSAR
6/19/2017,18.2085926,InSAR
6/25/2017,18.2167947,InSAR
7/1/2017,18.23779208,InSAR
7/7/2017,18.26042987,InSAR
7/13/2017,18.27256898,InSAR
7/20/2017,18.28372384,InSAR
7/26/2017,18.29717528,InSAR
8/1/2017,18.31161098,InSAR
8/7/2017,18.32834326,InSAR
8/13/2017,18.34474746,InSAR
8/20/2017,18.36147974,InSAR
8/26/2017,18.37197843,InSAR
9/1/2017,18.3788682,InSAR
9/7/2017,18.38477371,InSAR
9/13/2017,18.3910073,InSAR
9/19/2017,18.3992094,InSAR
9/25/2017,18.41036426,InSAR
10/1/2017,18.41856636,InSAR
10/7/2017,18.42676846,InSAR
10/13/2017,18.43300206,InSAR
10/20/2017,18.44218841,InSAR
10/26/2017,18.45498368,InSAR
