datetime,Mean CH - layer 3 (Principal Aquifer)
12/1/1927,283.3572398
1/1/1928,276.9154932
2/1/1928,273.0421848
3/1/1928,270.5937312
4/1/1928,268.8838862
5/1/1928,267.7033441
6/1/1928,266.4462259
7/1/1928,265.0889954
8/1/1928,264.3783539
9/1/1928,263.8373555
10/1/1928,262.9075755
11/1/1928,261.6139615
12/1/1928,260.755337
1/1/1929,260.2304188
2/1/1929,259.7928777
3/1/1929,259.1551924
4/1/1929,258.2539923
5/1/1929,257.7913164
6/1/1929,257.2251462
7/1/1929,256.3496739
8/1/1929,256.0209352
9/1/1929,255.8177088
10/1/1929,255.5543633
11/1/1929,255.2206691
12/1/1929,254.6561171
1/1/1930,253.7734831
2/1/1930,252.9313894
3/1/1930,252.2003857
4/1/1930,251.7106721
5/1/1930,251.275344
6/1/1930,250.8369124
7/1/1930,250.6492987
8/1/1930,250.025532
9/1/1930,249.165528
10/1/1930,248.3902863
11/1/1930,248.0667147
12/1/1930,247.8536112
1/1/1931,247.6560517
2/1/1931,247.4895665
3/1/1931,247.3675993
4/1/1931,247.1859097
5/1/1931,247.2180566
6/1/1931,247.1515083
7/1/1931,247.154957
8/1/1931,247.1667451
9/1/1931,247.1751868
10/1/1931,247.1405084
11/1/1931,247.1111963
12/1/1931,247.0637655
1/1/1932,247.0310573
2/1/1932,246.9793277
3/1/1932,246.9701425
4/1/1932,246.9122466
5/1/1932,246.9113182
6/1/1932,246.9028759
7/1/1932,246.8679288
8/1/1932,246.8325743
9/1/1932,246.8250568
10/1/1932,246.7850668
11/1/1932,246.7399281
12/1/1932,246.7364747
1/1/1933,246.6930519
2/1/1933,246.6806161
3/1/1933,246.6707545
4/1/1933,246.6615329
5/1/1933,246.6776428
6/1/1933,246.6690849
7/1/1933,246.7050321
8/1/1933,246.7222389
9/1/1933,246.7137877
10/1/1933,246.7224767
11/1/1933,246.7074617
12/1/1933,246.6778118
1/1/1934,246.648953
2/1/1934,246.6663703
3/1/1934,246.6748528
4/1/1934,246.6650768
5/1/1934,246.657559
6/1/1934,246.6503785
7/1/1934,246.6606957
8/1/1934,246.6508692
9/1/1934,246.6402097
10/1/1934,246.6312784
11/1/1934,246.6049533
12/1/1934,246.5968601
1/1/1935,246.5633965
2/1/1935,246.5532412
3/1/1935,246.5445547
4/1/1935,246.5369267
5/1/1935,246.5296798
6/1/1935,246.5207322
7/1/1935,246.5151431
8/1/1935,246.5011804
9/1/1935,246.4918489
10/1/1935,246.5057716
11/1/1935,246.4767001
12/1/1935,246.4393491
1/1/1936,246.4511646
2/1/1936,246.4430824
3/1/1936,246.4526301
4/1/1936,246.4982068
5/1/1936,246.5135047
6/1/1936,246.4978418
7/1/1936,246.4747417
8/1/1936,246.4611334
9/1/1936,246.4779343
10/1/1936,246.4698982
11/1/1936,246.482272
12/1/1936,246.4967104
1/1/1937,246.4920634
2/1/1937,246.5103372
3/1/1937,246.4848187
4/1/1937,246.5030265
5/1/1937,246.4984922
6/1/1937,246.5113059
7/1/1937,246.4836701
8/1/1937,246.4797333
9/1/1937,246.4761322
10/1/1937,246.4729824
11/1/1937,246.4701698
12/1/1937,246.4676427
1/1/1938,246.465017
2/1/1938,246.4624327
3/1/1938,246.4597479
4/1/1938,246.4565797
5/1/1938,246.4757415
6/1/1938,246.4727437
7/1/1938,246.4699608
8/1/1938,246.4881671
9/1/1938,246.485705
10/1/1938,246.4980076
11/1/1938,246.4897168
12/1/1938,246.4757372
1/1/1939,246.4470553
2/1/1939,246.4756194
3/1/1939,246.4065588
4/1/1939,246.3746453
5/1/1939,246.2962179
6/1/1939,246.3113514
7/1/1939,246.2937969
8/1/1939,246.2753332
9/1/1939,246.2078516
10/1/1939,246.1479294
11/1/1939,246.0400347
12/1/1939,245.9981966
1/1/1940,245.9331925
2/1/1940,245.8991714
3/1/1940,245.7581244
4/1/1940,245.6775391
5/1/1940,245.6007855
6/1/1940,245.5531772
7/1/1940,245.44177
8/1/1940,245.3142677
9/1/1940,245.1568361
10/1/1940,245.0865975
11/1/1940,244.9582498
12/1/1940,244.9110985
1/1/1941,244.8189202
2/1/1941,244.7042004
3/1/1941,244.6244037
4/1/1941,244.5140932
5/1/1941,244.4524533
6/1/1941,244.4224292
7/1/1941,244.3721147
8/1/1941,244.3491925
9/1/1941,244.3801534
10/1/1941,244.3643012
11/1/1941,244.3321728
12/1/1941,244.3202025
1/1/1942,244.294457
2/1/1942,244.2953047
3/1/1942,244.279106
4/1/1942,244.2619196
5/1/1942,244.2466437
6/1/1942,244.2551371
7/1/1942,244.2406219
8/1/1942,244.2258373
9/1/1942,244.2549011
10/1/1942,244.2409978
11/1/1942,244.2301633
12/1/1942,244.2207307
1/1/1943,244.2113824
2/1/1943,244.2018472
3/1/1943,244.1865877
4/1/1943,244.1475754
5/1/1943,244.1496966
6/1/1943,244.1372335
7/1/1943,244.123829
8/1/1943,244.111462
9/1/1943,244.0572942
10/1/1943,244.00313
11/1/1943,243.995005
12/1/1943,243.9440348
1/1/1944,243.9383889
2/1/1944,243.9325319
3/1/1944,243.9269437
4/1/1944,243.9208513
5/1/1944,243.8760754
6/1/1944,243.8155303
7/1/1944,243.8522259
8/1/1944,243.8543965
9/1/1944,243.8484895
10/1/1944,243.8429837
11/1/1944,243.8372716
12/1/1944,243.8318187
1/1/1945,243.826099
2/1/1945,243.8203008
3/1/1945,243.8152654
4/1/1945,243.8096265
5/1/1945,243.8039253
6/1/1945,243.7961908
7/1/1945,243.7866263
8/1/1945,243.7739516
9/1/1945,243.7589669
10/1/1945,243.7463891
11/1/1945,243.732374
12/1/1945,243.7342373
1/1/1946,243.6917722
2/1/1946,243.6531036
3/1/1946,243.662717
4/1/1946,243.6524958
5/1/1946,243.6439374
6/1/1946,243.6771728
7/1/1946,243.6695324
8/1/1946,243.6622488
9/1/1946,243.6546596
10/1/1946,243.6322179
11/1/1946,243.6262142
12/1/1946,243.6211692
1/1/1947,243.6151941
2/1/1947,243.627801
3/1/1947,243.6205494
4/1/1947,243.6139124
5/1/1947,243.6055548
6/1/1947,243.5938087
7/1/1947,243.624971
8/1/1947,243.6096379
9/1/1947,243.5747469
10/1/1947,243.5505504
11/1/1947,243.5371845
12/1/1947,243.525852
1/1/1948,243.5126545
2/1/1948,243.4682874
3/1/1948,243.444612
4/1/1948,243.4225126
5/1/1948,243.4096203
6/1/1948,243.4004182
7/1/1948,243.3918976
8/1/1948,243.3831966
9/1/1948,243.3746431
10/1/1948,243.3677307
11/1/1948,243.4021298
12/1/1948,243.4326456
1/1/1949,243.4271931
2/1/1949,243.4043518
3/1/1949,243.3905768
4/1/1949,243.4013008
5/1/1949,243.3925634
6/1/1949,243.385459
7/1/1949,243.3794512
8/1/1949,243.3738733
9/1/1949,243.3824799
10/1/1949,243.3742612
11/1/1949,243.3600182
12/1/1949,243.3589373
1/1/1950,243.3596608
2/1/1950,243.3710559
3/1/1950,243.3810874
4/1/1950,243.3858138
5/1/1950,243.3657252
6/1/1950,243.3509433
7/1/1950,243.3333903
8/1/1950,243.311973
9/1/1950,243.2899269
10/1/1950,243.2271408
11/1/1950,243.2148871
12/1/1950,243.2040348
1/1/1951,243.2136905
2/1/1951,243.2168104
3/1/1951,243.2268504
4/1/1951,243.2167462
5/1/1951,243.2367734
6/1/1951,243.226909
7/1/1951,243.2181292
8/1/1951,243.2084855
9/1/1951,243.1974211
10/1/1951,243.1863866
11/1/1951,243.1685644
12/1/1951,243.1577266
1/1/1952,243.1488329
2/1/1952,243.1166286
3/1/1952,243.1237116
4/1/1952,243.1358926
5/1/1952,243.1279779
6/1/1952,243.1195338
7/1/1952,243.1111676
8/1/1952,243.1031879
9/1/1952,243.0956763
10/1/1952,243.0657821
11/1/1952,243.0112534
12/1/1952,243.002061
1/1/1953,242.9950614
2/1/1953,242.9877675
3/1/1953,242.9577106
4/1/1953,242.9254311
5/1/1953,242.9148053
6/1/1953,242.9042137
7/1/1953,242.8846016
8/1/1953,242.8692624
9/1/1953,242.8556912
10/1/1953,242.8591225
11/1/1953,242.818148
12/1/1953,242.7977038
1/1/1954,242.7655124
2/1/1954,242.7448593
3/1/1954,242.5839201
4/1/1954,242.4348393
5/1/1954,242.3156415
6/1/1954,242.1869775
7/1/1954,242.0566539
8/1/1954,241.8101998
9/1/1954,241.6853591
10/1/1954,241.541419
11/1/1954,241.3768311
12/1/1954,241.2091434
1/1/1955,241.0958021
2/1/1955,240.9634981
3/1/1955,240.79905
4/1/1955,240.6506048
5/1/1955,240.510161
6/1/1955,240.277079
7/1/1955,240.0786097
8/1/1955,239.8442728
9/1/1955,239.635013
10/1/1955,239.4230392
11/1/1955,239.1683528
12/1/1955,238.9150141
1/1/1956,238.7025189
2/1/1956,238.4440851
3/1/1956,238.2725553
4/1/1956,237.9886035
5/1/1956,237.8321812
6/1/1956,237.7147487
7/1/1956,237.5980995
8/1/1956,237.4733857
9/1/1956,237.3519173
10/1/1956,237.2757552
11/1/1956,237.188252
12/1/1956,237.0946607
1/1/1957,237.0232613
2/1/1957,236.9273238
3/1/1957,236.9164694
4/1/1957,236.8740024
5/1/1957,236.8605845
6/1/1957,236.8315333
7/1/1957,236.8085104
8/1/1957,236.7808537
9/1/1957,236.7782945
10/1/1957,236.7610688
11/1/1957,236.7434169
12/1/1957,236.7438199
1/1/1958,236.7440504
2/1/1958,236.7292063
3/1/1958,236.6935371
4/1/1958,236.6821757
5/1/1958,236.6734784
6/1/1958,236.6654963
7/1/1958,236.6586611
8/1/1958,236.6519559
9/1/1958,236.6464501
10/1/1958,236.6424502
11/1/1958,236.6394236
12/1/1958,236.6366066
1/1/1959,236.6336905
2/1/1959,236.5998608
3/1/1959,236.6205328
4/1/1959,236.6484641
5/1/1959,236.6249055
6/1/1959,236.604083
7/1/1959,236.6041558
8/1/1959,236.5343745
9/1/1959,236.4819382
10/1/1959,236.5264639
11/1/1959,236.5373439
12/1/1959,236.5268302
1/1/1960,236.516838
2/1/1960,236.5077562
3/1/1960,236.4997611
4/1/1960,236.490302
5/1/1960,236.4572227
6/1/1960,236.4431582
7/1/1960,236.4238404
8/1/1960,236.4288564
9/1/1960,236.4153079
10/1/1960,236.3865336
11/1/1960,236.3912384
12/1/1960,236.3885357
1/1/1961,236.3693754
2/1/1961,236.3507235
3/1/1961,236.3378801
4/1/1961,236.3270014
5/1/1961,236.3471352
6/1/1961,236.289779
7/1/1961,236.2949675
8/1/1961,236.2157544
9/1/1961,236.200135
10/1/1961,236.1809829
11/1/1961,236.1437942
12/1/1961,236.055578
1/1/1962,235.9785295
2/1/1962,235.8102881
3/1/1962,235.702551
4/1/1962,235.5404645
5/1/1962,235.3848861
6/1/1962,235.2430416
7/1/1962,235.0802714
8/1/1962,234.9549133
9/1/1962,234.8601079
10/1/1962,234.7861144
11/1/1962,234.7126835
12/1/1962,234.6202808
1/1/1963,234.5541744
2/1/1963,234.4971131
3/1/1963,234.444518
4/1/1963,234.3446738
5/1/1963,234.2683134
6/1/1963,234.2088976
7/1/1963,234.1793498
8/1/1963,234.1345751
9/1/1963,234.1082148
10/1/1963,234.0654524
11/1/1963,234.0062926
12/1/1963,233.9645331
1/1/1964,233.9233197
2/1/1964,233.8921097
3/1/1964,233.8604793
4/1/1964,233.8495935
5/1/1964,233.8204789
6/1/1964,233.7862496
7/1/1964,233.7420596
8/1/1964,233.6504203
9/1/1964,233.5466534
10/1/1964,233.4163214
11/1/1964,233.2951716
12/1/1964,233.2155163
1/1/1965,233.1722506
2/1/1965,233.0968397
3/1/1965,233.0309691
4/1/1965,233.0215278
5/1/1965,232.8989631
6/1/1965,232.822492
7/1/1965,232.7489984
8/1/1965,232.6104961
9/1/1965,232.4235809
10/1/1965,232.3450863
11/1/1965,232.2047009
12/1/1965,232.1001271
1/1/1966,232.0134838
2/1/1966,231.9338256
3/1/1966,231.9115728
4/1/1966,231.8535155
5/1/1966,231.7261797
6/1/1966,231.6409919
7/1/1966,231.5892548
8/1/1966,231.5781243
9/1/1966,231.4805917
10/1/1966,231.4321949
11/1/1966,231.3647507
12/1/1966,231.2839589
1/1/1967,231.1772403
2/1/1967,231.0836893
3/1/1967,231.0058041
4/1/1967,230.954863
5/1/1967,230.9098197
6/1/1967,230.8666443
7/1/1967,230.8280922
8/1/1967,230.7918274
9/1/1967,230.7602993
10/1/1967,230.7351343
11/1/1967,230.7122168
12/1/1967,230.6934609
1/1/1968,230.6551067
2/1/1968,230.6413936
3/1/1968,230.629657
4/1/1968,230.6162428
5/1/1968,230.579664
6/1/1968,230.5624837
7/1/1968,230.5441645
8/1/1968,230.5234789
9/1/1968,230.5002991
10/1/1968,230.4750777
11/1/1968,230.446155
12/1/1968,230.4233951
1/1/1969,230.399288
2/1/1969,230.3763134
3/1/1969,230.3342033
4/1/1969,230.330186
5/1/1969,230.2849312
6/1/1969,230.2642174
7/1/1969,230.2691689
8/1/1969,230.2794751
9/1/1969,230.269947
10/1/1969,230.2623827
11/1/1969,230.2564193
12/1/1969,230.2521476
1/1/1970,230.2485957
2/1/1970,230.2225149
3/1/1970,230.2200965
4/1/1970,230.2176611
5/1/1970,230.2365343
6/1/1970,230.2339143
7/1/1970,230.2313716
8/1/1970,230.2101896
9/1/1970,230.2072872
10/1/1970,230.2043859
11/1/1970,230.2009359
12/1/1970,230.1941445
1/1/1971,230.1672267
2/1/1971,230.1808291
3/1/1971,230.1767591
4/1/1971,230.1720447
5/1/1971,230.1671458
6/1/1971,230.1615322
7/1/1971,230.1555271
8/1/1971,230.1489127
9/1/1971,230.1417582
10/1/1971,230.134193
11/1/1971,230.1260714
12/1/1971,230.1401604
1/1/1972,230.1327372
2/1/1972,230.125279
3/1/1972,230.1176469
4/1/1972,230.1081665
5/1/1972,230.0779693
6/1/1972,230.0591625
7/1/1972,230.0427977
8/1/1972,230.0255134
9/1/1972,230.0253395
10/1/1972,230.0290195
11/1/1972,230.031152
12/1/1972,230.0114675
1/1/1973,229.9803481
2/1/1973,229.9420998
3/1/1973,229.869488
4/1/1973,229.8683273
5/1/1973,229.8280086
6/1/1973,229.8055957
7/1/1973,229.783624
8/1/1973,229.75853
9/1/1973,229.7194739
10/1/1973,229.720724
11/1/1973,229.6530536
12/1/1973,229.6473404
1/1/1974,229.6160512
2/1/1974,229.6074448
3/1/1974,229.5813973
4/1/1974,229.5539862
5/1/1974,229.5083609
6/1/1974,229.501868
7/1/1974,229.4471966
8/1/1974,229.3981488
9/1/1974,229.3507582
10/1/1974,229.3226702
11/1/1974,229.2721964
12/1/1974,229.1956715
1/1/1975,229.1135911
2/1/1975,229.0318818
3/1/1975,228.9518953
4/1/1975,228.8862125
5/1/1975,228.8415401
6/1/1975,228.7301193
7/1/1975,228.6924261
8/1/1975,228.6351584
9/1/1975,228.5929895
10/1/1975,228.5366687
11/1/1975,228.4871655
12/1/1975,228.4531667
1/1/1976,228.4154217
2/1/1976,228.385313
3/1/1976,228.3247909
4/1/1976,228.2108749
5/1/1976,228.1427247
6/1/1976,228.0245472
7/1/1976,227.9671837
8/1/1976,227.8325035
9/1/1976,227.7534432
10/1/1976,227.605924
11/1/1976,227.481746
12/1/1976,227.3843918
1/1/1977,227.2671982
2/1/1977,227.1221481
3/1/1977,227.0542646
4/1/1977,226.9410857
5/1/1977,226.7606533
6/1/1977,226.6078623
7/1/1977,226.4668229
8/1/1977,226.3394806
9/1/1977,226.2071342
10/1/1977,225.9882955
11/1/1977,225.7990451
12/1/1977,225.5713591
1/1/1978,225.3942758
2/1/1978,225.2607407
3/1/1978,225.1542389
4/1/1978,224.9441091
5/1/1978,224.7601092
6/1/1978,224.6295464
7/1/1978,224.5269677
8/1/1978,224.3205494
9/1/1978,224.1984677
10/1/1978,224.1138573
11/1/1978,223.9576332
12/1/1978,223.8339652
1/1/1979,223.7360228
2/1/1979,223.6704167
3/1/1979,223.5930191
4/1/1979,223.5097146
5/1/1979,223.476728
6/1/1979,223.3696394
7/1/1979,223.2898697
8/1/1979,223.1844504
9/1/1979,223.0775397
10/1/1979,222.9728705
11/1/1979,222.9149778
12/1/1979,222.8797199
1/1/1980,222.8466605
2/1/1980,222.7839183
3/1/1980,222.6877765
4/1/1980,222.5880618
5/1/1980,222.5236381
6/1/1980,222.4589521
7/1/1980,222.3739794
8/1/1980,222.2971509
9/1/1980,222.2628061
10/1/1980,222.2118913
11/1/1980,222.1614494
12/1/1980,222.1140287
