Date,Subsidence_ft,Source
11/15/1927,0,Leveling
6/1/1947,0.358,Leveling
6/25/1957,0.453,Leveling
3/20/1959,0.492,Leveling
5/1/1963,0.545,Leveling
10/1/1964,0.617,Leveling
3/1/1965,0.617,Leveling
5/1/1966,0.709,Leveling
11/1/1969,0.961854339,Leveling
1/1/1975,0.99443308,Leveling
1/1/1978,1.04856694,Leveling
12/1/1981,1.05676904,Leveling
1/1/2000,0.908828075,Leveling
1/1/2006,1.047837437,Leveling
2/1/2006,1.050462109,InSAR
3/1/2006,1.050462109,InSAR
4/1/2006,1.043900429,InSAR
5/1/2006,1.039963421,InSAR
12/1/2006,1.049805941,InSAR
9/1/2007,1.053414865,InSAR
10/1/2007,1.053086781,InSAR
11/1/2007,1.052758697,InSAR
12/1/2007,1.057351873,InSAR
1/1/2008,1.059976545,InSAR
2/1/2008,1.064897805,InSAR
3/1/2008,1.071459485,InSAR
4/1/2008,1.061616965,InSAR
5/1/2008,1.061945049,InSAR
6/1/2008,1.064569721,InSAR
7/1/2008,1.065882057,InSAR
7/1/2009,1.107220641,InSAR
8/1/2009,1.107876809,InSAR
9/1/2009,1.102299381,InSAR
10/1/2009,1.105252137,InSAR
11/1/2009,1.109845313,InSAR
12/1/2009,1.118047413,InSAR
1/1/2010,1.127233765,InSAR
2/1/2010,1.127889933,InSAR
3/1/2010,1.121000169,InSAR
4/1/2010,1.123624841,InSAR
5/1/2010,1.125265261,InSAR
6/1/2010,1.126905681,InSAR
7/1/2010,1.125593345,InSAR
8/1/2010,1.123296757,InSAR
1/1/2013,1.222512238,Leveling
5/20/2015,1.426847792,InSAR
5/26/2015,1.431769052,InSAR
6/1/2015,1.435049892,InSAR
6/7/2015,1.430456716,InSAR
6/13/2015,1.42586354,InSAR
6/19/2015,1.424551204,InSAR
6/25/2015,1.421270364,InSAR
7/1/2015,1.41930186,InSAR
7/7/2015,1.417005272,InSAR
7/13/2015,1.41602102,InSAR
7/20/2015,1.414708684,InSAR
7/26/2015,1.412084012,InSAR
8/1/2015,1.40945934,InSAR
8/7/2015,1.405522332,InSAR
8/13/2015,1.405194248,InSAR
8/20/2015,1.407162752,InSAR
8/26/2015,1.407490836,InSAR
9/1/2015,1.408803172,InSAR
9/7/2015,1.410115508,InSAR
9/13/2015,1.412412096,InSAR
9/19/2015,1.411755928,InSAR
9/25/2015,1.410443592,InSAR
10/1/2015,1.408803172,InSAR
10/7/2015,1.410771676,InSAR
10/13/2015,1.40945934,InSAR
10/20/2015,1.403881912,InSAR
10/26/2015,1.40453808,InSAR
11/1/2015,1.4061785,InSAR
11/7/2015,1.40945934,InSAR
11/13/2015,1.4143806,InSAR
11/19/2015,1.420286112,InSAR
11/25/2015,1.426191624,InSAR
12/1/2015,1.430128632,InSAR
12/7/2015,1.434393724,InSAR
12/13/2015,1.431112884,InSAR
12/20/2015,1.425207372,InSAR
12/26/2015,1.424551204,InSAR
1/1/2016,1.431112884,Leveling
1/7/2016,1.435377976,InSAR
1/13/2016,1.442923908,InSAR
1/20/2016,1.445220496,InSAR
1/26/2016,1.450797924,InSAR
2/1/2016,1.446204748,InSAR
2/7/2016,1.439971152,InSAR
2/13/2016,1.44390816,InSAR
2/18/2016,1.447189,InSAR
2/24/2016,1.446204748,InSAR
3/1/2016,1.439314984,InSAR
3/7/2016,1.43734648,InSAR
3/13/2016,1.4389869,InSAR
3/20/2016,1.439314984,InSAR
3/26/2016,1.441283488,InSAR
4/1/2016,1.444236244,InSAR
4/7/2016,1.446204748,InSAR
4/13/2016,1.443580076,InSAR
4/19/2016,1.441939656,InSAR
4/25/2016,1.450141756,InSAR
5/1/2016,1.458343856,InSAR
5/7/2016,1.459000024,InSAR
5/13/2016,1.459328108,InSAR
5/20/2016,1.458015772,InSAR
5/26/2016,1.456703436,InSAR
6/1/2016,1.453094512,InSAR
