Date,BLS,Alt,Aquifer
1/1/1913,,205,Upper
4/12/1951,,189.98,Upper
6/6/1951,,160.48,Upper
4/11/1952,,188.28,Upper
9/5/1952,,178.78,Upper
4/15/1953,,166.88,Upper
3/17/1960,,176.28,Upper
10/5/1960,,160.78,Upper
3/7/1961,,176.18,Upper
10/17/1961,,151.68,Upper
3/28/1962,,175.88,Upper
10/4/1962,,155.88,Upper
10/5/1965,,150.48,Upper
3/9/1966,,170.98,Upper
10/5/1967,,154.18,Upper
4/3/1969,,172.58,Upper
10/7/1969,,150.28,Upper
3/18/1970,,170.68,Upper
3/9/1971,,159.48,Upper
3/9/1972,,160.48,Upper
10/13/1972,,149.08,Upper
3/28/1973,,167.58,Upper
10/10/1973,,150.38,Upper
3/12/1974,,165.95,Upper
11/12/1974,,152.85,Upper
3/26/1975,,161.75,Upper
10/31/1975,,150.95,Upper
3/8/1976,,154.45,Upper
3/1/1977,,136.85,Upper
11/9/1977,,127.35,Upper
3/16/1978,,140.45,Upper
10/31/1978,,136.65,Upper
3/13/1979,,151.55,Upper
10/30/1979,,149.25,Upper
3/18/1980,,162.65,Upper
10/21/1980,,159.65,Upper
3/3/1981,,165.35,Upper
10/14/1981,,160.75,Upper
3/11/1982,,168.15,Upper
10/6/1982,,169.05,Upper
4/1/1983,,181.65,Upper
10/11/1983,,178.75,Upper
3/6/1984,,181.15,Upper
10/10/1984,,175.15,Upper
3/7/1985,,175.55,Upper
10/1/1985,,170.65,Upper
3/13/1986,,175.85,Upper
10/8/1986,,172.25,Upper
4/17/1987,,166.95,Upper
10/14/1987,,163.95,Upper
3/8/1988,,166.95,Upper
11/12/1988,,167.35,Upper
3/7/1989,,162.35,Upper
10/18/1989,,160.65,Upper
3/14/1990,,155.65,Upper
10/18/1990,,151.45,Upper
3/13/1991,,154.65,Upper
10/2/1991,,144.25,Upper
3/2/1992,,151.85,Upper
10/7/1992,,141.25,Upper
3/16/1993,,159.65,Upper
10/6/1993,,153.95,Upper
3/16/1994,,163.45,Upper
10/19/1994,,146.15,Upper
3/7/1995,,165.35,Upper
4/19/1995,,170.75,Upper
10/4/1995,,166.25,Upper
3/28/1996,,172.25,Upper
10/9/1996,,164.25,Upper
3/5/1997,,169.95,Upper
10/8/1997,,158.65,Upper
3/12/1998,,174.25,Upper
10/9/1998,,171.45,Upper
3/16/1999,,171.25,Upper
10/5/1999,,152.55,Upper
3/23/2000,,176.95,Upper
10/3/2000,,159.25,Upper
3/19/2001,,164.25,Upper
7/18/2001,,158.55,Upper
8/1/2001,,150.75,Upper
9/5/2001,,147.05,Upper
10/11/2001,,156.05,Upper
11/8/2001,,155.05,Upper
3/19/2002,,163.85,Upper
4/23/2002,,162.55,Upper
5/21/2002,,161.35,Upper
6/26/2002,,158.65,Upper
7/3/2002,,156.65,Upper
7/11/2002,,153.95,Upper
7/18/2002,,156.65,Upper
7/22/2002,,157.05,Upper
8/1/2002,,156.95,Upper
8/8/2002,,155.65,Upper
8/15/2002,,151.65,Upper
8/29/2002,,155.35,Upper
9/6/2002,,155.75,Upper
9/12/2002,,153.05,Upper
9/20/2002,,153.85,Upper
9/24/2002,,154.45,Upper
10/16/2002,,151.55,Upper
11/20/2002,,152.25,Upper
11/22/2002,,134.86,Upper
12/12/2002,,137.325,Upper
12/13/2002,,137.545,Upper
12/14/2002,,137.921,Upper
12/15/2002,,138.238,Upper
12/16/2002,,138.486,Upper
12/17/2002,,138.67,Upper
12/18/2002,,138.756,Upper
12/19/2002,,138.787,Upper
12/20/2002,,139.059,Upper
12/21/2002,,139.222,Upper
12/22/2002,,139.28,Upper
12/23/2002,,139.368,Upper
12/24/2002,,139.485,Upper
12/25/2002,,139.54,Upper
12/26/2002,,139.66,Upper
12/27/2002,,139.816,Upper
12/28/2002,,140.014,Upper
12/29/2002,,140.245,Upper
12/30/2002,,140.267,Upper
12/31/2002,,140.433,Upper
1/1/2003,,140.456,Upper
1/2/2003,,140.53,Upper
1/3/2003,,140.629,Upper
1/4/2003,,140.763,Upper
1/5/2003,,140.829,Upper
1/6/2003,,140.956,Upper
1/7/2003,,141.087,Upper
1/8/2003,,141.25,Upper
1/9/2003,,141.313,Upper
1/10/2003,,141.462,Upper
1/11/2003,,141.604,Upper
1/12/2003,,141.684,Upper
1/13/2003,,141.831,Upper
1/14/2003,,141.928,Upper
1/15/2003,,141.991,Upper
1/16/2003,,142.072,Upper
1/17/2003,,142.18,Upper
1/18/2003,,142.293,Upper
1/19/2003,,142.414,Upper
1/20/2003,,142.515,Upper
1/21/2003,,142.617,Upper
1/22/2003,,142.709,Upper
1/23/2003,,142.821,Upper
1/24/2003,,142.896,Upper
1/25/2003,,142.986,Upper
1/26/2003,,143.054,Upper
1/27/2003,,143.17,Upper
1/28/2003,,143.296,Upper
1/29/2003,,143.363,Upper
1/30/2003,,143.41,Upper
1/31/2003,,143.494,Upper
2/1/2003,,143.64,Upper
2/2/2003,,143.742,Upper
2/3/2003,,143.819,Upper
2/4/2003,,143.811,Upper
2/5/2003,,143.455,Upper
2/6/2003,,142.805,Upper
2/7/2003,,142.649,Upper
2/8/2003,,143.107,Upper
2/9/2003,,143.305,Upper
2/10/2003,,141.997,Upper
2/11/2003,,141.776,Upper
2/12/2003,,142.029,Upper
2/13/2003,,142.801,Upper
2/14/2003,,143.268,Upper
2/15/2003,,143.561,Upper
2/16/2003,,143.913,Upper
2/17/2003,,144.045,Upper
2/18/2003,,144.2535,Upper
2/19/2003,,144.392,Upper
2/20/2003,,144.586,Upper
2/21/2003,,144.686,Upper
2/22/2003,,144.825,Upper
2/23/2003,,144.998,Upper
2/24/2003,,145.205,Upper
2/25/2003,,145.34,Upper
2/26/2003,,145.428,Upper
2/27/2003,,144.246,Upper
2/28/2003,,144.453,Upper
3/1/2003,,143.362,Upper
3/2/2003,,143.658,Upper
3/3/2003,,143.915,Upper
3/4/2003,,143.792,Upper
3/5/2003,,143.442,Upper
3/6/2003,,142.97,Upper
3/7/2003,,143.418,Upper
3/8/2003,,144.031,Upper
3/9/2003,,144.43,Upper
3/10/2003,,144.725,Upper
3/11/2003,,145.037,Upper
3/12/2003,,141.424,Upper
3/13/2003,,143.3245,Upper
3/14/2003,,141.901,Upper
3/15/2003,,142.159,Upper
3/16/2003,,142.973,Upper
3/17/2003,,143.129,Upper
3/18/2003,,143.155,Upper
3/19/2003,,143.225,Upper
3/20/2003,,143.316,Upper
3/21/2003,,143.359,Upper
3/22/2003,,143.453,Upper
3/23/2003,,143.563,Upper
3/24/2003,,143.676,Upper
3/25/2003,,143.707,Upper
3/26/2003,,143.629,Upper
3/27/2003,,143.437,Upper
3/28/2003,,142.929,Upper
3/29/2003,,142.653,Upper
3/30/2003,,142.926,Upper
3/31/2003,,143.221,Upper
4/1/2003,,143.515,Upper
4/2/2003,,143.704,Upper
4/3/2003,,143.744,Upper
4/4/2003,,142.877,Upper
4/5/2003,,142.525,Upper
4/6/2003,,141.822,Upper
4/7/2003,,142.337,Upper
4/8/2003,,142.765,Upper
4/9/2003,,145.0735,Upper
4/10/2003,,146.042,Upper
4/11/2003,,144.411,Upper
4/12/2003,,144.461,Upper
4/13/2003,,145.318,Upper
4/14/2003,,145.891,Upper
4/15/2003,,146.339,Upper
4/16/2003,,146.591,Upper
4/17/2003,,146.825,Upper
4/18/2003,,147.081,Upper
4/19/2003,,147.254,Upper
4/20/2003,,147.399,Upper
4/21/2003,,147.622,Upper
4/22/2003,,147.832,Upper
4/23/2003,,147.227,Upper
4/24/2003,,146.728,Upper
4/25/2003,,147.067,Upper
4/26/2003,,147.376,Upper
4/27/2003,,147.616,Upper
4/28/2003,,147.907,Upper
4/29/2003,,148.101,Upper
4/30/2003,,148.235,Upper
5/1/2003,,148.357,Upper
5/2/2003,,148.518,Upper
5/3/2003,,148.721,Upper
5/4/2003,,148.851,Upper
5/5/2003,,148.882,Upper
5/6/2003,,149,Upper
5/7/2003,,149.117,Upper
5/8/2003,,149.233,Upper
5/9/2003,,149.3,Upper
5/10/2003,,149.331,Upper
5/11/2003,,149.377,Upper
5/12/2003,,149.451,Upper
5/13/2003,,149.509,Upper
5/14/2003,,148.294,Upper
5/15/2003,,146.592,Upper
5/16/2003,,144.643,Upper
5/17/2003,,142.982,Upper
5/18/2003,,142.93,Upper
5/19/2003,,143.977,Upper
5/20/2003,,143.196,Upper
5/21/2003,,141.922,Upper
5/22/2003,,140.982,Upper
5/23/2003,,138.892,Upper
5/24/2003,,137.071,Upper
5/25/2003,,136.651,Upper
5/26/2003,,138.435,Upper
5/27/2003,,139.788,Upper
5/28/2003,,138.644,Upper
5/29/2003,,136.132,Upper
5/30/2003,,133.697,Upper
5/31/2003,,133.5,Upper
6/1/2003,,132.062,Upper
6/2/2003,,131.241,Upper
6/3/2003,,130.238,Upper
6/4/2003,,129.861,Upper
6/5/2003,,128.881,Upper
6/6/2003,,129.213,Upper
6/7/2003,,130.408,Upper
6/8/2003,,129.143,Upper
6/9/2003,,130.486,Upper
6/10/2003,,129.982,Upper
6/11/2003,,128.841,Upper
6/12/2003,,129.282,Upper
6/13/2003,,128.02,Upper
6/14/2003,,127.773,Upper
6/15/2003,,126.879,Upper
6/16/2003,,127.974,Upper
6/17/2003,,127.185,Upper
6/18/2003,,125.266,Upper
6/19/2003,,125.744,Upper
6/20/2003,,125.337,Upper
6/21/2003,,124.886,Upper
6/22/2003,,124.625,Upper
6/23/2003,,124.586,Upper
6/24/2003,,125.158,Upper
6/25/2003,,125.61,Upper
6/26/2003,,124.616,Upper
6/27/2003,,122.81,Upper
6/28/2003,,121.544,Upper
6/29/2003,,121.17,Upper
6/30/2003,,121.575,Upper
7/1/2003,,120.683,Upper
7/2/2003,,120.114,Upper
7/3/2003,,121.166,Upper
7/4/2003,,120.519,Upper
7/5/2003,,119.602,Upper
7/6/2003,,119.806,Upper
7/7/2003,,120.089,Upper
7/8/2003,,119.162,Upper
7/9/2003,,118.729,Upper
7/10/2003,,118.573,Upper
7/11/2003,,119.108,Upper
7/12/2003,,118.617,Upper
7/13/2003,,117.73,Upper
7/14/2003,,117.682,Upper
7/15/2003,,119.944,Upper
7/16/2003,,120.345,Upper
7/17/2003,,119.147,Upper
7/18/2003,,119.56,Upper
7/19/2003,,120.259,Upper
7/20/2003,,119.85,Upper
7/21/2003,,119.08,Upper
7/22/2003,,118.691,Upper
7/23/2003,,117.907,Upper
7/24/2003,,117.55,Upper
7/25/2003,,117.725,Upper
7/26/2003,,116.459,Upper
7/27/2003,,115.447,Upper
7/28/2003,,115.395,Upper
7/29/2003,,116.177,Upper
7/30/2003,,115.183,Upper
7/31/2003,,115.369,Upper
8/1/2003,,116.114,Upper
8/2/2003,,114.984,Upper
8/3/2003,,115.348,Upper
8/4/2003,,116.564,Upper
8/5/2003,,117.592,Upper
8/6/2003,,118.894,Upper
8/7/2003,,119.083,Upper
8/8/2003,,116.904,Upper
8/9/2003,,115.909,Upper
8/10/2003,,115.654,Upper
8/11/2003,,115.945,Upper
8/12/2003,,117.238,Upper
8/13/2003,,116.034,Upper
8/14/2003,,114.547,Upper
8/15/2003,,114.592,Upper
8/16/2003,,115.125,Upper
8/17/2003,,115.2,Upper
8/18/2003,,115.929,Upper
8/19/2003,,116.601,Upper
8/20/2003,,117.086,Upper
8/21/2003,,117.357,Upper
8/22/2003,,117.669,Upper
8/23/2003,,118.755,Upper
8/24/2003,,119.067,Upper
8/25/2003,,118.1,Upper
8/26/2003,,117.7255,Upper
8/27/2003,,117.913,Upper
