datetime,Mean CH - layer 2 (Intermediate Aquifer)
2/1/1930,47.05340988
3/1/1930,46.68247624
4/1/1930,46.27245378
5/1/1930,46.10751332
6/1/1930,46.00485523
7/1/1930,45.93644346
8/1/1930,45.84425147
9/1/1930,45.73868645
10/1/1930,45.64988709
11/1/1930,45.59416101
12/1/1930,45.53835645
1/1/1931,45.47635443
2/1/1931,45.41748596
3/1/1931,45.36208201
4/1/1931,45.31859361
5/1/1931,45.27558288
6/1/1931,45.23008831
7/1/1931,45.19598119
8/1/1931,45.15443326
9/1/1931,45.09558127
10/1/1931,45.01115361
11/1/1931,44.9087233
12/1/1931,44.8071121
1/1/1932,44.71888056
2/1/1932,44.64500801
3/1/1932,44.59181094
4/1/1932,44.54174342
5/1/1932,44.49867255
6/1/1932,44.45740848
7/1/1932,44.41286453
8/1/1932,44.36280207
9/1/1932,44.29790786
10/1/1932,44.22431671
11/1/1932,44.16097024
12/1/1932,44.09422105
1/1/1933,44.03215916
2/1/1933,43.97916653
3/1/1933,43.92794746
4/1/1933,43.85730629
5/1/1933,43.80107162
6/1/1933,43.74209046
7/1/1933,43.69583928
8/1/1933,43.64423988
9/1/1933,43.57885059
10/1/1933,43.50444155
11/1/1933,43.43121421
12/1/1933,43.39030114
1/1/1934,43.35515092
2/1/1934,43.31819863
3/1/1934,43.29184807
4/1/1934,43.26395308
5/1/1934,43.23902162
6/1/1934,43.21285808
7/1/1934,43.1875003
8/1/1934,43.16304519
9/1/1934,43.13546327
10/1/1934,43.11384542
11/1/1934,43.08770911
12/1/1934,43.06593519
1/1/1935,43.03862482
2/1/1935,43.01753068
3/1/1935,42.99499296
4/1/1935,42.94933092
5/1/1935,42.9268595
6/1/1935,42.9054905
7/1/1935,42.88868805
8/1/1935,42.87200279
9/1/1935,42.85594272
10/1/1935,42.84090057
11/1/1935,42.82248668
12/1/1935,42.80754743
1/1/1936,42.79113898
2/1/1936,42.77687574
3/1/1936,42.76377592
4/1/1936,42.75005208
5/1/1936,42.73701769
6/1/1936,42.71910509
7/1/1936,42.70193438
8/1/1936,42.67170104
9/1/1936,42.66101022
10/1/1936,42.65228239
11/1/1936,42.64375459
12/1/1936,42.63055056
1/1/1937,42.62179444
2/1/1937,42.61290284
3/1/1937,42.60475875
4/1/1937,42.59560108
5/1/1937,42.58660681
6/1/1937,42.57717834
7/1/1937,42.56793261
8/1/1937,42.55825245
9/1/1937,42.54844672
10/1/1937,42.53884416
11/1/1937,42.52880607
12/1/1937,42.51898896
1/1/1938,42.50874096
2/1/1938,42.4983957
3/1/1938,42.48897715
4/1/1938,42.47846505
5/1/1938,42.46821937
6/1/1938,42.4575617
7/1/1938,42.44718844
8/1/1938,42.43641331
9/1/1938,42.42558948
10/1/1938,42.41507588
11/1/1938,42.40350398
12/1/1938,42.39293189
1/1/1939,42.3819851
2/1/1939,42.37101818
3/1/1939,42.36110132
4/1/1939,42.35029085
5/1/1939,42.35655566
6/1/1939,42.33325601
7/1/1939,42.29986471
8/1/1939,42.2790935
9/1/1939,42.2612102
10/1/1939,42.24649239
11/1/1939,42.23081666
12/1/1939,42.19474192
1/1/1940,42.17050409
2/1/1940,42.15326773
3/1/1940,42.13898102
4/1/1940,42.12830469
5/1/1940,42.11804511
6/1/1940,42.10749744
7/1/1940,42.09731268
8/1/1940,42.08680247
9/1/1940,42.0763496
10/1/1940,42.06626451
11/1/1940,42.03919892
12/1/1940,42.02922025
1/1/1941,42.01896324
2/1/1941,42.00861882
3/1/1941,41.99916799
4/1/1941,41.98876084
5/1/1941,41.97873085
6/1/1941,41.96847127
7/1/1941,41.95864666
8/1/1941,41.94858557
9/1/1941,41.92738487
10/1/1941,41.91773913
11/1/1941,41.90778983
12/1/1941,41.89817755
1/1/1942,41.88826157
2/1/1942,41.87836221
3/1/1942,41.86943464
4/1/1942,41.85956816
5/1/1942,41.85003749
6/1/1942,41.84020942
7/1/1942,41.83071921
8/1/1942,41.82093603
9/1/1942,41.81044479
10/1/1942,41.80100193
11/1/1942,41.7912624
12/1/1942,41.78185777
1/1/1943,41.77216642
2/1/1943,41.76250695
3/1/1943,41.75308676
4/1/1943,41.74350328
5/1/1943,41.73427451
6/1/1943,41.72479268
7/1/1943,41.72654468
