Date,BLS,Alt,Aquifer
1/3/1930,,25.55,Upper
10/10/1930,,19.85,Upper
11/19/1931,,18.55,Upper
10/31/1932,,18.75,Upper
11/24/1933,,15.75,Upper
11/14/1934,,13.65,Upper
11/7/1936,,20.45,Upper
11/10/1937,,23.55,Upper
2/2/1939,,25.55,Upper
1/20/1941,,28.35,Upper
10/17/1947,,16.25,Upper
1/14/1949,,18.75,Upper
12/5/1949,,10.05,Upper
11/14/1950,,14.95,Upper
12/12/1951,,13.05,Upper
10/23/1952,,9.55,Upper
11/18/1952,,10.15,Upper
2/17/1953,,14.85,Upper
4/7/1953,,34.75,Upper
5/13/1953,,21.15,Upper
7/16/1953,,25.95,Upper
9/18/1953,,17.15,Upper
11/13/1953,,19.25,Upper
3/20/1954,,27.05,Upper
3/23/1954,,23.45,Upper
11/1/1954,,13.85,Upper
3/21/1955,,21.35,Upper
11/1/1955,,11.05,Upper
10/23/1956,,16.65,Upper
3/11/1957,,24.75,Upper
8/7/1957,,-8.25,Upper
9/9/1957,,-2.05,Upper
10/7/1957,,8.75,Upper
12/4/1957,,12.95,Upper
1/9/1958,,14.65,Upper
2/6/1958,,16.05,Upper
3/7/1958,,20.65,Upper
4/7/1958,,26.05,Upper
5/7/1958,,16.55,Upper
6/5/1958,,4.75,Upper
7/3/1958,,4.05,Upper
8/5/1958,,4.05,Upper
9/4/1958,,-15.65,Upper
9/29/1958,,9.55,Upper
11/3/1958,,16.15,Upper
12/1/1958,,15.95,Upper
12/31/1958,,18.65,Upper
2/3/1959,,20.85,Upper
2/27/1959,,22.25,Upper
4/1/1959,,23.35,Upper
4/29/1959,,0.65,Upper
6/1/1959,,0.35,Upper
7/1/1959,,-5.15,Upper
8/3/1959,,-20.45,Upper
9/1/1959,,-22.45,Upper
10/5/1959,,2.45,Upper
11/3/1959,,9.75,Upper
12/1/1959,,11.15,Upper
1/5/1960,,12.55,Upper
2/2/1960,,13.65,Upper
3/18/1960,,14.85,Upper
5/3/1960,,11.55,Upper
6/2/1960,,-7.45,Upper
6/27/1960,,-9.45,Upper
8/1/1960,,-18.45,Upper
8/29/1960,,-22.05,Upper
10/3/1960,,1.05,Upper
11/1/1960,,5.15,Upper
11/29/1960,,7.05,Upper
1/10/1961,,8.25,Upper
2/3/1961,,8.95,Upper
2/28/1961,,9.85,Upper
4/2/1961,,10.25,Upper
5/2/1961,,5.05,Upper
5/31/1961,,-10.95,Upper
7/3/1961,,-19.35,Upper
9/5/1961,,-20.65,Upper
10/2/1961,,-8.05,Upper
11/2/1961,,-2.55,Upper
12/5/1961,,1.85,Upper
1/9/1962,,4.95,Upper
1/30/1962,,5.45,Upper
3/7/1962,,7.45,Upper
4/9/1962,,5.55,Upper
11/6/1962,,3.25,Upper
12/3/1962,,4.65,Upper
1/8/1963,,6.15,Upper
2/5/1963,,9.75,Upper
3/4/1963,,11.85,Upper
4/1/1963,,12.65,Upper
4/29/1963,,13.85,Upper
6/3/1963,,8.85,Upper
10/10/1963,,-2.15,Upper
11/6/1963,,5.85,Upper
12/3/1963,,8.85,Upper
1/6/1964,,10.15,Upper
2/5/1964,,11.65,Upper
3/6/1964,,10.85,Upper
4/6/1964,,2.05,Upper
5/6/1964,,-23.55,Upper
6/1/1964,,-30.75,Upper
6/29/1964,,-28.95,Upper
8/4/1964,,-35.65,Upper
8/31/1964,,-23.55,Upper
9/28/1964,,-16.65,Upper
11/4/1964,,0.85,Upper
11/30/1964,,4.45,Upper
1/11/1965,,7.95,Upper
2/1/1965,,9.25,Upper
3/1/1965,,10.35,Upper
4/5/1965,,6.85,Upper
5/3/1965,,21.05,Upper
8/31/1965,,-10.15,Upper
10/4/1965,,-2.15,Upper
11/1/1965,,1.75,Upper
11/29/1965,,5.45,Upper
1/3/1966,,7.25,Upper
1/31/1966,,8.15,Upper
3/7/1966,,9.25,Upper
4/4/1966,,4.65,Upper
5/2/1966,,-21.25,Upper
6/6/1966,,-18.25,Upper
7/6/1966,,-19.95,Upper
8/1/1966,,-22.35,Upper
9/6/1966,,-19.25,Upper
10/5/1966,,-18.85,Upper
10/31/1966,,-4.35,Upper
1/3/1967,,3.65,Upper
1/31/1967,,6.85,Upper
3/6/1967,,10.85,Upper
4/3/1967,,12.25,Upper
5/1/1967,,13.85,Upper
