datetime,Mean CH - layer 2 (Principal Aquifer)
1/1/1930,132.2295766
2/1/1930,132.2295766
3/1/1930,132.2279019
4/1/1930,131.2964647
5/1/1930,131.2837593
6/1/1930,131.271845
7/1/1930,131.2045384
8/1/1930,131.2036813
9/1/1930,131.191669
10/1/1930,131.190216
11/1/1930,131.1887089
12/1/1930,130.8893304
1/1/1931,130.8725551
2/1/1931,130.8963631
3/1/1931,130.8952042
4/1/1931,130.8943903
5/1/1931,130.8938553
6/1/1931,130.8935797
7/1/1931,130.8934069
8/1/1931,130.8898135
9/1/1931,130.916886
10/1/1931,130.9440325
11/1/1931,130.9439333
12/1/1931,130.9438491
1/1/1932,130.9437537
2/1/1932,130.9369351
3/1/1932,130.9367591
4/1/1932,130.9365542
5/1/1932,130.8906953
6/1/1932,130.9004582
7/1/1932,130.9449998
8/1/1932,130.930354
9/1/1932,130.9274548
10/1/1932,130.9260342
11/1/1932,130.9170527
12/1/1932,130.9152058
1/1/1933,130.3645034
2/1/1933,130.0952286
3/1/1933,129.9824247
4/1/1933,129.9468095
5/1/1933,129.5247939
6/1/1933,129.5091049
7/1/1933,129.4998906
8/1/1933,129.4322026
9/1/1933,129.2112937
10/1/1933,128.5602128
11/1/1933,128.4241548
12/1/1933,128.3085555
1/1/1934,127.5089511
2/1/1934,125.9717204
3/1/1934,125.3655043
4/1/1934,122.9810301
5/1/1934,121.978418
6/1/1934,120.3307082
7/1/1934,119.4248915
8/1/1934,117.6592477
9/1/1934,116.4936567
10/1/1934,114.3599359
11/1/1934,113.9673661
12/1/1934,113.7191902
1/1/1935,113.5298515
2/1/1935,113.3133187
3/1/1935,113.0383997
4/1/1935,112.8154098
5/1/1935,112.5250627
6/1/1935,112.3035889
7/1/1935,112.055227
8/1/1935,111.7524916
9/1/1935,111.599875
10/1/1935,111.4452057
11/1/1935,111.3080755
12/1/1935,111.1976408
1/1/1936,111.1035183
2/1/1936,110.9746992
3/1/1936,110.9067915
4/1/1936,110.8356135
5/1/1936,110.6456517
6/1/1936,110.3198903
7/1/1936,109.2840785
8/1/1936,109.0228409
9/1/1936,108.6825255
10/1/1936,108.492296
11/1/1936,108.3267031
12/1/1936,108.2030252
1/1/1937,108.0592973
2/1/1937,107.8251146
3/1/1937,107.4174336
4/1/1937,107.1436858
5/1/1937,106.9556896
6/1/1937,106.6417342
7/1/1937,105.8622257
8/1/1937,105.7078808
9/1/1937,105.6384192
10/1/1937,105.4607135
11/1/1937,105.3486355
12/1/1937,105.2521265
1/1/1938,105.1493911
2/1/1938,104.9838394
3/1/1938,104.768409
4/1/1938,104.2391508
5/1/1938,104.0062398
6/1/1938,103.8456783
7/1/1938,103.6976542
8/1/1938,103.4813222
9/1/1938,103.139638
10/1/1938,103.035511
11/1/1938,102.942301
12/1/1938,102.7142876
1/1/1939,102.6199871
2/1/1939,102.5428303
3/1/1939,102.4913886
4/1/1939,102.4058097
5/1/1939,102.3527871
6/1/1939,102.3039381
7/1/1939,102.2575287
8/1/1939,102.2019296
9/1/1939,101.7103343
10/1/1939,101.6712918
11/1/1939,101.4141506
12/1/1939,101.2140808
1/1/1940,101.0837207
2/1/1940,99.04526461
3/1/1940,97.63632813
4/1/1940,97.01805431
5/1/1940,95.76234408
6/1/1940,94.96460061
7/1/1940,93.9136684
8/1/1940,93.69606553
9/1/1940,93.52675501
10/1/1940,93.37539017
11/1/1940,93.22008867
12/1/1940,93.07718579
1/1/1941,92.88862745
2/1/1941,92.79982825
3/1/1941,92.68581895
4/1/1941,92.56402572
5/1/1941,92.44516187
6/1/1941,92.32575944
7/1/1941,92.22100221
8/1/1941,92.17381303
9/1/1941,92.10488538
10/1/1941,92.04173253
11/1/1941,91.98326666
12/1/1941,91.92854891
1/1/1942,91.91664231
2/1/1942,91.86320936
3/1/1942,91.82862288
4/1/1942,91.76928546
5/1/1942,91.74126339
6/1/1942,91.68225645
7/1/1942,91.62731354
8/1/1942,91.56090631
9/1/1942,91.3401706
10/1/1942,91.31521168
11/1/1942,91.2820714
12/1/1942,91.22147964
1/1/1943,91.1625382
2/1/1943,91.11833519
3/1/1943,91.10585653
4/1/1943,90.99854796
5/1/1943,90.67343407
6/1/1943,89.84382316
7/1/1943,89.28784923
8/1/1943,89.21499803
9/1/1943,89.13391062
10/1/1943,89.06487404
11/1/1943,89.00289509
12/1/1943,88.95590088
1/1/1944,88.88702741
2/1/1944,88.68016504
3/1/1944,88.66578103
4/1/1944,88.44752785
5/1/1944,88.36577612
6/1/1944,88.32001249
7/1/1944,88.26243607
8/1/1944,88.11204955
9/1/1944,86.43373256
10/1/1944,85.65904103
11/1/1944,85.36815333
12/1/1944,83.75030313
1/1/1945,83.06350872
2/1/1945,82.79277079
3/1/1945,82.68616931
4/1/1945,82.03848393
5/1/1945,81.95847414
6/1/1945,81.88374087
7/1/1945,81.82333585
8/1/1945,81.64603684
9/1/1945,81.23951678
10/1/1945,81.00587978
11/1/1945,80.90755719
12/1/1945,80.83351361
1/1/1946,80.74331915
2/1/1946,80.66984052
3/1/1946,80.5938009
4/1/1946,80.53117832
5/1/1946,80.45113962
6/1/1946,80.40602849
7/1/1946,80.34402965
8/1/1946,80.27403832
9/1/1946,80.22198425
10/1/1946,80.18555295
11/1/1946,80.1375765
12/1/1946,80.10913816
1/1/1947,80.07439734
2/1/1947,80.00436685
3/1/1947,79.96486187
4/1/1947,79.92876035
5/1/1947,79.92514612
6/1/1947,79.9188908
7/1/1947,79.90411302
8/1/1947,79.89474307
9/1/1947,79.87408224
10/1/1947,79.85890483
11/1/1947,79.82024854
12/1/1947,79.81603732
1/1/1948,79.79344839
2/1/1948,79.7793143
3/1/1948,79.76554719
4/1/1948,79.75632689
5/1/1948,79.73534712
6/1/1948,79.712066
7/1/1948,79.68673994
8/1/1948,79.68725255
9/1/1948,79.67079638
10/1/1948,79.64803879
11/1/1948,79.59577868
12/1/1948,79.56437315
1/1/1949,79.54291045
2/1/1949,79.51395596
3/1/1949,79.4870438
4/1/1949,79.45073272
5/1/1949,79.44682014
6/1/1949,79.39874374
7/1/1949,79.02141709
8/1/1949,78.87864882
9/1/1949,78.48915504
10/1/1949,77.71418187
11/1/1949,76.81880318
12/1/1949,76.09014496
1/1/1950,76.04096405
2/1/1950,75.9658227
3/1/1950,75.90170428
4/1/1950,75.80922893
5/1/1950,75.74235956
6/1/1950,75.64016952
7/1/1950,75.50958042
8/1/1950,75.37644306
9/1/1950,75.28633038
10/1/1950,75.18752682
11/1/1950,75.1136165
12/1/1950,75.04409262
1/1/1951,74.96334618
2/1/1951,74.89266959
3/1/1951,74.81613076
4/1/1951,74.76400786
5/1/1951,74.69818809
6/1/1951,74.63428931
7/1/1951,74.55505757
8/1/1951,74.41448301
9/1/1951,74.34387281
10/1/1951,74.27605809
11/1/1951,74.185584
12/1/1951,74.15885679
1/1/1952,74.11123329
2/1/1952,74.07483618
3/1/1952,74.00487009
4/1/1952,73.95553885
5/1/1952,73.92203024
6/1/1952,73.89984012
7/1/1952,73.87991094
8/1/1952,73.85788448
9/1/1952,73.83002391
10/1/1952,73.79710649
11/1/1952,73.76408811
12/1/1952,73.75141319
1/1/1953,73.70849234
2/1/1953,73.65878375
3/1/1953,73.63931718
4/1/1953,73.61719477
5/1/1953,73.6103733
6/1/1953,73.59664923
7/1/1953,73.59651187
8/1/1953,73.5836049
9/1/1953,73.55770835
10/1/1953,73.54406105
11/1/1953,73.53056803
12/1/1953,73.50838066
1/1/1954,73.49550108
2/1/1954,73.48222097
3/1/1954,73.46254173
4/1/1954,73.43944528
5/1/1954,73.39506087
6/1/1954,73.37504318
7/1/1954,73.35784759
8/1/1954,73.32656704
9/1/1954,73.30434473
10/1/1954,73.28671262
11/1/1954,73.2788848
12/1/1954,73.26493514
1/1/1955,73.23016262
2/1/1955,73.22898189
3/1/1955,73.21645417
4/1/1955,73.20268415
5/1/1955,73.18703967
6/1/1955,73.17166755
7/1/1955,73.16714651
8/1/1955,73.15397773
9/1/1955,73.13922288
10/1/1955,73.12589908
11/1/1955,73.12549536
12/1/1955,73.1129822
1/1/1956,73.10862593
2/1/1956,73.09606629
3/1/1956,73.08392298
4/1/1956,73.05960719
5/1/1956,73.06035043
6/1/1956,73.04815943
7/1/1956,73.03693868
8/1/1956,73.02791008
9/1/1956,73.01861572
10/1/1956,73.0093337
11/1/1956,72.99999991
12/1/1956,72.9915011
1/1/1957,72.98334358
2/1/1957,72.9750095
3/1/1957,72.96755727
4/1/1957,72.95170383
5/1/1957,72.93954803
6/1/1957,72.93079257
7/1/1957,72.92249237
8/1/1957,72.90054511
9/1/1957,72.89147828
10/1/1957,72.88368806
11/1/1957,72.87627655
12/1/1957,72.86905361
1/1/1958,72.84979611
2/1/1958,72.84118409
3/1/1958,72.8328235
4/1/1958,72.82320846
5/1/1958,72.80440656
6/1/1958,72.79476439
7/1/1958,72.78596068
8/1/1958,72.77722971
9/1/1958,72.76881883
10/1/1958,72.76124286
11/1/1958,72.75380238
12/1/1958,72.74762062
1/1/1959,72.7410948
2/1/1959,72.7345156
3/1/1959,72.71592842
4/1/1959,72.69679546
5/1/1959,72.69034667
6/1/1959,72.68409734
7/1/1959,72.67804443
8/1/1959,72.67173832
9/1/1959,72.65665535
10/1/1959,72.63842318
11/1/1959,72.63095681
12/1/1959,72.62359857
1/1/1960,72.61594055
2/1/1960,72.59952611
3/1/1960,72.5935239
4/1/1960,72.58770777
5/1/1960,72.58253208
6/1/1960,72.57726574
7/1/1960,72.57213596
8/1/1960,72.56741822
9/1/1960,72.56308154
10/1/1960,72.55904441
11/1/1960,72.55571382
12/1/1960,72.55316445
1/1/1961,72.55112607
2/1/1961,72.54929021
3/1/1961,72.55920243
4/1/1961,72.55775043
5/1/1961,72.5564636
6/1/1961,72.56619548
7/1/1961,72.56427577
8/1/1961,72.56158839
9/1/1961,72.55793565
10/1/1961,72.55376617
11/1/1961,72.54916976
12/1/1961,72.54529358
1/1/1962,72.54296181
2/1/1962,72.54150085
3/1/1962,72.54038444
4/1/1962,72.53925089
5/1/1962,72.53817217
6/1/1962,72.53714862
7/1/1962,72.53622494
8/1/1962,72.53532663
9/1/1962,72.53448594
10/1/1962,72.53370811
11/1/1962,72.52448356
12/1/1962,72.52385892
1/1/1963,72.52337028
2/1/1963,72.52300282
3/1/1963,72.52272632
4/1/1963,72.52250466
5/1/1963,72.52240263
6/1/1963,72.52237075
7/1/1963,72.52235825
8/1/1963,72.52235265
9/1/1963,72.52235104
10/1/1963,72.52235036
11/1/1963,72.52235036
12/1/1963,72.52235036
1/1/1964,72.52235036
2/1/1964,72.52235036
3/1/1964,72.52235036
4/1/1964,72.52235036
5/1/1964,72.52235036
6/1/1964,72.52235036
7/1/1964,72.52235036
8/1/1964,72.52235036
9/1/1964,72.52235036
10/1/1964,72.52235036
11/1/1964,72.52235036
12/1/1964,72.52235036
1/1/1965,72.52235036
2/1/1965,72.52235036
3/1/1965,72.52235036
4/1/1965,72.52235036
5/1/1965,72.52235036
6/1/1965,72.52235036
7/1/1965,72.52235036
8/1/1965,72.52235036
9/1/1965,72.52235036
10/1/1965,72.52235036
11/1/1965,72.52235036
12/1/1965,72.52235036
1/1/1966,72.52235036
2/1/1966,72.52235036
3/1/1966,72.52235036
4/1/1966,72.52235036
5/1/1966,72.52235036
6/1/1966,72.52235036
7/1/1966,72.52235036
8/1/1966,72.52235036
9/1/1966,72.52235036
10/1/1966,72.52235036
11/1/1966,72.52235036
12/1/1966,72.52235036
1/1/1967,72.52235036
2/1/1967,72.52235036
3/1/1967,72.52235036
4/1/1967,72.52235036
5/1/1967,72.52235036
6/1/1967,72.52229764
7/1/1967,72.52201305
8/1/1967,72.52096989
9/1/1967,72.51915126
10/1/1967,72.51675183
11/1/1967,72.50503594
12/1/1967,72.51020943
1/1/1968,72.50619461
2/1/1968,72.50158185
3/1/1968,72.4969842
4/1/1968,72.49223061
5/1/1968,72.47670635
6/1/1968,72.47255693
7/1/1968,72.46877132
8/1/1968,72.46500546
9/1/1968,72.46167918
10/1/1968,72.45856521
11/1/1968,72.45546785
12/1/1968,72.4530497
1/1/1969,72.44288935
2/1/1969,72.4417471
3/1/1969,72.44087088
4/1/1969,72.44007981
5/1/1969,72.43948375
6/1/1969,72.4390231
7/1/1969,72.4386359
8/1/1969,72.43825697
9/1/1969,72.43787308
10/1/1969,72.43745368
11/1/1969,72.43683691
12/1/1969,72.43608622
1/1/1970,72.43491939
2/1/1970,72.43356685
3/1/1970,72.43235867
4/1/1970,72.43130514
5/1/1970,72.43044029
6/1/1970,72.42963288
7/1/1970,72.42890029
8/1/1970,72.42816744
9/1/1970,72.4176858
10/1/1970,72.41694043
11/1/1970,72.41601662
12/1/1970,72.42622314
1/1/1971,72.41370574
2/1/1971,72.4117371
3/1/1971,72.4100955
4/1/1971,72.40902525
5/1/1971,72.40804412
6/1/1971,72.40711556
7/1/1971,72.4062957
8/1/1971,72.40550346
9/1/1971,72.40470842
10/1/1971,72.40386536
11/1/1971,72.4115647
12/1/1971,72.41058228
1/1/1972,72.40950319
2/1/1972,72.40847235
3/1/1972,72.40747964
4/1/1972,72.40648615
5/1/1972,72.41642331
6/1/1972,72.41550607
7/1/1972,72.41467257
8/1/1972,72.41388187
9/1/1972,72.41318787
10/1/1972,72.41263654
11/1/1972,72.41215875
12/1/1972,72.41174393
1/1/1973,72.41975062
2/1/1973,72.41936259
3/1/1973,72.41906529
4/1/1973,72.41885251
5/1/1973,72.4187422
6/1/1973,72.41868512
7/1/1973,72.41865037
8/1/1973,72.41863074
9/1/1973,72.41862036
10/1/1973,72.4186113
11/1/1973,72.4186034
12/1/1973,72.4185961
1/1/1974,72.41858878
2/1/1974,72.41858257
3/1/1974,72.41857907
4/1/1974,72.41857904
5/1/1974,72.41857904
6/1/1974,72.41857904
7/1/1974,72.41857904
8/1/1974,72.41857904
9/1/1974,72.41857904
10/1/1974,72.41857904
11/1/1974,72.41857904
12/1/1974,72.41857904
1/1/1975,72.41857499
2/1/1975,72.41854845
3/1/1975,72.41851594
4/1/1975,72.41847354
5/1/1975,72.41843379
6/1/1975,72.41839517
7/1/1975,72.41836195
8/1/1975,72.41833487
9/1/1975,72.4183032
10/1/1975,72.41826983
11/1/1975,72.41822114
12/1/1975,72.418167
1/1/1976,72.42772504
2/1/1976,72.42756413
3/1/1976,72.42734677
4/1/1976,72.42694175
5/1/1976,72.42621073
6/1/1976,72.42511577
7/1/1976,72.42342599
8/1/1976,72.4206745
9/1/1976,72.42582642
10/1/1976,72.42237552
11/1/1976,72.41866532
12/1/1976,72.41516789
1/1/1977,72.4114992
2/1/1977,72.40768916
3/1/1977,72.40410743
4/1/1977,72.39949158
5/1/1977,72.39460603
6/1/1977,72.40090744
7/1/1977,72.39546484
8/1/1977,72.38850742
9/1/1977,72.3796961
10/1/1977,72.37000326
11/1/1977,72.35908425
12/1/1977,72.3385946
1/1/1978,72.31858774
2/1/1978,72.30006558
3/1/1978,72.2876513
4/1/1978,72.28994518
5/1/1978,72.28054615
6/1/1978,72.27030257
7/1/1978,72.27659618
8/1/1978,72.2683374
9/1/1978,72.26025418
10/1/1978,72.25251842
11/1/1978,72.24503426
12/1/1978,72.23761975
1/1/1979,72.22953267
2/1/1979,72.22228941
3/1/1979,72.21615706
4/1/1979,72.21055267
5/1/1979,72.20597703
6/1/1979,72.20144893
7/1/1979,72.19705004
8/1/1979,72.19208155
9/1/1979,72.18653879
10/1/1979,72.18100812
11/1/1979,72.17529619
12/1/1979,72.16950601
1/1/1980,72.16344514
2/1/1980,72.15725696
3/1/1980,72.15047992
4/1/1980,72.14426879
5/1/1980,72.13845154
6/1/1980,72.12159864
7/1/1980,72.11555168
8/1/1980,72.09489526
9/1/1980,72.08784266
10/1/1980,72.08047537
11/1/1980,72.07252613
12/1/1980,72.06466154
1/1/1981,72.05672552
2/1/1981,72.04869585
3/1/1981,72.04180349
4/1/1981,72.03417307
5/1/1981,72.03695516
6/1/1981,72.02949818
7/1/1981,72.02208736
8/1/1981,72.01410093
9/1/1981,71.99976873
10/1/1981,71.98103813
11/1/1981,71.96236835
12/1/1981,71.93666927
1/1/1982,71.92955779
2/1/1982,71.90892381
3/1/1982,71.8929646
4/1/1982,71.90279619
5/1/1982,71.88834633
6/1/1982,71.87178573
7/1/1982,71.85518263
8/1/1982,71.83896686
9/1/1982,71.82190151
10/1/1982,71.79298436
11/1/1982,71.74008963
12/1/1982,71.72064927
1/1/1983,71.70013879
2/1/1983,71.6914623
3/1/1983,71.67556076
4/1/1983,71.65908567
5/1/1983,71.64758773
6/1/1983,71.63446619
7/1/1983,71.62300765
8/1/1983,71.6235625
9/1/1983,71.59837744
10/1/1983,71.59688729
11/1/1983,71.58135853
12/1/1983,71.57469381
1/1/1984,71.5759901
2/1/1984,71.55580907
3/1/1984,71.53889543
4/1/1984,71.52244388
5/1/1984,71.49776774
6/1/1984,71.48418545
7/1/1984,71.46808422
8/1/1984,71.44946061
9/1/1984,71.43080632
10/1/1984,71.40748883
11/1/1984,71.39516081
12/1/1984,71.31392486
1/1/1985,71.27768045
2/1/1985,71.23693571
3/1/1985,71.21300071
4/1/1985,71.19312911
5/1/1985,71.16649517
6/1/1985,71.15373126
7/1/1985,71.16629695
8/1/1985,71.15593023
9/1/1985,71.14673486
10/1/1985,71.13934109
11/1/1985,71.13260507
12/1/1985,71.12669338
1/1/1986,71.1208274
2/1/1986,71.11462345
3/1/1986,71.10855152
4/1/1986,71.08900271
5/1/1986,71.08094115
6/1/1986,71.07199178
7/1/1986,71.07456467
8/1/1986,71.073977
9/1/1986,71.06252473
10/1/1986,71.05156798
11/1/1986,71.04037783
12/1/1986,71.02991002
1/1/1987,71.01993388
2/1/1987,71.00989295
3/1/1987,70.98991322
4/1/1987,70.99083531
5/1/1987,70.98119299
6/1/1987,70.97125917
7/1/1987,70.96169244
8/1/1987,70.96422455
9/1/1987,70.95414127
10/1/1987,70.95636152
11/1/1987,70.94605612
12/1/1987,70.94639347
1/1/1988,70.93662695
2/1/1988,70.92706928
3/1/1988,70.91895128
4/1/1988,70.91213121
5/1/1988,70.90676991
6/1/1988,70.90121393
7/1/1988,70.89511192
8/1/1988,70.8880841
9/1/1988,70.88019295
10/1/1988,70.87190664
11/1/1988,70.86268783
12/1/1988,70.85899702
1/1/1989,70.82866892
2/1/1989,70.81526711
3/1/1989,70.80689888
