Aquifer,Top,Bot,Thick_ft,Description
Upper,0,10,10,clay
Upper,10,12,2,sand
Upper,12,14,2,clay
Upper,14,88,74,clay
Upper,88,93,5,sand
Upper,93,99,6,clay
Upper,99,170,71,clay
Upper,170,174,4,sand
Upper,174,178,4,clay
Upper,178,179,1,sand
Upper,179,180,1,clay
Upper,190,195,5,sand
Upper,195,200,5,clay
Upper,200,235,35,sand
Lower,235,245,10,sand
Lower,245,265,20,clay
Lower,265,277,12,sand
Lower,277,405,128,clay
Lower,405,420,15,clay
Lower,450,480,30,sand
Lower,480,510,30,clay
Lower,510,511,1,sand
Lower,511,513,2,clay
Lower,513,606,93,sand
Lower,606,700,94,clay
Lower,700,704,4,sand
Lower,704,708,4,clay
Lower,708,714,6,sand
Lower,714,720,6,clay
