Date,Subsidence_ft,Source
1/25/1935,0,Leveling
5/15/1942,0.22,Leveling
1/1/1949,0.3,Leveling
4/1/1967,0.5,Leveling
9/1/2003,0.825119168,InSAR
10/1/2003,0.825775336,InSAR
11/1/2003,0.828071924,InSAR
12/1/2003,0.833321268,InSAR
1/1/2005,0.81,Leveling
8/1/2007,0.907796336,InSAR
1/1/2008,0.914358016,InSAR
2/1/2008,0.908780588,InSAR
3/1/2008,0.911077176,InSAR
4/1/2008,0.913373764,InSAR
5/1/2008,0.912389512,InSAR
6/1/2008,0.92,Leveling
6/1/2008,0.915998436,InSAR
7/1/2008,0.932074552,InSAR
8/1/2008,0.929121796,InSAR
3/1/2009,0.945525996,InSAR
4/1/2009,0.942901324,InSAR
5/1/2009,0.939620484,InSAR
6/1/2009,0.950119172,InSAR
7/1/2009,0.959305524,InSAR
8/1/2009,0.966195288,InSAR
3/1/2010,0.979646732,InSAR
4/1/2010,0.98686458,InSAR
5/1/2010,0.977678228,InSAR
6/1/2010,0.978334396,InSAR
7/1/2010,0.984896076,InSAR
2/23/2015,1.067025343,InSAR
3/1/2015,1.069663139,InSAR
3/7/2015,1.07252075,InSAR
3/13/2015,1.075158546,InSAR
3/20/2015,1.079115239,InSAR
3/26/2015,1.084390829,InSAR
4/1/2015,1.088127706,InSAR
4/7/2015,1.088127706,InSAR
4/13/2015,1.090106053,InSAR
4/19/2015,1.095821276,InSAR
4/25/2015,1.10087705,InSAR
5/1/2015,1.104394111,InSAR
5/7/2015,1.107691355,InSAR
5/13/2015,1.111208416,InSAR
5/20/2015,1.115165109,InSAR
5/26/2015,1.118682169,InSAR
6/1/2015,1.121979413,InSAR
6/7/2015,1.125496474,InSAR
6/13/2015,1.127914453,InSAR
6/19/2015,1.129672983,InSAR
6/25/2015,1.129892799,InSAR
7/1/2015,1.129892799,InSAR
7/7/2015,1.129892799,InSAR
7/13/2015,1.130772065,InSAR
7/20/2015,1.133190044,InSAR
7/26/2015,1.135388206,InSAR
8/1/2015,1.138026002,InSAR
8/7/2015,1.140224165,InSAR
8/13/2015,1.143961041,InSAR
8/20/2015,1.146598837,InSAR
8/26/2015,1.149456448,InSAR
9/1/2015,1.152973509,InSAR
9/7/2015,1.154951855,InSAR
9/13/2015,1.156930202,InSAR
9/19/2015,1.157589651,InSAR
9/25/2015,1.159128365,InSAR
10/1/2015,1.159787813,InSAR
10/7/2015,1.161326527,InSAR
10/13/2015,1.162865241,InSAR
10/20/2015,1.163304874,InSAR
10/26/2015,1.165503037,InSAR
11/1/2015,1.167261567,InSAR
11/7/2015,1.168580465,InSAR
11/13/2015,1.16945973,InSAR
