datetime,Mean CH - layer 3 (Lower Aquifer)
3/1/1943,204.4551362
4/1/1943,203.9254277
5/1/1943,203.2226044
6/1/1943,202.2696098
7/1/1943,201.4362084
8/1/1943,200.4119347
9/1/1943,199.46252
10/1/1943,198.7910382
11/1/1943,198.0485776
12/1/1943,197.2897662
1/1/1944,196.4609858
2/1/1944,195.5745691
3/1/1944,194.971435
4/1/1944,194.1912172
5/1/1944,193.3327108
6/1/1944,192.2669276
7/1/1944,191.2247721
8/1/1944,190.2363568
9/1/1944,189.2154859
10/1/1944,188.2880221
11/1/1944,187.3438537
12/1/1944,186.459739
1/1/1945,185.6717226
2/1/1945,184.7363272
3/1/1945,183.7780151
4/1/1945,182.7061
5/1/1945,181.6508845
6/1/1945,180.7180494
7/1/1945,179.7740213
8/1/1945,178.9603115
9/1/1945,178.223826
10/1/1945,177.4875959
11/1/1945,176.691691
12/1/1945,175.9027578
1/1/1946,175.2309576
2/1/1946,174.3727434
3/1/1946,173.7253553
4/1/1946,173.0997543
5/1/1946,172.6093447
6/1/1946,172.1154945
7/1/1946,171.6483532
8/1/1946,171.1229052
9/1/1946,170.6943861
10/1/1946,170.3470049
11/1/1946,170.0775795
12/1/1946,169.7836899
1/1/1947,169.4641162
2/1/1947,169.167415
3/1/1947,168.7257464
4/1/1947,168.2942197
5/1/1947,167.8146632
6/1/1947,167.2375703
7/1/1947,166.7087498
8/1/1947,166.255619
9/1/1947,165.8151203
10/1/1947,165.4676559
11/1/1947,164.9948553
12/1/1947,164.4290936
1/1/1948,163.9375306
2/1/1948,163.6228685
3/1/1948,163.2936637
4/1/1948,162.9142152
5/1/1948,162.6942446
6/1/1948,162.5100628
7/1/1948,162.2302945
8/1/1948,162.0706982
9/1/1948,161.8430292
10/1/1948,161.5718293
11/1/1948,161.3259537
12/1/1948,161.2094778
1/1/1949,160.9716141
2/1/1949,160.6579593
3/1/1949,160.2553442
4/1/1949,159.856873
5/1/1949,159.4171559
6/1/1949,159.0168142
7/1/1949,158.690674
8/1/1949,158.4445059
9/1/1949,158.1974463
10/1/1949,157.9042639
11/1/1949,157.7097846
12/1/1949,157.4514576
1/1/1950,157.1421858
2/1/1950,156.7841176
3/1/1950,156.4055341
4/1/1950,155.8567348
5/1/1950,155.4433355
6/1/1950,154.9048178
7/1/1950,154.5591891
8/1/1950,154.0520184
9/1/1950,153.6234666
10/1/1950,153.0932554
11/1/1950,152.4343874
12/1/1950,151.8057255
1/1/1951,151.0656525
2/1/1951,150.2531433
3/1/1951,149.7093722
4/1/1951,149.0914586
5/1/1951,148.3757997
6/1/1951,147.5913015
7/1/1951,147.0244349
8/1/1951,146.4821097
9/1/1951,146.040637
10/1/1951,145.4994263
11/1/1951,144.9708313
12/1/1951,144.5504701
1/1/1952,143.9969695
2/1/1952,143.5373659
3/1/1952,143.1075654
4/1/1952,142.651869
5/1/1952,142.1239849
6/1/1952,141.5016207
7/1/1952,140.8493394
8/1/1952,140.1507204
9/1/1952,139.3648779
10/1/1952,138.5719984
11/1/1952,137.6114808
12/1/1952,136.7808776
1/1/1953,135.8892398
2/1/1953,134.9452828
3/1/1953,133.958875
4/1/1953,133.0175919
5/1/1953,132.0887133
6/1/1953,131.2420832
7/1/1953,130.4395669
8/1/1953,129.8148844
9/1/1953,129.0321537
10/1/1953,128.3183877
11/1/1953,127.5667437
12/1/1953,126.9189882
1/1/1954,126.3109201
2/1/1954,125.7393662
3/1/1954,125.2618171
4/1/1954,124.7904714
5/1/1954,124.2214481
6/1/1954,123.8113869
7/1/1954,123.3272
