Aquifer,Top,Bot,Thick_ft,Description
Upper,0,1,1,sand
Upper,1,2,1,clay
Upper,2,40,38,clay
Upper,40,50,10,clay
Upper,50,55,5,sand
Upper,55,61,6,clay
Upper,61,73,12,clay
Upper,73,74,1,sand
Upper,74,75,1,clay
Upper,75,78,3,clay
Upper,78,95,17,clay
Upper,95,100,5,sand
Upper,100,105,5,clay
Upper,105,116,11,clay
Upper,116,152,36,sand
Upper,152,157,5,sand
Upper,157,162,5,clay
Upper,162,173,11,clay
Upper,173,180,7,sand
Upper,194,199,5,sand
Upper,199,205,6,clay
Upper,205,217,12,clay
Upper,217,225,8,sand
Upper,225,233,8,clay
Upper,233,236,3,sand
Upper,236,240,4,clay
Upper,240,248,8,clay
Upper,254,260,6,sand
Upper,260,267,7,clay
Upper,267,280,13,clay
Upper,280,294,14,clay
Upper,294,300,6,sand
Upper,300,307,7,clay
Upper,307,320,13,clay
Upper,320,350,30,clay
Upper,360,365,5,sand
Upper,365,370,5,clay
Upper,370,380,10,sand
Upper,380,382,2,sand
Upper,382,385,3,clay
Upper,385,387,2,sand
Upper,387,390,3,clay
Upper,390,402,12,clay
Upper,404,410,6,clay
Upper,410,640,230,clay
Upper,647,658,11,clay
Upper,658,668,10,sand
Upper,668,694,26,sand
Upper,694,700,6,sand
Upper,700,706,6,clay
Upper,706,710,4,sand
Upper,710,714,4,clay
Upper,714,718,4,sand
Upper,718,722,4,clay
Upper,722,730,8,clay
Upper,730,734,4,sand
Upper,734,738,4,clay
Upper,738,752,14,sand
Upper,760,761,1,sand
Upper,761,763,2,clay
Upper,763,764,1,sand
Corcoran,764,766,2,clay
Corcoran,766,773,7,clay
Corcoran,773,778,5,clay
Corcoran,778,782,4,sand
Corcoran,782,786,4,clay
Lower,786,790,4,sand
Lower,790,795,5,clay
Lower,820,855,35,sand
Lower,855,890,35,clay
Lower,890,915,25,sand
Lower,915,940,25,clay
Lower,940,965,25,sand
Lower,965,990,25,clay
Lower,990,1002,12,sand
Lower,1002,1015,13,clay
Lower,1015,1027,12,sand
Lower,1027,1040,13,clay
Lower,1040,1055,15,sand
Lower,1055,1070,15,clay
Lower,1070,1077,7,sand
Lower,1077,1085,8,clay
Lower,1085,1092,7,sand
Lower,1092,1100,8,clay
Lower,1100,1135,35,sand
Lower,1135,1170,35,clay
Lower,1170,1190,20,clay
Lower,1190,1197,7,sand
Lower,1197,1205,8,clay
Lower,1205,1211,6,sand
Lower,1211,1218,7,clay
Lower,1218,1249,31,sand
Lower,1249,1280,31,clay
Lower,1280,1290,10,sand
Lower,1290,1295,5,sand
Lower,1295,1300,5,clay
Lower,1300,1305,5,sand
Lower,1305,1311,6,clay
Lower,1311,1316,5,sand
Lower,1316,1322,6,clay
Lower,1322,1328,6,sand
Lower,1328,1334,6,clay
Lower,1334,1342,8,sand
Lower,1342,1351,9,clay
Lower,1351,1359,8,sand
Lower,1359,1368,9,clay
Lower,1368,1379,11,sand
Lower,1379,1390,11,clay
Lower,1390,1393,3,sand
Lower,1393,1396,3,clay
Lower,1396,1399,3,sand
Lower,1399,1402,3,clay
Lower,1402,1406,4,sand
Lower,1406,1410,4,clay
Lower,1410,1419,9,sand
Lower,1419,1428,9,clay
Lower,1428,1446,18,clay
Lower,1446,1451,5,sand
Lower,1451,1457,6,clay
Lower,1457,1462,5,sand
Lower,1462,1468,6,clay
Lower,1468,1477,9,sand
Lower,1477,1486,9,clay
Lower,1486,1490,4,sand
Lower,1490,1494,4,clay
Lower,1494,1500,6,sand
Lower,1500,1507,7,clay
Lower,1507,1520,13,clay
Lower,1520,1547,27,sand
Lower,1547,1574,27,clay
Lower,1574,1580,6,sand
Lower,1580,1586,6,clay
Lower,1586,1593,7,sand
Lower,1593,1601,8,clay
Lower,1601,1608,7,sand
Lower,1608,1616,8,clay
Lower,1616,1628,12,sand
Lower,1628,1640,12,clay
Lower,1640,1646,6,sand
Lower,1646,1653,7,clay
Lower,1653,1659,6,sand
Lower,1659,1666,7,clay
