Date,BLS,Alt,Aquifer
5/1/1956,,70.75,Upper
12/1/1965,,-184.27,Upper
12/16/1965,,-183.92,Upper
12/20/1968,,-210.92,Upper
12/12/1969,,-144.92,Upper
12/16/1970,,-123.92,Upper
1/4/1972,,-115.92,Upper
12/7/1978,,-5.92,Upper
12/22/1980,,41.08,Upper
12/10/1981,,53.08,Upper
12/6/1982,,64.08,Upper
11/29/1984,,89.08,Upper
12/11/1985,,94.08,Upper
12/11/1986,,98.08,Upper
12/29/1987,,103.08,Upper
12/19/1988,,80.08,Upper
11/17/1995,,44,Upper
11/25/1996,,77,Upper
11/24/1997,,87,Upper
12/2/1998,,102,Upper
12/6/1999,,89,Upper
12/11/2001,,-15,Upper
12/1/2006,,108.1,Upper
12/11/2007,,52.1,Upper
12/3/2008,,-11.9,Upper
12/4/2009,,-10.9,Upper
12/2/2010,,22.1,Upper
11/17/2011,,66.1,Upper
12/26/2013,,-56.9,Upper
12/26/2014,,-64.9,Upper
12/1/2015,,-12.9,Upper
12/8/2016,,-14.9,Upper
11/16/2017,,155.6,Upper
6/7/2018,,-1.69,Upper
6/5/2019,,42,Upper
11/12/2019,,31.02,Upper
3/5/2021,,12.54,Upper
10/25/2022,,-44.7,Upper
3/30/2023,,-21,Upper
10/30/2023,,33.3,Upper
4/24/2024,,51.5,Upper
4/1/1951,,93.83,Lower
5/1/1958,,-26.26,Lower
5/9/1958,,-23.88,Lower
10/13/1960,,-116.98,Lower
12/14/1965,,-138.98,Lower
12/28/1966,,-201.98,Lower
12/10/1969,,-188.98,Lower
12/15/1970,,-221.98,Lower
2/22/1973,,-180.98,Lower
2/6/1974,,-164.98,Lower
12/19/1974,,-98,Lower
12/18/1975,,-9,Lower
12/16/1976,,-67,Lower
12/17/1979,,64,Lower
12/23/1980,,-61,Lower
12/7/1981,,-66,Lower
11/28/1984,,25,Lower
12/3/1986,,41,Lower
12/9/1987,,60,Lower
12/9/1988,,64,Lower
12/12/1989,,51,Lower
11/20/1990,,43,Lower
11/25/1991,,6,Lower
11/30/1992,,10,Lower
11/15/1993,,-18,Lower
11/30/1994,,-5,Lower
11/27/1995,,32,Lower
12/6/1996,,37,Lower
12/11/1997,,51,Lower
12/4/1998,,60,Lower
11/23/1999,,69,Lower
12/13/2001,,-62,Lower
12/8/2003,,11.1,Lower
12/12/2005,,71.1,Lower
12/11/2007,,45.1,Lower
12/3/2008,,16.1,Lower
12/3/2009,,6.1,Lower
12/2/2010,,83.1,Lower
11/17/2011,,72.1,Lower
1/9/2013,,97.1,Lower
12/9/2013,,-16.9,Lower
11/19/2015,,-52.9,Lower
12/15/2017,,61.2,Lower
6/7/2018,,-64.81,Lower
6/5/2019,,79.3,Lower
11/12/2019,,60.6,Lower
3/9/2020,,66.2,Lower
3/5/2021,,-38.19,Lower
10/28/2021,,-104.9,Lower
12/16/2022,,-80.1,Lower
3/30/2023,,-37.5,Lower
10/30/2023,,14.2,Lower
3/11/2024,,37.1,Lower
