Date,Subsidence_ft,Source
2/10/1943,0,Leveling
4/1/1947,0.2,Leveling
1/1/1954,2.05,Leveling
11/14/1955,2.388,Leveling
1/7/1958,2.782,Leveling
12/22/1959,3.222,Leveling
3/20/1963,3.956,Leveling
11/4/1964,4.304,Leveling
3/1/1966,4.603,Leveling
3/15/1967,4.789,Leveling
11/1/1968,5.06130972,Leveling
9/1/1969,5.15973492,Leveling
11/1/1970,5.22863256,Leveling
2/10/1972,5.267018388,Leveling
1/1/1975,5.300482956,Leveling
11/1/1977,5.52390816,Leveling
12/1/1981,5.195167992,Leveling
6/15/1983,5.103796598,Leveling
1/1/1986,5.074531505,Leveling
4/19/1989,5.104551191,Leveling
1/1/1993,6.225674814,Leveling
1/1/2000,6.083214856,Leveling
1/1/2006,6.270074125,Leveling
2/1/2006,6.236609557,InSAR
3/1/2006,6.213643677,InSAR
4/1/2006,6.199207981,InSAR
5/1/2006,6.222173861,InSAR
12/1/2006,6.222173861,InSAR
9/1/2007,6.365874653,InSAR
10/1/2007,6.368499325,InSAR
11/1/2007,6.371123997,InSAR
12/1/2007,6.375389089,InSAR
1/1/2008,6.395730297,InSAR
2/1/2008,6.423289353,InSAR
3/1/2008,6.438381217,InSAR
4/1/2008,6.442974393,InSAR
5/1/2008,6.458066257,InSAR
6/1/2008,6.481032137,InSAR
7/1/2008,6.507935025,InSAR
8/1/2008,6.527620065,InSAR
9/1/2008,6.542711929,InSAR
1/1/2009,6.407255491,Leveling
6/1/2009,6.639168625,InSAR
7/1/2009,6.655900909,InSAR
8/1/2009,6.661806421,InSAR
9/1/2009,6.663774925,InSAR
10/1/2009,6.661806421,InSAR
11/1/2009,6.658853665,InSAR
12/1/2009,6.666071513,InSAR
1/1/2010,6.675914033,InSAR
2/1/2010,6.677882537,InSAR
3/1/2010,6.676570201,InSAR
4/1/2010,6.658525581,InSAR
5/1/2010,6.651635817,InSAR
6/1/2010,6.645074137,InSAR
7/1/2010,6.637200121,InSAR
8/1/2010,6.628341853,InSAR
1/1/2013,6.530523725,Leveling
2/12/2015,7.085259916,InSAR
2/18/2015,7.091165428,InSAR
2/23/2015,7.096086688,InSAR
3/1/2015,7.1019922,Leveling
3/7/2015,7.107897712,InSAR
3/13/2015,7.10527304,InSAR
3/20/2015,7.100679864,InSAR
3/26/2015,7.096414772,InSAR
4/1/2015,7.092477764,InSAR
4/7/2015,7.093133932,InSAR
4/13/2015,7.0937901,InSAR
4/19/2015,7.094446268,InSAR
4/25/2015,7.09543052,InSAR
5/1/2015,7.107241544,InSAR
5/7/2015,7.119052568,InSAR
5/13/2015,7.130863592,InSAR
5/20/2015,7.142674616,InSAR
5/26/2015,7.143986952,InSAR
6/1/2015,7.145299288,InSAR
6/7/2015,7.146611624,InSAR
6/13/2015,7.148252044,InSAR
6/19/2015,7.153829472,InSAR
6/25/2015,7.157438396,InSAR
7/1/2015,7.164000076,InSAR
7/7/2015,7.170561756,InSAR
7/13/2015,7.17745152,InSAR
7/20/2015,7.184669368,InSAR
7/26/2015,7.186965956,InSAR
8/1/2015,7.186309788,InSAR
8/7/2015,7.17745152,InSAR
8/13/2015,7.172858344,InSAR
8/20/2015,7.167609,InSAR
8/26/2015,7.168593252,InSAR
9/1/2015,7.1758111,InSAR
9/7/2015,7.181388528,InSAR
9/13/2015,7.185981704,InSAR
9/19/2015,7.189590628,InSAR
9/25/2015,7.194511888,InSAR
10/1/2015,7.194839972,InSAR
10/7/2015,7.194839972,InSAR
10/13/2015,7.195168056,InSAR
10/20/2015,7.194183804,InSAR
10/26/2015,7.196480392,InSAR
11/1/2015,7.197792728,InSAR
11/7/2015,7.195168056,InSAR
11/13/2015,7.191231048,InSAR
11/19/2015,7.194839972,InSAR
11/25/2015,7.201729736,InSAR
12/1/2015,7.200089316,InSAR
12/7/2015,7.19549614,InSAR
12/13/2015,7.189590628,InSAR
12/20/2015,7.183685116,InSAR
12/26/2015,7.183028948,InSAR
1/1/2016,7.34477436,Leveling
1/7/2016,7.194183804,InSAR
1/13/2016,7.20205782,InSAR
1/20/2016,7.196808476,InSAR
1/26/2016,7.194839972,InSAR
2/1/2016,7.196152308,InSAR
2/7/2016,7.195168056,InSAR
2/13/2016,7.192871468,InSAR
2/18/2016,7.191559132,InSAR
2/24/2016,7.188606376,InSAR
3/1/2016,7.181060444,InSAR
3/7/2016,7.18565362,InSAR
3/13/2016,7.196152308,InSAR
3/20/2016,7.199105064,InSAR
3/26/2016,7.202385904,InSAR
4/1/2016,7.204354408,InSAR
4/7/2016,7.205666744,InSAR
4/13/2016,7.205666744,InSAR
4/19/2016,7.20697908,InSAR
4/25/2016,7.211572256,InSAR
5/1/2016,7.216165432,InSAR
5/7/2016,7.224367532,InSAR
5/13/2016,7.232241548,InSAR
5/20/2016,7.24306832,InSAR
5/26/2016,7.252582756,InSAR
6/1/2016,7.258160184,InSAR
6/7/2016,7.265049948,InSAR
6/13/2016,7.268658872,InSAR
6/19/2016,7.271283544,InSAR
6/25/2016,7.273580132,InSAR
7/1/2016,7.278501392,InSAR
7/7/2016,7.290312416,InSAR
7/13/2016,7.300811104,InSAR
7/20/2016,7.311637876,InSAR
7/26/2016,7.319839976,InSAR
8/1/2016,7.32508932,InSAR
8/7/2016,7.331322916,InSAR
8/13/2016,7.336244176,InSAR
8/20/2016,7.346086696,InSAR
8/26/2016,7.347727116,InSAR
9/1/2016,7.35133604,InSAR
9/7/2016,7.350679872,InSAR
9/13/2016,7.350023704,InSAR
9/19/2016,7.3480552,InSAR
9/25/2016,7.348383284,InSAR
10/1/2016,7.347070948,InSAR
10/7/2016,7.346086696,InSAR
10/13/2016,7.34969562,InSAR
10/20/2016,7.351007956,InSAR
10/26/2016,7.354288796,InSAR
11/1/2016,7.356913468,InSAR
11/7/2016,7.35953814,InSAR
11/13/2016,7.358881972,InSAR
11/19/2016,7.356913468,InSAR
11/25/2016,7.35461688,InSAR
12/1/2016,7.35297646,InSAR
12/7/2016,7.34969562,InSAR
12/13/2016,7.345758612,InSAR
12/20/2016,7.340509268,InSAR
12/26/2016,7.334603756,InSAR
1/1/2017,7.3480552,Leveling
1/7/2017,7.32508932,InSAR
1/13/2017,7.312294044,InSAR
1/20/2017,7.31360638,InSAR
1/26/2017,7.294905592,InSAR
2/1/2017,7.304091944,InSAR
2/7/2017,7.301467272,InSAR
2/12/2017,7.302779608,InSAR
2/18/2017,7.29228092,InSAR
2/23/2017,7.282766484,InSAR
3/1/2017,7.26931504,InSAR
3/7/2017,7.24963,InSAR
3/13/2017,7.245364908,InSAR
3/20/2017,7.248317664,InSAR
3/26/2017,7.249301916,InSAR
4/1/2017,7.24798958,InSAR
4/7/2017,7.242740236,InSAR
4/13/2017,7.23650664,InSAR
4/19/2017,7.2332258,InSAR
4/25/2017,7.228960708,InSAR
5/1/2017,7.23486622,InSAR
5/7/2017,7.237490892,InSAR
5/13/2017,7.229288792,InSAR
5/20/2017,7.22338328,InSAR
5/26/2017,7.22010244,InSAR
6/1/2017,7.21354076,InSAR
6/7/2017,7.209931836,InSAR
6/13/2017,7.207963332,InSAR
6/19/2017,7.205994828,InSAR
6/25/2017,7.205010576,InSAR
7/1/2017,7.20369824,InSAR
7/7/2017,7.199761232,InSAR
7/13/2017,7.206322912,InSAR
7/20/2017,7.211244172,InSAR
7/26/2017,7.200745484,InSAR
8/1/2017,7.19385572,InSAR
8/7/2017,7.199761232,InSAR
8/13/2017,7.20205782,InSAR
8/20/2017,7.19877698,InSAR
8/26/2017,7.19385572,InSAR
9/1/2017,7.184341284,InSAR
9/7/2017,7.174498764,InSAR
9/13/2017,7.168921336,InSAR
9/19/2017,7.164984328,InSAR
9/25/2017,7.162359656,InSAR
10/1/2017,7.158750732,InSAR
10/7/2017,7.158094564,InSAR
10/13/2017,7.153829472,InSAR
10/20/2017,7.148908212,InSAR
10/26/2017,7.147267792,InSAR
11/1/2017,7.143986952,InSAR
11/7/2017,7.127910836,InSAR
11/13/2017,7.114131308,InSAR
11/19/2017,7.115443644,InSAR
11/25/2017,7.126270416,InSAR
12/1/2017,7.132504012,InSAR
12/7/2017,7.12987934,InSAR
12/13/2017,7.120692988,InSAR
12/20/2017,7.108225796,InSAR
12/26/2017,7.102976452,InSAR
1/1/2018,7.04621792,Leveling
1/7/2018,7.096086688,InSAR
1/13/2018,7.09543052,InSAR
1/20/2018,7.089525008,InSAR
1/26/2018,7.079682488,InSAR
2/1/2018,7.063606372,InSAR
2/7/2018,7.044905584,InSAR
2/12/2018,7.038671988,InSAR
2/18/2018,7.033422644,InSAR
2/23/2018,7.028501384,InSAR
3/1/2018,7.02161162,InSAR
3/7/2018,7.012425268,InSAR
3/13/2018,7.001270412,InSAR
3/20/2018,7.007832092,InSAR
3/26/2018,7.025548628,InSAR
4/1/2018,7.035391148,InSAR
4/7/2018,7.031782224,InSAR
4/13/2018,7.030141804,InSAR
4/19/2018,7.032438392,InSAR
4/25/2018,7.019315032,InSAR
5/1/2018,7.010456764,InSAR
5/7/2018,7.020627368,InSAR
5/13/2018,7.031126056,InSAR
5/20/2018,7.040312408,InSAR
5/26/2018,7.041624744,InSAR
6/1/2018,7.028829468,InSAR
6/7/2018,7.020299284,InSAR
6/13/2018,7.030469888,InSAR
6/19/2018,7.047530256,InSAR
6/25/2018,7.06590296,InSAR
7/1/2018,7.083619496,InSAR
7/7/2018,7.080338656,InSAR
7/13/2018,7.074433144,InSAR
7/20/2018,7.091821596,InSAR
7/26/2018,7.097727108,InSAR
8/1/2018,7.097727108,InSAR
8/7/2018,7.111178552,InSAR
8/13/2018,7.11347514,InSAR
8/20/2018,7.108225796,InSAR
8/26/2018,7.108881964,InSAR
9/1/2018,7.103960704,InSAR
9/7/2018,7.114131308,InSAR
9/13/2018,7.12331766,InSAR
9/19/2018,7.122989576,InSAR
9/25/2018,7.13644102,InSAR
10/1/2018,7.122661492,InSAR
10/7/2018,7.131191676,InSAR
10/13/2018,7.127582752,InSAR
10/20/2018,7.124629996,InSAR
10/26/2018,7.135784852,InSAR
11/1/2018,7.13808144,InSAR
11/7/2018,7.132504012,InSAR
11/13/2018,7.129551256,InSAR
11/19/2018,7.127254668,InSAR
11/25/2018,7.128895088,InSAR
12/1/2018,7.13316018,InSAR
12/7/2018,7.126926584,InSAR
12/13/2018,7.125942332,InSAR
12/20/2018,7.137097188,InSAR
12/26/2018,7.140706112,InSAR
1/1/2019,7.08886884,Leveling
1/7/2019,7.125286164,InSAR
1/13/2019,7.13808144,InSAR
1/20/2019,7.151860968,InSAR
1/26/2019,7.146939708,InSAR
2/1/2019,7.143658868,InSAR
2/7/2019,7.121349156,InSAR
2/12/2019,7.09707094,InSAR
2/18/2019,7.096414772,InSAR
2/23/2019,7.112490888,InSAR
3/1/2019,7.112162804,InSAR
3/7/2019,7.103304536,InSAR
3/13/2019,7.115771728,InSAR
3/20/2019,7.122661492,InSAR
3/26/2019,7.12003682,InSAR
4/1/2019,7.115771728,InSAR
4/7/2019,7.109866216,InSAR
4/13/2019,7.08722842,InSAR
4/19/2019,7.086900336,InSAR
4/25/2019,7.101007948,InSAR
5/1/2019,7.089853092,InSAR
5/7/2019,7.07246464,InSAR
5/13/2019,7.061637868,InSAR
5/20/2019,7.05934128,InSAR
5/26/2019,7.060325532,InSAR
6/1/2019,7.050811096,InSAR
6/7/2019,7.050483012,InSAR
6/13/2019,7.05934128,InSAR
6/19/2019,7.03801582,InSAR
6/25/2019,7.031782224,InSAR
7/1/2019,7.06590296,InSAR
7/7/2019,7.089196924,InSAR
7/13/2019,7.08886884,InSAR
7/20/2019,7.086572252,InSAR
7/26/2019,7.08886884,InSAR
8/1/2019,7.0773859,InSAR
8/7/2019,7.086572252,InSAR
8/13/2019,7.079682488,InSAR
8/20/2019,7.030469888,InSAR
8/26/2019,7.07082422,InSAR
9/1/2019,7.094774352,InSAR
9/7/2019,7.099695612,InSAR
9/13/2019,7.07082422,InSAR
9/19/2019,7.073776976,InSAR
8/1/2020,7.14792396,Leveling
10/7/2020,7.226992204,InSAR
10/13/2020,7.225679868,InSAR
10/20/2020,7.223055196,InSAR
10/26/2020,7.218790104,InSAR
11/1/2020,7.208291416,InSAR
11/7/2020,7.196480392,InSAR
11/13/2020,7.185981704,InSAR
11/19/2020,7.187950208,InSAR
11/25/2020,7.174826848,InSAR
12/1/2020,7.172858344,InSAR
12/7/2020,7.173186428,InSAR
12/13/2020,7.168593252,InSAR
12/20/2020,7.159078816,InSAR
12/26/2020,7.147267792,InSAR
1/1/2021,7.14136228,Leveling
1/7/2021,7.131191676,InSAR
1/13/2021,7.120364904,InSAR
1/20/2021,7.118068316,InSAR
1/26/2021,7.114131308,InSAR
2/1/2021,7.106257292,InSAR
2/7/2021,7.105601124,InSAR
2/12/2021,7.106585376,InSAR
2/18/2021,7.106257292,InSAR
2/23/2021,7.100679864,InSAR
3/1/2021,7.100023696,InSAR
3/7/2021,7.101336032,InSAR
3/13/2021,7.102976452,InSAR
3/20/2021,7.112490888,InSAR
3/26/2021,7.114787476,InSAR
4/1/2021,7.12167724,InSAR
4/7/2021,7.125614248,InSAR
4/13/2021,7.133816348,InSAR
4/19/2021,7.143658868,InSAR
4/25/2021,7.154813724,InSAR
5/1/2021,7.169905588,InSAR
5/7/2021,7.18893446,InSAR
5/13/2021,7.209931836,InSAR
5/20/2021,7.2332258,InSAR
5/26/2021,7.246021076,InSAR
6/1/2021,7.262425276,InSAR
6/7/2021,7.279813728,InSAR
6/13/2021,7.294249424,InSAR
6/19/2021,7.311309792,InSAR
6/25/2021,7.333619504,InSAR
7/1/2021,7.35297646,InSAR
7/7/2021,7.370692996,InSAR
7/13/2021,7.391362288,InSAR
7/20/2021,7.415968588,InSAR
7/26/2021,7.438606384,InSAR
8/1/2021,7.46124418,InSAR
8/7/2021,7.473383288,InSAR
8/13/2021,7.484538144,InSAR
8/20/2021,7.497989588,InSAR
8/26/2021,7.504551268,InSAR
9/1/2021,7.514393788,InSAR
9/7/2021,7.520627384,InSAR
9/13/2021,7.5285014,InSAR
9/19/2021,7.53506308,InSAR
9/25/2021,7.540968592,InSAR
10/1/2021,7.546874104,InSAR
10/7/2021,7.549498776,InSAR
10/13/2021,7.551795364,InSAR
10/20/2021,7.54982686,InSAR
10/26/2021,7.547530272,InSAR
11/1/2021,7.559341296,InSAR
11/7/2021,7.555732372,InSAR
11/13/2021,7.559013212,InSAR
11/19/2021,7.553435784,InSAR
11/25/2021,7.54818644,InSAR
12/1/2021,7.537031584,InSAR
12/7/2021,7.531126072,InSAR
12/13/2021,7.518986964,InSAR
12/20/2021,7.503567016,InSAR
12/26/2021,7.500942344,InSAR
1/1/2022,7.31196596,Leveling
1/7/2022,7.499301924,InSAR
1/13/2022,7.497989588,InSAR
1/20/2022,7.495693,InSAR
1/26/2022,7.492740244,InSAR
2/1/2022,7.487162816,InSAR
2/7/2022,7.482241556,InSAR
2/12/2022,7.479944968,InSAR
2/18/2022,7.483225808,InSAR
2/23/2022,7.491099824,InSAR
3/1/2022,7.492740244,InSAR
3/7/2022,7.486178564,InSAR
3/13/2022,7.4874909,InSAR
3/20/2022,7.486178564,InSAR
3/26/2022,7.490443656,InSAR
4/1/2022,7.494708748,InSAR
4/7/2022,7.502582764,InSAR
4/13/2022,7.507832108,InSAR
4/19/2022,7.520627384,InSAR
4/25/2022,7.53178224,InSAR
5/1/2022,7.540968592,InSAR
5/7/2022,7.547530272,InSAR
5/13/2022,7.559013212,InSAR
5/20/2022,7.571480404,InSAR
5/26/2022,7.581979092,InSAR
6/1/2022,7.59247778,InSAR
6/7/2022,7.601992216,InSAR
6/13/2022,7.608553896,InSAR
6/19/2022,7.62036492,InSAR
6/25/2022,7.640706128,InSAR
7/1/2022,7.665312428,InSAR
7/7/2022,7.686637888,InSAR
7/13/2022,7.705010592,InSAR
7/20/2022,7.72371138,InSAR
7/26/2022,7.73519432,InSAR
8/1/2022,7.746021092,InSAR
8/7/2022,7.755535528,InSAR
8/13/2022,7.763737628,InSAR
8/20/2022,7.76800272,InSAR
8/26/2022,7.76964314,InSAR
9/1/2022,7.769315056,InSAR
9/7/2022,7.770627392,InSAR
9/13/2022,7.77292398,InSAR
9/19/2022,7.774892484,InSAR
9/25/2022,7.776532904,InSAR
10/1/2022,7.775220568,InSAR
10/7/2022,7.77620482,InSAR
10/13/2022,7.770955476,InSAR
10/20/2022,7.767674636,InSAR
10/26/2022,7.763737628,InSAR
11/1/2022,7.761769124,InSAR
11/7/2022,7.758488284,InSAR
