datetime,Mean CH - layer 3 (Pliocene)
1/1/1927,130.6218156
2/1/1927,130.6299892
3/1/1927,130.1385446
4/1/1927,130.0574931
5/1/1927,129.7253951
6/1/1927,129.0937526
7/1/1927,128.7059268
8/1/1927,128.1616993
9/1/1927,127.7163449
10/1/1927,127.176972
11/1/1927,126.7751665
12/1/1927,126.3579373
1/1/1928,125.98213
2/1/1928,125.4278349
3/1/1928,125.1708267
4/1/1928,124.7875974
5/1/1928,124.628419
6/1/1928,124.4992285
7/1/1928,124.1635429
8/1/1928,123.6144453
9/1/1928,123.5426736
10/1/1928,123.3433835
11/1/1928,123.2293986
12/1/1928,122.9787002
1/1/1929,122.8138653
2/1/1929,122.6748888
3/1/1929,122.7847308
4/1/1929,122.8739199
5/1/1929,122.6410292
6/1/1929,122.5480733
7/1/1929,122.4605194
8/1/1929,122.3843217
9/1/1929,122.2710218
10/1/1929,122.1045957
11/1/1929,122.0410969
12/1/1929,121.9963758
1/1/1930,121.9573124
2/1/1930,121.9377448
3/1/1930,121.925736
4/1/1930,121.9076677
5/1/1930,121.9075322
6/1/1930,121.8797778
7/1/1930,121.9489586
8/1/1930,121.9426313
9/1/1930,121.8312861
10/1/1930,121.8157003
11/1/1930,121.7796821
12/1/1930,121.7359788
1/1/1931,121.7237182
2/1/1931,121.7277052
3/1/1931,121.7218536
4/1/1931,121.8013722
5/1/1931,121.8265734
6/1/1931,121.7855504
7/1/1931,121.7024964
8/1/1931,121.6770162
9/1/1931,121.671079
10/1/1931,121.5814089
11/1/1931,121.640791
12/1/1931,121.6402401
1/1/1932,121.6290345
2/1/1932,121.6288387
3/1/1932,121.6284918
4/1/1932,121.6281646
5/1/1932,121.6868466
6/1/1932,121.6107359
7/1/1932,121.6718003
8/1/1932,121.6717085
9/1/1932,121.6716253
10/1/1932,121.6715525
11/1/1932,121.6714843
12/1/1932,121.5951929
1/1/1933,121.595135
2/1/1933,121.5947873
3/1/1933,121.594623
4/1/1933,121.5123204
5/1/1933,121.5034691
6/1/1933,121.5029491
7/1/1933,121.5029037
8/1/1933,121.5022889
9/1/1933,121.5012002
10/1/1933,121.5068833
11/1/1933,121.5727918
12/1/1933,121.5533876
1/1/1934,121.5358567
2/1/1934,121.5284617
3/1/1934,121.4573064
4/1/1934,121.3800788
5/1/1934,121.2661068
6/1/1934,121.1838051
7/1/1934,121.0884908
8/1/1934,120.9310551
9/1/1934,120.7453258
10/1/1934,120.5865443
11/1/1934,120.4999801
12/1/1934,120.4840465
1/1/1935,120.460779
2/1/1935,120.4839007
3/1/1935,120.4361382
4/1/1935,120.3152528
5/1/1935,120.0786381
6/1/1935,119.9570297
7/1/1935,119.8405616
8/1/1935,119.734499
9/1/1935,119.7517476
10/1/1935,119.6231206
11/1/1935,119.5005231
12/1/1935,119.4156652
1/1/1936,119.3642349
2/1/1936,119.3519732
3/1/1936,119.3448605
4/1/1936,119.3147639
5/1/1936,119.2905016
6/1/1936,119.2566139
7/1/1936,119.2448549
8/1/1936,119.2274193
9/1/1936,119.214139
10/1/1936,119.1727318
11/1/1936,119.1198345
12/1/1936,119.0430279
1/1/1937,118.965401
2/1/1937,118.9236358
3/1/1937,118.8822221
4/1/1937,118.8239375
5/1/1937,118.7904269
6/1/1937,118.7496459
7/1/1937,118.7114298
8/1/1937,118.680684
9/1/1937,118.6533652
10/1/1937,118.6301655
11/1/1937,118.6275536
12/1/1937,118.6140664
1/1/1938,118.6028917
2/1/1938,118.5842873
3/1/1938,118.5680437
4/1/1938,118.5511211
5/1/1938,118.5352722
6/1/1938,118.5190711
7/1/1938,118.5042246
8/1/1938,118.4897679
9/1/1938,118.4784759
10/1/1938,118.4662527
11/1/1938,118.4632871
12/1/1938,118.4569332
1/1/1939,118.4552744
2/1/1939,118.4544904
3/1/1939,118.4539667
4/1/1939,118.4535288
5/1/1939,118.4530953
6/1/1939,118.4526364
7/1/1939,118.4521818
8/1/1939,118.4517007
9/1/1939,118.4512079
10/1/1939,118.4507253
11/1/1939,118.4502151
12/1/1939,118.4497102
1/1/1940,118.4491764
2/1/1940,118.5085261
3/1/1940,118.5081492
4/1/1940,118.5075143
5/1/1940,118.506878
6/1/1940,118.5063826
7/1/1940,118.5052472
8/1/1940,118.5020278
9/1/1940,118.4985775
10/1/1940,118.4939704
11/1/1940,118.4926107
12/1/1940,118.4886309
1/1/1941,118.4854089
2/1/1941,118.482377
3/1/1941,118.4768795
4/1/1941,118.4738863
5/1/1941,118.4706267
6/1/1941,118.4670152
7/1/1941,118.4642771
8/1/1941,118.4615654
9/1/1941,118.4661712
10/1/1941,118.4623372
11/1/1941,118.4560706
12/1/1941,118.4510156
1/1/1942,118.498425
2/1/1942,118.3522647
3/1/1942,118.3430396
4/1/1942,118.340739
5/1/1942,118.3389236
6/1/1942,118.3366023
7/1/1942,118.2658021
8/1/1942,118.2638981
9/1/1942,118.2618493
10/1/1942,118.2597953
11/1/1942,118.2579873
12/1/1942,118.2562469
1/1/1943,118.2547534
2/1/1943,118.2532733
3/1/1943,118.2545692
4/1/1943,118.2523043
5/1/1943,118.2501212
6/1/1943,118.2479465
7/1/1943,118.2461481
8/1/1943,118.2439205
9/1/1943,118.241719
10/1/1943,118.2397673
11/1/1943,118.2378615
12/1/1943,118.238327
1/1/1944,118.236846
2/1/1944,118.2354108
3/1/1944,118.2340932
4/1/1944,118.2326893
5/1/1944,118.231331
6/1/1944,118.2299221
7/1/1944,118.2285423
8/1/1944,118.2292157
9/1/1944,118.227776
10/1/1944,118.2263736
11/1/1944,118.2249057
12/1/1944,118.2234592
1/1/1945,118.2220071
2/1/1945,118.2205418
3/1/1945,118.2192028
4/1/1945,118.2176948
5/1/1945,118.2162007
6/1/1945,118.2146348
7/1/1945,118.2130931
8/1/1945,118.2114731
9/1/1945,118.2098256
10/1/1945,118.2082053
11/1/1945,118.2065021
12/1/1945,118.2048301
1/1/1946,118.2030845
2/1/1946,118.2013099
3/1/1946,118.1996833
4/1/1946,118.1978531
5/1/1946,118.196054
6/1/1946,118.194165
7/1/1946,118.1923086
8/1/1946,118.1903599
9/1/1946,118.1883803
10/1/1946,118.1864356
11/1/1946,118.1843947
12/1/1946,118.1823901
1/1/1947,118.1802869
2/1/1947,118.1753987
3/1/1947,118.1734436
4/1/1947,118.1712465
5/1/1947,118.2352486
6/1/1947,118.2328516
7/1/1947,118.2304998
8/1/1947,118.2280348
9/1/1947,118.2919207
10/1/1947,118.285724
11/1/1947,118.2821419
12/1/1947,118.2786298
1/1/1948,118.2749521
2/1/1948,118.2712264
3/1/1948,118.2697286
4/1/1948,118.2659111
5/1/1948,118.2621737
6/1/1948,118.2582682
7/1/1948,118.2544498
8/1/1948,118.2504642
9/1/1948,118.3100673
10/1/1948,118.3060546
11/1/1948,118.3018705
12/1/1948,118.2341057
1/1/1949,118.2298337
2/1/1949,118.2255252
3/1/1949,118.2216035
4/1/1949,118.2172243
5/1/1949,118.2129508
6/1/1949,118.2104858
7/1/1949,118.2034396
8/1/1949,118.1989065
9/1/1949,118.1943324
10/1/1949,118.1898667
11/1/1949,118.1852097
12/1/1949,118.1806625
1/1/1950,118.1759199
2/1/1950,118.1711332
3/1/1950,118.1667733
4/1/1950,118.1619011
5/1/1950,118.154524
6/1/1950,118.1495623
7/1/1950,118.1465916
8/1/1950,118.1389428
9/1/1950,118.1338442
10/1/1950,118.1288667
11/1/1950,118.1236768
12/1/1950,118.1186108
1/1/1951,118.1133294
2/1/1951,118.1080018
3/1/1951,118.1031532
4/1/1951,118.0327488
5/1/1951,118.0274276
6/1/1951,118.0218925
7/1/1951,118.0165048
8/1/1951,118.0109091
9/1/1951,118.0052887
10/1/1951,117.9998287
11/1/1951,117.9941741
12/1/1951,117.9887452
1/1/1952,117.9169002
2/1/1952,117.9115163
3/1/1952,117.9069533
4/1/1952,117.9021092
5/1/1952,117.8973121
6/1/1952,117.8922659
7/1/1952,117.8873314
8/1/1952,117.8825115
9/1/1952,117.8776576
10/1/1952,117.9316422
11/1/1952,117.9268477
12/1/1952,117.9221517
1/1/1953,117.9169979
2/1/1953,117.9117567
3/1/1953,117.9069777
4/1/1953,117.9015048
5/1/1953,117.9624169
6/1/1953,117.9567347
7/1/1953,117.951209
8/1/1953,117.9454924
9/1/1953,117.9397674
10/1/1953,117.934311
11/1/1953,117.9286281
12/1/1953,117.9230854
1/1/1954,117.9173126
2/1/1954,117.911503
3/1/1954,117.9062566
4/1/1954,117.9005052
5/1/1954,117.8948976
6/1/1954,117.8890874
7/1/1954,117.8835228
8/1/1954,117.8777671
9/1/1954,117.8719885
10/1/1954,117.8663768
11/1/1954,117.860556
12/1/1954,117.7958976
1/1/1955,117.789945
2/1/1955,117.7839839
3/1/1955,117.7785924
4/1/1955,117.7726398
5/1/1955,117.767033
6/1/1955,117.7612618
7/1/1955,117.8148603
8/1/1955,117.8093657
9/1/1955,117.8046111
10/1/1955,117.8007391
11/1/1955,117.7983773
12/1/1955,117.7968365
1/1/1956,117.7954729
2/1/1956,117.7939964
3/1/1956,117.7924159
4/1/1956,117.7907519
5/1/1956,117.7894466
6/1/1956,117.7885014
7/1/1956,117.7878509
8/1/1956,117.787423
9/1/1956,117.7871168
10/1/1956,117.7869081
11/1/1956,117.7867594
12/1/1956,117.7866892
1/1/1957,117.7866427
2/1/1957,117.786601
3/1/1957,117.7865582
4/1/1957,117.7865071
5/1/1957,117.786458
6/1/1957,117.7864077
7/1/1957,117.7863594
8/1/1957,117.7863097
9/1/1957,117.7862276
10/1/1957,117.7860907
11/1/1957,117.7859445
12/1/1957,117.785773
1/1/1958,117.7855955
2/1/1958,117.785419
3/1/1958,117.7852595
4/1/1958,117.7850819
5/1/1958,117.7848802
6/1/1958,117.7846354
7/1/1958,117.7842842
8/1/1958,117.7836798
9/1/1958,117.7827273
10/1/1958,117.7812823
11/1/1958,117.7791659
12/1/1958,117.7760164
1/1/1959,117.7720481
2/1/1959,117.7674384
3/1/1959,117.7629418
4/1/1959,117.7577544
5/1/1959,117.7526858
6/1/1959,117.7472215
7/1/1959,117.741856
8/1/1959,117.7362492
9/1/1959,117.7305929
10/1/1959,117.7249558
11/1/1959,117.7190784
12/1/1959,117.7133718
1/1/1960,117.7075401
2/1/1960,117.7019972
3/1/1960,117.6970906
4/1/1960,117.6918595
5/1/1960,117.6866341
6/1/1960,117.6811303
7/1/1960,117.6774822
8/1/1960,117.6717548
9/1/1960,117.6658032
10/1/1960,117.6598164
11/1/1960,117.6502926
12/1/1960,117.6444126
1/1/1961,117.6363476
2/1/1961,117.6278649
3/1/1961,117.6207414
4/1/1961,117.6134755
5/1/1961,117.6069455
6/1/1961,117.5998353
7/1/1961,117.5929986
8/1/1961,117.5856578
9/1/1961,117.5781845
10/1/1961,117.5692661
11/1/1961,117.5619184
12/1/1961,117.55493
1/1/1962,117.5478541
2/1/1962,117.540642
3/1/1962,117.5339227
4/1/1962,117.5267208
5/1/1962,117.5195967
6/1/1962,117.512034
7/1/1962,117.5090094
8/1/1962,117.5011585
9/1/1962,117.4929176
10/1/1962,117.4822585
11/1/1962,117.4736896
12/1/1962,117.4649473
1/1/1963,117.4527472
2/1/1963,117.4359673
3/1/1963,117.3536542
4/1/1963,117.288288
5/1/1963,117.2117549
6/1/1963,117.1790331
