Date,BLS,Alt,Aquifer
11/7/1945,,313.7,Upper
12/12/1945,,316.9,Upper
10/10/1946,,301.2,Upper
3/10/1948,,273.5,Upper
9/29/1949,,248.2,Upper
1/30/1950,,262.2,Upper
9/26/1950,,251,Upper
11/30/1950,,260.9,Upper
1/26/1951,,267.5,Upper
9/28/1951,,289.9,Upper
2/1/1952,,290.4,Upper
10/29/1952,,319.7,Upper
2/11/1953,,320.2,Upper
9/23/1953,,314.7,Upper
2/2/1954,,309.4,Upper
9/25/1954,,309.2,Upper
12/29/1954,,309.2,Upper
3/2/1955,,305.2,Upper
9/12/1955,,309.2,Upper
3/1/1956,,305.2,Upper
2/15/1957,,302.9,Upper
10/15/1957,,303.9,Upper
2/11/1958,,300,Upper
10/4/1958,,319.5,Upper
2/9/1959,,312.4,Upper
9/18/1959,,301.8,Upper
2/26/1960,,295.4,Upper
2/29/1960,,267.81,Upper
10/4/1960,,257.71,Upper
2/11/1961,,258.81,Upper
2/6/1962,,259.71,Upper
10/12/1962,,258.01,Upper
2/8/1963,,256.01,Upper
9/25/1963,,254.51,Upper
2/6/1964,,261.81,Upper
10/7/1964,,254.21,Upper
2/5/1965,,261.21,Upper
2/2/1966,,264.21,Upper
2/1/1967,,261.71,Upper
2/7/1968,,267.71,Upper
2/3/1969,,262.71,Upper
1/30/1970,,273.21,Upper
9/21/1970,,259.21,Upper
1/25/1971,,273.21,Upper
9/28/1971,,263.71,Upper
2/1/1972,,276.71,Upper
9/27/1972,,267.71,Upper
1/29/1973,,271.21,Upper
9/25/1973,,267.21,Upper
2/4/1974,,276.71,Upper
10/1/1974,,267.21,Upper
1/28/1975,,288.71,Upper
9/23/1975,,271.21,Upper
1/19/1976,,273.71,Upper
7/20/1976,,252.21,Upper
10/4/1976,,272.21,Upper
1/24/1977,,270.21,Upper
6/7/1977,,257.21,Upper
8/4/1977,,251.71,Upper
10/3/1977,,251.71,Upper
1/27/1978,,258.71,Upper
10/2/1978,,261.71,Upper
1/24/1979,,272.71,Upper
9/27/1979,,261.81,Upper
1/23/1980,,278.71,Upper
9/25/1980,,271.71,Upper
1/30/1981,,282.21,Upper
9/25/1981,,265.71,Upper
1/27/1982,,273.21,Upper
9/29/1982,,281.71,Upper
1/27/1983,,296.71,Upper
9/28/1983,,307.71,Upper
1/31/1984,,312.71,Upper
10/3/1984,,313.71,Upper
1/30/1985,,311.71,Upper
10/1/1985,,308.71,Upper
1/29/1986,,316.71,Upper
10/1/1986,,315.21,Upper
1/2/1987,,321.71,Upper
9/30/1987,,304.21,Upper
2/3/1988,,311.71,Upper
10/4/1988,,300.21,Upper
1/26/1989,,305.21,Upper
10/3/1989,,297.71,Upper
1/24/1990,,291.71,Upper
10/2/1990,,272.71,Upper
1/28/1991,,272.71,Upper
9/30/1991,,268.71,Upper
1/28/1992,,275.71,Upper
10/5/1992,,263.71,Upper
1/27/1993,,270.71,Upper
