Date,Subsidence_ft,Source
12/31/1926,0,Leveling
2/20/1951,6.531189974,Leveling
7/1/2015,12.73237857,Leveling
7/7/2015,12.74681427,InSAR
7/13/2015,12.76124996,InSAR
7/20/2015,12.77765416,InSAR
7/26/2015,12.79274603,InSAR
8/1/2015,12.81435617,Leveling
8/7/2015,12.82096125,InSAR
8/13/2015,12.83736545,InSAR
8/20/2015,12.85409773,InSAR
8/26/2015,12.86853343,InSAR
9/1/2015,12.88756526,Leveling
9/7/2015,12.89838907,InSAR
9/13/2015,12.91151243,InSAR
9/19/2015,12.92299537,InSAR
9/25/2015,12.93447831,InSAR
10/1/2015,12.94796564,Leveling
10/7/2015,12.95285102,InSAR
10/13/2015,12.96203737,InSAR
10/20/2015,12.96892713,InSAR
10/26/2015,12.97680115,InSAR
11/1/2015,12.98300435,Leveling
11/7/2015,12.98664367,InSAR
11/13/2015,12.98828409,InSAR
11/19/2015,12.99189301,InSAR
11/25/2015,12.99550194,InSAR
12/1/2015,13.00382106,Leveling
12/7/2015,13.0023917,InSAR
12/13/2015,13.00534446,InSAR
12/20/2015,13.01124997,InSAR
12/26/2015,13.00993763,InSAR
1/1/2016,13.01077472,Leveling
1/7/2016,13.01518698,InSAR
1/13/2016,13.01978015,InSAR
1/20/2016,13.0168274,InSAR
1/26/2016,13.01715548,InSAR
2/1/2016,13.02081816,Leveling
2/7/2016,13.01715548,InSAR
2/13/2016,13.01387464,InSAR
2/18/2016,13.01124997,InSAR
2/24/2016,13.01518698,InSAR
3/1/2016,13.01676865,Leveling
3/7/2016,13.00960955,InSAR
3/13/2016,13.00764105,InSAR
3/20/2016,13.01485889,InSAR
3/26/2016,13.02535758,InSAR
4/1/2016,13.04152231,Leveling
4/7/2016,13.04012136,InSAR
4/13/2016,13.04701113,InSAR
4/19/2016,13.05521323,InSAR
4/25/2016,13.07161743,InSAR
5/1/2016,13.08420282,Leveling
5/7/2016,13.10344157,InSAR
5/13/2016,13.11886152,InSAR
5/20/2016,13.14018698,InSAR
5/26/2016,13.15888777,InSAR
6/1/2016,13.1601889,Leveling
6/7/2016,13.18677491,InSAR
6/13/2016,13.20317911,InSAR
6/19/2016,13.21761481,InSAR
6/25/2016,13.23139433,InSAR
7/1/2016,13.23343029,Leveling
7/7/2016,13.26420273,InSAR
7/13/2016,13.2792946,InSAR
7/20/2016,13.2956988,InSAR
7/26/2016,13.31079066,InSAR
8/1/2016,13.31240054,Leveling
8/7/2016,13.34097439,InSAR
8/13/2016,13.35278541,InSAR
8/20/2016,13.3714862,InSAR
8/26/2016,13.38296914,InSAR
9/1/2016,13.37899025,Leveling
9/7/2016,13.40987203,InSAR
9/13/2016,13.41905838,InSAR
9/19/2016,13.42365156,InSAR
9/25/2016,13.42922899,InSAR
10/1/2016,13.41260888,Leveling
10/7/2016,13.43644683,InSAR
10/13/2016,13.4453051,InSAR
10/20/2016,13.44989828,InSAR
10/26/2016,13.4535072,InSAR
11/1/2016,13.44316705,Leveling
11/7/2016,13.46433397,InSAR
11/13/2016,13.46695865,InSAR
11/19/2016,13.46761481,InSAR
11/25/2016,13.46695865,InSAR
12/1/2016,13.44216802,Leveling
12/7/2016,13.46597439,InSAR
12/13/2016,13.46958332,InSAR
12/20/2016,13.4679429,InSAR
12/26/2016,13.46203739,InSAR
1/1/2017,13.43098809,Leveling
1/7/2017,13.45383529,InSAR
1/13/2017,13.44760169,InSAR
1/20/2017,13.44300851,InSAR
1/26/2017,13.44497702,InSAR
2/1/2017,13.43110504,Leveling
2/7/2017,13.4453051,InSAR
2/12/2017,13.44661744,InSAR
2/18/2017,13.44268043,InSAR
2/23/2017,13.44104001,InSAR
3/1/2017,13.42225118,Leveling
3/7/2017,13.43054132,InSAR
3/13/2017,13.43250983,InSAR
3/20/2017,13.43579067,InSAR
3/26/2017,13.44005576,InSAR
4/1/2017,13.42475118,Leveling
4/7/2017,13.45186678,InSAR
4/13/2017,13.45875655,InSAR
4/19/2017,13.46663056,InSAR
4/25/2017,13.47778542,InSAR
5/1/2017,13.45872356,Leveling
5/7/2017,13.48795602,InSAR
5/13/2017,13.49583004,InSAR
5/20/2017,13.50665681,InSAR
5/26/2017,13.51485891,InSAR
6/1/2017,13.49314632,Leveling
6/7/2017,13.52470143,InSAR
6/13/2017,13.53257545,InSAR
6/19/2017,13.54241797,InSAR
6/25/2017,13.55357282,InSAR
7/1/2017,13.54306253,Leveling
7/7/2017,13.58178805,InSAR
7/13/2017,13.59523949,InSAR
7/20/2017,13.60869093,InSAR
