Date,BLS,Alt,Aquifer
1/1/1921,,210,Upper
6/30/1928,,198.22,Upper
7/9/1928,,186.42,Upper
11/2/1928,,197.92,Upper
11/19/1929,,193.62,Upper
10/21/1930,,189.62,Upper
10/9/1931,,188.22,Upper
11/18/1932,,186.92,Upper
11/6/1933,,189.02,Upper
11/14/1934,,187.92,Upper
12/6/1935,,185.72,Upper
11/17/1936,,181.92,Upper
11/9/1937,,177.42,Upper
11/5/1938,,176.22,Upper
10/17/1940,,180.94,Upper
10/13/1941,,180.04,Upper
10/15/1942,,178.34,Upper
9/30/1943,,178.34,Upper
10/27/1943,,178.24,Upper
10/12/1944,,177.44,Upper
10/16/1945,,175.74,Upper
11/28/1945,,175.94,Upper
10/15/1946,,171.74,Upper
12/10/1946,,171.34,Upper
11/4/1947,,165.74,Upper
12/10/1947,,164.94,Upper
3/3/1948,,163.04,Upper
11/12/1948,,157.54,Upper
2/8/1949,,154.24,Upper
10/4/1949,,151.44,Upper
11/2/1949,,150.94,Upper
2/6/1950,,150.84,Upper
9/29/1950,,146.44,Upper
11/6/1950,,145.34,Upper
1/29/1951,,145.74,Upper
10/12/1951,,140.74,Upper
2/18/1952,,140.34,Upper
10/23/1952,,138.94,Upper
2/9/1953,,139.84,Upper
9/22/1953,,136.44,Upper
11/18/1953,,134.94,Upper
2/10/1954,,135.44,Upper
9/21/1954,,128.84,Upper
10/20/1954,,128.04,Upper
2/15/1955,,128.94,Upper
9/20/1955,,125.74,Upper
2/15/1956,,124.64,Upper
10/10/1956,,125.34,Upper
2/12/1957,,125.34,Upper
10/2/1957,,110.04,Upper
2/12/1958,,125.14,Upper
10/2/1958,,125.24,Upper
2/9/1959,,127.84,Upper
10/1/1959,,122.24,Upper
2/15/1960,,121.04,Upper
10/12/1960,,120.14,Upper
2/10/1961,,119.84,Upper
9/28/1961,,115.54,Upper
2/5/1962,,96.7,Upper
9/25/1963,,82.9,Upper
1/31/1964,,90.5,Upper
9/28/1964,,86.8,Upper
1/29/1965,,95.2,Upper
1/28/1966,,84.9,Upper
2/2/1967,,94,Upper
2/1/1968,,98.7,Upper
2/3/1969,,89.4,Upper
9/24/1969,,83.8,Upper
1/28/1970,,89.5,Upper
9/24/1970,,64.7,Upper
1/27/1971,,101.2,Upper
9/30/1971,,60.5,Upper
9/28/1972,,77.4,Upper
2/5/1973,,94.5,Upper
9/26/1973,,84.2,Upper
1/29/1974,,82.4,Upper
10/1/1974,,89.3,Upper
2/6/1975,,87.4,Upper
9/25/1975,,90.1,Upper
1/17/1976,,95.9,Upper
10/11/1976,,86.8,Upper
1/22/1977,,94.6,Upper
6/6/1977,,88.6,Upper
7/28/1977,,83.3,Upper
10/10/1977,,67.2,Upper
2/2/1978,,82.7,Upper
9/30/1978,,69.6,Upper
1/18/1979,,86.3,Upper
10/2/1979,,81.3,Upper
1/28/1980,,92.2,Upper
9/24/1980,,79.2,Upper
2/4/1981,,97.2,Upper
9/22/1981,,75.2,Upper
2/9/1982,,91.2,Upper
9/27/1982,,90.2,Upper
1/26/1983,,100.2,Upper
9/20/1983,,87.2,Upper
1/28/1984,,98.2,Upper
10/9/1984,,105.2,Upper
2/1/1985,,125.2,Upper
9/23/1985,,113.2,Upper
1/23/1986,,113.2,Upper
10/1/1986,,115.2,Upper
1/16/1987,,131.2,Upper
9/28/1987,,110.2,Upper
1/29/1988,,116.2,Upper
9/30/1988,,104.2,Upper
1/25/1989,,107.7,Upper
10/4/1989,,90.7,Upper
1/26/1990,,100.2,Upper
10/2/1990,,82.2,Upper
1/29/1991,,91.2,Upper
9/30/1991,,70.2,Upper
2/3/1992,,86.2,Upper
10/6/1992,,64.2,Upper
1/25/1993,,65.2,Upper
9/30/1993,,29.2,Upper
1/28/1994,,67.2,Upper
10/4/1994,,53.7,Upper
1/30/1995,,62.7,Upper
10/4/1995,,61.7,Upper
1/14/1996,,69.2,Upper
10/7/1996,,63.2,Upper
1/31/1997,,70.2,Upper
10/7/1997,,65.2,Upper
1/28/1998,,72.2,Upper
10/7/1998,,75.7,Upper
2/1/1999,,83.2,Upper
10/5/1999,,78.2,Upper
1/31/2000,,84.7,Upper
2/1/2001,,86.2,Upper
1/21/2003,,20.7,Upper
9/22/2003,,16.8,Upper
1/29/2004,,36.8,Upper
1/24/2005,,42.8,Upper
1/24/2006,,21.8,Upper
10/4/2006,,60.4,Upper
1/23/2007,,62.9,Upper
2/11/2008,,54.3,Upper
2/16/2009,,43.6,Upper
1/22/2010,,41.9,Upper
2/1/2011,,92.707,Upper
10/14/2011,,36.8,Upper
2/7/2012,,41.3,Upper
10/20/2012,,36.2,Upper
2/20/2013,,38.6,Upper
9/30/2020,,-37.058,Upper
2/14/2022,,-28.758,Upper
10/10/2022,,-37.458,Upper
2/14/2023,,-25.758,Upper
10/4/2023,,-20.458,Upper
2/13/2024,,-4.758,Upper
10/9/2024,,-22.458,Upper
2/5/2025,,-8.358,Upper
1/1/1921,,210,Lower
9/30/1953,,113,Lower
2/5/1954,,114.8,Lower
9/17/1954,,98.2,Lower
2/7/1955,,112.9,Lower
2/17/1955,,111.4,Lower
9/23/1955,,113.9,Lower
2/6/1956,,95.1,Lower
3/15/1956,,119.8,Lower
1/14/1957,,120.2,Lower
2/13/1958,,123.2,Lower
