Date,Subsidence_ft,Source
1/1/1924,0,Leveling
1/1/1943,1.17,Leveling
5/17/1948,1.49,Leveling
2/15/1954,3.28,Leveling
5/1/1957,4.04,Leveling
2/12/1959,4.38,Leveling
3/7/1962,5.79,Leveling
1/18/1970,6.35,Leveling
2/1/2006,13.76367661,Leveling
3/1/2006,13.73367661,InSAR
4/1/2006,13.72367661,InSAR
5/1/2006,13.74367661,InSAR
12/1/2006,13.94367661,InSAR
9/1/2007,14.38367661,InSAR
10/1/2007,14.41367661,InSAR
11/1/2007,14.45367661,InSAR
12/1/2007,14.47367661,InSAR
1/1/2008,14.49367661,InSAR
2/1/2008,14.51367661,InSAR
3/1/2008,14.55367661,InSAR
4/1/2008,14.60367661,InSAR
5/1/2008,14.68367661,InSAR
6/1/2008,14.77367661,InSAR
7/1/2008,14.87367661,InSAR
7/1/2009,15.63367661,InSAR
8/1/2009,15.73367661,InSAR
9/1/2009,15.80367661,InSAR
10/1/2009,15.85367661,InSAR
11/1/2009,15.89367661,InSAR
12/1/2009,15.93367661,InSAR
1/1/2010,15.95367661,InSAR
2/1/2010,15.96367661,InSAR
3/1/2010,15.99367661,InSAR
4/1/2010,16.04367661,InSAR
5/1/2010,16.12367661,InSAR
6/1/2010,16.20367661,InSAR
7/1/2010,16.27367661,InSAR
8/1/2010,16.35367661,InSAR
7/1/2015,19.34500732,InSAR
8/1/2015,19.47400732,InSAR
9/1/2015,19.59600732,InSAR
10/1/2015,19.70100732,InSAR
11/1/2015,19.77500732,InSAR
12/1/2015,19.83100732,InSAR
1/1/2016,19.86600732,InSAR
2/1/2016,19.91300732,InSAR
3/1/2016,19.94000732,InSAR
4/1/2016,20.01100732,InSAR
5/1/2016,20.10800732,InSAR
6/1/2016,20.24600732,InSAR
7/1/2016,20.38400732,InSAR
8/1/2016,20.53900732,InSAR
9/1/2016,20.68500732,InSAR
10/1/2016,20.78500732,InSAR
11/1/2016,20.88000732,InSAR
12/1/2016,20.91800732,InSAR
1/1/2017,20.93500732,InSAR
2/1/2017,20.95300732,InSAR
3/1/2017,20.94700732,InSAR
4/1/2017,20.95200732,InSAR
5/1/2017,20.99200732,InSAR
6/1/2017,21.02800732,InSAR
7/1/2017,21.08800732,InSAR
8/1/2017,21.17000732,InSAR
9/1/2017,21.23200732,InSAR
10/1/2017,21.26400732,InSAR
11/1/2017,21.30800732,InSAR
12/1/2017,21.31000732,InSAR
1/1/2018,21.31500732,InSAR
2/1/2018,21.33300732,InSAR
3/1/2018,21.35400732,InSAR
4/1/2018,21.43100732,InSAR
5/1/2018,21.51800732,InSAR
6/1/2018,21.60000732,InSAR
7/1/2018,21.71200732,InSAR
8/1/2018,21.84700732,InSAR
9/1/2018,21.95200732,InSAR
10/1/2018,22.04800732,InSAR
11/1/2018,22.10600732,InSAR
12/1/2018,22.12600732,InSAR
1/1/2019,22.13000732,InSAR
2/1/2019,22.12600732,InSAR
3/1/2019,22.12200732,InSAR
3/27/2019,22.08,Leveling
4/1/2019,22.15100732,InSAR
5/1/2019,22.16100732,InSAR
6/1/2019,22.20100732,InSAR
7/1/2019,22.27200732,InSAR
7/2/2019,22.24,Leveling
8/1/2019,22.33900732,InSAR
9/1/2019,22.40100732,InSAR
10/1/2019,22.45000732,InSAR
11/1/2019,22.46300732,InSAR
12/1/2019,22.45500732,InSAR
1/1/2020,22.46100732,InSAR
2/1/2020,22.45700732,InSAR
3/1/2020,22.46700732,InSAR
4/1/2020,22.50900732,InSAR
5/1/2020,22.56900732,InSAR
6/1/2020,22.66900732,InSAR
7/1/2020,22.78100732,InSAR
8/1/2020,22.90500732,InSAR
9/1/2020,23.00600732,InSAR
10/1/2020,23.05700732,InSAR
11/1/2020,23.09600732,InSAR
11/18/2020,23.09,Leveling
12/1/2020,23.10700732,InSAR
1/1/2021,23.11700732,InSAR
2/1/2021,23.13100732,InSAR
3/1/2021,23.15600732,InSAR
4/1/2021,23.19700732,InSAR
5/1/2021,23.25800732,InSAR
6/1/2021,23.36300732,InSAR
7/1/2021,23.47300732,InSAR
8/1/2021,23.60600732,InSAR
9/1/2021,23.70300732,InSAR
10/1/2021,23.77200732,InSAR
11/1/2021,23.81400732,InSAR
11/22/2021,23.83,Leveling
12/1/2021,23.83200732,InSAR
1/1/2022,23.84600732,InSAR
2/1/2022,23.87400732,InSAR
3/1/2022,23.90100732,InSAR
4/1/2022,23.94300732,InSAR
5/1/2022,24.04600732,InSAR
6/1/2022,24.15100732,InSAR
7/1/2022,24.29900732,InSAR
8/1/2022,24.42700732,InSAR
9/1/2022,24.50600732,InSAR
10/1/2022,24.57200732,InSAR
11/1/2022,24.62100732,InSAR
12/1/2022,24.65700732,InSAR
1/1/2023,24.67200732,InSAR
2/1/2023,24.66300732,InSAR
3/1/2023,24.66900732,InSAR
4/1/2023,24.71800732,InSAR
5/1/2023,24.66400732,InSAR
6/1/2023,24.70000732,InSAR
7/1/2023,24.74100732,InSAR
8/1/2023,24.79500732,InSAR
9/1/2023,24.79900732,InSAR
10/1/2023,24.81500732,InSAR
11/1/2023,24.83100732,InSAR
12/1/2023,24.79200732,InSAR
1/1/2024,24.76400732,InSAR
2/1/2024,24.79800732,InSAR
3/1/2024,24.82500732,InSAR
4/1/2024,24.84700732,InSAR
5/1/2024,24.88300732,InSAR
6/1/2024,24.95200732,InSAR
7/1/2024,25.02600732,InSAR
8/1/2024,25.07000732,InSAR
9/1/2024,25.09600732,InSAR
10/1/2024,25.11900732,InSAR
11/1/2024,25.14600732,InSAR
12/1/2024,25.15900732,InSAR
1/1/2025,25.19700732,InSAR
2/1/2025,25.22000732,InSAR
3/1/2025,25.24100732,InSAR
4/1/2025,25.28100732,InSAR
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
