datetime,Mean CH - layer 3 (Lower Aquifer)
3/1/1935,315.5547226
4/1/1935,315.204134
5/1/1935,315.1693012
6/1/1935,315.1662963
7/1/1935,315.1569409
8/1/1935,315.1560146
9/1/1935,315.1517466
10/1/1935,315.1375426
11/1/1935,315.036078
12/1/1935,314.9833787
1/1/1936,313.8428132
2/1/1936,312.0702919
3/1/1936,311.0333471
4/1/1936,308.3432278
5/1/1936,305.3655777
6/1/1936,304.7424408
7/1/1936,304.3451141
8/1/1936,304.0312823
9/1/1936,303.7526882
10/1/1936,303.5314412
11/1/1936,303.4037933
12/1/1936,303.2942592
1/1/1937,303.3043595
2/1/1937,303.1281838
3/1/1937,303.0251456
4/1/1937,302.7920784
5/1/1937,301.8989167
6/1/1937,299.4733312
7/1/1937,298.7046353
8/1/1937,298.2245892
9/1/1937,297.8769076
10/1/1937,297.6158269
11/1/1937,297.3789786
12/1/1937,297.2339238
1/1/1938,296.949778
2/1/1938,295.5439774
3/1/1938,293.429252
4/1/1938,292.1070094
5/1/1938,290.5432084
6/1/1938,289.6658558
7/1/1938,285.6284469
8/1/1938,283.0626271
9/1/1938,281.3815178
10/1/1938,280.7282027
11/1/1938,280.1157926
12/1/1938,279.6104471
1/1/1939,279.2907091
2/1/1939,278.9943826
3/1/1939,278.7046159
4/1/1939,278.4229692
5/1/1939,278.2102485
6/1/1939,277.7456365
7/1/1939,277.3010676
8/1/1939,276.9552799
9/1/1939,276.7241866
10/1/1939,276.5090505
11/1/1939,276.1859861
12/1/1939,275.8063829
1/1/1940,275.5380289
2/1/1940,275.4094374
3/1/1940,275.2698187
4/1/1940,275.1111094
5/1/1940,274.9930818
6/1/1940,274.8955989
7/1/1940,274.818861
8/1/1940,274.74374
9/1/1940,274.982903
10/1/1940,274.806389
11/1/1940,274.6485661
12/1/1940,274.5830258
1/1/1941,274.3720819
2/1/1941,274.1896204
3/1/1941,274.1519624
4/1/1941,274.0096958
5/1/1941,273.8697811
6/1/1941,273.6530336
7/1/1941,272.2421394
8/1/1941,269.1698618
9/1/1941,265.7800972
10/1/1941,265.3514651
11/1/1941,265.0453179
12/1/1941,264.7626814
1/1/1942,264.6410994
2/1/1942,264.6381563
3/1/1942,264.5321561
4/1/1942,264.5215232
5/1/1942,264.4131862
6/1/1942,264.3119104
7/1/1942,264.2967258
8/1/1942,264.1884575
9/1/1942,263.8363675
10/1/1942,262.9303579
11/1/1942,261.973154
12/1/1942,261.4718939
1/1/1943,261.1285943
2/1/1943,260.8423856
3/1/1943,260.573012
4/1/1943,260.4007337
5/1/1943,260.2745874
6/1/1943,260.1674327
7/1/1943,260.0758261
8/1/1943,259.9886518
9/1/1943,259.9066458
10/1/1943,259.74797
11/1/1943,259.6265707
12/1/1943,259.5549063
1/1/1944,259.4837689
2/1/1944,259.4139583
3/1/1944,259.3404619
4/1/1944,259.2214699
5/1/1944,258.9898459
6/1/1944,257.2925274
7/1/1944,256.895303
8/1/1944,256.6331586
9/1/1944,256.3670029
10/1/1944,256.0936648
11/1/1944,254.9984668
12/1/1944,254.2344961
1/1/1945,253.643019
2/1/1945,250.399067
3/1/1945,248.9553405
4/1/1945,247.8907299
5/1/1945,243.9230958
6/1/1945,239.9232019
7/1/1945,238.3532568
8/1/1945,237.5393163
9/1/1945,237.0038642
10/1/1945,236.5875068
11/1/1945,236.1358095
12/1/1945,235.9180343
1/1/1946,235.539049
2/1/1946,235.2140048
3/1/1946,235.0092733
4/1/1946,234.857914
5/1/1946,234.6051031
6/1/1946,234.4338371
7/1/1946,234.2092688
8/1/1946,234.1033049
9/1/1946,233.9340615
10/1/1946,233.6990638
11/1/1946,233.5762244
12/1/1946,233.4202402
1/1/1947,233.3790863
2/1/1947,233.2126944
3/1/1947,233.0626829
4/1/1947,232.7616332
5/1/1947,232.2738386
6/1/1947,231.2278076
7/1/1947,230.6026374
8/1/1947,229.8597759
9/1/1947,229.4442668
10/1/1947,228.8369728
11/1/1947,225.7968515
12/1/1947,224.9449982
1/1/1948,224.4044093
2/1/1948,223.9390167
3/1/1948,223.536749
4/1/1948,223.1739009
5/1/1948,222.3155759
6/1/1948,221.8095187
7/1/1948,221.2024398
8/1/1948,220.7805661
9/1/1948,220.4917559
10/1/1948,220.108745
11/1/1948,218.3009033
12/1/1948,217.2398818
1/1/1949,216.6761128
2/1/1949,216.0981333
3/1/1949,215.3534268
4/1/1949,214.9088928
5/1/1949,214.4059489
6/1/1949,213.055686
7/1/1949,211.8048105
8/1/1949,210.1709639
9/1/1949,208.9969346
10/1/1949,204.4562595
11/1/1949,204.0104918
12/1/1949,203.5107826
1/1/1950,202.9917918
2/1/1950,202.763684
3/1/1950,202.4553178
4/1/1950,202.1359282
5/1/1950,201.8445771
6/1/1950,201.6335949
7/1/1950,201.4989111
8/1/1950,201.3181431
9/1/1950,201.0766068
10/1/1950,200.8188803
11/1/1950,200.7065637
12/1/1950,200.5833063
1/1/1951,200.1565726
2/1/1951,199.9486327
3/1/1951,199.7530467
4/1/1951,199.5097106
5/1/1951,199.3637221
6/1/1951,199.1721027
7/1/1951,198.7970633
8/1/1951,198.3372632
9/1/1951,197.7070224
10/1/1951,195.5832431
11/1/1951,195.000394
12/1/1951,194.6250358
1/1/1952,194.2971848
2/1/1952,194.0859726
3/1/1952,193.8481188
4/1/1952,193.7044074
5/1/1952,193.5213803
6/1/1952,193.3897051
7/1/1952,193.2378985
8/1/1952,193.1802783
9/1/1952,193.067968
10/1/1952,192.9642317
11/1/1952,192.8603742
12/1/1952,192.8065849
1/1/1953,192.6451052
2/1/1953,192.5522095
3/1/1953,192.4706663
4/1/1953,192.3822801
5/1/1953,192.2984799
6/1/1953,192.2136939
7/1/1953,192.0579568
