Aquifer,Top,Bot,Thick_ft,Description
Upper,0,2,2,sand
Upper,2,5,3,clay
Upper,5,6,1,sand
Upper,6,8,2,clay
Upper,8,50,42,sand
Upper,50,93,43,clay
Upper,93,96,3,sand
Upper,96,99,3,clay
Upper,99,102,3,sand
Upper,102,105,3,clay
Upper,105,153,48,sand
Upper,153,201,48,clay
Upper,201,208,7,sand
Upper,208,216,8,clay
Upper,216,223,7,sand
Upper,223,231,8,clay
Upper,231,270,39,sand
Upper,270,310,40,clay
Upper,310,318,8,sand
Upper,318,326,8,clay
Upper,326,365,39,sand
Upper,365,405,40,clay
Upper,405,408,3,sand
Upper,408,412,4,clay
Upper,412,468,56,sand
Corcoran,468,508,40,clay
Lower,508,525,17,clay
Lower,525,536,11,sand
Lower,536,658,122,clay
Lower,658,667,9,sand
Lower,667,841,174,clay
Lower,841,1123,282,sand
Lower,1123,1125,2,sand
Lower,1125,1128,3,clay
Lower,1128,1406,278,sand
Lower,1406,1407,1,sand
Lower,1407,1409,2,clay
Lower,1409,1501,92,sand
Lower,1501,1520,19,clay
Lower,1520,1605,85,sand
Lower,1605,1610,5,sand
Lower,1610,1615,5,clay
Lower,1615,1705,90,sand
Lower,1705,1708,3,sand
Lower,1708,1800,92,clay
Lower,1800,1809,9,sand
Lower,1809,1818,9,clay
Lower,1818,1823,5,sand
Lower,1823,1828,5,clay
Lower,1828,1833,5,sand
Lower,1833,1838,5,clay
Lower,1838,1843,5,sand
Lower,1843,1848,5,clay
Lower,1848,1866,18,sand
Lower,1866,1885,19,clay
