datetime,Mean CH - layer 3 (Pliocene)
2/1/1905,407.6181022
3/1/1905,407.5841974
4/1/1905,407.5083999
5/1/1905,407.2136839
6/1/1905,406.8395408
7/1/1905,406.6086355
8/1/1905,406.5574941
9/1/1905,406.56416
10/1/1905,406.5540628
11/1/1905,406.5446765
12/1/1905,406.4841405
1/1/1906,406.4438252
2/1/1906,406.4468828
3/1/1906,406.4151865
4/1/1906,406.3267282
5/1/1906,406.1737448
6/1/1906,406.0752428
7/1/1906,406.0418596
8/1/1906,406.0360728
9/1/1906,406.0010337
10/1/1906,405.8883074
11/1/1906,405.8913495
12/1/1906,405.8185978
1/1/1907,405.7298773
2/1/1907,405.5417208
3/1/1907,405.4213117
4/1/1907,405.2199923
5/1/1907,405.0597529
6/1/1907,404.9876438
7/1/1907,404.7838539
8/1/1907,404.2534187
9/1/1907,403.8081685
10/1/1907,403.3640261
11/1/1907,403.1842621
12/1/1907,403.0980924
1/1/1908,402.9911531
2/1/1908,402.7690302
3/1/1908,402.2418528
4/1/1908,402.1473338
5/1/1908,401.9302945
6/1/1908,401.8052216
7/1/1908,401.329857
8/1/1908,401.0911573
9/1/1908,400.9074358
10/1/1908,400.7792665
11/1/1908,400.6372242
12/1/1908,400.5628608
1/1/1909,400.5165441
2/1/1909,400.4310517
3/1/1909,400.37499
4/1/1909,400.3389484
5/1/1909,400.3156629
6/1/1909,400.3038368
7/1/1909,400.2787903
8/1/1909,400.2585509
9/1/1909,400.2609248
10/1/1909,400.2669797
11/1/1909,400.255492
12/1/1909,400.2457472
1/1/1910,400.2367398
2/1/1910,400.2285929
3/1/1910,400.2219207
4/1/1910,400.215351
5/1/1910,400.2096222
6/1/1910,400.204302
7/1/1910,400.1996131
8/1/1910,400.1952144
9/1/1910,400.1911621
10/1/1910,400.1875008
11/1/1910,400.1839527
12/1/1910,400.1806921
1/1/1911,400.1774522
2/1/1911,400.1743177
3/1/1911,400.1715591
4/1/1911,400.16859
5/1/1911,400.1813694
6/1/1911,400.1914261
7/1/1911,400.2044386
8/1/1911,399.8954027
9/1/1911,399.738063
10/1/1911,399.6684941
11/1/1911,399.6371813
12/1/1911,399.5415024
1/1/1912,399.3376275
2/1/1912,398.8432919
3/1/1912,398.6818068
4/1/1912,398.0306074
