Date,BLS,Alt,Aquifer,
1/1/1905,194.5,400,Lower,
1/1/1921,204.5,390,Lower,
10/26/1934,213.3,381.2,Lower,
10/26/1935,217.8,376.7,Lower,
10/22/1936,214.8,379.7,Lower,
12/7/1937,216.2,378.3,Lower,
11/18/1938,215.8,378.7,Lower,
11/24/1939,218.8,375.7,Lower,
11/27/1940,220.2,374.3,Lower,
11/19/1941,220.9,373.6,Lower,
11/4/1943,222.5,372,Lower,
11/3/1944,226,368.5,Lower,
11/3/1945,229.2,365.3,Lower,
12/3/1945,233,361.5,Lower,
10/15/1946,238.5,356,Lower,
11/12/1946,232.3,362.2,Lower,
12/17/1946,241.4,353.1,Lower,
5/19/1947,228.8,365.7,Lower,
10/6/1947,240,354.5,Lower,
11/10/1947,236.4,358.1,Lower,
12/11/1947,236,358.5,Lower,
3/1/1948,234.2,360.3,Lower,
6/15/1948,234,360.5,Lower,
9/22/1948,240.7,353.8,Lower,
11/25/1948,242.5,352,Lower,
2/14/1949,239.7,354.8,Lower,
9/28/1949,252.1,342.4,Lower,
11/8/1949,253.5,341,Lower,
1/30/1950,249.2,345.3,Lower,
9/27/1950,254.2,340.3,Lower,
1/25/1951,249.8,344.7,Lower,
9/25/1951,257.2,337.3,Lower,
2/13/1952,252.2,342.3,Lower,
9/24/1952,263.6,330.9,Lower,
2/10/1953,261.8,332.7,Lower,
9/23/1953,274.4,320.1,Lower,
9/21/1954,279,315.5,Lower,
2/15/1955,273.2,321.3,Lower,
9/20/1955,288,306.5,Lower,
2/15/1956,280.8,313.7,Lower,
10/11/1956,292.4,302.1,Lower,
2/11/1957,283.1,311.4,Lower,
6/4/1957,283.3,311.2,Lower,
10/2/1957,298.6,295.9,Lower,
1/30/1958,281,313.5,Lower,
2/13/1958,287.8,306.7,Lower,
9/30/1958,296,298.5,Lower,
2/10/1959,291.6,302.9,Lower,
10/6/1959,307,287.5,Lower,
2/10/1960,301.6,292.9,Lower,
10/11/1960,306.9,287.6,Lower,
2/10/1961,314.9,279.6,Lower,
2/6/1962,305.9,288.6,Lower,
9/19/1963,312.8,281.7,Lower,
1/31/1964,307.5,287,Lower,
9/23/1970,277.3,270.4,Lower,
1/26/1971,258.2,289.5,Lower,
9/23/1971,234.7,313,Lower,
1/26/1972,328.8,218.9,Lower,
9/28/1972,223.5,324.2,Lower,
2/1/1973,236.9,310.8,Lower,
9/27/1973,208,339.7,Lower,
1/29/1974,201.8,345.9,Lower,
9/24/1975,211.1,336.6,Lower,
1/20/1976,197.7,350,Lower,
10/12/1976,210.4,337.3,Lower,
9/26/1977,188.2,359.5,Lower,
1/28/1978,196.5,351.2,Lower,
10/4/1978,191.3,356.4,Lower,
1/25/1979,187.5,360.2,Lower,
9/19/1979,211.7,336,Lower,
1/21/1980,195.8,351.9,Lower,
9/18/1980,203.7,344,Lower,
1/20/1981,193.5,354.2,Lower,
9/22/1981,190.4,357.3,Lower,
2/4/1982,196.9,350.8,Lower,
10/7/1982,189.6,358.1,Lower,
2/3/1983,184,363.7,Lower,
9/28/1983,183.5,364.2,Lower,
1/30/1984,198.5,349.2,Lower,
9/27/1984,184.5,363.2,Lower,
1/23/1985,173.5,374.2,Lower,
9/27/1985,189.5,358.2,Lower,
1/28/1986,197.5,350.2,Lower,
9/30/1986,190.3,357.4,Lower,
1/27/1987,150.5,397.2,Lower,
10/7/1987,186.5,361.2,Lower,
1/27/1988,150.5,397.2,Lower,
10/7/1988,216.5,331.2,Lower,
2/2/1989,157.5,390.2,Lower,
9/29/1989,221.5,326.2,Lower,
1/30/1990,177.5,370.2,Lower,
10/2/1990,409.5,138.2,Lower,
1/30/1991,216.5,331.2,Lower,
1/21/1992,189.9,357.8,Lower,
10/7/1992,459.1,88.6,Lower,
1/28/1993,199.6,348.1,Lower,
10/6/1993,190.5,357.2,Lower,
1/29/1994,186.5,361.2,Lower,
10/11/1994,209.9,337.8,Lower,
1/26/1995,203.5,344.2,Lower,
10/2/1995,203.8,343.9,Lower,
1/10/1996,235.7,312,Lower,
9/24/1996,200.3,347.4,Lower,
10/16/1997,188.5,359.2,Lower,
1/20/1998,184.8,362.9,Lower,
10/7/1998,183.7,364,Lower,
1/28/1999,177.5,370.2,Lower,
10/11/1999,159.6,388.1,Lower,
1/31/2000,163.1,384.6,Lower,
