Date,Subsidence_ft,Source
1/1/1924,0.00,Leveling
1/1/1935,0.30,Leveling
1/1/1947,0.54,Leveling
1/1/1948,0.59,Leveling
1/1/1953,1.14,Leveling
1/1/1957,1.16,Leveling
1/1/1959,1.12,Leveling
1/1/1962,1.58,Leveling
1/1/1972,1.91,Leveling
1/22/1997,4.87,Leveling
8/1/2004,5.22,InSAR
9/1/2004,5.24,InSAR
10/1/2004,5.24,InSAR
11/1/2004,5.27,InSAR
12/1/2004,5.28,InSAR
1/1/2005,5.28,InSAR
2/1/2005,5.27,InSAR
3/1/2005,5.26,InSAR
4/1/2005,5.16,InSAR
1/1/2006,5.29,InSAR
2/1/2006,5.28,InSAR
3/1/2006,5.25,InSAR
4/1/2006,5.24,InSAR
5/1/2006,5.23,InSAR
6/1/2006,5.21,InSAR
2/10/2007,5.25,Leveling
3/1/2007,5.22,InSAR
8/1/2007,5.34,InSAR
9/1/2007,5.36,InSAR
2/1/2008,5.27,InSAR
3/1/2008,5.25,InSAR
5/1/2009,5.29,InSAR
6/1/2009,5.31,InSAR
7/1/2009,5.35,InSAR
8/1/2009,5.38,InSAR
9/1/2009,5.41,InSAR
10/1/2009,5.42,InSAR
11/1/2009,5.41,InSAR
12/1/2009,5.38,InSAR
1/1/2010,5.36,InSAR
2/1/2010,5.32,InSAR
3/1/2010,5.30,InSAR
4/1/2010,5.29,InSAR
5/1/2010,5.30,InSAR
6/1/2010,5.32,InSAR
7/1/2015,5.94,InSAR
8/1/2015,5.97,InSAR
9/1/2015,6.00,InSAR
10/1/2015,6.02,InSAR
11/1/2015,6.01,InSAR
12/1/2015,5.99,InSAR
1/1/2016,5.96,InSAR
2/1/2016,5.94,InSAR
4/1/2016,5.92,InSAR
5/1/2016,5.94,InSAR
6/1/2016,5.99,InSAR
7/1/2016,6.03,InSAR
8/1/2016,6.08,InSAR
9/1/2016,6.11,InSAR
10/1/2016,6.12,InSAR
11/1/2016,6.12,InSAR
12/1/2016,6.09,InSAR
1/1/2017,6.06,InSAR
2/1/2017,6.05,InSAR
3/1/2017,6.04,InSAR
4/1/2017,6.04,InSAR
5/1/2017,6.07,InSAR
6/1/2017,6.10,InSAR
7/1/2017,6.14,InSAR
8/1/2017,6.19,InSAR
9/1/2017,6.22,InSAR
10/1/2017,6.22,InSAR
11/1/2017,6.22,InSAR
12/1/2017,6.19,InSAR
1/1/2018,6.16,InSAR
2/1/2018,6.13,InSAR
3/1/2018,6.10,InSAR
4/1/2018,6.12,InSAR
5/1/2018,6.14,InSAR
6/1/2018,6.17,InSAR
7/1/2018,6.22,InSAR
8/1/2018,6.27,InSAR
9/1/2018,6.30,InSAR
10/1/2018,6.33,InSAR
11/1/2018,6.32,InSAR
12/1/2018,6.30,InSAR
1/1/2019,6.27,InSAR
2/1/2019,6.25,InSAR
3/1/2019,6.24,InSAR
4/1/2019,6.26,InSAR
5/1/2019,6.26,InSAR
6/1/2019,6.29,InSAR
7/1/2019,6.35,InSAR
8/1/2019,6.39,InSAR
9/12/2019,6.43,Leveling
10/1/2019,6.46,InSAR
11/1/2019,6.46,InSAR
12/1/2019,6.45,InSAR
1/1/2020,6.42,InSAR
2/1/2020,6.40,InSAR
3/1/2020,6.36,InSAR
4/1/2020,6.35,InSAR
5/1/2020,6.35,InSAR
6/1/2020,6.36,InSAR
7/1/2020,6.40,InSAR
8/1/2020,6.45,InSAR
9/1/2020,6.52,InSAR
10/1/2020,6.57,InSAR
11/1/2020,6.57,InSAR
12/1/2020,6.55,InSAR
1/1/2021,6.52,InSAR
2/1/2021,6.50,InSAR
3/1/2021,6.46,InSAR
4/1/2021,6.45,InSAR
5/1/2021,6.45,InSAR
6/1/2021,6.46,InSAR
7/1/2021,6.51,InSAR
8/1/2021,6.56,InSAR
9/1/2021,6.62,InSAR
10/1/2021,6.65,InSAR
11/1/2021,6.66,InSAR
12/1/2021,6.66,InSAR
1/1/2022,6.63,InSAR
2/1/2022,6.60,InSAR
3/1/2022,6.58,InSAR
4/1/2022,6.56,InSAR
5/1/2022,6.55,InSAR
6/1/2022,6.59,InSAR
7/1/2022,6.63,InSAR
8/1/2022,6.70,InSAR
9/1/2022,6.75,InSAR
10/1/2022,6.75,InSAR
11/1/2022,6.76,InSAR
12/1/2022,6.75,InSAR
1/1/2023,6.74,InSAR
2/1/2023,6.72,InSAR
3/1/2023,6.70,InSAR
4/1/2023,6.68,InSAR
5/1/2023,6.70,InSAR
6/1/2023,6.69,InSAR
7/1/2023,6.73,InSAR
8/1/2023,6.77,InSAR
9/1/2023,6.81,InSAR
10/1/2023,6.83,InSAR
11/1/2023,6.83,InSAR
12/1/2023,6.79,InSAR
1/1/2024,6.76,InSAR
2/1/2024,6.74,InSAR
3/1/2024,6.74,InSAR
4/1/2024,6.73,InSAR
