datetime,Mean CH - layer 3 (Lower Aquifer)
4/1/1933,120.6050941
5/1/1933,119.8737251
6/1/1933,119.8822955
7/1/1933,119.8819755
8/1/1933,119.890787
9/1/1933,119.8907507
10/1/1933,119.8907507
11/1/1933,119.8907507
12/1/1933,119.8907507
1/1/1934,119.8907507
2/1/1934,119.8964438
3/1/1934,119.893597
4/1/1934,119.8909232
5/1/1934,119.8900258
6/1/1934,119.8890183
7/1/1934,119.8878954
8/1/1934,119.8666895
9/1/1934,119.8758289
10/1/1934,119.8737351
11/1/1934,119.8660149
12/1/1934,119.8649994
1/1/1935,119.8645831
2/1/1935,119.8643367
3/1/1935,119.8641849
4/1/1935,119.864119
5/1/1935,119.864119
6/1/1935,119.864119
7/1/1935,119.864119
8/1/1935,119.864119
9/1/1935,119.864119
10/1/1935,119.864119
11/1/1935,119.864119
12/1/1935,119.864119
1/1/1936,119.864119
2/1/1936,119.864119
3/1/1936,119.864119
4/1/1936,119.864119
5/1/1936,119.8620902
6/1/1936,119.8579839
7/1/1936,119.8629142
8/1/1936,119.7905029
9/1/1936,119.8034929
10/1/1936,119.7763913
11/1/1936,119.3026605
12/1/1936,119.242881
1/1/1937,116.046434
2/1/1937,115.3501994
3/1/1937,114.9652754
4/1/1937,114.8555343
5/1/1937,114.8289866
6/1/1937,114.796444
7/1/1937,114.789516
8/1/1937,114.7766047
9/1/1937,114.7324846
10/1/1937,114.7333835
11/1/1937,114.7315387
12/1/1937,114.7297134
1/1/1938,114.7140449
2/1/1938,114.7175723
3/1/1938,114.7043686
4/1/1938,114.672661
5/1/1938,114.6692937
6/1/1938,114.6661876
7/1/1938,114.6633368
8/1/1938,114.6593782
9/1/1938,114.6467092
10/1/1938,114.6376256
11/1/1938,114.4300694
12/1/1938,113.0184469
1/1/1939,111.064339
2/1/1939,108.5157507
3/1/1939,107.4011277
4/1/1939,106.812764
5/1/1939,106.4692052
6/1/1939,106.238768
7/1/1939,106.1637038
8/1/1939,106.1068922
9/1/1939,106.0873221
10/1/1939,106.045176
11/1/1939,105.9770173
12/1/1939,105.7741426
1/1/1940,105.5750023
2/1/1940,105.492363
3/1/1940,105.4059585
4/1/1940,105.3080257
5/1/1940,105.2962333
6/1/1940,105.2119341
7/1/1940,105.1358121
8/1/1940,105.0526119
9/1/1940,104.8859623
10/1/1940,104.7276559
11/1/1940,104.3830781
12/1/1940,103.6878142
1/1/1941,103.3597116
2/1/1941,103.1932732
3/1/1941,102.9300997
4/1/1941,102.4816025
5/1/1941,101.6939094
6/1/1941,101.3185275
7/1/1941,100.958581
8/1/1941,100.7348385
9/1/1941,100.4318663
10/1/1941,100.2403407
11/1/1941,99.98455668
12/1/1941,99.90489266
1/1/1942,99.8035406
2/1/1942,99.69324817
3/1/1942,99.61894102
4/1/1942,99.46870411
5/1/1942,99.37324496
6/1/1942,99.30767102
7/1/1942,99.25554774
8/1/1942,99.1793287
9/1/1942,99.12578994
10/1/1942,99.07871142
11/1/1942,99.03522449
12/1/1942,98.99620966
1/1/1943,98.9620824
2/1/1943,98.91244719
3/1/1943,98.85058567
4/1/1943,98.74464082
5/1/1943,98.62190159
6/1/1943,98.5571925
7/1/1943,98.47298438
8/1/1943,98.41764379
9/1/1943,98.39062791
10/1/1943,98.34681988
11/1/1943,98.29142174
12/1/1943,98.26601847
1/1/1944,98.23481363
2/1/1944,98.20254509
3/1/1944,98.18303936
4/1/1944,98.16008187
5/1/1944,98.12869404
6/1/1944,98.1064695
7/1/1944,98.09531074
8/1/1944,98.09940831
9/1/1944,98.08353314
10/1/1944,98.08835589
11/1/1944,98.07377205
12/1/1944,98.0676017
1/1/1945,98.05976428
2/1/1945,98.04582924
3/1/1945,98.04002006
4/1/1945,98.0346513
5/1/1945,98.0320743
6/1/1945,98.02897519
7/1/1945,98.02699256
8/1/1945,98.01425853
9/1/1945,98.00991181
10/1/1945,98.00753327
11/1/1945,97.99884171
12/1/1945,97.99464731
1/1/1946,97.98792343
2/1/1946,97.98647058
3/1/1946,97.98541081
4/1/1946,97.98429409
5/1/1946,97.98325684
6/1/1946,97.98236332
7/1/1946,97.98173143
8/1/1946,97.98098797
9/1/1946,97.97913473
10/1/1946,97.98263583
11/1/1946,97.97413837
12/1/1946,97.95028607
1/1/1947,97.90914835
2/1/1947,97.93459993
3/1/1947,97.86730894
4/1/1947,97.81197633
5/1/1947,97.78413519
6/1/1947,97.64922983
7/1/1947,97.3132304
8/1/1947,96.95026265
9/1/1947,96.52510921
10/1/1947,96.00250096
11/1/1947,95.3851299
12/1/1947,94.73501627
1/1/1948,93.97685807
2/1/1948,93.10750747
3/1/1948,92.26171563
4/1/1948,91.25733217
5/1/1948,90.24229059
6/1/1948,89.2084906
7/1/1948,88.33084047
8/1/1948,87.39110226
9/1/1948,86.54772547
10/1/1948,85.68472987
11/1/1948,84.62286532
12/1/1948,83.59251212
1/1/1949,82.5393428
2/1/1949,81.48290701
3/1/1949,80.48553103
4/1/1949,79.34019782
5/1/1949,78.23092863
6/1/1949,77.18110987
7/1/1949,76.35486392
8/1/1949,75.41449292
9/1/1949,74.44269367
10/1/1949,73.50823425
11/1/1949,72.43138038
12/1/1949,71.42060694
1/1/1950,70.37787868
2/1/1950,69.39954109
3/1/1950,68.62361118
4/1/1950,67.87017888
5/1/1950,67.18340776
6/1/1950,66.41291793
7/1/1950,65.53859411
8/1/1950,64.56924389
9/1/1950,63.47302193
10/1/1950,62.30058292
11/1/1950,61.01481012
12/1/1950,59.32030711
1/1/1951,57.5645329
2/1/1951,55.82941074
3/1/1951,54.29065711
4/1/1951,52.564528
5/1/1951,50.84181849
6/1/1951,49.01642335
7/1/1951,47.08474121
8/1/1951,45.12901009
9/1/1951,43.25606294
10/1/1951,41.6824695
11/1/1951,40.25496012
12/1/1951,39.05967885
1/1/1952,37.91400699
2/1/1952,36.82977744
3/1/1952,35.8517708
4/1/1952,34.78266006
5/1/1952,33.76892166
6/1/1952,32.61771641
7/1/1952,31.3648792
8/1/1952,29.79468981
9/1/1952,28.0456409
10/1/1952,26.27622543
11/1/1952,24.21112614
12/1/1952,22.28830322
1/1/1953,20.71846897
2/1/1953,19.47683475
3/1/1953,18.39516072
4/1/1953,17.25316416
5/1/1953,16.18430498
6/1/1953,14.71215171
7/1/1953,13.20197222
8/1/1953,11.62540578
9/1/1953,9.876251204
10/1/1953,7.958892738
11/1/1953,5.858103997
12/1/1953,3.933119088
1/1/1954,2.435362829
2/1/1954,1.267912672
3/1/1954,0.392920982
4/1/1954,-0.558543289
5/1/1954,-1.504131183
6/1/1954,-2.526158975
7/1/1954,-3.590054259
8/1/1954,-4.843250115
9/1/1954,-6.299557855
10/1/1954,-7.858762146
11/1/1954,-9.67700151
12/1/1954,-11.3490593
1/1/1955,-12.50388477
2/1/1955,-13.58052933
3/1/1955,-14.50645895
4/1/1955,-15.46449499
5/1/1955,-16.46735858
6/1/1955,-17.5875458
7/1/1955,-18.73919679
8/1/1955,-20.00727354
9/1/1955,-21.35131041
10/1/1955,-22.69943879
11/1/1955,-24.11029055
12/1/1955,-25.33232885
1/1/1956,-26.36944984
2/1/1956,-27.20355644
3/1/1956,-27.76579021
4/1/1956,-28.40546028
5/1/1956,-29.09458658
6/1/1956,-29.88744751
7/1/1956,-30.72755723
8/1/1956,-31.75944182
9/1/1956,-32.8442912
10/1/1956,-34.03805694
11/1/1956,-35.29118639
12/1/1956,-36.67568812
1/1/1957,-38.12382021
2/1/1957,-39.20688038
3/1/1957,-40.07754026
4/1/1957,-40.96300278
5/1/1957,-41.76838776
6/1/1957,-42.63846045
7/1/1957,-43.37042778
8/1/1957,-44.1657676
9/1/1957,-44.91589803
10/1/1957,-45.68453216
11/1/1957,-46.70170284
12/1/1957,-47.61837758
1/1/1958,-48.34821666
2/1/1958,-48.96842802
3/1/1958,-49.54075169
4/1/1958,-50.1447187
5/1/1958,-50.44778164
6/1/1958,-50.52881445
7/1/1958,-50.58705178
8/1/1958,-50.6335857
9/1/1958,-50.6752674
10/1/1958,-50.77057694
11/1/1958,-50.89565277
12/1/1958,-51.00639657
1/1/1959,-51.05413403
2/1/1959,-51.12105626
3/1/1959,-51.1844989
4/1/1959,-51.27102143
5/1/1959,-51.3723347
6/1/1959,-51.43253058
7/1/1959,-51.60642979
8/1/1959,-51.99571662
9/1/1959,-52.85965509
10/1/1959,-53.87489004
11/1/1959,-54.58224057
12/1/1959,-55.11365984
1/1/1960,-55.51515818
2/1/1960,-55.87974195
3/1/1960,-56.21626306
4/1/1960,-56.6257124
5/1/1960,-57.02071485
6/1/1960,-57.46974341
7/1/1960,-57.86945414
8/1/1960,-58.30439968
9/1/1960,-59.19963843
