Date,BLS,Alt,Aquifer
8/19/1950,,18.43,Upper
4/29/1952,,16.23,Upper
5/3/1957,,-23.27,Upper
11/5/1957,,-16.77,Upper
5/1/1958,,-9.51,Upper
5/7/1958,,-7.77,Upper
10/24/1958,,-21.87,Upper
10/16/1959,,-20.87,Upper
12/1/1965,,-75.11,Upper
12/15/1975,,4,Upper
12/14/1976,,-24,Upper
12/11/1978,,-15.1,Upper
12/3/1982,,55,Upper
12/3/1984,,84,Upper
12/8/1986,,106,Upper
12/14/1987,,109.9,Upper
12/8/1988,,78.9,Upper
12/21/1989,,63.9,Upper
12/22/1989,,2.9,Upper
11/23/1990,,-51.1,Upper
11/28/1995,,29.9,Upper
12/11/1996,,77.9,Upper
12/4/1997,,87.9,Upper
12/9/1998,,83.9,Upper
11/24/1999,,91.9,Upper
12/4/2000,,104.9,Upper
11/28/2001,,-1.1,Upper
12/3/2002,,-18.1,Upper
1/12/2006,,85.9,Upper
1/3/2007,,122.9,Upper
12/10/2008,,-6.1,Upper
12/22/2011,,78.9,Upper
1/15/2013,,-5.1,Upper
12/30/2013,,-27.1,Upper
1/22/2015,,-22.1,Upper
11/10/2015,,-134.1,Upper
6/11/2018,,95.91,Upper
12/5/2018,,89.08,Upper
6/4/2019,,128.5,Upper
11/12/2019,,132.19,Upper
10/15/1945,,130.61,Lower
11/14/1945,,129.11,Lower
4/15/1946,,136.31,Lower
10/9/1946,,121.91,Lower
3/5/1947,,114.91,Lower
10/14/1947,,89.11,Lower
12/23/1947,,79.71,Lower
3/5/1948,,66.91,Lower
3/1/1949,,23.71,Lower
7/5/1950,,6.81,Lower
10/3/1950,,-25.29,Lower
11/1/1950,,-31.99,Lower
12/1/1950,,-14.19,Lower
2/1/1951,,-39.09,Lower
8/30/1951,,-48.69,Lower
11/27/1951,,-34.69,Lower
1/3/1952,,-20.69,Lower
10/3/1952,,-71.59,Lower
11/6/1952,,-55.59,Lower
1/6/1953,,-48.39,Lower
9/23/1953,,-103.59,Lower
11/2/1953,,-86.79,Lower
12/1/1953,,-67.69,Lower
1/4/1954,,-36.09,Lower
4/1/1954,,-68.89,Lower
10/7/1954,,-102.29,Lower
10/25/1954,,-91.29,Lower
12/1/1954,,-55.69,Lower
1/5/1955,,-42.29,Lower
2/2/1955,,-61.59,Lower
3/1/1955,,-67.49,Lower
10/31/1955,,-100.49,Lower
11/30/1955,,-80.49,Lower
1/5/1956,,-56.99,Lower
2/1/1956,,-55.89,Lower
