Date,Subsidence_ft,Source
3/15/1933,0,Leveling
6/1/1947,0.59,Leveling
3/25/1954,7.053,Leveling
10/22/1955,8.431,Leveling
1/1/1958,10.229,Leveling
1/15/1959,11.128,Leveling
1/25/1960,12.237,Leveling
3/20/1962,14.284,Leveling
3/28/1963,15.117,Leveling
10/29/1964,16.193,Leveling
2/12/1966,17.076,Leveling
3/15/1967,17.53426773,Leveling
1/1/1968,17.88745016,Leveling
3/1/1969,18.49112472,Leveling
11/1/1969,18.73062604,Leveling
11/1/1970,19.09151844,Leveling
3/1/1972,19.25588852,Leveling
2/22/1975,19.26277829,Leveling
11/1/1977,19.72373631,Leveling
12/1/1981,19.15198653,Leveling
10/1/1983,19.02390032,Leveling
1/1/1986,19.04874123,Leveling
5/15/1989,19.23708835,Leveling
12/1/1993,20.22377226,Leveling
7/1/2000,19.83284903,Leveling
1/1/2006,20.01140284,InSAR
2/1/2006,19.99073355,InSAR
2/1/2006,19.99073355,Leveling
3/1/2006,19.97367318,InSAR
4/1/2006,19.95464431,InSAR
5/1/2006,19.93463118,InSAR
12/1/2006,19.93659969,InSAR
9/1/2007,20.11179654,InSAR
10/1/2007,20.133122,InSAR
11/1/2007,20.15510363,InSAR
12/1/2007,20.17577292,InSAR
1/1/2008,20.20070731,InSAR
2/1/2008,20.22925062,InSAR
3/1/2008,20.25385692,InSAR
4/1/2008,20.27419812,InSAR
5/1/2008,20.30405377,InSAR
6/1/2008,20.32964432,InSAR
7/1/2008,20.3526102,InSAR
8/1/2008,20.37229524,InSAR
9/1/2008,20.40018238,InSAR
2/1/2009,20.244965,Leveling
6/1/2009,20.58522176,InSAR
7/1/2009,20.60096979,InSAR
8/1/2009,20.61081231,InSAR
9/1/2009,20.6232795,InSAR
10/1/2009,20.62918501,InSAR
11/1/2009,20.63443436,InSAR
12/1/2009,20.64132412,InSAR
1/1/2010,20.64394879,InSAR
2/1/2010,20.6377152,InSAR
3/1/2010,20.63082543,InSAR
4/1/2010,20.6314816,InSAR
5/1/2010,20.621311,InSAR
6/1/2010,20.61015614,InSAR
7/1/2010,20.59834512,InSAR
8/1/2010,20.58554984,InSAR
2/1/2013,20.43100577,Leveling
2/12/2015,20.82741088,InSAR
2/18/2015,20.83758149,InSAR
2/23/2015,20.84643975,InSAR
3/1/2015,20.85661036,InSAR
3/1/2015,20.85661036,Leveling
3/7/2015,20.86678096,InSAR
3/13/2015,20.87596731,InSAR
3/20/2015,20.88613792,InSAR
3/26/2015,20.8946681,InSAR
4/1/2015,20.90319829,InSAR
4/7/2015,20.90844763,InSAR
4/13/2015,20.91336889,InSAR
4/19/2015,20.91829015,InSAR
4/25/2015,20.92353949,InSAR
5/1/2015,20.93830327,InSAR
5/7/2015,20.95339514,InSAR
5/13/2015,20.96815892,InSAR
5/20/2015,20.98456312,InSAR
5/26/2015,20.99178097,InSAR
6/1/2015,20.9993269,InSAR
6/7/2015,21.00654475,InSAR
6/13/2015,21.01376259,InSAR
6/19/2015,21.02426128,InSAR
6/25/2015,21.0321353,InSAR
7/1/2015,21.03902506,InSAR
7/7/2015,21.04591483,InSAR
7/13/2015,21.05346076,InSAR
7/20/2015,21.06264711,InSAR
7/26/2015,21.06920879,InSAR
8/1/2015,21.07642664,InSAR
8/7/2015,21.08167598,InSAR
8/13/2015,21.08823766,InSAR
8/20/2015,21.0915185,InSAR
8/26/2015,21.09512743,InSAR
9/1/2015,21.10168911,InSAR
9/7/2015,21.10661037,InSAR
9/13/2015,21.11185971,InSAR
9/19/2015,21.11481247,InSAR
9/25/2015,21.11809331,InSAR
10/1/2015,21.11743714,InSAR
10/7/2015,21.11678097,InSAR
10/13/2015,21.1141563,InSAR
10/20/2015,21.10726653,InSAR
10/26/2015,21.10431378,InSAR
11/1/2015,21.10004869,InSAR
11/7/2015,21.09578359,InSAR
11/13/2015,21.09217467,InSAR
11/19/2015,21.09086233,InSAR
11/25/2015,21.08987808,InSAR
12/1/2015,21.08561299,InSAR
12/7/2015,21.0813479,InSAR
12/13/2015,21.0751143,InSAR
12/20/2015,21.06888071,InSAR
12/26/2015,21.06264711,InSAR
1/1/2016,21.06231903,InSAR
1/7/2016,21.06002244,InSAR
1/13/2016,21.06133477,InSAR
1/20/2016,21.0567416,InSAR
1/26/2016,21.05608543,InSAR
2/1/2016,21.05411693,InSAR
2/7/2016,21.04952375,InSAR
2/13/2016,21.04722716,InSAR
2/18/2016,21.04558674,InSAR
2/24/2016,21.04493057,InSAR
3/1/2016,21.03935315,InSAR
3/1/2016,21.41435316,Leveling
3/7/2016,21.04000931,InSAR
3/13/2016,21.04493057,InSAR
3/20/2016,21.0485395,InSAR
3/26/2016,21.05378884,InSAR
