Aquifer,Top,Bot,Thick_ft,Description
upper aquifer,0,35,35,sand
upper aquifer,35,210,175,clay
upper aquifer,210,217,7,sand
upper aquifer,217,235,18,clay
upper aquifer,235,282,47,sand
upper aquifer,290,493,203,clay
upper aquifer,493,496,3,sand
upper aquifer,496,623,127,clay
upper aquifer,623,640,17,sand
upper aquifer,640,685,45,clay
upper aquifer,685,692,7,sand
upper aquifer,692,700,8,clay
upper aquifer,700,703,3,sand
upper aquifer,703,707,4,clay
upper aquifer,707,730,23,sand
upper aquifer,730,744,14,clay
upper aquifer,744,770,26,sand
upper aquifer,770,780,10,clay
upper aquifer,824,831,7,sand
upper aquifer,831,870,39,clay
upper aquifer,870,879,9,sand
upper aquifer,879,889,10,clay
upper aquifer,889,894,5,sand
upper aquifer,894,900,6,clay
lower aquifer,900,907,7,sand
lower aquifer,907,924,17,clay
lower aquifer,924,936,12,sand
lower aquifer,936,948,12,clay
lower aquifer,948,952,4,sand
lower aquifer,952,956,4,clay
lower aquifer,956,961,5,sand
lower aquifer,961,967,6,clay
lower aquifer,967,972,5,sand
lower aquifer,972,998,26,clay
lower aquifer,998,1029,31,sand
lower aquifer,1029,1038,9,clay
lower aquifer,1038,1074,36,sand
lower aquifer,1074,1081,7,clay
lower aquifer,1081,1128,47,sand
lower aquifer,1128,1167,39,clay
lower aquifer,1167,1184,17,sand
lower aquifer,1184,1218,34,clay
lower aquifer,1218,1248,30,sand
lower aquifer,1248,1347,99,clay
lower aquifer,1347,1375,28,sand
lower aquifer,1375,1409,34,clay
lower aquifer,1409,1414,5,sand
lower aquifer,1414,1419,5,clay
lower aquifer,1419,1426,7,sand
lower aquifer,1426,1433,7,clay
lower aquifer,1433,1440,7,sand
lower aquifer,1440,1448,8,clay
lower aquifer,1448,1459,11,sand
lower aquifer,1459,1470,11,clay
lower aquifer,1470,1479,9,sand
lower aquifer,1479,1488,9,clay
lower aquifer,1488,1495,7,sand
lower aquifer,1495,1503,8,clay
lower aquifer,1503,1561,58,sand
lower aquifer,1561,1620,59,clay
lower aquifer,1620,1626,6,sand
lower aquifer,1626,1633,7,clay
lower aquifer,1633,1648,15,sand
lower aquifer,1648,1663,15,clay
lower aquifer,1663,1672,9,sand
lower aquifer,1672,1681,9,clay
lower aquifer,1681,1684,3,sand
lower aquifer,1684,1688,4,clay
