datetime,Mean CH - layer 3 (Principal Aquifer)
1/1/1921,389.6202099
2/1/1921,389.4281558
3/1/1921,389.4240381
4/1/1921,389.3647041
5/1/1921,389.3633607
6/1/1921,389.1237136
7/1/1921,388.550352
8/1/1921,387.8147086
9/1/1921,387.4421818
10/1/1921,386.4249953
11/1/1921,385.5051661
12/1/1921,384.3618549
1/1/1922,383.550286
2/1/1922,382.5592743
3/1/1922,381.6928929
4/1/1922,381.1011703
5/1/1922,380.4212557
6/1/1922,378.9375639
7/1/1922,378.3137819
8/1/1922,376.2848254
9/1/1922,374.6399799
10/1/1922,373.7678761
11/1/1922,372.9855148
12/1/1922,372.1934934
1/1/1923,371.2507436
2/1/1923,370.1679562
3/1/1923,369.5595218
4/1/1923,368.9972053
5/1/1923,368.5336824
6/1/1923,367.9457359
7/1/1923,367.5108264
8/1/1923,367.0828345
9/1/1923,366.3893652
10/1/1923,365.7348684
11/1/1923,365.1003598
12/1/1923,364.6004175
1/1/1924,364.1540111
2/1/1924,363.849855
3/1/1924,363.5434238
4/1/1924,363.2662074
5/1/1924,363.0482648
6/1/1924,362.8825576
7/1/1924,362.6705915
8/1/1924,362.4535887
9/1/1924,362.2779595
10/1/1924,362.0711152
11/1/1924,361.8974074
12/1/1924,361.7136732
1/1/1925,361.5028431
2/1/1925,361.3023555
3/1/1925,361.1578427
4/1/1925,360.964761
5/1/1925,360.7766818
6/1/1925,360.6092026
7/1/1925,360.4583905
8/1/1925,360.2677817
9/1/1925,359.9356741
10/1/1925,359.3892412
11/1/1925,358.8996415
12/1/1925,358.511016
1/1/1926,357.5514075
2/1/1926,356.9234397
3/1/1926,356.5689765
4/1/1926,356.2421026
5/1/1926,355.9298417
6/1/1926,355.6114546
7/1/1926,355.2278708
8/1/1926,354.8940834
9/1/1926,354.3694983
10/1/1926,353.9451782
11/1/1926,352.8709737
12/1/1926,352.5342183
1/1/1927,351.9894415
2/1/1927,351.2694136
3/1/1927,350.3377003
4/1/1927,348.9764386
5/1/1927,347.6295569
6/1/1927,346.7234675
7/1/1927,346.0373222
8/1/1927,344.8390654
9/1/1927,343.823211
10/1/1927,342.8159559
11/1/1927,341.9310434
12/1/1927,340.758107
1/1/1928,340.1627492
2/1/1928,339.5607906
3/1/1928,338.9581799
4/1/1928,338.4282912
5/1/1928,338.0102935
6/1/1928,337.3650377
7/1/1928,335.9332017
8/1/1928,335.1717522
9/1/1928,333.9590474
10/1/1928,332.7894015
11/1/1928,331.1963202
12/1/1928,330.4640205
1/1/1929,329.7625195
2/1/1929,328.9726647
3/1/1929,328.0839286
4/1/1929,326.1266206
5/1/1929,325.0684618
6/1/1929,323.9431801
7/1/1929,323.1424093
8/1/1929,322.4271962
9/1/1929,321.6668549
10/1/1929,320.3534656
