Aquifer,Top,Bot,Thick_ft,Description
upper aquifer,50,54,4,sand
upper aquifer,54,58,4,clay
upper aquifer,58,68,10,sand
upper aquifer,68,78,10,clay
upper aquifer,78,88,10,sand
upper aquifer,88,98,10,clay
upper aquifer,98,113,15,sand
upper aquifer,113,128,15,clay
upper aquifer,128,158,30,sand
upper aquifer,158,188,30,clay
upper aquifer,188,198,10,sand
upper aquifer,198,208,10,clay
upper aquifer,208,213,5,sand
upper aquifer,213,218,5,clay
upper aquifer,218,223,5,sand
upper aquifer,223,228,5,clay
upper aquifer,228,238,10,sand
upper aquifer,238,248,10,clay
upper aquifer,248,253,5,sand
upper aquifer,253,258,5,clay
upper aquifer,258,263,5,sand
upper aquifer,263,268,5,clay
upper aquifer,268,273,5,sand
upper aquifer,273,278,5,clay
upper aquifer,278,283,5,sand
upper aquifer,283,288,5,clay
upper aquifer,288,308,20,sand
upper aquifer,308,328,20,clay
upper aquifer,328,358,30,sand
upper aquifer,358,388,30,clay
upper aquifer,388,413,25,sand
upper aquifer,413,438,25,clay
corcoran,438,448,10,sand
corcoran,448,458,10,clay
corcoran,458,463,5,sand
corcoran,463,468,5,clay
lower aquifer,468,493,25,sand
lower aquifer,493,518,25,clay
lower aquifer,518,523,5,sand
lower aquifer,523,528,5,clay
lower aquifer,528,538,10,sand
lower aquifer,538,548,10,clay
lower aquifer,548,578,30,sand
lower aquifer,578,608,30,clay
lower aquifer,608,663,55,sand
lower aquifer,663,718,55,clay
lower aquifer,718,811,93,sand
lower aquifer,811,817,6,clay
lower aquifer,817,849,32,sand
lower aquifer,849,882,33,clay
lower aquifer,882,891,9,sand
lower aquifer,891,920,29,clay
lower aquifer,920,927,7,sand
lower aquifer,927,968,41,clay
lower aquifer,968,973,5,sand
lower aquifer,973,1008,35,clay
lower aquifer,1008,1023,15,sand
lower aquifer,1023,1048,25,clay
lower aquifer,1048,1055,7,sand
lower aquifer,1055,1069,14,clay
lower aquifer,1069,1096,27,sand
lower aquifer,1096,1104,8,clay
lower aquifer,1104,1113,9,sand
lower aquifer,1113,1134,21,clay
lower aquifer,1134,1137,3,sand
lower aquifer,1137,1149,12,clay
lower aquifer,1149,1153,4,sand
lower aquifer,1153,1157,4,clay
lower aquifer,1157,1160,3,sand
lower aquifer,1160,1164,4,clay
lower aquifer,1164,1168,4,sand
lower aquifer,1168,1172,4,clay
lower aquifer,1172,1182,10,sand
lower aquifer,1182,1186,4,clay
lower aquifer,1186,1186,0,sand
lower aquifer,1186,1187,1,clay
lower aquifer,1187,1270,83,sand
lower aquifer,1270,1282,12,clay
lower aquifer,1282,1289,7,sand
lower aquifer,1289,1312,23,clay
lower aquifer,1312,1337,25,sand
lower aquifer,1337,1342,5,clay
lower aquifer,1342,1347,5,sand
lower aquifer,1347,1352,5,clay
lower aquifer,1352,1362,10,sand
lower aquifer,1362,1372,10,clay
lower aquifer,1372,1382,10,sand
lower aquifer,1382,1392,10,clay
lower aquifer,1392,1412,20,sand
lower aquifer,1412,1432,20,clay
