Date,BLS,Alt,Aquifer
3/28/1949,,281.76,Upper
11/9/1949,,268.76,Upper
12/15/1949,,278.26,Upper
3/3/1950,,278.46,Upper
9/11/1950,,254.76,Upper
10/23/1950,,259.26,Upper
11/14/1950,,270.36,Upper
12/6/1950,,274.76,Upper
2/20/1951,,281.76,Upper
6/18/1951,,265.76,Upper
9/13/1951,,251.76,Upper
11/2/1951,,262.76,Upper
12/19/1951,,266.76,Upper
2/6/1952,,277.76,Upper
4/9/1952,,274.76,Upper
8/7/1952,,265.76,Upper
11/1/1952,,262.76,Upper
12/9/1952,,273.76,Upper
2/9/1953,,281.76,Upper
8/25/1953,,239.76,Upper
9/23/1953,,247.76,Upper
11/9/1953,,257.76,Upper
12/3/1953,,276.46,Upper
2/11/1954,,270.26,Upper
7/13/1954,,245.76,Upper
11/1/1954,,258.76,Upper
12/6/1954,,262.96,Upper
2/1/1955,,263.76,Upper
3/24/1955,,265.76,Upper
9/14/1955,,259.76,Upper
11/1/1955,,251.76,Upper
12/22/1955,,253.76,Upper
2/1/1956,,251.76,Upper
2/15/1956,,257.76,Upper
3/1/1956,,253.76,Upper
10/2/1956,,227.76,Upper
11/2/1956,,251.76,Upper
3/4/1957,,254.76,Upper
4/2/1957,,230.76,Upper
5/2/1957,,236.76,Upper
6/6/1957,,185.76,Upper
7/5/1957,,169.76,Upper
7/19/1957,,162.76,Upper
8/5/1957,,205.76,Upper
9/5/1957,,167.76,Upper
12/11/1957,,187.76,Upper
2/5/1958,,245.26,Upper
3/3/1958,,235.76,Upper
3/28/1958,,252.76,Upper
9/10/1958,,223.76,Upper
2/10/1959,,253.76,Upper
2/12/1960,,249.76,Upper
3/7/1962,,239.16,Upper
7/26/1962,,197.16,Upper
9/11/1962,,212.16,Upper
1/28/1963,,206.16,Upper
8/27/1963,,204.16,Upper
2/10/1964,,234.16,Upper
9/14/1964,,187.16,Upper
2/8/1965,,208.16,Upper
2/23/1966,,250.16,Upper
9/29/1966,,205.16,Upper
2/10/1967,,233.16,Upper
1/24/1968,,216.16,Upper
2/7/1969,,248.16,Upper
9/30/1969,,228.16,Upper
1/20/1970,,239.16,Upper
9/23/1970,,217.16,Upper
1/25/1971,,193.16,Upper
9/21/1971,,203.76,Upper
1/26/1972,,237.76,Upper
9/28/1972,,203.76,Upper
1/31/1973,,243.76,Upper
9/27/1973,,207.76,Upper
1/31/1974,,233.76,Upper
9/27/1974,,208.76,Upper
10/1/1974,,221.16,Upper
2/4/1975,,233.16,Upper
10/1/1975,,216.16,Upper
2/4/1976,,220.16,Upper
7/23/1976,,190.16,Upper
10/12/1976,,236.16,Upper
2/8/1977,,249.16,Upper
6/10/1977,,228.16,Upper
8/24/1977,,193.16,Upper
10/14/1977,,232.16,Upper
2/23/1978,,260.16,Upper
10/12/1978,,235.16,Upper
1/29/1979,,252.16,Upper
10/4/1979,,232.16,Upper
2/13/1980,,255.16,Upper
10/7/1980,,234.16,Upper
2/11/1981,,257.16,Upper
10/1/1981,,244.16,Upper
2/5/1982,,267.16,Upper
10/11/1982,,235.16,Upper
2/2/1983,,257.16,Upper
10/12/1983,,260.16,Upper
2/2/1984,,267.16,Upper
10/10/1984,,239.16,Upper
1/22/1985,,267.16,Upper
10/1/1985,,231.16,Upper
1/31/1986,,264.16,Upper
10/11/1986,,237.16,Upper
1/26/1987,,249.16,Upper
10/14/1987,,262.16,Upper
2/8/1988,,268.16,Upper
10/4/1988,,255.16,Upper
1/23/1989,,268.16,Upper
10/3/1989,,258.96,Upper
1/23/1990,,270.46,Upper
10/4/1990,,254.16,Upper
1/23/1991,,267.26,Upper
10/2/1991,,252.16,Upper
1/29/1992,,266.26,Upper
10/7/1992,,249.46,Upper
1/27/1993,,263.76,Upper
9/29/1993,,255.16,Upper
1/26/1994,,266.76,Upper
9/27/1994,,247.96,Upper
3/8/1995,,266.26,Upper
10/9/1995,,256.16,Upper
1/15/1996,,266.46,Upper
10/18/1996,,259.76,Upper
1/9/1997,,268.26,Upper
10/1/1997,,258.36,Upper
1/26/1998,,269.06,Upper
10/19/1998,,263.86,Upper
1/20/1999,,270.06,Upper
10/4/1999,,261.96,Upper
1/6/2000,,269.86,Upper
1/8/2001,,268.96,Upper
10/22/2001,,255.36,Upper
1/10/2002,,266.66,Upper
11/13/2003,,264.36,Upper
1/16/2004,,268.86,Upper
1/18/2012,,287.28,Upper
1/7/2013,,287.18,Upper
1/13/2014,,285.78,Upper
3/5/2015,,287.28,Upper
10/25/2017,,287.08,Upper
3/13/2018,,287.18,Upper
10/9/2018,,261.68,Upper
3/12/2019,,287.38,Upper
3/4/2020,,254.48,Upper
10/7/2020,,286.58,Upper
10/5/2021,,285.29,Upper
2/28/2022,,285.28,Upper
3/4/2024,,263.58,Upper
12/1/1920,,285,Lower
6/5/1952,,236.5,Lower
7/3/1952,,237.4,Lower
8/7/1952,,251.9,Lower
