Date,Subsidence_ft,Source
1/1/1926,0,Leveling
1/10/1935,0.036,Leveling
4/15/1953,1.538,Leveling
6/1/1957,2.451,Leveling
4/15/1959,2.985,Leveling
12/1/1961,4.235,Leveling
2/5/1965,5.216,Leveling
3/9/1970,6.887008094,Leveling
4/15/1972,7.102362432,Leveling
3/1/1978,8.277264044,Leveling
7/17/1989,8.881496347,Leveling
7/1/2004,9.207674846,InSAR
8/1/2004,9.239827078,InSAR
9/1/2004,9.25557511,InSAR
1/1/2006,9.143370382,InSAR
2/1/2006,9.113842822,InSAR
3/1/2006,9.099407126,InSAR
4/1/2006,9.120076418,InSAR
5/1/2006,9.146979306,InSAR
6/1/2006,9.183724714,InSAR
12/1/2006,9.228344138,InSAR
1/1/2007,9.20800293,InSAR
2/1/2007,9.191926814,InSAR
8/1/2007,9.349407134,InSAR
9/1/2007,9.363514746,InSAR
2/1/2008,9.283134166,InSAR
3/1/2008,9.282149914,InSAR
5/1/2009,9.425194538,InSAR
6/1/2009,9.459971442,InSAR
7/1/2009,9.494748346,InSAR
8/1/2009,9.528540998,InSAR
9/1/2009,9.543960946,InSAR
10/1/2009,9.537399266,InSAR
11/1/2009,9.521651234,InSAR
12/1/2009,9.499341522,InSAR
1/1/2010,9.47539139,InSAR
2/1/2010,9.447832334,InSAR
3/1/2010,9.436677478,InSAR
4/1/2010,9.43602131,InSAR
5/1/2010,9.453081678,InSAR
6/1/2010,9.489170918,InSAR
5/20/2015,9.319969634,InSAR
5/26/2015,9.32948407,InSAR
6/1/2015,9.338670422,InSAR
6/7/2015,9.346216354,InSAR
6/13/2015,9.35409037,InSAR
6/19/2015,9.353762286,InSAR
6/25/2015,9.35244995,InSAR
7/1/2015,9.359667798,InSAR
7/7/2015,9.365901394,InSAR
7/13/2015,9.371478822,InSAR
7/20/2015,9.378368586,InSAR
7/26/2015,9.383946014,InSAR
8/1/2015,9.389195358,InSAR
8/7/2015,9.392804282,InSAR
8/13/2015,9.40002213,InSAR
8/20/2015,9.40986465,InSAR
8/26/2015,9.41642633,InSAR
9/1/2015,9.422331842,InSAR
9/7/2015,9.429221606,InSAR
9/13/2015,9.43775179,InSAR
9/19/2015,9.44103263,InSAR
9/25/2015,9.44103263,InSAR
10/1/2015,9.439720294,InSAR
10/7/2015,9.441688798,InSAR
