Date,BLS,Alt,Aquifer
10/19/1938,,273.51,Upper
10/10/1939,,266.21,Upper
10/26/1940,,269.41,Upper
10/24/1941,,276.01,Upper
10/16/1942,,274.71,Upper
10/14/1943,,277.31,Upper
10/14/1944,,268.51,Upper
10/26/1944,,274.91,Upper
11/27/1944,,276.21,Upper
12/29/1944,,276.31,Upper
10/25/1945,,278.61,Upper
6/13/1946,,286.51,Upper
10/18/1946,,281.51,Upper
3/12/1947,,281.51,Upper
10/2/1947,,268.71,Upper
3/4/1948,,272.21,Upper
9/20/1948,,264.21,Upper
2/18/1949,,266.91,Upper
10/10/1949,,257.61,Upper
2/14/1950,,259.41,Upper
10/12/1950,,252.41,Upper
2/2/1951,,256.01,Upper
10/12/1951,,248.41,Upper
2/19/1952,,252.91,Upper
10/8/1952,,254.41,Upper
2/9/1953,,258.71,Upper
9/26/1953,,254.01,Upper
2/16/1954,,252.71,Upper
9/28/1954,,252.31,Upper
9/29/1955,,241.41,Upper
2/17/1956,,254.21,Upper
10/13/1956,,251.91,Upper
2/13/1957,,257.21,Upper
10/21/1957,,249.81,Upper
2/28/1958,,253.91,Upper
10/7/1958,,254.41,Upper
2/2/1959,,256.31,Upper
9/28/1959,,246.31,Upper
2/19/1960,,249.01,Upper
10/6/1960,,235.61,Upper
2/17/1961,,230.74,Upper
2/20/1961,,240.81,Upper
10/26/1961,,229.81,Upper
3/1/1962,,232.31,Upper
2/21/1963,,230.61,Upper
9/24/1963,,229.61,Upper
2/4/1964,,233.81,Upper
9/28/1964,,226.21,Upper
2/3/1965,,230.61,Upper
2/2/1966,,232.81,Upper
2/6/1967,,227.11,Upper
2/8/1968,,239.71,Upper
2/17/1969,,238.61,Upper
10/2/1969,,243.91,Upper
2/5/1970,,248.71,Upper
10/2/1970,,245.01,Upper
1/28/1971,,242.81,Upper
9/27/1971,,226.01,Upper
1/26/1972,,243.21,Upper
10/2/1972,,226.81,Upper
10/4/1973,,233.81,Upper
10/13/1974,,236.81,Upper
10/2/1975,,232.71,Upper
10/14/1976,,223.71,Upper
1/17/1977,,232.11,Upper
6/10/1977,,217.71,Upper
8/10/1977,,216.71,Upper
10/5/1977,,218.71,Upper
1/31/1978,,215.71,Upper
10/9/1978,,228.81,Upper
1/17/1979,,233.71,Upper
9/28/1979,,223.71,Upper
1/23/1980,,227.71,Upper
9/23/1980,,227.71,Upper
2/4/1981,,230.71,Upper
9/22/1981,,223.81,Upper
1/29/1982,,234.81,Upper
9/28/1982,,240.71,Upper
1/26/1983,,247.71,Upper
9/26/1983,,252.81,Upper
2/1/1984,,255.81,Upper
10/2/1984,,252.81,Upper
1/30/1985,,255.81,Upper
10/1/1985,,250.81,Upper
1/28/1986,,252.81,Upper
9/26/1986,,254.81,Upper
1/22/1987,,254.31,Upper
9/21/1987,,252.81,Upper
2/1/1988,,256.81,Upper
9/28/1988,,247.81,Upper
1/23/1989,,243.81,Upper
10/3/1989,,232.81,Upper
1/31/1990,,237.81,Upper
10/5/1990,,222.81,Upper
1/31/1991,,221.81,Upper
