datetime,Mean CH - layer 3 (Lower Aquifer)
3/1/1901,298.4001112
4/1/1901,297.5431956
5/1/1901,296.8875838
6/1/1901,296.3970691
7/1/1901,295.8557188
8/1/1901,295.3857344
9/1/1901,294.9063842
10/1/1901,294.2927413
11/1/1901,293.7846921
12/1/1901,293.372665
1/1/1902,293.0344263
2/1/1902,292.8503628
3/1/1902,292.5522459
4/1/1902,292.3809077
5/1/1902,292.2202563
6/1/1902,292.0175882
7/1/1902,291.8800195
8/1/1902,291.7104898
9/1/1902,291.5705892
10/1/1902,291.5542353
11/1/1902,291.5538778
12/1/1902,291.5535745
1/1/1903,291.5527528
2/1/1903,291.5518426
3/1/1903,291.5518426
4/1/1903,291.5518426
5/1/1903,291.5518426
6/1/1903,291.5516585
7/1/1903,291.5513596
8/1/1903,291.5483567
9/1/1903,291.5473821
10/1/1903,291.5417887
11/1/1903,291.5369263
12/1/1903,291.5307679
1/1/1904,291.5247999
2/1/1904,291.5124046
3/1/1904,291.4966745
4/1/1904,291.4877902
5/1/1904,291.4785929
6/1/1904,291.4751736
7/1/1904,291.467685
8/1/1904,291.4542835
9/1/1904,291.4472784
10/1/1904,291.4391799
11/1/1904,291.4352983
12/1/1904,291.4316748
1/1/1905,291.4272669
2/1/1905,291.4222751
3/1/1905,291.4209085
4/1/1905,291.4165075
5/1/1905,291.4117858
6/1/1905,291.4047614
7/1/1905,291.396955
8/1/1905,291.3869564
9/1/1905,291.3768964
10/1/1905,291.3652638
11/1/1905,291.3502518
12/1/1905,291.3383116
1/1/1906,291.3327765
2/1/1906,291.3241026
3/1/1906,291.3157359
4/1/1906,291.3080861
5/1/1906,291.3024393
6/1/1906,291.2984571
7/1/1906,291.2899479
8/1/1906,291.2747723
9/1/1906,291.257853
10/1/1906,291.2505681
11/1/1906,291.2360711
12/1/1906,291.2116108
1/1/1907,291.1731981
2/1/1907,291.1288503
3/1/1907,291.0612779
4/1/1907,291.0064646
5/1/1907,290.9053755
6/1/1907,290.7561176
7/1/1907,290.5840001
8/1/1907,290.4586179
9/1/1907,290.3431203
10/1/1907,290.1753374
11/1/1907,290.0506772
12/1/1907,289.9558813
1/1/1908,289.8634697
2/1/1908,289.7878855
3/1/1908,289.7042544
4/1/1908,289.6225653
5/1/1908,289.4713883
6/1/1908,289.3856858
7/1/1908,289.2939272
8/1/1908,289.2286268
9/1/1908,289.1173712
10/1/1908,288.9964204
11/1/1908,288.8864005
12/1/1908,288.7441179
1/1/1909,288.574302
2/1/1909,288.264373
3/1/1909,287.9514906
4/1/1909,287.735287
5/1/1909,287.3785406
6/1/1909,286.960713
7/1/1909,286.6921509
8/1/1909,286.471332
9/1/1909,286.1920126
10/1/1909,285.6281517
11/1/1909,285.1895074
12/1/1909,284.6679845
1/1/1910,284.104583
2/1/1910,283.548307
3/1/1910,282.9335795
4/1/1910,282.3941052
5/1/1910,281.7970551
6/1/1910,281.0710704
7/1/1910,280.4550671
8/1/1910,279.8341996
9/1/1910,279.2940769
10/1/1910,278.5632298
11/1/1910,277.8528668
12/1/1910,277.0007073
1/1/1911,276.1457429
2/1/1911,275.6386828
3/1/1911,275.2275547
4/1/1911,275.0310394
5/1/1911,274.8602398
6/1/1911,274.6890836
7/1/1911,274.5880888
8/1/1911,274.4249452
9/1/1911,274.3988511
10/1/1911,274.3351925
11/1/1911,274.30246
12/1/1911,274.25237
1/1/1912,274.2158376
2/1/1912,274.1734072
3/1/1912,274.1041594
4/1/1912,274.0547858
5/1/1912,273.9778694
6/1/1912,273.9248229
7/1/1912,273.8247027
8/1/1912,273.7286482
9/1/1912,273.7042412
10/1/1912,273.6447037
11/1/1912,273.5713202
12/1/1912,273.5293423
1/1/1913,273.4540452
2/1/1913,273.3337242
3/1/1913,273.2727063
4/1/1913,273.246382
5/1/1913,273.2333157
6/1/1913,273.2279403
7/1/1913,273.2268666
8/1/1913,273.2258957
9/1/1913,273.2235202
10/1/1913,273.2068215
11/1/1913,273.1784733
12/1/1913,273.124152
1/1/1914,273.0555528
2/1/1914,272.9420766
3/1/1914,272.8880134
4/1/1914,272.8483825
5/1/1914,272.7609843
6/1/1914,272.7185934
7/1/1914,272.6517419
8/1/1914,272.6239188
9/1/1914,272.6073362
10/1/1914,272.5995595
11/1/1914,272.595689
12/1/1914,272.5910954
1/1/1915,272.5879001
2/1/1915,272.5857969
3/1/1915,272.5844549
4/1/1915,272.5844549
5/1/1915,272.5844549
6/1/1915,272.5844549
7/1/1915,272.5842682
8/1/1915,272.5836116
9/1/1915,272.5826213
10/1/1915,272.5823994
11/1/1915,272.5819423
12/1/1915,272.5812885
1/1/1916,272.581228
2/1/1916,272.581228
3/1/1916,272.581228
4/1/1916,272.581228
5/1/1916,272.581228
6/1/1916,272.581228
7/1/1916,272.581228
8/1/1916,272.581228
9/1/1916,272.581228
10/1/1916,272.581228
11/1/1916,272.581228
12/1/1916,272.581228
1/1/1917,272.581228
2/1/1917,272.581228
3/1/1917,272.581228
4/1/1917,272.581228
5/1/1917,272.581228
6/1/1917,272.581228
7/1/1917,272.581228
8/1/1917,272.581228
9/1/1917,272.5811821
10/1/1917,272.5800562
11/1/1917,272.5782312
12/1/1917,272.5747404
1/1/1918,272.5669687
2/1/1918,272.554772
3/1/1918,272.5469353
4/1/1918,272.5425428
5/1/1918,272.5396474
6/1/1918,272.5338346
7/1/1918,272.5247566
8/1/1918,272.5018744
9/1/1918,272.4953546
10/1/1918,272.4921376
11/1/1918,272.4899846
12/1/1918,272.4859889
1/1/1919,272.4808167
2/1/1919,272.4743513
3/1/1919,272.4657114
4/1/1919,272.4616761
5/1/1919,272.441487
6/1/1919,272.437367
7/1/1919,272.4308419
8/1/1919,272.4195345
9/1/1919,272.355797
10/1/1919,272.2912126
11/1/1919,272.0821808
12/1/1919,271.8745133
1/1/1920,271.6260328
2/1/1920,271.4572952
3/1/1920,271.4168459
4/1/1920,271.3635261
5/1/1920,271.1785318
6/1/1920,271.0547064
7/1/1920,270.9325081
8/1/1920,270.8214022
9/1/1920,270.766102
10/1/1920,270.7254919
11/1/1920,270.6303683
12/1/1920,270.5929042
1/1/1921,270.5028238
2/1/1921,270.4167717
3/1/1921,270.3248093
4/1/1921,270.2670991
5/1/1921,270.2092436
6/1/1921,270.1500699
7/1/1921,270.0169788
8/1/1921,269.9510439
9/1/1921,269.9347511
10/1/1921,269.9284022
11/1/1921,269.9270201
12/1/1921,269.9267717
1/1/1922,269.9249761
2/1/1922,269.9238444
3/1/1922,269.9210631
4/1/1922,269.9078298
5/1/1922,269.8979662
6/1/1922,269.8887591
7/1/1922,269.7781088
8/1/1922,269.5697455
9/1/1922,269.3289358
10/1/1922,269.1655183
11/1/1922,268.8977872
12/1/1922,268.7029174
1/1/1923,268.6510194
2/1/1923,268.6124485
3/1/1923,268.604873
4/1/1923,268.5821672
5/1/1923,268.5060402
6/1/1923,268.4567518
7/1/1923,268.4096642
8/1/1923,268.3789172
9/1/1923,268.1722276
10/1/1923,267.7208967
11/1/1923,267.4342552
12/1/1923,267.1084446
1/1/1924,266.640917
2/1/1924,266.0445227
3/1/1924,265.5395024
4/1/1924,265.2630548
5/1/1924,265.1864554
6/1/1924,265.0892698
7/1/1924,264.9552344
8/1/1924,264.8670569
9/1/1924,264.7673589
10/1/1924,264.5272271
11/1/1924,264.2540349
