Date,BLS,Alt,Aquifer,,,,,
1/1/1905,0,275.1,Upper,,,,,
8/6/1920,9.3,265.8,Upper,,,,,
11/1/1920,9.4,265.7,Upper,,,,,
10/19/1921,11,264.1,Upper,,,,,
11/24/1922,12.7,262.4,Upper,,,,,
9/30/1924,16.4,258.7,Upper,,,,,
6/7/1925,18.2,256.9,Upper,,,,,
1/7/1926,19.4,255.7,Upper,,,,,
9/2/1926,21.1,254,Upper,,,,,
6/23/1927,22.6,252.5,Upper,,,,,
4/13/1928,24.8,250.3,Upper,,,,,
12/4/1928,26.1,249,Upper,,,,,
1/27/1930,28.8,246.3,Upper,,,,,
10/15/1930,33.7,241.4,Upper,,,,,
10/20/1931,38.1,237,Upper,,,,,
10/25/1932,36.2,238.9,Upper,,,,,
11/2/1933,38.5,236.6,Upper,,,,,
11/19/1936,45.3,229.8,Upper,,,,,
11/4/1937,51.3,223.8,Upper,,,,,
12/7/1938,54.8,220.3,Upper,,,,,
11/17/1939,55.8,219.3,Upper,,,,,
12/4/1940,57.9,217.2,Upper,,,,,
10/30/1941,61.3,213.8,Upper,,,,,
11/14/1942,63.8,211.3,Upper,,,,,
10/28/1943,64.3,210.8,Upper,,,,,
10/23/1945,69.6,205.5,Upper,,,,,
12/11/1945,70.2,204.9,Upper,,,,,
5/23/1946,70.8,204.3,Upper,,,,,
11/7/1946,73.2,201.9,Upper,,,,,
9/17/1947,75,200.1,Upper,,,,,
2/5/1948,79.8,195.3,Upper,,,,,
9/14/1948,91.2,183.9,Upper,,,,,
2/4/1949,83.3,191.8,Upper,,,,,
9/26/1949,82.3,192.8,Upper,,,,,
2/2/1950,82.2,192.9,Upper,,,,,
9/21/1950,84,191.1,Upper,,,,,
2/1/1951,85.9,189.2,Upper,,,,,
10/9/1951,88,187.1,Upper,,,,,
9/25/1952,93.2,181.9,Upper,,,,,
11/28/1952,94.5,180.6,Upper,,,,,
3/26/1953,89.3,185.8,Upper,,,,,
5/27/1953,93.8,181.3,Upper,,,,,
10/2/1953,92,183.1,Upper,,,,,
3/1/1954,91.9,183.2,Upper,,,,,
8/2/1954,100.3,174.8,Upper,,,,,
9/29/1954,100.6,174.5,Upper,,,,,
1/31/1955,98.8,176.3,Upper,,,,,
3/2/1955,98.8,176.3,Upper,,,,,
11/2/1955,107.3,167.8,Upper,,,,,
4/3/1956,96.6,178.5,Upper,,,,,
10/2/1956,100.8,174.3,Upper,,,,,
2/15/1957,117.5,169.5,Upper,,,,,
10/3/1957,120.5,166.5,Upper,,,,,
2/13/1958,115.5,171.5,Upper,,,,,
2/14/1958,115.1,171.9,Upper,,,,,
10/1/1958,111.5,175.5,Upper,,,,,
2/2/1959,105.5,181.5,Upper,,,,,
2/20/1959,105.3,181.7,Upper,,,,,
9/28/1959,110.5,176.5,Upper,,,,,
2/10/1960,105.5,181.5,Upper,,,,,
9/26/1960,119.5,167.5,Upper,,,,,
2/8/1961,111.5,175.5,Upper,,,,,
9/26/1961,125.5,161.5,Upper,,,,,
2/5/1962,117.5,169.5,Upper,,,,,
10/8/1962,112.5,174.5,Upper,,,,,
2/7/1963,109.5,177.5,Upper,,,,,
9/20/1963,109.5,177.5,Upper,,,,,
2/3/1964,105.5,181.5,Upper,,,,,
2/1/1965,102.5,184.5,Upper,,,,,
2/3/1966,97.5,189.5,Upper,,,,,
2/6/1967,102.5,184.5,Upper,,,,,
1/30/1968,97.5,189.5,Upper,,,,,
1/29/1969,100.5,186.5,Upper,,,,,
9/26/1969,96.5,190.5,Upper,,,,,
1/28/1970,86.5,200.5,Upper,,,,,
9/23/1970,91.5,195.5,Upper,,,,,
1/28/1971,90.5,196.5,Upper,,,,,
9/22/1971,91.5,195.5,Upper,,,,,
1/28/1972,88.5,198.5,Upper,,,,,
9/28/1972,100.5,186.5,Upper,,,,,
1/31/1973,91.5,195.5,Upper,,,,,
9/24/1973,90.5,196.5,Upper,,,,,
2/15/1974,86.5,200.5,Upper,,,,,
9/30/1974,81.5,205.5,Upper,,,,,
9/24/1975,83.5,203.5,Upper,,,,,
10/5/1976,92.5,194.5,Upper,,,,,
10/6/1977,99.5,187.5,Upper,,,,,
1/26/1978,93.5,193.5,Upper,,,,,
10/2/1978,84.5,202.5,Upper,,,,,
1/22/1979,81.5,205.5,Upper,,,,,
9/21/1979,84.5,202.5,Upper,,,,,
1/24/1980,80.5,206.5,Upper,,,,,
9/24/1980,81.5,205.5,Upper,,,,,
1/28/1981,77.5,209.5,Upper,,,,,
9/23/1981,82.5,204.5,Upper,,,,,
1/26/1982,81.5,205.5,Upper,,,,,
9/28/1982,78.5,208.5,Upper,,,,,
1/25/1983,78.5,208.5,Upper,,,,,
9/28/1983,69.5,217.5,Upper,,,,,
2/1/1984,68.5,218.5,Upper,,,,,
10/4/1984,73.5,213.5,Upper,,,,,
1/30/1985,69.5,217.5,Upper,,,,,
10/8/1985,73.5,213.5,Upper,,,,,
2/4/1986,73.5,213.5,Upper,,,,,
9/30/1986,60.5,226.5,Upper,,,,,
2/4/1987,68.5,218.5,Upper,,,,,
10/6/1987,75.5,211.5,Upper,,,,,
2/4/1988,71.5,215.5,Upper,,,,,
10/5/1988,80.5,206.5,Upper,,,,,
1/27/1989,74.5,212.5,Upper,,,,,
10/5/1989,80.5,206.5,Upper,,,,,
2/9/1990,77.5,209.5,Upper,,,,,
10/2/1990,87.5,199.5,Upper,,,,,
1/29/1991,87.5,199.5,Upper,,,,,
10/2/1991,90.5,196.5,Upper,,,,,
1/28/1992,88.5,198.5,Upper,,,,,
10/6/1992,85.5,201.5,Upper,,,,,
1/26/1993,83.5,203.5,Upper,,,,,
10/5/1993,90.5,196.5,Upper,,,,,
1/28/1994,88.5,198.5,Upper,,,,,
10/10/1994,94.5,192.5,Upper,,,,,
1/26/1995,93.5,193.5,Upper,,,,,
10/6/1995,89.5,197.5,Upper,,,,,
1/17/1996,88.5,198.5,Upper,,,,,
10/8/1996,90.5,196.5,Upper,,,,,
10/7/1997,83.5,203.5,Upper,,,,,
1/23/1998,81.5,205.5,Upper,,,,,
10/14/1998,79.5,207.5,Upper,,,,,
2/1/1999,75.5,211.5,Upper,,,,,
10/8/1999,82.5,204.5,Upper,,,,,
4/14/2000,76.5,210.5,Upper,,,,,
1/4/2004,85.5,201.5,Upper,,,,,
1/4/2005,114.5,172.5,Upper,,,,,
3/30/2006,107.5,179.5,Upper,,,,,
11/6/2006,121.5,165.5,Upper,,,,,
3/27/2007,135.5,151.5,Upper,,,,,
5/7/2008,125.5,161.5,Upper,,,,,
9/23/2009,118.5,168.5,Upper,,,,,
10/20/2012,139.5,147.5,Upper,,,,,
2/20/2013,147.5,139.5,Upper,,,,,
2/22/2020,143.9,176.3,Upper,,,,,
10/2/2020,145.5,174.7,Upper,,,,,
10/5/2022,155.3,164.9,Upper,,,,,
2/13/2023,157.1,163.1,Upper,,,,,
10/5/2023,159.3,160.9,Upper,,,,,
1/1/1905,0,280,Lower,,,,,
1/1/1921,98.7,270,Lower,,,,,
3/1/1936,160.8,207.9,Lower,,,,,
11/1/1936,154.8,213.9,Lower,,,,,
3/1/1937,156.8,211.9,Lower,,,,,
7/1/1937,234.8,133.9,Lower,,,,,
11/1/1937,157.8,210.9,Lower,,,,,
7/1/1938,264.8,103.9,Lower,,,,,
11/1/1938,172.8,195.9,Lower,,,,,
7/1/1939,271.8,96.9,Lower,,,,,
11/1/1939,175.8,192.9,Lower,,,,,
7/1/1940,272.8,95.9,Lower,,,,,
11/1/1940,181.8,186.9,Lower,,,,,
11/1/1941,192.8,175.9,Lower,,,,,
9/1/1942,217.8,150.9,Lower,,,,,
