Date,Subsidence_ft,Source
1/1/1901,0,Leveling
12/1/1930,0.295,Leveling
9/1/1940,3.229,Leveling
2/20/1943,3.629,Leveling
6/15/1947,5.656,Leveling
3/1/1948,6.165,Leveling
2/1/1954,9.357,Leveling
4/1/1957,9.551,Leveling
2/15/1959,9.505,Leveling
2/15/1962,9.981,Leveling
2/15/1964,9.994,Leveling
2/1/1970,10.194,Leveling
6/1/1991,10.50151962,Leveling
6/1/1992,10.50151962,Leveling
12/1/2003,10.9509947,Leveling
7/1/2004,11.01386635,InSAR
8/1/2004,11.0374884,InSAR
9/1/2004,11.05356451,InSAR
10/1/2004,11.05093984,InSAR
11/1/2004,11.04831517,InSAR
12/1/2004,11.03420756,InSAR
1/1/2005,11.01616294,InSAR
2/1/2005,10.99746215,InSAR
3/1/2005,10.98269837,InSAR
4/1/2005,10.97318393,InSAR
1/1/2006,11.03551989,InSAR
2/1/2006,11.0066485,InSAR
3/1/2006,10.99352514,InSAR
4/1/2006,11.0066485,InSAR
5/1/2006,11.02436504,InSAR
6/1/2006,11.0496275,InSAR
2/1/2007,11.07390572,InSAR
3/1/2007,11.06176661,InSAR
8/1/2007,11.20940441,InSAR
9/1/2007,11.21695034,InSAR
2/1/2008,11.14870887,InSAR
3/1/2008,11.13525743,InSAR
5/1/2009,11.23302646,InSAR
6/1/2009,11.26124168,InSAR
7/1/2009,11.28978499,InSAR
8/1/2009,11.31865638,InSAR
9/1/2009,11.33407633,InSAR
10/1/2009,11.33177974,InSAR
11/1/2009,11.31931255,InSAR
12/1/2009,11.29634667,InSAR
1/1/2010,11.2792863,InSAR
2/1/2010,11.2589451,InSAR
3/1/2010,11.24582174,InSAR
4/1/2010,11.24352515,InSAR
5/1/2010,11.25599234,InSAR
6/1/2010,11.28223906,InSAR
2/12/2015,11.76169027,InSAR
2/18/2015,11.75512859,InSAR
2/23/2015,11.74955116,InSAR
3/1/2015,11.74298948,InSAR
3/7/2015,11.73609972,InSAR
3/13/2015,11.73806822,InSAR
3/20/2015,11.74200523,InSAR
3/26/2015,11.74561415,InSAR
4/1/2015,11.74889499,InSAR
4/7/2015,11.75742518,InSAR
4/13/2015,11.76595536,InSAR
4/19/2015,11.77415746,InSAR
4/25/2015,11.78268764,InSAR
5/1/2015,11.80926245,InSAR
5/7/2015,11.83583725,InSAR
5/13/2015,11.86241206,InSAR
5/20/2015,11.8922677,InSAR
5/26/2015,11.91260891,InSAR
6/1/2015,11.93295012,InSAR
6/7/2015,11.95329132,InSAR
6/13/2015,11.97396062,InSAR
6/19/2015,11.99364566,InSAR
6/25/2015,12.01103411,InSAR
7/1/2015,12.02776639,InSAR
7/7/2015,12.04417059,InSAR
7/13/2015,12.06123096,InSAR
7/20/2015,12.08255642,InSAR
7/26/2015,12.1035538,InSAR
8/1/2015,12.12356692,InSAR
8/7/2015,12.13997112,InSAR
8/13/2015,12.15768766,InSAR
8/20/2015,12.17507611,InSAR
8/26/2015,12.18918372,InSAR
9/1/2015,12.20558792,InSAR
9/7/2015,12.21969553,InSAR
9/13/2015,12.23216272,InSAR
9/19/2015,12.24167716,InSAR
9/25/2015,12.25020734,InSAR
10/1/2015,12.25578477,InSAR
10/7/2015,12.26267454,InSAR
10/13/2015,12.26726771,InSAR
10/20/2015,12.26825196,InSAR
10/26/2015,12.27186089,InSAR
11/1/2015,12.27481364,InSAR
11/7/2015,12.27612598,InSAR
11/13/2015,12.27678215,InSAR
11/19/2015,12.27940682,InSAR
11/25/2015,12.28170341,InSAR
12/1/2015,12.28137532,InSAR
12/7/2015,12.28137532,InSAR
12/13/2015,12.27743832,InSAR
12/20/2015,12.27415748,InSAR
12/26/2015,12.26890813,InSAR
1/1/2016,12.26923622,InSAR
1/7/2016,12.26825196,InSAR
1/13/2016,12.26989238,InSAR
1/20/2016,12.2675958,InSAR
1/26/2016,12.26923622,InSAR
2/1/2016,12.26726771,InSAR
2/7/2016,12.26365879,InSAR
2/13/2016,12.2633307,InSAR
2/18/2016,12.2633307,InSAR
2/24/2016,12.26201837,InSAR
3/1/2016,12.25578477,InSAR
3/7/2016,12.25184776,InSAR
3/13/2016,12.25184776,InSAR
3/20/2016,12.25381627,InSAR
3/26/2016,12.25873753,InSAR
4/1/2016,12.26169028,InSAR
4/7/2016,12.26365879,InSAR
4/13/2016,12.26890813,InSAR
4/19/2016,12.27546981,InSAR
4/25/2016,12.28006299,InSAR
5/1/2016,12.28465616,InSAR
5/7/2016,12.29318635,InSAR
5/13/2016,12.30270078,InSAR
5/20/2016,12.31746456,InSAR
5/26/2016,12.32993176,InSAR
6/1/2016,12.33649344,InSAR
6/7/2016,12.34502362,InSAR
6/13/2016,12.35420997,InSAR
6/19/2016,12.36208399,InSAR
6/25/2016,12.36930184,InSAR
7/1/2016,12.37914436,InSAR
7/7/2016,12.39029921,InSAR
7/13/2016,12.40046982,InSAR
7/20/2016,12.41064042,InSAR
7/26/2016,12.4191706,InSAR
8/1/2016,12.42573228,InSAR
8/7/2016,12.43295013,InSAR
8/13/2016,12.43819948,InSAR
8/20/2016,12.4500105,InSAR
8/26/2016,12.45525984,InSAR
9/1/2016,12.46313386,InSAR
9/7/2016,12.46707087,InSAR
9/13/2016,12.46871129,InSAR
9/19/2016,12.46674278,InSAR
9/25/2016,12.4683832,InSAR
10/1/2016,12.46903937,InSAR
10/7/2016,12.46871129,InSAR
10/13/2016,12.47133596,InSAR
10/20/2016,12.47232021,InSAR
10/26/2016,12.47527297,InSAR
11/1/2016,12.47822572,InSAR
11/7/2016,12.48052231,InSAR
11/13/2016,12.47625722,InSAR
11/19/2016,12.46805512,InSAR
11/25/2016,12.46280578,InSAR
12/1/2016,12.45985302,InSAR
12/7/2016,12.45854068,InSAR
12/13/2016,12.4582126,InSAR
12/20/2016,12.45361942,InSAR
12/26/2016,12.44672966,InSAR
1/1/2017,12.44344882,InSAR
1/7/2017,12.4418084,InSAR
1/13/2017,12.43262205,InSAR
1/20/2017,12.43688714,InSAR
1/26/2017,12.4316378,InSAR
2/1/2017,12.44410499,InSAR
2/7/2017,12.43721522,InSAR
2/12/2017,12.43524672,InSAR
2/18/2017,12.43065354,InSAR
2/23/2017,12.4254042,InSAR
3/1/2017,12.42179528,InSAR
3/7/2017,12.41588976,InSAR
3/13/2017,12.41753018,InSAR
3/20/2017,12.41654593,InSAR
3/26/2017,12.41621785,InSAR
4/1/2017,12.42048294,InSAR
4/7/2017,12.42868504,InSAR
4/13/2017,12.43098163,InSAR
4/19/2017,12.42999738,InSAR
4/25/2017,12.43393438,InSAR
5/1/2017,12.43918373,InSAR
5/7/2017,12.43951181,InSAR
5/13/2017,12.44082415,InSAR
5/20/2017,12.4437769,InSAR
5/26/2017,12.44640158,InSAR
6/1/2017,12.44738583,InSAR
6/7/2017,12.44902625,InSAR
6/13/2017,12.45263517,InSAR
6/19/2017,12.45886877,InSAR
6/25/2017,12.46608662,InSAR
7/1/2017,12.47363255,InSAR
7/7/2017,12.48249082,InSAR
7/13/2017,12.49003675,InSAR
7/20/2017,12.49791076,InSAR
7/26/2017,12.50512861,InSAR
8/1/2017,12.51300263,InSAR
8/7/2017,12.51890814,InSAR
8/13/2017,12.52218898,InSAR
8/20/2017,12.52776641,InSAR
8/26/2017,12.530063,InSAR
9/1/2017,12.52875066,InSAR
9/7/2017,12.5257979,InSAR
9/13/2017,12.52120473,InSAR
9/19/2017,12.51628347,InSAR
9/25/2017,12.5156273,InSAR
10/1/2017,12.51693964,InSAR
10/7/2017,12.52022048,InSAR
10/13/2017,12.51661155,InSAR
10/20/2017,12.51234646,InSAR
10/26/2017,12.5136588,InSAR
