datetime,Mean CH - layer 3 (Lower Aquifer)
2/1/1905,277.7856683
3/1/1905,277.6758793
4/1/1905,275.3701074
5/1/1905,274.2048243
6/1/1905,270.0328189
7/1/1905,268.5686667
8/1/1905,267.7436975
9/1/1905,267.2941153
10/1/1905,267.2056819
11/1/1905,266.967097
12/1/1905,266.8889901
1/1/1906,266.6922949
2/1/1906,266.7585836
3/1/1906,266.6432022
4/1/1906,266.5183842
5/1/1906,266.210394
6/1/1906,266.2788625
7/1/1906,265.786476
8/1/1906,265.5430237
9/1/1906,265.3753884
10/1/1906,265.2157976
11/1/1906,264.9980231
12/1/1906,264.9159577
1/1/1907,264.8353941
2/1/1907,264.7802836
3/1/1907,264.7399497
4/1/1907,264.6032673
5/1/1907,264.5561411
6/1/1907,264.6215361
7/1/1907,264.6678194
8/1/1907,264.6476107
9/1/1907,264.5846793
10/1/1907,264.5991926
11/1/1907,264.6412014
12/1/1907,264.6981475
1/1/1908,264.5507567
2/1/1908,264.5201475
3/1/1908,264.2553731
4/1/1908,264.1120352
5/1/1908,264.0865934
6/1/1908,264.0716859
7/1/1908,264.0619834
8/1/1908,264.0548161
9/1/1908,264.1189519
10/1/1908,264.1161947
11/1/1908,264.1133058
12/1/1908,264.1110381
1/1/1909,264.0407864
2/1/1909,264.0389251
3/1/1909,264.0366503
4/1/1909,264.0337329
5/1/1909,264.0308254
6/1/1909,264.0277428
7/1/1909,264.0246923
8/1/1909,264.0213314
9/1/1909,264.0175183
10/1/1909,264.0058338
11/1/1909,263.9878661
12/1/1909,263.8714837
1/1/1910,263.8871275
2/1/1910,263.9230325
3/1/1910,263.8502221
4/1/1910,263.7332444
5/1/1910,263.7031282
6/1/1910,263.6784094
7/1/1910,263.6479475
8/1/1910,263.6245716
9/1/1910,263.5784333
10/1/1910,263.5454077
11/1/1910,263.4794108
12/1/1910,263.3152944
1/1/1911,263.1860193
2/1/1911,263.1171741
3/1/1911,263.0638625
4/1/1911,263.0398529
5/1/1911,263.0238967
6/1/1911,263.003338
7/1/1911,262.7170652
8/1/1911,262.3977425
9/1/1911,262.0196262
10/1/1911,261.9117901
11/1/1911,261.8320159
12/1/1911,261.9067627
1/1/1912,261.8735405
2/1/1912,261.8274956
3/1/1912,261.7131479
4/1/1912,261.725856
5/1/1912,261.6834905
6/1/1912,261.6227411
7/1/1912,261.5743428
8/1/1912,261.3595345
9/1/1912,261.335951
10/1/1912,261.2525452
11/1/1912,261.3155273
12/1/1912,261.3040234
1/1/1913,261.2872978
2/1/1913,261.0178821
3/1/1913,261.0026532
4/1/1913,260.9657312
5/1/1913,260.7184936
6/1/1913,260.5061274
7/1/1913,260.0114377
8/1/1913,259.5972194
9/1/1913,259.3936509
10/1/1913,259.2143438
11/1/1913,258.9460835
12/1/1913,258.2853117
1/1/1914,257.7128529
2/1/1914,257.1902249
3/1/1914,256.7191295
4/1/1914,256.452025
5/1/1914,255.3265674
6/1/1914,254.8568312
7/1/1914,254.1482999
8/1/1914,254.0942803
9/1/1914,252.7346189
10/1/1914,252.121372
11/1/1914,251.267671
12/1/1914,250.4815541
1/1/1915,249.5277467
2/1/1915,246.608734
3/1/1915,245.5875071
4/1/1915,245.0410413
5/1/1915,244.6096833
6/1/1915,244.3792676
7/1/1915,244.181712
8/1/1915,244.0551638
9/1/1915,243.9906657
10/1/1915,243.6762473
11/1/1915,243.5807309
12/1/1915,243.5733839
1/1/1916,243.4817366
2/1/1916,243.5744162
3/1/1916,243.5397716
4/1/1916,243.3272488
5/1/1916,243.24815
6/1/1916,243.0291521
7/1/1916,242.9085434
8/1/1916,242.6714039
9/1/1916,242.6141403
10/1/1916,242.3289414
11/1/1916,242.0966491
12/1/1916,241.8657346
1/1/1917,241.7475438
2/1/1917,241.64336
3/1/1917,241.8179426
4/1/1917,241.5239923
5/1/1917,241.7119914
6/1/1917,241.2620095
7/1/1917,240.9506198
8/1/1917,240.4812925
9/1/1917,240.2259448
10/1/1917,239.9943617
11/1/1917,239.1345682
12/1/1917,238.0979524
1/1/1918,237.1191647
2/1/1918,236.382883
3/1/1918,235.7897441
4/1/1918,235.2087673
5/1/1918,233.7515283
6/1/1918,232.7735086
7/1/1918,229.9371062
8/1/1918,226.9842572
9/1/1918,223.98912
10/1/1918,222.8564946
11/1/1918,221.9646327
12/1/1918,221.5037215
1/1/1919,221.040317
2/1/1919,220.7451112
3/1/1919,220.4075179
4/1/1919,220.1933721
5/1/1919,220.0171547
6/1/1919,219.8621396
7/1/1919,219.741518
8/1/1919,219.5625817
9/1/1919,219.2814358
10/1/1919,219.290292
11/1/1919,219.223793
12/1/1919,219.259719
1/1/1920,219.204273
2/1/1920,219.1096942
3/1/1920,218.9711832
4/1/1920,218.9440377
5/1/1920,218.8519569
6/1/1920,218.6253929
7/1/1920,218.3967674
8/1/1920,218.3857848
9/1/1920,218.3098972
10/1/1920,218.237212
11/1/1920,218.1579935
12/1/1920,218.0803199
1/1/1921,217.8710823
2/1/1921,217.7904457
3/1/1921,217.5722505
4/1/1921,217.502774
5/1/1921,217.2832111
6/1/1921,217.0713845
7/1/1921,216.9348721
8/1/1921,216.7294308
9/1/1921,216.5992519
10/1/1921,216.4718685
11/1/1921,216.2777297
12/1/1921,216.3892726
1/1/1922,216.4303656
2/1/1922,216.4265028
3/1/1922,216.3742961
4/1/1922,216.3913477
5/1/1922,216.3233734
6/1/1922,216.2713579
7/1/1922,216.0141769
8/1/1922,215.8931705
9/1/1922,215.8501512
10/1/1922,215.8846567
11/1/1922,215.8597088
12/1/1922,215.8412486
1/1/1923,215.8270002
2/1/1923,215.8156658
3/1/1923,215.8070845
4/1/1923,215.7988543
5/1/1923,215.7914906
6/1/1923,215.7844546
7/1/1923,215.7122714
8/1/1923,215.705899
9/1/1923,215.6313577
10/1/1923,215.6212809
11/1/1923,215.6792321
12/1/1923,215.7417896
1/1/1924,215.7896656
2/1/1924,215.8019461
3/1/1924,215.8132395
4/1/1924,215.741786
5/1/1924,215.6123143
6/1/1924,215.4984145
7/1/1924,215.4090612
8/1/1924,215.0504386
9/1/1924,214.9791767
10/1/1924,214.9074992
11/1/1924,214.8185814
12/1/1924,214.6903229
1/1/1925,214.5819532
2/1/1925,214.4301996
3/1/1925,214.4492755
4/1/1925,214.2317711
5/1/1925,213.9489582
6/1/1925,213.8258901
7/1/1925,213.6788132
8/1/1925,213.4229365
9/1/1925,213.1528715
10/1/1925,212.6448223
11/1/1925,212.5701143
12/1/1925,212.2172681
1/1/1926,212.2318641
2/1/1926,211.7453334
3/1/1926,211.528231
4/1/1926,211.4640509
5/1/1926,211.3622119
6/1/1926,211.2295413
7/1/1926,211.1479721
8/1/1926,210.8795683
9/1/1926,210.3660799
10/1/1926,210.2432971
11/1/1926,210.1884615
12/1/1926,210.1696838
1/1/1927,210.1245994
2/1/1927,210.0421349
3/1/1927,210.055336
4/1/1927,210.1566353
5/1/1927,210.0906684
6/1/1927,210.0013558
7/1/1927,209.8939553
8/1/1927,209.7463041
9/1/1927,209.6840197
10/1/1927,209.6352287
11/1/1927,209.5948408
12/1/1927,209.5069368
1/1/1928,209.4719147
2/1/1928,209.4471541
3/1/1928,209.3126848
4/1/1928,209.2722184
5/1/1928,209.2467371
6/1/1928,209.2294895
7/1/1928,209.2111147
8/1/1928,209.1801829
9/1/1928,209.0104459
10/1/1928,208.7310145
11/1/1928,208.651109
12/1/1928,208.6482825
1/1/1929,208.5734862
2/1/1929,208.4881872
3/1/1929,208.355801
4/1/1929,207.9389842
5/1/1929,207.5952885
6/1/1929,207.4307688
7/1/1929,207.3483584
8/1/1929,207.2455258
9/1/1929,207.1239011
10/1/1929,207.0522287
11/1/1929,206.9300603
12/1/1929,206.7727807
1/1/1930,206.2354182
2/1/1930,206.1537485
3/1/1930,206.1555449
4/1/1930,206.0260821
5/1/1930,205.9635451
6/1/1930,205.4406468
7/1/1930,205.2130653
8/1/1930,204.9586691
9/1/1930,204.6853024
10/1/1930,204.4528897
11/1/1930,204.298137
12/1/1930,204.1707826
1/1/1931,204.3143315
2/1/1931,203.9895412
3/1/1931,203.810191
4/1/1931,203.7202353
5/1/1931,203.6972121
6/1/1931,203.4091764
7/1/1931,202.458322
8/1/1931,201.7577656
9/1/1931,201.5248386
10/1/1931,201.2872086
11/1/1931,200.6931804
12/1/1931,200.3486593
1/1/1932,199.7387681
2/1/1932,198.5841186
3/1/1932,197.989454
4/1/1932,197.6501657
5/1/1932,197.3550521
6/1/1932,197.0708151
7/1/1932,196.8587209
8/1/1932,196.6077678
9/1/1932,195.5876202
10/1/1932,194.8936681
11/1/1932,194.0342207
12/1/1932,193.1499116
1/1/1933,190.1778264
2/1/1933,188.5754338
3/1/1933,185.8660695
4/1/1933,183.1110579
5/1/1933,180.1724845
6/1/1933,177.1769644
7/1/1933,175.7844822
8/1/1933,174.7626444
9/1/1933,174.003769
10/1/1933,173.0347456
11/1/1933,172.2859476
12/1/1933,171.3065607
1/1/1934,170.5955796
2/1/1934,169.9145569
3/1/1934,169.5070181
4/1/1934,168.5713257
5/1/1934,168.1324326
6/1/1934,167.7355269
7/1/1934,167.4309456
8/1/1934,167.2536957
9/1/1934,167.0689071
10/1/1934,166.7998205
11/1/1934,166.2468496
12/1/1934,165.8944509
1/1/1935,165.6646692
2/1/1935,165.382904
3/1/1935,164.7486033
4/1/1935,164.378268
5/1/1935,163.9540395
6/1/1935,163.6692436
7/1/1935,162.9969202
8/1/1935,162.5277593
9/1/1935,161.6398976
10/1/1935,160.2227268
11/1/1935,159.0260118
12/1/1935,158.3039147
1/1/1936,157.7705238
2/1/1936,157.0844723
3/1/1936,156.6654882
4/1/1936,156.3720049
5/1/1936,156.0105913
6/1/1936,155.6688136
7/1/1936,155.2760937
8/1/1936,154.9362013
9/1/1936,154.7553197
10/1/1936,154.5580968
11/1/1936,154.1533477
12/1/1936,153.9766309
1/1/1937,153.4879589
2/1/1937,153.2017526
3/1/1937,152.8951737
4/1/1937,152.389161
5/1/1937,151.95546
6/1/1937,151.6496393
7/1/1937,151.5370131
8/1/1937,151.1730463
9/1/1937,150.9192693
10/1/1937,150.7004825
11/1/1937,150.5447775
12/1/1937,150.2119361
1/1/1938,149.9120045
2/1/1938,149.7672952
3/1/1938,149.6557317
4/1/1938,149.6197414
5/1/1938,149.5266761
6/1/1938,149.3687219
7/1/1938,149.2368479
8/1/1938,148.9912113
9/1/1938,148.772487
10/1/1938,148.5057765
11/1/1938,148.2560733
12/1/1938,147.9366342
1/1/1939,147.6445067
2/1/1939,147.4653472
3/1/1939,147.4136515
4/1/1939,147.31167
5/1/1939,147.1759405
6/1/1939,146.9904774
7/1/1939,146.5456117
8/1/1939,146.2831507
9/1/1939,146.1198681
10/1/1939,146.0649862
11/1/1939,146.0716353
12/1/1939,146.1322668
1/1/1940,146.0087474
2/1/1940,146.0217064
3/1/1940,145.819609
4/1/1940,145.7487044
5/1/1940,145.5371183
6/1/1940,145.3774728
7/1/1940,145.2163778
8/1/1940,145.053993
9/1/1940,145.0187768
10/1/1940,145.0127248
11/1/1940,144.8994604
12/1/1940,144.9694328
1/1/1941,144.9674265
2/1/1941,144.9651597
3/1/1941,144.9646574
4/1/1941,144.9191061
5/1/1941,144.8080204
6/1/1941,144.7737672
7/1/1941,144.7500248
8/1/1941,144.7295009
9/1/1941,144.712292
10/1/1941,144.6988006
11/1/1941,144.6861796
12/1/1941,144.6753484
1/1/1942,144.6188266
2/1/1942,144.6097387
3/1/1942,144.6025703
4/1/1942,144.5954881
5/1/1942,144.5892531
6/1/1942,144.5830934
7/1/1942,144.5774739
8/1/1942,144.5719626
9/1/1942,144.5668591
10/1/1942,144.5622963
11/1/1942,144.5579382
12/1/1942,144.5517553
1/1/1943,144.5020112
2/1/1943,144.5436185
3/1/1943,144.3181145
4/1/1943,144.2054192
5/1/1943,143.9374349
6/1/1943,143.5833808
7/1/1943,143.3977522
8/1/1943,143.1083406
9/1/1943,142.8804793
10/1/1943,142.5940266
11/1/1943,142.4767903
12/1/1943,142.289957
1/1/1944,141.8189849
2/1/1944,141.5172435
3/1/1944,141.3539099
4/1/1944,141.2371321
5/1/1944,141.1551688
6/1/1944,141.0507689
7/1/1944,141.0985439
8/1/1944,141.0579018
9/1/1944,140.9260724
10/1/1944,140.8815645
11/1/1944,140.8113164
12/1/1944,140.7450454
1/1/1945,140.6775699
2/1/1945,140.7114515
3/1/1945,140.6561002
4/1/1945,140.5498725
5/1/1945,140.3676013
6/1/1945,140.189185
7/1/1945,140.0962036
8/1/1945,140.01725
9/1/1945,139.8563006
10/1/1945,139.7058221
11/1/1945,139.5747949
12/1/1945,139.474283
1/1/1946,139.0572818
2/1/1946,138.7007869
3/1/1946,138.3160277
4/1/1946,138.0857285
5/1/1946,137.8014041
6/1/1946,137.7267691
7/1/1946,137.6634389
8/1/1946,137.5170839
9/1/1946,137.3343526
10/1/1946,137.318748
11/1/1946,137.2276171
12/1/1946,137.1893718
1/1/1947,137.0521862
2/1/1947,136.9720133
3/1/1947,136.8136572
4/1/1947,136.6870524
5/1/1947,136.5995105
6/1/1947,136.6289876
7/1/1947,136.5363652
8/1/1947,136.3831363
9/1/1947,136.195274
10/1/1947,136.0609527
11/1/1947,135.8414606
12/1/1947,135.8838522
1/1/1948,135.7508525
2/1/1948,135.6174656
3/1/1948,135.5292585
4/1/1948,135.5358461
5/1/1948,135.3240204
6/1/1948,135.3268433
7/1/1948,135.246027
8/1/1948,135.0952616
9/1/1948,134.8122624
10/1/1948,134.6145167
11/1/1948,134.3536476
12/1/1948,134.1523914
1/1/1949,133.9501227
2/1/1949,133.690149
3/1/1949,133.5322144
4/1/1949,133.3432163
5/1/1949,133.2499343
6/1/1949,133.036296
7/1/1949,132.9288512
8/1/1949,132.9232417
9/1/1949,132.6878011
10/1/1949,132.427258
11/1/1949,132.3118555
12/1/1949,132.0135729
1/1/1950,131.6733411
2/1/1950,131.6937608
3/1/1950,131.5685987
4/1/1950,131.3412706
5/1/1950,131.2353891
6/1/1950,131.1176742
7/1/1950,130.9075911
8/1/1950,130.7790527
9/1/1950,130.6160638
10/1/1950,130.4044091
11/1/1950,130.2049851
12/1/1950,130.0939867
1/1/1951,129.9637707
2/1/1951,129.7429926
3/1/1951,129.6980508
4/1/1951,129.5887268
5/1/1951,129.4782398
6/1/1951,129.3194075
7/1/1951,129.2760979
8/1/1951,129.1723139
9/1/1951,128.9809646
10/1/1951,128.9042254
11/1/1951,128.7725812
12/1/1951,128.6399313
1/1/1952,128.5935409
2/1/1952,128.4346356
3/1/1952,128.3717783
4/1/1952,128.3723506
5/1/1952,128.329906
6/1/1952,128.3002618
7/1/1952,128.2734994
8/1/1952,128.2485074
9/1/1952,128.3268529
10/1/1952,128.2877697
11/1/1952,128.2315559
12/1/1952,128.1968524
1/1/1953,128.0935257
2/1/1953,127.8454632
3/1/1953,127.6879076
4/1/1953,127.5971075
5/1/1953,127.4952408
6/1/1953,127.3860507
7/1/1953,127.3674172
8/1/1953,127.2469569
9/1/1953,127.0561622
10/1/1953,126.7689825
11/1/1953,126.4272174
12/1/1953,126.1529659
1/1/1954,125.7944948
2/1/1954,125.3869587
3/1/1954,125.1191313
4/1/1954,124.913345
5/1/1954,124.7047007
6/1/1954,124.3996221
7/1/1954,124.1449863
8/1/1954,124.0247848
9/1/1954,123.9436937
10/1/1954,123.8850796
11/1/1954,123.7228438
12/1/1954,123.6021894
1/1/1955,123.5318249
2/1/1955,123.2712706
3/1/1955,123.1508993
4/1/1955,122.9274385
5/1/1955,122.7595973
6/1/1955,122.5919376
7/1/1955,122.3116759
8/1/1955,122.1534078
9/1/1955,121.8390678
10/1/1955,121.7307902
11/1/1955,121.4106428
12/1/1955,121.2401475
1/1/1956,121.1036323
2/1/1956,121.0210746
3/1/1956,120.8401111
4/1/1956,120.5063665
5/1/1956,120.4030144
6/1/1956,120.3217009
7/1/1956,120.2193702
8/1/1956,120.1476947
9/1/1956,120.0114041
10/1/1956,120.0085444
11/1/1956,119.9421113
12/1/1956,119.8857434
1/1/1957,119.7905876
2/1/1957,119.7219363
3/1/1957,119.6567138
4/1/1957,119.6230978
5/1/1957,119.5538823
6/1/1957,119.4916657
7/1/1957,119.4839454
8/1/1957,119.4059529
9/1/1957,119.2706446
10/1/1957,119.2077844
11/1/1957,119.140738
12/1/1957,119.076891
1/1/1958,119.067998
2/1/1958,119.0238871
3/1/1958,118.916106
4/1/1958,118.7470152
5/1/1958,118.5172364
6/1/1958,118.3079057
7/1/1958,117.9307851
8/1/1958,117.6699873
9/1/1958,117.5421272
10/1/1958,117.2050988
11/1/1958,117.105949
12/1/1958,116.8520739
1/1/1959,116.6171488
2/1/1959,116.4166738
3/1/1959,116.0586716
4/1/1959,115.6969522
5/1/1959,115.4514911
6/1/1959,115.300047
7/1/1959,114.8854381
8/1/1959,114.5044536
9/1/1959,114.2535521
10/1/1959,114.0319326
11/1/1959,113.763044
12/1/1959,113.5452996
1/1/1960,113.3589958
2/1/1960,113.2338155
3/1/1960,113.1721683
4/1/1960,113.0010109
5/1/1960,112.9030505
6/1/1960,112.7108726
7/1/1960,112.5115007
8/1/1960,112.3838736
9/1/1960,112.3099405
10/1/1960,112.2278098
11/1/1960,112.2444492
12/1/1960,112.1487029
1/1/1961,111.97533
2/1/1961,111.8010319
3/1/1961,111.6781692
4/1/1961,111.5970261
5/1/1961,111.3795024
6/1/1961,111.0882405
7/1/1961,110.798685
8/1/1961,110.6244153
9/1/1961,110.5916505
10/1/1961,110.476271
11/1/1961,110.4599259
12/1/1961,110.3495856
1/1/1962,110.3053978
2/1/1962,110.2249562
3/1/1962,110.1557825
4/1/1962,110.0638095
5/1/1962,109.9742744
6/1/1962,109.9307677
7/1/1962,109.6916688
8/1/1962,109.5380653
9/1/1962,109.4509404
10/1/1962,109.2300487
11/1/1962,109.0905745
12/1/1962,108.9677576
1/1/1963,108.7113722
2/1/1963,108.6487039
3/1/1963,108.535063
4/1/1963,108.3772187
5/1/1963,108.2557453
6/1/1963,108.1578644
7/1/1963,108.1059749
8/1/1963,107.9396714
9/1/1963,107.8011071
10/1/1963,107.7130421
11/1/1963,107.4936061
12/1/1963,107.2836312
1/1/1964,107.2359731
2/1/1964,107.0693308
3/1/1964,107.0122555
4/1/1964,106.9461082
5/1/1964,106.8583432
6/1/1964,106.748822
7/1/1964,106.6540812
8/1/1964,106.4307299
9/1/1964,106.0972773
10/1/1964,105.6515567
11/1/1964,105.2613381
12/1/1964,104.6850991
1/1/1965,104.2735755
2/1/1965,103.5661977
3/1/1965,103.1859876
4/1/1965,102.8790704
5/1/1965,102.5600251
6/1/1965,102.355983
7/1/1965,102.1380373
8/1/1965,101.9215137
9/1/1965,101.9119436
10/1/1965,101.808277
11/1/1965,101.6374634
12/1/1965,101.4868931
1/1/1966,101.3305224
2/1/1966,101.0962326
3/1/1966,100.9492259
4/1/1966,100.7249531
5/1/1966,100.6327802
6/1/1966,100.5711156
7/1/1966,100.4481255
8/1/1966,100.337491
9/1/1966,100.1766728
10/1/1966,100.0904791
11/1/1966,100.0063634
12/1/1966,99.99096687
1/1/1967,99.85568195
2/1/1967,99.78504786
3/1/1967,99.72140131
4/1/1967,99.6572466
5/1/1967,99.59328444
6/1/1967,99.46715356
7/1/1967,99.47709594
8/1/1967,99.41223787
9/1/1967,99.33855054
10/1/1967,99.26560806
11/1/1967,99.19817143
12/1/1967,99.06052564
1/1/1968,99.03070742
2/1/1968,98.93787905
3/1/1968,98.79264998
4/1/1968,98.70520085
5/1/1968,98.63829686
6/1/1968,98.58131056
7/1/1968,98.46007465
8/1/1968,98.40526261
9/1/1968,98.35443265
10/1/1968,98.31114924
11/1/1968,98.26785537
12/1/1968,98.22633973
1/1/1969,98.18342751
2/1/1969,98.14110028
3/1/1969,98.10319428
4/1/1969,98.0619932
5/1/1969,98.02243885
6/1/1969,97.98196008
7/1/1969,97.94370699
8/1/1969,97.76819431
9/1/1969,97.72933249
10/1/1969,97.69193182
11/1/1969,97.70830855
12/1/1969,97.67133811
1/1/1970,97.63342873
2/1/1970,97.5300938
3/1/1970,97.49651564
4/1/1970,97.45969714
5/1/1970,97.35780029
6/1/1970,97.32111448
7/1/1970,97.28582034
8/1/1970,97.24955188
9/1/1970,97.21328298
10/1/1970,97.17831004
11/1/1970,97.20113942
12/1/1970,97.16634407
1/1/1971,97.13065572
2/1/1971,97.09504506
3/1/1971,97.0629419
4/1/1971,97.02747947
5/1/1971,96.99324905
6/1/1971,96.8963715
7/1/1971,96.86199837
8/1/1971,96.82619354
9/1/1971,96.7901573
10/1/1971,96.75487828
11/1/1971,96.71792421
12/1/1971,96.67934811
1/1/1972,96.63234807
2/1/1972,96.64261888
3/1/1972,96.58018196
4/1/1972,96.47527681
5/1/1972,96.28201949
6/1/1972,96.00993973
7/1/1972,95.72967874
8/1/1972,95.3984083
9/1/1972,95.06157081
10/1/1972,94.46829288
11/1/1972,93.80471086
12/1/1972,93.17414023
1/1/1973,92.87863389
2/1/1973,92.76549019
3/1/1973,92.74001742
4/1/1973,92.67197206
5/1/1973,92.60439231
6/1/1973,92.53971687
7/1/1973,92.47581395
8/1/1973,92.35569792
9/1/1973,92.35797399
10/1/1973,92.27110454
11/1/1973,92.08605336
12/1/1973,92.00157214
1/1/1974,91.95821912
2/1/1974,91.98651121
3/1/1974,91.95351717
4/1/1974,91.91685296
5/1/1974,91.88124419
6/1/1974,91.84286719
7/1/1974,91.80047083
8/1/1974,91.74946721
9/1/1974,91.68102845
10/1/1974,91.55043857
11/1/1974,91.50625335
12/1/1974,91.40751719
1/1/1975,91.34085186
2/1/1975,91.28839632
3/1/1975,91.25009053
4/1/1975,91.28140573
5/1/1975,91.24198819
6/1/1975,91.19995034
