Aquifer,Top,Bot,Thick_ft,Description
upper aquifer,0.0,50.0,50.0,conductor
upper aquifer,50.0,63.0,13.0,clay
upper aquifer,63.0,66.0,3.0,sand
upper aquifer,66.0,69.0,3.0,sand
upper aquifer,69.0,87.0,18.0,clay
upper aquifer,87.0,107.0,20.0,sand
upper aquifer,107.0,113.0,6.0,clay
upper aquifer,113.0,117.0,4.0,sand
upper aquifer,117.0,121.0,4.0,clay
upper aquifer,121.0,136.0,15.0,sand
upper aquifer,136.0,155.0,19.0,clay
upper aquifer,155.0,171.0,16.0,sand
upper aquifer,171.0,175.0,4.0,clay
upper aquifer,175.0,180.0,5.0,sand
upper aquifer,180.0,193.0,13.0,clay
upper aquifer,193.0,218.0,25.0,sand
upper aquifer,218.0,230.0,12.0,clay
upper aquifer,230.0,235.0,5.0,sand
upper aquifer,235.0,246.0,11.0,clay
upper aquifer,246.0,256.0,10.0,sand
upper aquifer,256.0,265.0,9.0,clay
upper aquifer,265.0,269.0,4.0,sand
upper aquifer,269.0,273.0,4.0,clay
upper aquifer,273.0,288.0,15.0,sand
upper aquifer,288.0,319.0,31.0,clay
upper aquifer,319.0,325.0,6.0,sand
upper aquifer,325.0,343.0,18.0,clay
upper aquifer,343.0,347.0,4.0,sand
upper aquifer,347.0,356.0,9.0,clay
upper aquifer,356.0,360.0,4.0,sand
upper aquifer,360.0,361.0,1.0,clay
upper aquifer,361.0,364.0,3.0,sand
upper aquifer,364.0,367.0,3.0,clay
upper aquifer,367.0,385.0,18.0,sand
upper aquifer,385.0,387.0,2.0,clay
upper aquifer,387.0,398.0,11.0,sand
upper aquifer,398.0,408.0,10.0,clay
upper aquifer,408.0,417.0,9.0,sand
corcoran,417.0,471.0,54.0,clay
corcoran,471.0,475.0,4.0,sand
corcoran,475.0,650.0,175.0,clay
lower aquifer,650.0,665.0,15.0,sand
lower aquifer,665.0,668.0,3.0,clay
lower aquifer,668.0,674.0,6.0,sand
lower aquifer,674.0,693.0,19.0,clay
lower aquifer,693.0,695.0,2.0,sand
lower aquifer,695.0,716.0,21.0,clay
lower aquifer,716.0,728.0,12.0,sand
lower aquifer,728.0,731.0,3.0,clay
lower aquifer,731.0,734.0,3.0,sand
lower aquifer,734.0,746.0,12.0,clay
lower aquifer,746.0,755.0,9.0,sand
lower aquifer,755.0,766.0,11.0,clay
lower aquifer,766.0,785.0,19.0,sand
lower aquifer,785.0,790.0,5.0,clay
lower aquifer,790.0,792.0,2.0,sand
lower aquifer,792.0,816.0,24.0,clay
lower aquifer,816.0,820.0,4.0,sand
lower aquifer,820.0,824.0,4.0,clay
lower aquifer,824.0,834.0,10.0,sand
lower aquifer,834.0,859.0,25.0,clay
lower aquifer,859.0,862.0,3.0,sand
lower aquifer,862.0,865.0,3.0,clay
lower aquifer,865.0,871.0,6.0,sand
lower aquifer,871.0,872.0,1.0,clay
lower aquifer,872.0,878.0,6.0,sand
lower aquifer,878.0,882.0,4.0,clay
lower aquifer,882.0,886.0,4.0,sand
lower aquifer,886.0,900.0,14.0,clay
lower aquifer,900.0,913.0,13.0,sand
lower aquifer,913.0,917.0,4.0,clay
lower aquifer,917.0,933.0,16.0,sand
lower aquifer,933.0,942.0,9.0,clay
lower aquifer,942.0,947.0,5.0,sand
lower aquifer,947.0,950.0,3.0,clay
lower aquifer,950.0,957.0,7.0,sand
lower aquifer,957.0,960.0,3.0,clay
lower aquifer,960.0,969.0,9.0,sand
lower aquifer,969.0,977.0,8.0,clay
lower aquifer,977.0,989.0,12.0,sand
lower aquifer,989.0,1008.0,19.0,clay
lower aquifer,1008.0,1013.0,5.0,sand
lower aquifer,1013.0,1021.0,8.0,clay
lower aquifer,1021.0,1025.0,4.0,sand
lower aquifer,1025.0,1035.0,10.0,clay
lower aquifer,1035.0,1039.0,4.0,sand
lower aquifer,1039.0,1061.0,22.0,clay
lower aquifer,1061.0,1074.0,13.0,sand
lower aquifer,1074.0,1085.0,11.0,clay
lower aquifer,1085.0,1095.0,10.0,sand
lower aquifer,1095.0,1100.0,5.0,clay
lower aquifer,1100.0,1111.0,11.0,sand
lower aquifer,1111.0,1121.0,10.0,clay
lower aquifer,1121.0,1144.0,23.0,sand
lower aquifer,1144.0,1156.0,12.0,clay
lower aquifer,1156.0,1168.0,12.0,sand
lower aquifer,1168.0,1175.0,7.0,clay
lower aquifer,1175.0,1184.0,9.0,sand
lower aquifer,1184.0,1209.0,25.0,clay
lower aquifer,1209.0,1214.0,5.0,sand
lower aquifer,1214.0,1222.0,8.0,clay
lower aquifer,1222.0,1253.0,31.0,sand
lower aquifer,1253.0,1255.0,2.0,clay
lower aquifer,1255.0,1266.0,11.0,sand
lower aquifer,1266.0,1275.0,9.0,clay
lower aquifer,1275.0,1282.0,7.0,sand
lower aquifer,1282.0,1285.0,3.0,clay
lower aquifer,1285.0,1296.0,11.0,sand
lower aquifer,1296.0,1300.0,4.0,clay
