Date,BLS,Alt,Aquifer,
1/1/1905,0,191.5,Upper,
1/1/1921,20,186.5,Upper,
10/27/1943,30.8,181.5,Upper,
10/23/1944,33.1,179.2,Upper,
12/4/1944,31.5,180.8,Upper,
11/28/1945,30.7,181.6,Upper,
12/10/1946,37.2,175.1,Upper,
11/4/1947,46.1,166.2,Upper,
10/29/1949,61.8,150.5,Upper,
11/6/1950,68.5,143.8,Upper,
11/29/1950,64.8,147.5,Upper,
1/30/1951,66.7,143.6,Upper,
3/13/1951,90.2,120.1,Upper,
10/12/1951,86.6,123.7,Upper,
11/1/1951,124.2,86.1,Upper,
2/18/1952,65.5,144.8,Upper,
9/16/1952,96.1,114.2,Upper,
2/3/1954,63.5,146.8,Upper,
9/17/1954,93.8,116.5,Upper,
11/1/1954,126,84.3,Upper,
2/7/1955,54.7,155.6,Upper,
10/1/1955,79.8,130.5,Upper,
2/6/1956,61.5,148.8,Upper,
10/9/1956,73.5,136.8,Upper,
1/14/1957,46.5,163.8,Upper,
10/1/1957,47.5,162.8,Upper,
2/13/1958,47.2,163.1,Upper,
2/10/1961,71.5,138.8,Upper,
2/14/1962,71.5,138.8,Upper,
2/7/1963,81.5,128.8,Upper,
9/27/1963,71.5,138.8,Upper,
2/6/1964,61.5,148.8,Upper,
9/24/1964,98,112.3,Upper,
1/29/1965,69.4,140.9,Upper,
2/5/1966,62.7,147.6,Upper,
2/4/1967,55.3,155,Upper,
2/7/1968,23.5,186.8,Upper,
2/12/1969,29.3,181,Upper,
10/3/1969,20.4,189.9,Upper,
2/3/1970,20.4,189.9,Upper,
9/22/1970,18.1,192.2,Upper,
1/29/1971,18.9,191.4,Upper,
9/30/1971,18.4,191.9,Upper,
2/2/1972,19.9,190.4,Upper,
10/9/1972,24.6,185.7,Upper,
2/15/1973,25.1,185.2,Upper,
10/3/1973,19.8,190.5,Upper,
10/15/1974,18,192.3,Upper,
2/18/1975,19.3,191,Upper,
9/30/1975,17.4,192.9,Upper,
1/27/1976,17.6,192.7,Upper,
7/22/1976,22.5,187.8,Upper,
11/13/1976,23.1,187.2,Upper,
1/28/1977,26.7,183.6,Upper,
7/26/1977,37.8,172.5,Upper,
10/5/1977,41,169.3,Upper,
10/13/1978,35.8,174.5,Upper,
