Date,Subsidence_ft,Source
1/1/1925,0,Leveling
1/1/1943,0.4,Leveling
1/1/1948,0.9,Leveling
1/1/1954,3.5,Leveling
1/1/1957,4.15,Leveling
1/1/1959,4.25,Leveling
1/1/1962,5.75,Leveling
1/1/1970,6.74,Leveling
1/1/1977,8.36,Leveling
6/1/2007,17.75,InSAR
9/1/2007,17.84,InSAR
10/1/2007,18.03,InSAR
12/1/2007,18.18,InSAR
1/1/2008,18.06,InSAR
3/1/2008,18.17,InSAR
4/1/2008,18.18,InSAR
6/1/2008,18.27,InSAR
7/1/2008,18.29,InSAR
6/1/2009,19.31,InSAR
9/1/2009,19.75,InSAR
12/1/2009,19.75,InSAR
3/1/2010,19.97,InSAR
4/1/2010,19.72,InSAR
6/1/2010,19.64,InSAR
7/1/2015,21.13,InSAR
8/1/2015,21.24,InSAR
9/1/2015,21.35,InSAR
10/1/2015,21.45,InSAR
11/1/2015,21.52,InSAR
12/1/2015,21.59,InSAR
1/1/2016,21.64,InSAR
2/1/2016,21.7,InSAR
4/1/2016,21.82,InSAR
5/1/2016,21.91,InSAR
6/1/2016,22.05,InSAR
7/1/2016,22.17,InSAR
8/1/2016,22.31,InSAR
9/1/2016,22.45,InSAR
10/1/2016,22.54,InSAR
11/1/2016,22.62,InSAR
12/1/2016,22.66,InSAR
1/1/2017,22.67,InSAR
2/1/2017,22.67,InSAR
3/1/2017,22.65,InSAR
4/1/2017,22.62,InSAR
5/1/2017,22.62,InSAR
6/1/2017,22.61,InSAR
7/1/2017,22.62,InSAR
8/1/2017,22.65,InSAR
9/1/2017,22.67,InSAR
10/1/2017,22.68,InSAR
11/1/2017,22.72,InSAR
12/1/2017,22.73,InSAR
1/1/2018,22.76,InSAR
2/1/2018,22.81,InSAR
3/1/2018,22.85,InSAR
4/1/2018,22.95,InSAR
5/1/2018,23.04,InSAR
6/1/2018,23.09,InSAR
7/1/2018,23.16,InSAR
8/1/2018,23.27,InSAR
9/1/2018,23.35,InSAR
10/1/2018,23.43,InSAR
11/1/2018,23.48,InSAR
12/1/2018,23.5,InSAR
1/1/2019,23.52,InSAR
2/1/2019,23.52,InSAR
3/1/2019,23.51,InSAR
4/1/2019,23.52,InSAR
5/1/2019,23.49,InSAR
6/1/2019,23.47,InSAR
7/1/2019,23.49,InSAR
8/1/2019,23.52,InSAR
9/1/2019,23.55,InSAR
10/14/2019,23.56,Leveling
11/1/2019,23.58,InSAR
12/1/2019,23.59,InSAR
1/1/2020,23.63,InSAR
2/1/2020,23.66,InSAR
3/1/2020,23.7,InSAR
4/1/2020,23.77,InSAR
5/1/2020,23.83,InSAR
6/1/2020,23.91,InSAR
7/1/2020,23.98,InSAR
8/1/2020,24.06,InSAR
9/1/2020,24.14,InSAR
10/1/2020,24.2,InSAR
11/18/2020,24.22,Leveling
12/1/2020,24.23,InSAR
1/1/2021,24.26,InSAR
2/1/2021,24.28,InSAR
3/1/2021,24.33,InSAR
4/1/2021,24.38,InSAR
5/1/2021,24.44,InSAR
6/1/2021,24.54,InSAR
7/1/2021,24.63,InSAR
8/1/2021,24.74,InSAR
9/1/2021,24.82,InSAR
10/1/2021,24.89,InSAR
11/24/2021,24.95,Leveling
12/1/2021,24.99,InSAR
1/1/2022,25.02,InSAR
2/1/2022,25.07,InSAR
3/1/2022,25.1,InSAR
4/1/2022,25.16,InSAR
5/1/2022,25.26,InSAR
6/1/2022,25.36,InSAR
7/1/2022,25.49,InSAR
8/1/2022,25.61,InSAR
9/1/2022,25.68,InSAR
10/1/2022,25.74,InSAR
11/1/2022,25.8,InSAR
12/1/2022,25.85,InSAR
1/1/2023,25.89,InSAR
2/1/2023,25.84,InSAR
3/1/2023,25.83,InSAR
4/1/2023,25.84,InSAR
5/1/2023,25.78,InSAR
6/1/2023,25.77,InSAR
7/1/2023,25.76,InSAR
8/1/2023,25.76,InSAR
9/1/2023,25.76,InSAR
10/1/2023,25.76,InSAR
11/1/2023,25.8,InSAR
12/1/2023,25.78,InSAR
1/1/2024,25.76,InSAR
2/1/2024,25.72175273,InSAR
3/1/2024,25.72934273,InSAR
4/1/2024,25.74077273,InSAR
