datetime,Mean CH - layer 3 (Pliocene)
2/1/1905,449.9077268
3/1/1905,449.9077256
4/1/1905,449.9005701
5/1/1905,449.888013
6/1/1905,449.8711539
7/1/1905,449.8493049
8/1/1905,449.8225396
9/1/1905,449.7926249
10/1/1905,449.7600429
11/1/1905,449.72331
12/1/1905,449.6827552
1/1/1906,449.5159791
2/1/1906,449.3963967
3/1/1906,449.3044238
4/1/1906,449.2070553
5/1/1906,449.118159
6/1/1906,449.0276938
7/1/1906,448.9471513
8/1/1906,448.8669616
9/1/1906,448.7886277
10/1/1906,448.7133835
11/1/1906,448.6405135
12/1/1906,448.568402
1/1/1907,448.3701783
2/1/1907,448.2258931
3/1/1907,448.1097881
4/1/1907,447.9904116
5/1/1907,447.8799038
6/1/1907,447.7675418
7/1/1907,447.6629767
8/1/1907,447.5597954
9/1/1907,447.4631596
10/1/1907,447.3735969
11/1/1907,447.2810513
12/1/1907,447.1942743
1/1/1908,446.9893017
2/1/1908,446.8308131
3/1/1908,446.6872891
4/1/1908,446.5493572
5/1/1908,446.4261764
6/1/1908,446.2985112
7/1/1908,446.1852853
8/1/1908,446.0739641
9/1/1908,445.9728455
10/1/1908,445.8819779
11/1/1908,445.7912636
12/1/1908,445.7113664
1/1/1909,445.5006194
2/1/1909,445.3357138
3/1/1909,445.2054421
4/1/1909,445.0752959
5/1/1909,444.9557352
6/1/1909,444.8397764
7/1/1909,444.7293068
8/1/1909,444.6217695
9/1/1909,444.5197286
10/1/1909,444.4278534
11/1/1909,444.3301769
12/1/1909,444.2475217
1/1/1910,444.0330698
2/1/1910,443.8678472
3/1/1910,443.7303458
4/1/1910,443.5959158
5/1/1910,443.4744375
6/1/1910,443.3533663
7/1/1910,443.2390846
8/1/1910,443.1184809
9/1/1910,443.0071783
10/1/1910,442.8960103
11/1/1910,442.7917383
12/1/1910,442.6996085
1/1/1911,442.4834826
2/1/1911,442.3229993
3/1/1911,442.1836835
4/1/1911,442.0482077
5/1/1911,441.9217703
6/1/1911,441.7947101
7/1/1911,441.6838186
8/1/1911,441.571931
9/1/1911,441.4675394
10/1/1911,441.3611002
11/1/1911,441.2772261
12/1/1911,441.1827663
1/1/1912,440.9709435
2/1/1912,440.8005533
3/1/1912,440.6675313
4/1/1912,440.5310662
5/1/1912,440.4006772
6/1/1912,440.2670345
7/1/1912,440.1508937
8/1/1912,440.0321556
9/1/1912,439.9101055
10/1/1912,439.7946514
11/1/1912,439.6926375
12/1/1912,439.5950714
1/1/1913,439.3788447
2/1/1913,439.2205664
3/1/1913,439.0846554
4/1/1913,438.9444392
5/1/1913,438.8117055
6/1/1913,438.6812079
7/1/1913,438.5562908
8/1/1913,438.430781
9/1/1913,438.320679
10/1/1913,438.2137132
11/1/1913,438.1094297
12/1/1913,438.0093954
1/1/1914,437.8021755
2/1/1914,437.6400383
3/1/1914,437.5066777
4/1/1914,437.3695458
5/1/1914,437.240635
6/1/1914,437.1154685
7/1/1914,436.9967958
8/1/1914,436.8758299
9/1/1914,436.7627339
10/1/1914,436.6586648
11/1/1914,436.5533959
12/1/1914,436.4602136
1/1/1915,436.2389573
2/1/1915,436.0617608
3/1/1915,435.9172678
4/1/1915,435.7706665
5/1/1915,435.6400783
6/1/1915,435.5204802
7/1/1915,435.4039838
8/1/1915,435.2800175
9/1/1915,435.1694676
10/1/1915,435.0684125
11/1/1915,434.9612267
12/1/1915,434.8546564
1/1/1916,434.6017582
2/1/1916,434.2302802
3/1/1916,433.7308652
4/1/1916,433.4783756
5/1/1916,433.3101045
6/1/1916,433.1819707
7/1/1916,433.0805055
8/1/1916,432.9814733
9/1/1916,432.8873453
10/1/1916,432.8031645
11/1/1916,432.7092815
12/1/1916,432.5940636
1/1/1917,432.4144021
2/1/1917,432.249813
3/1/1917,432.1347532
4/1/1917,431.980704
5/1/1917,431.8394989
6/1/1917,431.7201985
