Date,BLS,Alt,Aquifer,
1/1/1905,125.7,330,Lower,
1/1/1921,139.5,316.2,Lower,
11/22/1942,248,207.7,Lower,
11/20/1943,272,183.7,Lower,
4/9/1946,328.9,178.3,Lower,
10/2/1946,384.1,123.1,Lower,
12/9/1946,352.6,154.6,Lower,
9/25/1947,415,92.2,Lower,
10/8/1947,394.9,112.3,Lower,
11/4/1947,380.1,127.1,Lower,
12/2/1947,391.6,115.6,Lower,
1/6/1948,372.9,134.3,Lower,
1/18/1949,402,105.2,Lower,
2/7/1949,383,124.2,Lower,
8/30/1949,477.6,29.6,Lower,
2/3/1950,391.6,115.6,Lower,
9/22/1950,497.6,9.6,Lower,
1/24/1951,456.2,51,Lower,
9/28/1951,522.8,-15.6,Lower,
2/12/1952,413.2,94,Lower,
10/2/1952,495.6,11.6,Lower,
1/30/1953,410.6,96.6,Lower,
10/6/1953,434.6,72.6,Lower,
2/11/1954,403.6,103.6,Lower,
10/2/1954,448.5,58.7,Lower,
2/25/1955,388.5,118.7,Lower,
10/5/1955,440.5,66.7,Lower,
3/2/1956,385.5,121.7,Lower,
10/8/1956,393.5,113.7,Lower,
2/11/1957,377.5,129.7,Lower,
2/21/1957,351,137.7,Lower,
10/7/1957,346,142.7,Lower,
2/17/1958,321,167.7,Lower,
10/1/1958,322,166.7,Lower,
2/13/1959,314,174.7,Lower,
10/7/1959,325,163.7,Lower,
2/17/1960,306,182.7,Lower,
10/3/1960,332,156.7,Lower,
2/16/1961,298,190.7,Lower,
10/4/1961,329,159.7,Lower,
2/8/1962,308,180.7,Lower,
10/12/1962,306,182.7,Lower,
2/12/1963,300,188.7,Lower,
9/30/1963,298,190.7,Lower,
2/11/1964,286,202.7,Lower,
10/1/1964,302,186.7,Lower,
2/5/1965,277,211.7,Lower,
2/1/1966,264,224.7,Lower,
2/9/1967,262,226.7,Lower,
1/31/1968,251,237.7,Lower,
1/31/1969,255,233.7,Lower,
9/24/1969,253,235.7,Lower,
1/26/1970,242,246.7,Lower,
9/23/1970,259,229.7,Lower,
1/27/1971,241,247.7,Lower,
9/22/1971,250,238.7,Lower,
