Date,Subsidence_ft,Source
1/1/1924,0,Leveling
1/1/1935,0.17,Leveling
1/1/1947,0.53,Leveling
1/1/1948,0.74,Leveling
1/1/1953,3.11,Leveling
1/1/1957,3.68,Leveling
1/1/1959,3.66,Leveling
1/1/1962,4,Leveling
1/1/1964,4.59,Leveling
2/5/1964,4.6,Extensometer
3/4/1964,4.64,Extensometer
3/31/1964,4.69,Extensometer
5/1/1964,4.74,Extensometer
5/27/1964,4.78,Extensometer
6/25/1964,4.86,Extensometer
8/18/1964,4.89,Extensometer
9/16/1964,4.94,Extensometer
10/13/1964,4.93,Extensometer
11/13/1964,4.9,Extensometer
12/15/1964,4.9,Extensometer
1/12/1965,4.9,Extensometer
2/11/1965,4.92,Extensometer
3/15/1965,4.92,Extensometer
4/7/1965,4.93,Extensometer
5/5/1965,4.93,Extensometer
6/2/1965,4.98,Extensometer
7/1/1965,4.99,Extensometer
7/28/1965,5,Extensometer
8/24/1965,5,Extensometer
9/22/1965,4.99,Extensometer
10/21/1965,4.98,Extensometer
11/17/1965,4.96,Extensometer
12/18/1965,4.96,Extensometer
1/7/1966,4.96,Extensometer
4/13/1966,4.96,Extensometer
5/11/1966,5.03,Extensometer
7/5/1966,5.16,Extensometer
7/17/1966,5.21,Extensometer
8/28/1966,5.2,Extensometer
9/28/1966,5.19,Extensometer
11/22/1966,5.15,Extensometer
11/23/1966,5.11,Extensometer
1/10/1967,5.09,Extensometer
2/13/1967,5.07,Extensometer
2/16/1967,5.08,Extensometer
3/15/1967,5.11,Extensometer
5/10/1967,5.08,Extensometer
5/11/1967,5.08,Extensometer
6/7/1967,5.09,Extensometer
7/7/1967,5.11,Extensometer
8/2/1967,5.12,Extensometer
8/30/1967,5.11,Extensometer
9/28/1967,5.1,Extensometer
10/26/1967,5.08,Extensometer
11/23/1967,5.07,Extensometer
12/21/1967,5.05,Extensometer
1/17/1968,5.04,Extensometer
2/14/1968,5.04,Extensometer
3/13/1968,5.06,Extensometer
4/10/1968,5.11,Extensometer
5/8/1968,5.17,Extensometer
6/30/1968,5.26,Extensometer
7/3/1968,5.32,Extensometer
8/26/1968,5.34,Extensometer
8/29/1968,5.33,Extensometer
9/25/1968,5.31,Extensometer
11/9/1968,5.27,Extensometer
11/20/1968,5.24,Extensometer
12/16/1968,5.22,Extensometer
2/10/1969,5.19,Extensometer
3/3/1969,5.18,Extensometer
3/20/1969,5.17,Extensometer
4/17/1969,5.16,Extensometer
5/8/1969,5.16,Extensometer
6/5/1969,5.18,Extensometer
6/26/1969,5.18,Extensometer
7/29/1969,5.2,Extensometer
9/16/1969,5.2,Extensometer
9/22/1969,5.19,Extensometer
11/6/1969,5.19,Extensometer
11/6/1969,5.17,Extensometer
12/16/1969,5.17,Extensometer
1/1/1970,5,Leveling
2/9/1970,4.99,Extensometer
3/10/1970,4.99,Extensometer
6/2/1970,5.12,Extensometer
6/30/1970,5.2,Extensometer
7/29/1970,5.26,Extensometer
8/27/1970,5.24,Extensometer
9/22/1970,5.22,Extensometer
10/19/1970,5.19,Extensometer
11/16/1970,5.17,Extensometer
12/15/1970,5.14,Extensometer
1/12/1971,5.11,Extensometer
2/9/1971,5.11,Extensometer
4/5/1971,5.17,Extensometer
5/3/1971,5.16,Extensometer
6/1/1971,5.19,Extensometer
6/28/1971,5.22,Extensometer
7/27/1971,5.23,Extensometer
8/23/1971,5.23,Extensometer
9/21/1971,5.21,Extensometer
10/18/1971,5.2,Extensometer
11/16/1971,5.18,Extensometer
12/13/1971,5.16,Extensometer
1/11/1972,5.14,Extensometer
2/7/1972,5.13,Extensometer
3/6/1972,5.19,Extensometer
4/3/1972,5.22,Extensometer
5/1/1972,5.28,Extensometer
5/30/1972,5.33,Extensometer
6/30/1972,5.36,Extensometer
7/24/1972,5.37,Extensometer
8/22/1972,5.37,Extensometer
9/18/1972,5.36,Extensometer
11/14/1972,5.3,Extensometer
12/11/1972,5.28,Extensometer
1/8/1973,5.26,Extensometer
2/5/1973,5.24,Extensometer
3/6/1973,5.22,Extensometer
4/2/1973,5.22,Extensometer
5/1/1973,5.26,Extensometer
5/29/1973,5.29,Extensometer
6/25/1973,5.32,Extensometer
7/23/1973,5.34,Extensometer
8/20/1973,5.34,Extensometer
9/17/1973,5.32,Extensometer
10/15/1973,5.3,Extensometer
11/13/1973,5.28,Extensometer
12/11/1973,5.26,Extensometer
1/8/1974,5.25,Extensometer
2/5/1974,5.24,Extensometer
3/6/1974,5.25,Extensometer
4/2/1974,5.28,Extensometer
5/1/1974,5.3,Extensometer
5/30/1974,5.33,Extensometer
6/24/1974,5.35,Extensometer
7/22/1974,5.36,Extensometer
8/19/1974,5.21,Extensometer
10/22/1974,5.18,Extensometer
1/7/1975,5.15,Extensometer
4/7/1975,5.17,Extensometer
7/8/1975,5.24,Extensometer
10/9/1975,5.2,Extensometer
1/8/1976,5.18,Extensometer
4/7/1976,5.23,Extensometer
7/9/1976,5.42,Extensometer
10/7/1976,5.39,Extensometer
1/3/1976,5.37,Extensometer
3/30/1976,5.68,Extensometer
7/7/1977,5.74,Extensometer
8/30/1977,5.69,Extensometer
12/1/1977,5.63,Extensometer
1/24/1978,5.54,Extensometer
4/26/1978,5.59,Extensometer
6/21/1978,5.64,Extensometer
8/16/1978,5.59,Extensometer
10/19/1978,5.55,Extensometer
1/11/1979,5.51,Extensometer
3/15/1979,5.55,Extensometer
5/16/1979,5.55,Extensometer
7/19/1979,5.61,Extensometer
9/19/1979,5.59,Extensometer
11/15/1979,5.54,Extensometer
1/24/1980,5.5,Extensometer
3/26/1980,5.55,Extensometer
5/21/1980,5.58,Extensometer
7/22/1980,5.58,Extensometer
9/25/1980,5.56,Extensometer
11/19/1980,5.54,Extensometer
1/21/1981,5.5,Extensometer
3/18/1981,5.51,Extensometer
5/13/1981,5.62,Extensometer
7/16/1981,5.64,Extensometer
9/16/1981,5.63,Extensometer
11/19/1981,5.58,Extensometer
1/20/1982,5.55,Extensometer
3/16/1982,5.56,Extensometer
6/9/1982,5.59,Extensometer
8/25/1982,5.57,Extensometer
10/27/1982,5.53,Extensometer
8/1/2004,6.85,InSAR
9/1/2004,6.86,InSAR
10/1/2004,6.86,InSAR
11/1/2004,6.86,InSAR
12/1/2004,6.85,InSAR
1/1/2005,6.84,InSAR
2/1/2005,6.83,InSAR
3/1/2005,6.81,InSAR
4/1/2005,6.84,InSAR
1/1/2006,6.82,InSAR
2/1/2006,6.8,InSAR
3/1/2006,6.8,InSAR
4/1/2006,6.8,InSAR
5/1/2006,6.8,InSAR
6/1/2006,6.83,InSAR
2/1/2007,6.81,InSAR
3/1/2007,6.87,InSAR
8/1/2007,6.88,InSAR
9/1/2007,6.86,InSAR
2/1/2008,6.86,InSAR
3/1/2008,6.94,InSAR
5/1/2009,6.95,InSAR
6/1/2009,6.97,InSAR
7/1/2009,6.99,InSAR
8/1/2009,7,InSAR
9/1/2009,7,InSAR
10/1/2009,7,InSAR
11/1/2009,6.99,InSAR
12/1/2009,7,InSAR
1/1/2010,6.98,InSAR
2/1/2010,6.97,InSAR
3/1/2010,6.97,InSAR
4/1/2010,6.97,InSAR
5/1/2010,6.97,InSAR
6/1/2010,6.82,InSAR
7/1/2015,7.47,InSAR
8/1/2015,7.48,InSAR
9/1/2015,7.49,InSAR
