datetime,Mean CH - layer 3 (Confined Aquifer)
2/1/1926,209.4197467
3/1/1926,209.2750728
4/1/1926,209.0422643
5/1/1926,208.3337073
6/1/1926,207.2867168
7/1/1926,206.8084538
8/1/1926,206.5088984
9/1/1926,206.5452609
10/1/1926,206.7020352
11/1/1926,206.9653972
12/1/1926,206.9393292
1/1/1927,206.8684411
2/1/1927,206.6440621
3/1/1927,205.8259286
4/1/1927,205.0552416
5/1/1927,204.67664
6/1/1927,204.5978434
7/1/1927,204.5001929
8/1/1927,204.5485768
9/1/1927,204.344061
10/1/1927,204.3227885
11/1/1927,204.0740375
12/1/1927,203.9536993
1/1/1928,203.8757173
2/1/1928,203.681098
3/1/1928,203.6541768
4/1/1928,203.5600431
5/1/1928,203.4116973
6/1/1928,203.2041477
7/1/1928,202.9968532
8/1/1928,202.4577942
9/1/1928,201.5693595
10/1/1928,200.974912
11/1/1928,200.3686597
12/1/1928,200.0643811
1/1/1929,199.500189
2/1/1929,198.1772011
3/1/1929,196.7761085
4/1/1929,195.0176773
5/1/1929,194.1225585
6/1/1929,193.3972475
7/1/1929,192.9514955
8/1/1929,192.6598278
9/1/1929,192.4029162
10/1/1929,192.3203807
11/1/1929,192.22766
12/1/1929,192.1560693
1/1/1930,192.0325273
2/1/1930,191.9713675
3/1/1930,191.9186467
4/1/1930,191.9296373
5/1/1930,191.880699
6/1/1930,191.8291915
7/1/1930,191.7696623
8/1/1930,191.7168519
9/1/1930,191.6618142
10/1/1930,191.6019414
11/1/1930,191.6040421
12/1/1930,191.6904588
1/1/1931,191.5908077
2/1/1931,191.5627493
3/1/1931,191.5400586
4/1/1931,191.5145094
5/1/1931,191.4856784
6/1/1931,191.3815904
7/1/1931,191.3019212
8/1/1931,191.3163376
9/1/1931,191.2718843
10/1/1931,191.2148183
11/1/1931,191.1876662
12/1/1931,191.2308256
1/1/1932,191.2110605
2/1/1932,191.1253233
3/1/1932,191.0977653
4/1/1932,191.078557
5/1/1932,191.0595598
6/1/1932,191.0400205
7/1/1932,191.0231098
8/1/1932,191.0051886
9/1/1932,190.9860319
10/1/1932,190.9655976
11/1/1932,191.0019735
12/1/1932,190.9800472
1/1/1933,190.9552156
2/1/1933,190.9647712
3/1/1933,190.9307638
4/1/1933,190.7831763
5/1/1933,190.7633436
6/1/1933,190.7427415
7/1/1933,190.7879509
8/1/1933,190.7699772
9/1/1933,190.7537665
10/1/1933,190.739662
11/1/1933,190.6679877
12/1/1933,190.6461973
1/1/1934,190.6342868
2/1/1934,190.6766667
3/1/1934,190.6086069
4/1/1934,190.6569824
5/1/1934,190.699532
6/1/1934,190.7439515
7/1/1934,190.7341265
8/1/1934,190.7248223
9/1/1934,190.7161963
10/1/1934,190.708158
11/1/1934,190.6997642
12/1/1934,190.6907125
1/1/1935,190.6819783
2/1/1935,190.6751683
3/1/1935,190.6695443
4/1/1935,190.6638777
5/1/1935,190.6587682
6/1/1935,190.6538314
7/1/1935,190.6492916
8/1/1935,190.6448497
9/1/1935,190.6401659
10/1/1935,190.6776574
11/1/1935,190.7126966
12/1/1935,190.6393808
1/1/1936,190.702524
2/1/1936,190.6046141
3/1/1936,190.7041153
4/1/1936,190.6099353
5/1/1936,190.5008894
6/1/1936,190.4431258
7/1/1936,190.2651992
8/1/1936,190.0498464
9/1/1936,189.8904111
10/1/1936,189.9114435
11/1/1936,189.8898625
12/1/1936,189.8318359
1/1/1937,189.7908947
2/1/1937,189.7301053
3/1/1937,189.641557
4/1/1937,189.5846936
5/1/1937,189.5420085
6/1/1937,189.5124804
7/1/1937,189.5486646
8/1/1937,189.5131094
9/1/1937,189.4700091
10/1/1937,189.4461442
11/1/1937,189.4326804
12/1/1937,189.421197
1/1/1938,189.4063084
2/1/1938,189.3928026
3/1/1938,189.3812561
4/1/1938,189.3703581
5/1/1938,189.3615708
6/1/1938,189.3540894
7/1/1938,189.3479823
8/1/1938,189.3426745
9/1/1938,189.3379622
10/1/1938,189.2053588
11/1/1938,189.1668352
12/1/1938,188.9171313
1/1/1939,188.9246299
2/1/1939,189.0309444
3/1/1939,189.0464539
4/1/1939,189.0069378
5/1/1939,188.9971582
6/1/1939,189.0678272
7/1/1939,189.1440294
8/1/1939,189.2320391
9/1/1939,189.1659978
10/1/1939,189.115108
11/1/1939,189.1183714
12/1/1939,189.098089
1/1/1940,189.0495004
2/1/1940,189.0274026
3/1/1940,188.9672973
4/1/1940,188.9276492
5/1/1940,188.9011542
6/1/1940,188.9316504
7/1/1940,188.9123399
8/1/1940,188.8923812
9/1/1940,188.8762134
10/1/1940,188.8613419
11/1/1940,188.8367067
12/1/1940,188.7637289
1/1/1941,188.6649877
2/1/1941,188.5716899
3/1/1941,188.3093831
4/1/1941,187.8926064
5/1/1941,187.0086783
6/1/1941,185.6809714
