Date,BLS,Alt,Aquifer
9/14/1950,,163.42,Upper
10/11/1951,,161.52,Upper
9/19/1952,,161.62,Upper
10/13/1953,,153.02,Upper
10/18/1954,,149.72,Upper
10/5/1955,,141.02,Upper
2/21/1956,,151.22,Upper
11/15/1956,,150.52,Upper
2/21/1957,,153.42,Upper
10/17/1957,,136.62,Upper
2/18/1958,,141.22,Upper
10/14/1958,,141.82,Upper
2/26/1959,,146.12,Upper
10/20/1959,,129.42,Upper
3/3/1960,,130.82,Upper
11/18/1960,,128.62,Upper
3/3/1961,,121.22,Upper
2/22/1962,,117.32,Upper
2/21/1963,,117.22,Upper
2/3/1965,,109.82,Upper
2/8/1966,,102.22,Upper
2/23/1967,,91.22,Upper
2/21/1975,,60.73,Upper
2/4/1976,,64.73,Upper
10/21/1976,,60.73,Upper
2/3/1977,,64.73,Upper
10/12/1977,,49.73,Upper
2/1/1978,,40.73,Upper
10/11/1978,,64.73,Upper
10/3/1979,,68.73,Upper
2/6/1980,,61.74,Upper
10/3/1980,,61.74,Upper
9/29/1981,,64.74,Upper
2/3/1982,,64.74,Upper
10/8/1982,,79.74,Upper
10/11/1983,,88.74,Upper
2/14/1984,,89.74,Upper
10/25/1984,,84.74,Upper
2/20/1985,,70.74,Upper
10/29/1985,,77.74,Upper
2/24/1986,,87.74,Upper
10/8/1986,,89.74,Upper
2/25/1987,,87.74,Upper
10/14/1987,,74.74,Upper
2/18/1988,,80.74,Upper
10/12/1988,,73.74,Upper
2/17/1989,,69.74,Upper
10/13/1989,,61.74,Upper
1/30/1990,,67.74,Upper
10/10/1990,,52.74,Upper
1/10/1991,,58.74,Upper
10/22/1991,,41.74,Upper
1/17/1992,,50.74,Upper
10/26/1992,,30.74,Upper
10/22/1993,,44.74,Upper
2/16/1994,,34.74,Upper
11/16/1994,,27.74,Upper
2/23/1995,,32.74,Upper
10/18/1995,,48.74,Upper
4/15/1996,,51.74,Upper
10/21/1996,,52.74,Upper
2/18/1997,,60.74,Upper
10/15/1997,,56.74,Upper
10/20/1998,,61.74,Upper
2/4/1999,,68.74,Upper
10/18/1999,,49.74,Upper
2/7/2000,,51.74,Upper
2/8/2001,,45.74,Upper
11/9/2001,,33.74,Upper
2/4/2002,,49.74,Upper
3/8/2004,,31.74,Upper
2/14/2006,,27.74,Upper
10/10/2006,,41.74,Upper
2/20/2007,,34.74,Upper
10/28/2008,,-4.26,Upper
3/10/2009,,11.74,Upper
10/8/2009,,-10.26,Upper
3/29/2010,,5.74,Upper
10/11/2010,,6.94,Upper
2/8/2011,,14.54,Upper
10/11/2011,,11.34,Upper
1/24/2012,,20.54,Upper
2/20/2013,,3.74,Upper
11/18/2013,,-8.56,Upper
2/12/2014,,-12.16,Upper
10/17/2014,,-27.86,Upper
10/7/2015,,-33.26,Upper
3/22/2016,,-12.66,Upper
3/21/2017,,-16.76,Upper
10/12/2017,,-41.66,Upper
10/9/2018,,-45.26,Upper
3/20/2020,,-19.46,Upper
10/23/2020,,-48.06,Upper
10/21/2021,,-52.26,Upper
3/25/2022,,-51.36,Upper
10/26/2022,,-47.16,Upper
3/9/2023,,-29.56,Upper
10/20/2023,,-32.49,Upper
3/7/2024,,-19.15,Upper
9/10/1937,,171.08,Lower
9/17/1943,,167.48,Lower
10/4/1946,,154.98,Lower
9/29/1947,,136.98,Lower
2/20/1950,,148.98,Lower
11/8/1950,,130.38,Lower
1/1/1951,,146.99,Lower
2/2/1951,,144.98,Lower
10/2/1951,,107.08,Lower
2/6/1952,,139.48,Lower
4/29/1952,,134.78,Lower
9/23/1952,,96.38,Lower
9/22/1953,,69.78,Lower
10/11/1954,,97.78,Lower
9/27/1955,,77.48,Lower
2/19/1956,,128.48,Lower
11/10/1956,,121.78,Lower
2/20/1957,,121.68,Lower
2/17/1958,,125.98,Lower
10/15/1958,,133.98,Lower
2/25/1959,,113.98,Lower
5/6/1959,,98.48,Lower
10/22/1959,,105.38,Lower
11/10/1960,,95.28,Lower
3/9/1962,,98.48,Lower
2/6/1964,,67.08,Lower
2/8/1966,,68.28,Lower
2/23/1967,,66.78,Lower
3/11/1968,,49.78,Lower
12/27/1968,,64.77,Lower
12/15/1969,,74.77,Lower
1/4/1971,,59.77,Lower
3/14/1973,,60.77,Lower
2/20/1975,,28.77,Lower
10/20/1976,,55.77,Lower
2/3/1977,,40.77,Lower
2/3/1978,,11.77,Lower
10/12/1978,,51.77,Lower
2/6/1980,,55.77,Lower
2/18/1981,,35.77,Lower
9/29/1981,,46.77,Lower
2/2/1982,,36.77,Lower
10/8/1982,,64.77,Lower
10/12/1983,,72.77,Lower
2/15/1984,,73.77,Lower
10/25/1984,,71.77,Lower
2/21/1985,,58.77,Lower
10/30/1985,,68.77,Lower
2/24/1986,,75.77,Lower
10/8/1986,,69.77,Lower
2/25/1987,,61.77,Lower
10/19/1987,,61.77,Lower
2/18/1988,,50.77,Lower
10/13/1988,,62.77,Lower
2/17/1989,,49.77,Lower
10/10/1989,,53.77,Lower
1/30/1990,,44.77,Lower
10/10/1990,,31.77,Lower
1/11/1991,,39.77,Lower
10/22/1991,,25.77,Lower
1/17/1992,,25.77,Lower
10/26/1992,,6.77,Lower
2/16/1993,,-0.23,Lower
10/22/1993,,12.77,Lower
2/16/1994,,11.77,Lower
11/16/1994,,15.77,Lower
2/23/1995,,8.77,Lower
10/18/1995,,23.77,Lower
10/22/1996,,32.77,Lower
2/19/1997,,56.77,Lower
3/26/1998,,56.77,Lower
10/20/1998,,64.77,Lower
2/4/1999,,62.77,Lower
10/19/1999,,49.77,Lower
2/9/2000,,38.77,Lower
2/8/2001,,33.77,Lower
10/26/2001,,31.77,Lower
