Date,Subsidence_ft,Source
1/1/1926,0,Leveling
11/19/1955,0.79,Leveling
1/1/1958,1.14,Leveling
12/20/1959,1.39,Leveling
3/27/1963,1.81,Leveling
3/1/1966,2.21,Leveling
3/1/1969,2.32,Leveling
3/1/1972,2.29,Leveling
2/1/2006,4.598403475,Leveling
3/1/2006,4.598403475,InSAR
4/1/2006,4.598403475,InSAR
5/1/2006,4.578403475,InSAR
12/1/2006,4.628403475,InSAR
9/1/2007,4.738403475,InSAR
10/1/2007,4.748403475,InSAR
11/1/2007,4.758403475,InSAR
12/1/2007,4.768403475,InSAR
1/1/2008,4.778403475,InSAR
2/1/2008,4.788403475,InSAR
3/1/2008,4.808403475,InSAR
4/1/2008,4.808403475,InSAR
5/1/2008,4.828403475,InSAR
6/1/2008,4.838403475,InSAR
7/1/2008,4.848403475,InSAR
8/1/2008,4.858403475,InSAR
9/1/2008,4.868403475,InSAR
6/1/2009,4.988403475,InSAR
7/1/2009,4.998403475,InSAR
8/1/2009,5.008403475,InSAR
9/1/2009,5.018403475,InSAR
10/1/2009,5.028403475,InSAR
11/1/2009,5.038403475,InSAR
12/1/2009,5.058403475,InSAR
1/1/2010,5.068403475,InSAR
2/1/2010,5.078403475,InSAR
3/1/2010,5.088403475,InSAR
4/1/2010,5.098403475,InSAR
5/1/2010,5.108403475,InSAR
6/1/2010,5.118403475,InSAR
7/1/2010,5.118403475,InSAR
8/1/2010,5.128403475,InSAR
7/1/2012,5.27,Leveling
12/1/2012,5.24,Leveling
7/1/2013,5.53,Leveling
12/1/2013,5.58,Leveling
7/1/2014,5.91,Leveling
12/1/2014,5.99,Leveling
7/1/2015,6.40,Leveling
7/1/2015,6.265622089,InSAR
8/1/2015,6.31115935,InSAR
9/1/2015,6.359873629,InSAR
10/1/2015,6.407528902,InSAR
11/1/2015,6.438240078,InSAR
12/1/2015,6.42,Leveling
12/1/2015,6.479541315,InSAR
1/1/2016,6.506016466,InSAR
2/1/2016,6.544140685,InSAR
3/1/2016,6.555789752,InSAR
4/1/2016,6.585441922,InSAR
5/1/2016,6.610858067,InSAR
6/1/2016,6.659572346,InSAR
7/1/2016,6.85,Leveling
7/1/2016,6.692401535,InSAR
8/1/2016,6.730525753,InSAR
9/1/2016,6.770767984,InSAR
10/1/2016,6.785594069,InSAR
11/1/2016,6.823718287,InSAR
12/1/2016,6.79,Leveling
12/1/2016,6.834308348,InSAR
1/1/2017,6.847016421,InSAR
2/1/2017,6.868196542,InSAR
3/1/2017,6.874550578,InSAR
4/1/2017,6.875609584,InSAR
5/1/2017,6.891494676,InSAR
6/1/2017,6.892553682,InSAR
7/1/2017,7.02,Leveling
7/1/2017,6.905261754,InSAR
8/1/2017,6.933854918,InSAR
9/1/2017,6.95503504,InSAR
10/1/2017,6.958212058,InSAR
11/1/2017,6.988923234,InSAR
12/1/2017,6.96,Leveling
12/1/2017,6.993159258,InSAR
1/1/2018,7.005867331,InSAR
2/1/2018,7.018575404,InSAR
3/1/2018,7.013280373,InSAR
4/1/2018,7.045050556,InSAR
5/1/2018,7.069407695,InSAR
6/1/2018,7.08423378,InSAR
7/1/2018,7.04,Leveling
7/1/2018,7.129771041,InSAR
8/1/2018,7.179544326,InSAR
9/1/2018,7.212373515,InSAR
10/1/2018,7.255792763,InSAR
11/1/2018,7.282267915,InSAR
12/1/2018,7.16,Leveling
12/1/2018,7.296034994,InSAR
1/1/2019,7.303448036,InSAR
2/1/2019,7.312979091,InSAR
3/1/2019,7.318274121,InSAR
4/1/2019,7.341572255,InSAR
5/1/2019,7.325687164,InSAR
6/1/2019,7.329923188,InSAR
7/1/2019,7.35,Leveling
7/1/2019,7.350044304,InSAR
8/1/2019,7.375460449,InSAR
9/1/2019,7.396640571,InSAR
10/1/2019,7.377578461,InSAR
11/1/2019,7.39134554,InSAR
12/1/2019,7.48,Leveling
12/1/2019,7.398758583,InSAR
1/1/2020,7.418879698,InSAR
2/1/2020,7.419938704,InSAR
3/1/2020,7.42629274,InSAR
4/1/2020,7.447472862,InSAR
5/1/2020,7.461239941,InSAR
6/1/2020,7.500423165,InSAR
7/1/2020,7.540665396,InSAR
8/1/2020,7.607382778,InSAR
9/1/2020,7.679395191,InSAR
10/1/2020,7.732345494,InSAR
11/1/2020,7.727050464,InSAR
11/24/2020,7.33,Leveling
12/1/2020,7.71,Leveling
12/1/2020,7.721755434,InSAR
1/1/2021,7.719637422,InSAR
2/1/2021,7.715401397,InSAR
3/1/2021,7.732345494,InSAR
4/1/2021,7.75776164,InSAR
5/1/2021,7.794826853,InSAR
6/1/2021,7.870016283,InSAR
7/1/2021,7.76,Leveling
7/1/2021,7.94096969,InSAR
8/1/2021,8.0299262,InSAR
9/1/2021,8.075463461,InSAR
10/1/2021,8.096643582,InSAR
11/1/2021,8.116764698,InSAR
12/1/2021,8.23,Leveling
12/1/2021,8.114646685,InSAR
1/1/2022,8.110410661,InSAR
2/1/2022,8.119941716,InSAR
3/1/2022,8.123118734,InSAR
4/1/2022,8.142180843,InSAR
5/1/2022,8.215252262,InSAR
6/1/2022,8.288323681,InSAR
7/1/2022,8.41,Leveling
7/1/2022,8.386811245,InSAR
8/1/2022,8.464118688,InSAR
9/1/2022,8.494829864,InSAR
10/1/2022,8.521305016,InSAR
11/1/2022,8.535072095,InSAR
12/1/2022,8.52,Leveling
12/1/2022,8.540367125,InSAR
1/1/2023,8.534013089,InSAR
2/1/2023,8.539308119,InSAR
