datetime,Mean CH - layer 3 (Principal Aquifer)
11/1/1926,397.438153
12/1/1926,386.6544646
1/1/1927,381.9525756
2/1/1927,378.8457824
3/1/1927,376.4585624
4/1/1927,374.8655984
5/1/1927,373.8812827
6/1/1927,372.7976307
7/1/1927,371.9028499
8/1/1927,370.9191588
9/1/1927,370.0195164
10/1/1927,369.1941767
11/1/1927,368.156743
12/1/1927,367.304591
1/1/1928,366.5950665
2/1/1928,365.9609368
3/1/1928,365.2881112
4/1/1928,363.4879181
5/1/1928,362.0037848
6/1/1928,360.6700712
7/1/1928,359.6394669
8/1/1928,358.6613576
9/1/1928,357.6127381
10/1/1928,356.8247278
11/1/1928,355.831586
12/1/1928,355.0963806
1/1/1929,354.4852355
2/1/1929,353.960205
3/1/1929,353.3519967
4/1/1929,352.725101
5/1/1929,352.1121688
6/1/1929,351.5881896
7/1/1929,351.0193214
8/1/1929,350.4924051
9/1/1929,349.9945654
10/1/1929,349.7358898
11/1/1929,349.1443056
12/1/1929,348.7332957
1/1/1930,348.1954788
2/1/1930,347.4942636
3/1/1930,347.0937909
4/1/1930,346.4415239
5/1/1930,345.9565691
6/1/1930,345.4830406
7/1/1930,345.0239389
8/1/1930,344.4431123
9/1/1930,343.8181352
10/1/1930,343.2314595
11/1/1930,342.712562
12/1/1930,342.2760988
1/1/1931,341.9367166
2/1/1931,341.6043196
3/1/1931,341.2338358
4/1/1931,340.865325
5/1/1931,340.4773984
6/1/1931,340.1969181
7/1/1931,339.9536967
8/1/1931,339.7064926
9/1/1931,339.4641708
10/1/1931,339.2549189
11/1/1931,339.0563182
12/1/1931,338.8708804
1/1/1932,338.7362679
2/1/1932,338.4251226
3/1/1932,338.244629
4/1/1932,338.0947228
5/1/1932,337.9273482
6/1/1932,337.86507
7/1/1932,337.7700686
8/1/1932,337.6767263
9/1/1932,337.6496799
10/1/1932,337.5780097
11/1/1932,337.5071157
12/1/1932,337.4348318
1/1/1933,337.353319
2/1/1933,337.2915418
3/1/1933,337.2133655
4/1/1933,337.1500195
5/1/1933,337.0539358
6/1/1933,336.9062845
7/1/1933,336.8135649
8/1/1933,336.7191176
9/1/1933,336.57345
10/1/1933,336.4690977
11/1/1933,336.2799413
12/1/1933,336.0455966
1/1/1934,335.8144593
2/1/1934,335.6282331
3/1/1934,335.4143301
4/1/1934,335.2474656
5/1/1934,335.0209723
6/1/1934,334.6859665
7/1/1934,334.1821761
8/1/1934,333.6542728
9/1/1934,333.0496713
10/1/1934,332.4111473
11/1/1934,331.7082968
12/1/1934,331.0540338
1/1/1935,330.3307643
2/1/1935,329.4869781
3/1/1935,328.8508637
4/1/1935,327.9411039
5/1/1935,327.1414255
6/1/1935,326.3035113
7/1/1935,325.6282531
8/1/1935,324.9590782
9/1/1935,324.2573177
10/1/1935,323.5936766
11/1/1935,322.9146378
