Aquifer,Top,Bot,Thick_ft,Description
Upper,0,10,10,sand
Upper,10,12,2,sand
Upper,12,15,3,clay
Upper,15,17,2,sand
Upper,17,20,3,clay
Upper,20,40,20,sand
Upper,45,47,2,sand
Upper,47,50,3,clay
Upper,50,52,2,sand
Upper,52,55,3,clay
Upper,55,60,5,clay
Upper,60,67,7,sand
Upper,67,75,8,clay
Upper,75,90,15,clay
Upper,90,102,12,sand
Upper,102,115,13,clay
Upper,115,140,25,clay
Upper,145,160,15,clay
Upper,160,170,10,clay
Upper,170,190,20,clay
Upper,190,191,1,sand
Upper,191,192,1,clay
Upper,192,193,1,sand
Upper,193,195,2,clay
Upper,195,200,5,sand
Upper,200,205,5,clay
Upper,220,270,50,sand
Upper,270,275,5,sand
Upper,275,280,5,clay
Upper,280,285,5,sand
Upper,285,290,5,clay
Upper,290,295,5,sand
Upper,295,300,5,clay
Upper,300,320,20,sand
Upper,320,325,5,sand
Upper,325,330,5,clay
Upper,330,335,5,sand
Corcoran,335,340,5,clay
Corcoran,340,345,5,sand
Corcoran,345,350,5,clay
Corcoran,350,355,5,clay
Lower,355,360,5,sand
Lower,360,400,40,sand
Lower,410,430,20,sand
Lower,430,450,20,clay
Lower,450,460,10,sand
Lower,460,470,10,clay
Lower,470,480,10,sand
Lower,480,490,10,clay
Lower,490,520,30,sand
Lower,520,550,30,clay
Lower,550,557,7,sand
Lower,557,565,8,clay
Lower,565,572,7,sand
Lower,572,580,8,clay
Lower,580,610,30,sand
Lower,610,640,30,clay
Lower,640,650,10,sand
Lower,650,660,10,clay
Lower,660,670,10,sand
Lower,670,680,10,clay
Lower,680,695,15,sand
Lower,695,710,15,clay
Lower,710,750,40,sand
Lower,750,803,53,sand
Lower,803,811,8,sand
Lower,811,819,8,clay
Lower,819,827,8,sand
Lower,827,835,8,clay
Lower,835,851,16,clay
Lower,851,859,8,sand
Lower,859,867,8,clay
Lower,867,875,8,sand
Lower,875,883,8,clay
Lower,883,891,8,sand
Lower,891,899,8,clay
Lower,899,915,16,clay
Lower,915,923,8,sand
Lower,923,931,8,clay
Lower,931,939,8,sand
Lower,939,947,8,clay
Lower,947,955,8,sand
Lower,955,963,8,clay
Lower,963,980,17,clay
Lower,980,1043,63,sand
Lower,1043,1051,8,sand
Lower,1051,1059,8,clay
Lower,1059,1075,16,clay
Lower,1075,1083,8,sand
Lower,1083,1091,8,clay
Lower,1091,1099,8,sand
Lower,1099,1107,8,clay
Lower,1107,1131,24,sand
Lower,1131,1155,24,clay
Lower,1155,1203,48,clay
Lower,1203,1295,92,clay
Lower,1295,1312,17,clay
Lower,1312,1319,7,sand
Lower,1319,1327,8,clay
Lower,1327,1342,15,clay
Lower,1342,1349,7,sand
Lower,1349,1357,8,clay
Lower,1357,1365,8,sand
Lower,1365,1374,9,clay
Lower,1374,1391,17,clay
Lower,1391,1398,7,sand
Lower,1398,1406,8,clay
Lower,1406,1422,16,clay
Lower,1422,1445,23,clay
Lower,1445,1453,8,sand
Lower,1453,1461,8,clay
Lower,1461,1469,8,sand
Lower,1469,1477,8,clay
