Date,BLS,Alt,Aquifer
1/19/1951,,294.17,Lower
10/3/1951,,284.17,Lower
1/14/1952,,296.67,Lower
9/18/1952,,281.17,Lower
11/26/1952,,294.97,Lower
1/21/1953,,298.37,Lower
12/18/1953,,288.37,Lower
2/2/1954,,292.17,Lower
9/13/1954,,268.47,Lower
10/31/1954,,271.17,Lower
2/8/1955,,285.17,Lower
9/12/1955,,255.17,Lower
10/12/1955,,270.17,Lower
2/7/1956,,277.37,Lower
10/3/1956,,267.17,Lower
2/4/1957,,277.77,Lower
9/23/1957,,262.17,Lower
2/4/1958,,270.87,Lower
9/22/1958,,268.77,Lower
2/2/1959,,259.67,Lower
9/21/1959,,249.77,Lower
2/5/1960,,261.07,Lower
2/2/1961,,229.97,Lower
10/6/1961,,218.47,Lower
2/1/1962,,238.37,Lower
10/3/1962,,208.67,Lower
1/30/1963,,209.67,Lower
9/18/1963,,213.17,Lower
1/22/1964,,250.67,Lower
9/18/1964,,207.17,Lower
1/28/1965,,222.17,Lower
9/24/1965,,216.17,Lower
1/24/1966,,248.17,Lower
9/22/1966,,205.17,Lower
1/23/1967,,225.67,Lower
9/19/1967,,201.17,Lower
1/24/1968,,236.17,Lower
1/20/1969,,234.17,Lower
1/20/1970,,235.17,Lower
9/16/1971,,194.17,Lower
1/29/1973,,207.17,Lower
10/1/1974,,205.17,Lower
2/4/1975,,209.17,Lower
9/30/1975,,195.17,Lower
2/5/1976,,212.17,Lower
10/13/1976,,210.17,Lower
2/10/1977,,214.17,Lower
10/14/1977,,200.17,Lower
2/23/1978,,220.17,Lower
10/11/1978,,211.17,Lower
1/25/1979,,219.17,Lower
10/5/1979,,200.17,Lower
2/13/1980,,217.17,Lower
10/6/1980,,199.17,Lower
2/10/1981,,195.17,Lower
10/2/1981,,203.17,Lower
10/12/1982,,204.17,Lower
1/28/1983,,209.2,Lower
2/15/1985,,221.2,Lower
10/2/1985,,194.2,Lower
1/27/1986,,208.2,Lower
2/5/1987,,225.2,Lower
1/25/1988,,230.2,Lower
10/3/1988,,200.2,Lower
1/23/1989,,221.2,Lower
10/2/1989,,201.2,Lower
1/22/1990,,202.2,Lower
10/1/1990,,185.2,Lower
2/1/1991,,213.2,Lower
10/1/1991,,185.2,Lower
1/27/1992,,208.2,Lower
10/5/1992,,183.2,Lower
1/25/1993,,207.2,Lower
10/6/1993,,190.2,Lower
1/24/1994,,203.2,Lower
10/3/1994,,180.2,Lower
10/3/1995,,189.2,Lower
1/9/1996,,198.2,Lower
10/9/1996,,188.2,Lower
1/7/1997,,208.2,Lower
10/6/1997,,185.2,Lower
1/5/1998,,206.2,Lower
10/6/1998,,190.2,Lower
1/5/1999,,204.2,Lower
10/5/1999,,185.2,Lower
1/4/2000,,207.2,Lower
1/23/2001,,211.2,Lower
10/2/2001,,181.2,Lower
1/7/2002,,211.2,Lower
11/5/2002,,197.2,Lower
1/27/2003,,208.2,Lower
10/27/2003,,194.2,Lower
1/26/2004,,206.2,Lower
10/18/2004,,195.2,Lower
1/26/2005,,204.2,Lower
10/18/2005,,192.2,Lower
1/10/2006,,207.2,Lower
10/18/2006,,195.2,Lower
1/11/2007,,205.2,Lower
10/16/2007,,176.2,Lower
10/6/2008,,162.2,Lower
1/15/2009,,196.2,Lower
10/23/2009,,172.2,Lower
1/11/2010,,189.2,Lower
10/28/2010,,189.2,Lower
1/10/2011,,199.2,Lower
10/18/2011,,193.2,Lower
1/20/2012,,197.2,Lower
10/11/2012,,182.2,Lower
1/8/2013,,195.2,Lower
10/28/2013,,174.2,Lower
1/13/2014,,177.1,Lower
9/30/2014,,127.5,Lower
3/3/2015,,151.6,Lower
10/6/2015,,126.2,Lower
3/9/2016,,148.2,Lower
10/24/2017,,134.2,Lower
10/5/2018,,118.3,Lower
3/8/2019,,117,Lower
10/2/2019,,114.8,Lower
3/3/2020,,147.2,Lower
10/7/2020,,111.2,Lower
3/5/2021,,117.3,Lower
10/6/2021,,124.4,Lower
2/28/2022,,119.7,Lower
10/3/2022,,120.9,Lower
3/1/2023,,12.9,Lower
10/3/2023,,118,Lower
3/7/2024,,29.7,Lower
10/16/1945,,317.21,Upper
12/11/1945,,316.31,Upper
11/15/1946,,317.01,Upper
9/29/1947,,315.51,Upper
2/18/1948,,314.61,Upper
9/15/1948,,309.91,Upper
1/27/1949,,312.11,Upper
9/12/1949,,308.71,Upper
1/26/1950,,311.61,Upper
9/11/1950,,305.61,Upper
1/19/1951,,307.71,Upper
9/24/1951,,303.41,Upper
1/14/1952,,305.71,Upper
1/21/1953,,306.21,Upper
2/2/1954,,302.61,Upper
9/13/1954,,297.21,Upper
2/8/1955,,296.01,Upper
9/12/1955,,291.91,Upper
2/7/1956,,295.11,Upper
10/3/1956,,287.21,Upper
2/4/1957,,293.91,Upper
9/23/1957,,293.21,Upper
2/4/1958,,294.21,Upper
2/2/1959,,277.01,Upper
9/10/1959,,279.25,Upper
2/5/1960,,288.15,Upper
9/29/1960,,278.35,Upper
2/2/1961,,279.5233333,Upper
10/6/1961,,268.55,Upper
10/3/1962,,252.75,Upper
9/18/1963,,251.25,Upper
1/22/1964,,259.25,Upper
9/24/1965,,258.25,Upper
1/24/1966,,252.25,Upper
1/26/1967,,260.25,Upper
9/19/1967,,236.25,Upper
9/18/1969,,231.25,Upper
1/20/1970,,243.25,Upper
1/20/1971,,243.25,Upper
9/16/1971,,213.25,Upper
10/3/1972,,217.25,Upper
1/29/1973,,236.25,Upper
10/8/1973,,225.25,Upper
10/1/1974,,224.25,Upper
2/4/1975,,233.25,Upper
2/23/1978,,224.25,Upper
10/11/1978,,215.25,Upper
1/25/1979,,223.25,Upper
10/5/1979,,213.25,Upper
2/13/1980,,238.25,Upper
10/6/1980,,240.25,Upper
2/10/1981,,237.25,Upper
10/2/1981,,233.25,Upper
2/5/1982,,265.25,Upper
10/12/1982,,236.25,Upper
10/10/1984,,237.25,Upper
10/14/1987,,235.25,Upper
2/3/1988,,236.25,Upper
10/4/1988,,229.25,Upper
1/23/1989,,245.25,Upper
10/3/1989,,231.25,Upper
1/23/1990,,239.25,Upper
10/4/1990,,223.25,Upper
10/2/1991,,220.75,Upper
1/29/1992,,228.55,Upper
10/7/1992,,215.25,Upper
1/27/1993,,223.55,Upper
1/26/1994,,225.25,Upper
10/18/1994,,216.35,Upper
