Date,Subsidence_ft,Source
10/15/1926,0,Leveling
1/12/1939,0.32,Leveling
4/15/1953,1.15,Leveling
6/1/1957,1.4,Leveling
4/15/1959,1.53,Leveling
12/1/1961,2.2,Leveling
2/5/1965,2.72,Leveling
3/8/1970,3.53,Leveling
4/15/1972,3.86,Leveling
3/1/1978,4.73,Leveling
7/17/1989,5.2,Leveling
8/1/2004,5.367851669,Leveling
9/1/2004,5.377851669,InSAR
10/1/2004,5.367851669,InSAR
11/1/2004,5.357851669,InSAR
12/1/2004,5.347851669,InSAR
1/1/2005,5.327851669,InSAR
2/1/2005,5.317851669,InSAR
3/1/2005,5.307851669,InSAR
4/1/2005,5.317851669,InSAR
1/1/2006,5.377851669,InSAR
2/1/2006,5.357851669,InSAR
3/1/2006,5.347851669,InSAR
4/1/2006,5.367851669,InSAR
5/1/2006,5.397851669,InSAR
6/1/2006,5.417851669,InSAR
12/1/2006,5.427851669,InSAR
1/1/2007,5.427851669,InSAR
2/1/2007,5.407851669,InSAR
8/1/2007,5.547851669,InSAR
9/1/2007,5.547851669,InSAR
2/1/2008,5.457851669,InSAR
3/1/2008,5.477851669,InSAR
5/1/2009,5.567851669,InSAR
6/1/2009,5.597851669,InSAR
7/1/2009,5.617851669,InSAR
8/1/2009,5.647851669,InSAR
9/1/2009,5.647851669,InSAR
10/1/2009,5.637851669,InSAR
11/1/2009,5.627851669,InSAR
12/1/2009,5.597851669,InSAR
1/1/2010,5.587851669,InSAR
2/1/2010,5.567851669,InSAR
3/1/2010,5.577851669,InSAR
4/1/2010,5.587851669,InSAR
5/1/2010,5.607851669,InSAR
6/1/2010,5.637851669,InSAR
7/1/2015,6.053654027,InSAR
8/1/2015,6.076654027,InSAR
9/1/2015,6.098654027,InSAR
10/1/2015,6.108654027,InSAR
11/1/2015,6.100654027,InSAR
12/1/2015,6.096654027,InSAR
1/1/2016,6.075654027,InSAR
2/1/2016,6.067654027,InSAR
3/1/2016,6.050654027,InSAR
4/1/2016,6.053654027,InSAR
5/1/2016,6.068654027,InSAR
6/1/2016,6.105654027,InSAR
7/1/2016,6.130654027,InSAR
8/1/2016,6.158654027,InSAR
9/1/2016,6.183654027,InSAR
10/1/2016,6.181654027,InSAR
11/1/2016,6.187654027,InSAR
12/1/2016,6.170654027,InSAR
1/1/2017,6.152654027,InSAR
2/1/2017,6.146654027,InSAR
3/1/2017,6.136654027,InSAR
4/1/2017,6.137654027,InSAR
5/1/2017,6.160654027,InSAR
6/1/2017,6.178654027,InSAR
7/1/2017,6.204654027,InSAR
8/1/2017,6.243654027,InSAR
9/1/2017,6.264654027,InSAR
10/1/2017,6.259654027,InSAR
11/1/2017,6.269654027,InSAR
12/1/2017,6.250654027,InSAR
1/1/2018,6.228654027,InSAR
2/1/2018,6.213654027,InSAR
3/1/2018,6.193654027,InSAR
4/1/2018,6.205654027,InSAR
5/1/2018,6.222654027,InSAR
6/1/2018,6.236654027,InSAR
7/1/2018,6.259654027,InSAR
8/1/2018,6.276654027,InSAR
9/1/2018,6.280654027,InSAR
10/1/2018,6.302654027,InSAR
11/1/2018,6.302654027,InSAR
12/1/2018,6.296654027,InSAR
1/1/2019,6.295654027,InSAR
2/1/2019,6.304654027,InSAR
3/1/2019,6.307654027,InSAR
4/1/2019,6.330654027,InSAR
5/1/2019,6.319654027,InSAR
6/1/2019,6.321654027,InSAR
7/1/2019,6.344654027,InSAR
8/1/2019,6.359654027,InSAR
9/1/2019,6.368654027,InSAR
10/1/2019,6.355654027,InSAR
11/1/2019,6.336654027,InSAR
12/1/2019,6.308654027,InSAR
1/1/2020,6.301654027,InSAR
2/1/2020,6.286654027,InSAR
3/1/2020,6.291654027,InSAR
4/1/2020,6.311654027,InSAR
5/1/2020,6.333654027,InSAR
6/1/2020,6.379654027,InSAR
7/1/2020,6.423654027,InSAR
8/1/2020,6.476654027,InSAR
9/1/2020,6.510654027,InSAR
10/1/2020,6.485654027,InSAR
11/1/2020,6.456654027,InSAR
12/1/2020,6.422654027,InSAR
1/1/2021,6.398654027,InSAR
2/1/2021,6.380654027,InSAR
3/1/2021,6.389654027,InSAR
4/1/2021,6.411654027,InSAR
5/1/2021,6.448654027,InSAR
6/1/2021,6.525654027,InSAR
7/1/2021,6.599654027,InSAR
8/1/2021,6.677654027,InSAR
9/1/2021,6.689654027,InSAR
10/1/2021,6.664654027,InSAR
11/1/2021,6.641654027,InSAR
12/1/2021,6.604654027,InSAR
1/1/2022,6.572654027,InSAR
2/1/2022,6.562654027,InSAR
3/1/2022,6.561654027,InSAR
4/1/2022,6.576654027,InSAR
5/1/2022,6.639654027,InSAR
6/1/2022,6.697654027,InSAR
7/1/2022,6.771654027,InSAR
8/1/2022,6.818654027,InSAR
9/1/2022,6.811654027,InSAR
10/1/2022,6.820654027,InSAR
11/1/2022,6.798654027,InSAR
12/1/2022,6.749654027,InSAR
1/1/2023,6.717654027,InSAR
2/1/2023,6.728654027,InSAR
3/1/2023,6.724654027,InSAR
4/1/2023,6.752654027,InSAR
5/1/2023,6.734654027,InSAR
6/1/2023,6.771654027,InSAR
7/1/2023,6.801654027,InSAR
8/1/2023,6.822654027,InSAR
9/1/2023,6.815654027,InSAR
10/1/2023,6.809654027,InSAR
11/1/2023,6.805654027,InSAR
12/1/2023,6.763654027,InSAR
1/1/2024,6.736654027,InSAR
2/1/2024,6.765654027,InSAR
3/1/2024,6.774654027,InSAR
4/1/2024,6.775654027,InSAR
5/1/2024,6.795654027,InSAR
6/1/2024,6.835654027,InSAR
7/1/2024,6.872654027,InSAR
8/1/2024,6.877654027,InSAR
9/1/2024,6.877654027,InSAR
10/1/2024,6.875654027,InSAR
11/1/2024,6.870654027,InSAR
12/1/2024,6.860654027,InSAR
12/23/2024,6.86,Leveling
1/1/2025,6.855654027,InSAR
2/1/2025,6.838654027,InSAR
3/1/2025,6.833654027,InSAR
4/1/2025,6.851654027,InSAR
