Aquifer,Top,Bot,Thick_ft,Description
Upper,0,0,0,sand
Upper,1,15,14,sand
Upper,15,17,2,sand
Upper,17,20,3,clay
Upper,20,25,5,sand
Upper,25,36,11,sand
Upper,36,37,1,sand
Upper,37,38,1,clay
Upper,38,39,1,sand
Upper,39,40,1,clay
Upper,40,45,5,sand
Upper,50,70,20,clay
Upper,70,75,5,sand
Upper,75,80,5,clay
Upper,80,90,10,clay
Upper,90,100,10,sand
Upper,100,120,20,sand
Upper,120,125,5,sand
Upper,125,130,5,clay
Upper,130,140,10,clay
Upper,140,145,5,sand
Upper,145,150,5,clay
Upper,150,160,10,clay
Upper,160,190,30,sand
Corcoran,190,195,5,sand
Corcoran,195,200,5,clay
Corcoran,200,205,5,clay
Corcoran,205,210,5,clay
Lower,210,230,20,sand
Lower,280,288,8,sand
Lower,288,297,9,clay
Lower,297,306,9,sand
Lower,306,315,9,clay
Lower,315,335,20,sand
Lower,335,340,5,sand
Lower,340,345,5,clay
Lower,345,355,10,sand
Lower,355,365,10,clay
Lower,365,375,10,clay
Lower,375,385,10,clay
Lower,385,415,30,sand
Lower,415,425,10,clay
Lower,425,440,15,clay
Lower,440,446,6,sand
Lower,446,452,6,clay
Lower,452,465,13,clay
Lower,465,490,25,sand
Lower,490,501,11,sand
Lower,501,512,11,clay
Lower,512,535,23,clay
Lower,535,565,30,sand
Lower,565,580,15,clay
Lower,580,595,15,sand
Lower,595,610,15,clay
Lower,610,620,10,clay
Lower,620,633,13,clay
Lower,633,658,25,sand
Lower,658,688,30,clay
Lower,688,690,2,sand
Lower,690,693,3,clay
Lower,693,698,5,clay
Lower,698,711,13,sand
Lower,711,718,7,sand
Lower,718,726,8,clay
Lower,726,736,10,sand
Lower,736,746,10,clay
Lower,746,756,10,sand
Lower,756,766,10,clay
