Date,BLS,Alt,Aquifer
6/1/1932,,314.7,Upper
7/10/1933,,319.7,Upper
10/1/1933,,312.7,Upper
11/1/1934,,305.7,Upper
11/1/1935,,310.7,Upper
1/1/1936,,310.7,Upper
10/18/1937,,323.8,Upper
10/19/1938,,327.6,Upper
10/9/1939,,322.6,Upper
10/26/1940,,322.3,Upper
10/24/1941,,326.2,Upper
10/17/1942,,325.2,Upper
10/15/1943,,326.3,Upper
10/14/1944,,322.2,Upper
10/12/1945,,326.2,Upper
10/22/1946,,321.5,Upper
10/22/1947,,316.7,Upper
10/4/1949,,304.6,Upper
10/21/1950,,302.6,Upper
2/7/1951,,305.9,Upper
10/16/1951,,305.8,Upper
10/13/1952,,314,Upper
2/10/1953,,316.1,Upper
10/3/1953,,311.8,Upper
2/16/1954,,311.6,Upper
9/28/1954,,299.4,Upper
2/21/1955,,310.4,Upper
9/30/1955,,305.2,Upper
2/16/1956,,313.3,Upper
10/12/1956,,311.9,Upper
2/13/1957,,311.3,Upper
10/21/1957,,307.6,Upper
2/28/1958,,309.9,Upper
10/6/1958,,312.7,Upper
2/20/1959,,310.5,Upper
10/1/1959,,304.5,Upper
2/21/1960,,301.9,Upper
10/10/1960,,295.1,Upper
3/1/1961,,288.5,Upper
10/20/1961,,284.5,Upper
3/1/1962,,285,Upper
10/11/1962,,286.5,Upper
10/1/1963,,291.8,Upper
2/5/1964,,296,Upper
9/28/1964,,299.2,Upper
2/3/1965,,291.9,Upper
2/2/1966,,296.6,Upper
2/10/1967,,290.9,Upper
2/5/1968,,306.8,Upper
2/4/1969,,299.8,Upper
9/29/1969,,312.4,Upper
2/2/1970,,315.7,Upper
9/28/1970,,306.2,Upper
2/1/1971,,306.7,Upper
9/30/1971,,301.7,Upper
1/27/1972,,297.5,Upper
10/6/1972,,297.7,Upper
2/9/1973,,299.7,Upper
10/10/1973,,302.7,Upper
1/28/1974,,312.7,Upper
10/4/1974,,307.7,Upper
2/26/1975,,316.7,Upper
9/29/1975,,294.7,Upper
1/20/1976,,311.7,Upper
7/20/1976,,285.7,Upper
10/5/1976,,259.7,Upper
1/24/1977,,261.7,Upper
6/10/1977,,252.7,Upper
10/3/1977,,242.7,Upper
1/26/1978,,247.7,Upper
10/5/1978,,288.7,Upper
1/11/1979,,289.7,Upper
9/19/1979,,278.7,Upper
1/25/1980,,276.7,Upper
9/26/1980,,300.7,Upper
2/4/1981,,288.7,Upper
9/25/1981,,276.7,Upper
2/1/1982,,278.7,Upper
9/30/1982,,296.7,Upper
2/17/1983,,297.7,Upper
9/29/1983,,304.7,Upper
2/3/1984,,304.7,Upper
10/1/1984,,300.7,Upper
1/29/1985,,304.7,Upper
10/4/1985,,294.7,Upper
1/31/1986,,295.7,Upper
9/26/1986,,299.7,Upper
1/26/1987,,297.2,Upper
9/17/1987,,275.7,Upper
1/29/1988,,284.7,Upper
9/27/1988,,273.7,Upper
1/23/1989,,278.7,Upper
10/2/1989,,266.7,Upper
1/25/1990,,259.7,Upper
10/5/1990,,253.7,Upper
1/30/1991,,251.7,Upper
10/4/1991,,248.7,Upper
1/22/1992,,247.7,Upper
10/22/1992,,223.7,Upper
2/1/1993,,224.7,Upper
10/7/1993,,256.7,Upper
1/28/1994,,249.7,Upper
9/29/1994,,231.7,Upper
2/1/1995,,218.7,Upper
10/2/1995,,255.7,Upper
10/3/1996,,261.7,Upper
2/11/1997,,275.7,Upper
10/13/1997,,261.2,Upper
1/27/1998,,264.7,Upper
2/15/1998,,267,Upper
3/15/1998,,268,Upper
4/15/1998,,269,Upper
5/15/1998,,270,Upper
6/15/1998,,297,Upper
7/15/1998,,272,Upper
8/15/1998,,274,Upper
9/15/1998,,276,Upper
10/15/1998,,275,Upper
11/15/1998,,275,Upper
12/15/1998,,266,Upper
1/15/1999,,244,Upper
2/15/1999,,249,Upper
3/15/1999,,238,Upper
4/15/1999,,241,Upper
5/15/1999,,235,Upper
6/15/1999,,232,Upper
7/15/1999,,230,Upper
8/15/1999,,232,Upper
9/15/1999,,232,Upper
10/15/1999,,231,Upper
11/15/1999,,239,Upper
12/15/1999,,242,Upper
1/15/2000,,239,Upper
2/15/2000,,239,Upper
3/15/2000,,239,Upper
4/15/2000,,237,Upper
5/15/2000,,239,Upper
6/15/2000,,240,Upper
7/15/2000,,238,Upper
8/15/2000,,237,Upper
9/15/2000,,237,Upper
10/15/2000,,236,Upper
11/15/2000,,236,Upper
12/15/2000,,237,Upper
1/15/2001,,234,Upper
2/15/2001,,236,Upper
4/15/2001,,234,Upper
6/15/2001,,233,Upper
8/15/2001,,231,Upper
10/15/2001,,229,Upper
12/15/2001,,228,Upper
2/15/2002,,216,Upper
4/15/2002,,215,Upper
6/15/2002,,255,Upper
8/15/2002,,257,Upper
10/15/2002,,254,Upper
12/15/2002,,253,Upper
2/15/2003,,255,Upper
4/15/2003,,251,Upper
6/15/2003,,251,Upper
8/15/2003,,252,Upper
10/15/2003,,250,Upper
12/15/2003,,248,Upper
2/15/2004,,249,Upper
4/15/2004,,248,Upper
6/15/2004,,242,Upper
8/15/2004,,241,Upper
10/15/2004,,240,Upper
12/15/2004,,242,Upper
2/15/2005,,244,Upper
4/15/2005,,249,Upper
6/15/2005,,252,Upper
8/15/2005,,253,Upper
10/15/2005,,253,Upper
12/15/2005,,254,Upper
2/15/2006,,255,Upper
4/15/2006,,258,Upper
6/15/2006,,254,Upper
8/15/2006,,255,Upper
10/15/2006,,248,Upper
12/15/2006,,260,Upper
2/15/2007,,259,Upper
4/15/2007,,269,Upper
6/15/2007,,283,Upper
8/15/2007,,273,Upper
10/15/2007,,284,Upper
12/15/2007,,283,Upper
2/15/2008,,276,Upper
4/15/2008,,281,Upper
6/15/2008,,279,Upper
8/15/2008,,278,Upper
10/15/2008,,276,Upper
12/15/2008,,239,Upper
2/15/2009,,233,Upper
4/15/2009,,220,Upper
6/15/2009,,225,Upper
8/15/2009,,228,Upper
10/15/2009,,218,Upper
12/15/2009,,214,Upper
2/15/2010,,215,Upper
4/15/2010,,233,Upper
6/15/2010,,233,Upper
8/15/2010,,233,Upper
10/15/2010,,236,Upper
12/15/2010,,237,Upper
2/15/2011,,238,Upper
4/15/2011,,239,Upper
6/15/2011,,236,Upper
8/15/2011,,251,Upper
10/15/2011,,239,Upper
12/15/2011,,248,Upper
2/15/2012,,249,Upper
4/15/2012,,249,Upper
6/15/2012,,242,Upper
8/15/2012,,231,Upper
10/15/2012,,236,Upper
12/15/2012,,237,Upper
4/15/2013,,233,Upper
6/15/2013,,232,Upper
8/15/2013,,220,Upper
10/15/2013,,223,Upper
12/15/2013,,220,Upper
2/15/2014,,202,Upper
4/15/2014,,216,Upper
6/15/2014,,213,Upper
8/15/2014,,211,Upper
10/15/2014,,209,Upper
12/15/2014,,208,Upper
2/15/2015,,208,Upper
4/15/2015,,207,Upper
6/15/2015,,206,Upper
8/15/2015,,202,Upper
10/15/2015,,200,Upper
12/15/2015,,202,Upper
2/15/2016,,200,Upper
4/15/2016,,198,Upper
6/15/2016,,197,Upper
4/15/2017,,211,Upper
6/15/2017,,215,Upper
10/15/2017,,220,Upper
2/15/2018,,223,Upper
4/15/2018,,218,Upper
2/15/2020,,220,Upper
11/1/2020,,195,Upper
2/15/2021,,208,Upper
10/15/2021,,193,Upper
3/15/2022,,194,Upper
10/15/2022,,190,Upper
3/15/2023,,191,Upper
10/15/2023,,191,Upper
2/1/2024,,200,Upper
2/18/1949,,282.81,Lower
10/10/1949,,274.91,Lower
2/14/1950,,275.81,Lower
10/12/1950,,272.81,Lower
12/29/1950,,278.41,Lower
2/2/1951,,277.21,Lower
10/10/1951,,277.81,Lower
2/19/1952,,283.91,Lower
10/8/1952,,289.71,Lower
2/9/1953,,290.01,Lower
9/26/1953,,289.31,Lower
2/16/1954,,284.51,Lower
9/28/1954,,289.91,Lower
2/18/1955,,282.91,Lower
9/29/1955,,275.91,Lower
2/17/1956,,291.61,Lower
10/13/1956,,288.61,Lower
2/13/1957,,287.11,Lower
10/21/1957,,281.81,Lower
2/28/1958,,285.11,Lower
10/7/1958,,288.71,Lower
2/20/1959,,284.91,Lower
9/28/1959,,274.01,Lower
2/19/1960,,274.81,Lower
10/28/1960,,263.985,Lower
2/13/1961,,269.485,Lower
7/25/1961,,261.285,Lower
8/31/1961,,258.185,Lower
9/19/1961,,257.385,Lower
10/26/1961,,257.185,Lower
11/27/1961,,256.885,Lower
12/19/1961,,256.985,Lower
1/24/1962,,256.685,Lower
2/28/1962,,257.985,Lower
3/27/1962,,260.685,Lower
4/25/1962,,263.485,Lower
5/22/1962,,271.185,Lower
6/19/1962,,276.385,Lower
7/24/1962,,273.885,Lower
8/23/1962,,272.985,Lower
9/19/1962,,273.285,Lower
10/15/1962,,272.885,Lower
11/19/1962,,270.385,Lower
12/18/1962,,269.285,Lower
1/21/1963,,267.985,Lower
2/25/1963,,267.785,Lower
3/26/1963,,266.585,Lower
4/22/1963,,267.385,Lower
5/20/1963,,270.085,Lower
6/28/1963,,279.285,Lower
7/25/1963,,282.585,Lower
8/30/1963,,282.585,Lower
9/24/1963,,282.685,Lower
10/21/1963,,281.585,Lower
12/3/1963,,277.185,Lower
12/24/1963,,276.485,Lower
1/20/1964,,275.785,Lower
2/5/1964,,274.785,Lower
2/24/1964,,273.285,Lower
3/23/1964,,270.385,Lower
4/21/1964,,269.385,Lower
5/18/1964,,268.285,Lower
6/23/1964,,268.285,Lower
7/1/1965,,270.685,Lower
7/29/1965,,272.685,Lower
9/2/1965,,280.985,Lower
9/29/1965,,278.685,Lower
11/3/1965,,272.585,Lower
12/1/1965,,271.685,Lower
1/5/1966,,270.485,Lower
1/26/1966,,270.485,Lower
3/3/1966,,263.485,Lower
3/29/1966,,268.185,Lower
5/4/1966,,267.185,Lower
6/7/1966,,267.485,Lower
6/30/1966,,266.585,Lower
8/4/1966,,262.785,Lower
9/2/1966,,260.885,Lower
9/30/1966,,259.585,Lower
3/3/1967,,268.285,Lower
4/3/1967,,269.785,Lower
5/1/1967,,272.485,Lower
6/2/1967,,279.085,Lower
7/7/1967,,287.085,Lower
7/28/1967,,288.785,Lower
9/6/1967,,294.685,Lower
10/4/1967,,299.085,Lower
12/5/1967,,291.085,Lower
1/2/1968,,290.385,Lower
2/29/1968,,288.085,Lower
3/29/1968,,284.585,Lower
4/29/1968,,280.885,Lower
5/30/1968,,278.985,Lower
6/27/1968,,276.985,Lower
7/29/1968,,273.485,Lower
8/27/1968,,271.185,Lower
9/24/1968,,269.385,Lower
10/29/1968,,269.185,Lower
11/26/1968,,269.085,Lower
12/27/1968,,269.185,Lower
1/28/1969,,270.585,Lower
3/3/1969,,275.985,Lower
3/31/1969,,279.985,Lower
9/28/1970,,282.685,Lower
1/25/1971,,286.985,Lower
9/24/1971,,279.185,Lower
1/28/1972,,293.185,Lower
9/26/1972,,283.685,Lower
2/5/1973,,273.185,Lower
10/2/1973,,247.385,Lower
1/31/1974,,265.185,Lower
10/7/1974,,255.185,Lower
2/21/1975,,254.185,Lower
10/10/1975,,249.685,Lower
1/23/1976,,252.685,Lower
7/26/1976,,265.685,Lower
10/15/1976,,240.685,Lower
1/17/1977,,252.485,Lower
5/31/1977,,238.685,Lower
8/8/1977,,235.685,Lower
10/15/1977,,229,Lower
12/15/1977,,229,Lower
2/15/1978,,234,Lower
4/15/1978,,236,Lower
6/15/1978,,230,Lower
8/15/1978,,230,Lower
9/15/1978,,236,Lower
10/15/1978,,245,Lower
11/15/1978,,239,Lower
12/15/1978,,239,Lower
1/15/1979,,241,Lower
2/15/1979,,241,Lower
3/15/1979,,240,Lower
4/15/1979,,241,Lower
6/15/1979,,236,Lower
7/15/1979,,235,Lower
8/15/1979,,237,Lower
9/15/1979,,237,Lower
10/15/1979,,236,Lower
11/15/1979,,240,Lower
12/15/1979,,241,Lower
1/15/1980,,237,Lower
2/15/1980,,242,Lower
3/15/1980,,243,Lower
4/15/1980,,241,Lower
5/15/1980,,244,Lower
6/15/1980,,242,Lower
7/15/1980,,240,Lower
8/15/1980,,242,Lower
9/15/1980,,242,Lower
10/15/1980,,245,Lower
11/15/1980,,246,Lower
12/15/1980,,244,Lower
1/15/1981,,246,Lower
2/15/1981,,249,Lower
3/15/1981,,249,Lower
4/15/1981,,248,Lower
5/15/1981,,246,Lower
6/15/1981,,245,Lower
8/15/1981,,244,Lower
9/15/1981,,241,Lower
10/15/1981,,241,Lower
11/15/1981,,245,Lower
12/15/1981,,246,Lower
1/15/1982,,246,Lower
2/15/1982,,245,Lower
3/15/1982,,246,Lower
4/15/1982,,247,Lower
5/15/1982,,244,Lower
6/15/1982,,246,Lower
7/15/1982,,244,Lower
8/15/1982,,244,Lower
9/15/1982,,247,Lower
10/15/1982,,248,Lower
11/15/1982,,249,Lower
12/15/1982,,249,Lower
1/15/1983,,251,Lower
2/15/1983,,253,Lower
3/15/1983,,252,Lower
4/15/1983,,254,Lower
5/15/1983,,252,Lower
6/15/1983,,252,Lower
7/15/1983,,249,Lower
8/15/1983,,254,Lower
9/15/1983,,254,Lower
10/15/1983,,258,Lower
11/15/1983,,257,Lower
12/15/1983,,259,Lower
1/15/1984,,259,Lower
2/15/1984,,259,Lower
3/15/1984,,259,Lower
4/15/1984,,258,Lower
5/15/1984,,261,Lower
6/15/1984,,259,Lower
7/15/1984,,258,Lower
8/15/1984,,256,Lower
9/15/1984,,255,Lower
10/15/1984,,255,Lower
11/15/1984,,259,Lower
12/15/1984,,259,Lower
1/15/1985,,259,Lower
2/15/1985,,259,Lower
3/15/1985,,254,Lower
5/15/1985,,255,Lower
6/15/1985,,256,Lower
7/15/1985,,257,Lower
8/15/1985,,254,Lower
9/15/1985,,255,Lower
10/15/1985,,256,Lower
11/15/1985,,254,Lower
12/15/1985,,255,Lower
2/15/1986,,258,Lower
4/15/1986,,257,Lower
6/15/1986,,254,Lower
8/15/1986,,254,Lower
10/15/1986,,255,Lower
12/15/1986,,256,Lower
2/15/1987,,258,Lower
4/15/1987,,259,Lower
6/15/1987,,259,Lower
8/15/1987,,251,Lower
10/15/1987,,254,Lower
12/15/1987,,257,Lower
2/15/1988,,256,Lower
4/15/1988,,253,Lower
6/15/1988,,256,Lower
8/15/1988,,254,Lower
10/15/1988,,253,Lower
12/15/1988,,255,Lower
2/15/1989,,254,Lower
4/15/1989,,246,Lower
6/15/1989,,245,Lower
7/15/1989,,244,Lower
8/15/1989,,241,Lower
10/15/1989,,239,Lower
11/15/1989,,244,Lower
12/15/1989,,240,Lower
1/15/1990,,246,Lower
2/15/1990,,239,Lower
3/15/1990,,235,Lower
4/15/1990,,237,Lower
5/15/1990,,242,Lower
6/15/1990,,242,Lower
7/15/1990,,240,Lower
8/15/1990,,240,Lower
9/15/1990,,240,Lower
10/15/1990,,236,Lower
11/15/1990,,229,Lower
12/15/1990,,231,Lower
1/15/1991,,230,Lower
2/15/1991,,230,Lower
3/15/1991,,231,Lower
4/15/1991,,230,Lower
5/15/1991,,230,Lower
6/15/1991,,232,Lower
7/15/1991,,227,Lower
8/15/1991,,221,Lower
9/15/1991,,220,Lower
10/15/1991,,229,Lower
11/15/1991,,232,Lower
12/15/1991,,233,Lower
1/15/1992,,233,Lower
2/15/1992,,233,Lower
3/15/1992,,233,Lower
4/15/1992,,233,Lower
5/15/1992,,227,Lower
6/15/1992,,224,Lower
7/15/1992,,222,Lower
8/15/1992,,221,Lower
9/15/1992,,222,Lower
10/15/1992,,222,Lower
11/15/1992,,224,Lower
12/15/1992,,222,Lower
1/15/1993,,223,Lower
2/15/1993,,222,Lower
3/15/1993,,223,Lower
4/15/1993,,224,Lower
5/15/1993,,223,Lower
6/15/1993,,220,Lower
7/15/1993,,222,Lower
8/15/1993,,217,Lower
9/15/1993,,216,Lower
10/15/1993,,220,Lower
11/15/1993,,220,Lower
12/15/1993,,221,Lower
1/15/1994,,223,Lower
2/15/1994,,222,Lower
3/15/1994,,222,Lower
4/15/1994,,222,Lower
5/15/1994,,219,Lower
6/15/1994,,214,Lower
7/15/1994,,206,Lower
8/15/1994,,212,Lower
9/15/1994,,212,Lower
10/15/1994,,214,Lower
11/15/1994,,215,Lower
12/15/1994,,216,Lower
1/15/1995,,215,Lower
2/15/1995,,217,Lower
3/15/1995,,219,Lower
4/15/1995,,218,Lower
5/15/1995,,220,Lower
6/15/1995,,219,Lower
7/15/1995,,216,Lower
8/15/1995,,216,Lower
9/15/1995,,215,Lower
10/15/1995,,218,Lower
11/15/1995,,220,Lower
12/15/1995,,220,Lower
1/15/1996,,222,Lower
2/15/1996,,222,Lower
3/15/1996,,222,Lower
4/15/1996,,222,Lower
5/15/1996,,222,Lower
6/15/1996,,217,Lower
7/15/1996,,216,Lower
8/15/1996,,216,Lower
9/15/1996,,217,Lower
10/15/1996,,219,Lower
11/15/1996,,220,Lower
12/15/1996,,223,Lower
1/15/1997,,224,Lower
2/15/1997,,223,Lower
3/15/1997,,224,Lower
4/15/1997,,223,Lower
5/15/1997,,221,Lower
6/15/1997,,221,Lower
7/15/1997,,218,Lower
8/15/1997,,219,Lower
9/15/1997,,219,Lower
10/15/1997,,219,Lower
11/15/1997,,221,Lower
12/15/1997,,225,Lower
1/15/1998,,225,Lower
2/15/1998,,225,Lower
3/15/1998,,227,Lower
4/15/1998,,230,Lower
5/15/1998,,228,Lower
6/15/1998,,229,Lower
7/15/1998,,226,Lower
8/15/1998,,226,Lower
9/15/1998,,227,Lower
10/15/1998,,230,Lower
11/15/1998,,234,Lower
12/15/1998,,235,Lower
1/15/1999,,237,Lower
2/15/1999,,236,Lower
3/15/1999,,239,Lower
4/15/1999,,236,Lower
5/15/1999,,235,Lower
6/15/1999,,231,Lower
7/15/1999,,229,Lower
8/15/1999,,231,Lower
9/15/1999,,231,Lower
10/15/1999,,232,Lower
11/15/1999,,236,Lower
12/15/1999,,237,Lower
1/15/2000,,235,Lower
2/15/2000,,237,Lower
3/15/2000,,238,Lower
4/15/2000,,236,Lower
5/15/2000,,233,Lower
6/15/2000,,231,Lower
7/15/2000,,228,Lower
8/15/2000,,227,Lower
9/15/2000,,222,Lower
10/15/2000,,224,Lower
11/15/2000,,227,Lower
12/15/2000,,227,Lower
2/15/2001,,228,Lower
4/15/2001,,225,Lower
6/15/2001,,219,Lower
8/15/2001,,215,Lower
10/15/2001,,218,Lower
12/15/2001,,223,Lower
2/15/2002,,221,Lower
4/15/2002,,218,Lower
6/15/2002,,216,Lower
8/15/2002,,214,Lower
10/15/2002,,215,Lower
2/15/2003,,220,Lower
4/15/2003,,215,Lower
6/15/2003,,211,Lower
8/15/2003,,208,Lower
10/15/2003,,211,Lower
12/15/2003,,212,Lower
2/15/2004,,213,Lower
4/15/2004,,207,Lower
6/15/2004,,203,Lower
10/15/2004,,204,Lower
12/15/2004,,196,Lower
2/15/2005,,205,Lower
4/15/2005,,207,Lower
6/15/2005,,201,Lower
8/15/2005,,200,Lower
10/15/2005,,200,Lower
12/15/2005,,206,Lower
2/15/2006,,209,Lower
4/15/2006,,212,Lower
6/15/2006,,210,Lower
8/15/2006,,207,Lower
10/15/2006,,206,Lower
12/15/2006,,215,Lower
2/15/2007,,216,Lower
4/15/2007,,215,Lower
6/15/2007,,209,Lower
8/15/2007,,207,Lower
10/15/2007,,210,Lower
12/15/2007,,210,Lower
2/15/2008,,211,Lower
4/15/2008,,207,Lower
6/15/2008,,201,Lower
8/15/2008,,196,Lower
10/15/2008,,201,Lower
12/15/2008,,203,Lower
2/15/2009,,204,Lower
4/15/2009,,201,Lower
6/15/2009,,196,Lower
10/15/2009,,195,Lower
12/15/2009,,197,Lower
2/15/2010,,197,Lower
4/15/2010,,199,Lower
8/15/2010,,194,Lower
10/15/2010,,193,Lower
12/15/2010,,199,Lower
2/15/2011,,206,Lower
4/15/2011,,207,Lower
6/15/2011,,204,Lower
8/15/2011,,203,Lower
10/15/2011,,208,Lower
