Date,Subsidence_ft,Source
1/1/1902,0,Leveling
2/15/1935,0.08,Leveling
9/1/1940,0.08,Leveling
6/1/1947,0.14,Leveling
3/1/1954,0.19,Leveling
4/1/1957,0.19,Leveling
2/1/1958,0.19,Leveling
1/15/1959,0.29,Leveling
2/1/1960,0.29,Leveling
5/8/2004,0.76,Leveling
12/1/2004,0.755623177,InSAR
1/1/2005,0.755623177,InSAR
2/1/2005,0.765623177,InSAR
3/1/2005,0.765623177,InSAR
1/1/2006,0.755623177,InSAR
2/1/2006,0.755623177,InSAR
5/1/2006,0.735623177,InSAR
6/1/2006,0.735623177,InSAR
2/1/2007,0.765623177,InSAR
3/1/2007,0.765623177,InSAR
8/1/2007,0.765623177,InSAR
9/1/2007,0.765623177,InSAR
2/1/2008,0.795623177,InSAR
3/1/2008,0.795623177,InSAR
5/1/2009,0.835623177,InSAR
6/1/2009,0.825623177,InSAR
7/1/2009,0.825623177,InSAR
8/1/2009,0.825623177,InSAR
9/1/2009,0.835623177,InSAR
10/1/2009,0.835623177,InSAR
11/1/2009,0.845623177,InSAR
12/1/2009,0.845623177,InSAR
1/1/2010,0.865623177,InSAR
2/1/2010,0.865623177,InSAR
3/1/2010,0.865623177,InSAR
4/1/2010,0.865623177,InSAR
5/1/2010,0.865623177,InSAR
6/1/2010,0.865623177,InSAR
7/1/2015,0.901732525,Leveling
8/1/2015,0.906732525,InSAR
9/1/2015,0.922732525,InSAR
10/1/2015,0.947732525,InSAR
11/1/2015,0.965732525,InSAR
12/1/2015,0.996732525,InSAR
1/1/2016,1.019732525,InSAR
2/1/2016,1.048732525,InSAR
3/1/2016,1.048732525,InSAR
4/1/2016,1.058732525,InSAR
5/1/2016,1.061732525,InSAR
6/1/2016,1.076732525,InSAR
7/1/2016,1.078732525,InSAR
8/1/2016,1.091732525,InSAR
9/1/2016,1.113732525,InSAR
10/1/2016,1.122732525,InSAR
11/1/2016,1.158732525,InSAR
12/1/2016,1.179732525,InSAR
1/1/2017,1.205732525,InSAR
2/1/2017,1.241732525,InSAR
3/1/2017,1.249732525,InSAR
4/1/2017,1.252732525,InSAR
5/1/2017,1.263732525,InSAR
6/1/2017,1.250732525,InSAR
7/1/2017,1.250732525,InSAR
8/1/2017,1.268732525,InSAR
9/1/2017,1.281732525,InSAR
10/1/2017,1.285732525,InSAR
11/1/2017,1.323732525,InSAR
12/1/2017,1.338732525,InSAR
1/1/2018,1.358732525,InSAR
2/1/2018,1.374732525,InSAR
3/1/2018,1.366732525,InSAR
4/1/2018,1.381732525,InSAR
5/1/2018,1.377732525,InSAR
6/1/2018,1.361732525,InSAR
7/1/2018,1.374732525,InSAR
8/1/2018,1.389732525,InSAR
9/1/2018,1.391732525,InSAR
10/1/2018,1.410732525,InSAR
11/1/2018,1.424732525,InSAR
12/1/2018,1.429732525,InSAR
1/1/2019,1.442732525,InSAR
2/1/2019,1.463732525,InSAR
3/1/2019,1.473732525,InSAR
4/1/2019,1.501732525,InSAR
5/1/2019,1.488732525,InSAR
6/1/2019,1.485732525,InSAR
7/1/2019,1.502732525,InSAR
8/1/2019,1.519732525,InSAR
8/20/2019,1.62,Leveling
8/30/2019,1.65,Leveling
9/1/2019,1.528732525,InSAR
10/1/2019,1.539732525,InSAR
11/1/2019,1.550732525,InSAR
12/1/2019,1.551732525,InSAR
1/1/2020,1.576732525,InSAR
2/1/2020,1.578732525,InSAR
3/1/2020,1.581732525,InSAR
4/1/2020,1.585732525,InSAR
5/1/2020,1.577732525,InSAR
6/1/2020,1.580732525,InSAR
7/1/2020,1.580732525,InSAR
8/1/2020,1.596732525,InSAR
9/1/2020,1.616732525,InSAR
10/1/2020,1.637732525,InSAR
11/1/2020,1.646732525,InSAR
12/1/2020,1.658732525,InSAR
1/1/2021,1.674732525,InSAR
2/1/2021,1.680732525,InSAR
3/1/2021,1.688732525,InSAR
4/1/2021,1.683732525,InSAR
5/1/2021,1.672732525,InSAR
6/1/2021,1.681732525,InSAR
7/1/2021,1.684732525,InSAR
8/1/2021,1.710732525,InSAR
9/1/2021,1.717732525,InSAR
10/1/2021,1.730732525,InSAR
11/1/2021,1.758732525,InSAR
12/1/2021,1.780732525,InSAR
1/1/2022,1.796732525,InSAR
2/1/2022,1.819732525,InSAR
3/1/2022,1.821732525,InSAR
4/1/2022,1.817732525,InSAR
5/1/2022,1.844732525,InSAR
6/1/2022,1.851732525,InSAR
7/1/2022,1.881732525,InSAR
8/1/2022,1.907732525,InSAR
9/1/2022,1.903732525,InSAR
10/1/2022,1.919732525,InSAR
11/1/2022,1.950732525,InSAR
12/1/2022,1.986732525,InSAR
1/1/2023,2.017732525,InSAR
2/1/2023,2.048732525,InSAR
3/1/2023,2.062732525,InSAR
4/1/2023,2.084732525,InSAR
5/1/2023,2.070732525,InSAR
6/1/2023,2.084732525,InSAR
7/1/2023,2.097732525,InSAR
8/1/2023,2.108732525,InSAR
9/1/2023,2.106732525,InSAR
10/1/2023,2.113732525,InSAR
11/1/2023,2.147732525,InSAR
12/1/2023,2.148732525,InSAR
1/1/2024,2.166732525,InSAR
2/1/2024,2.177732525,InSAR
3/1/2024,2.202732525,InSAR
4/1/2024,2.218732525,InSAR
5/1/2024,2.239732525,InSAR
6/1/2024,2.264732525,InSAR
7/1/2024,2.267732525,InSAR
8/1/2024,2.258732525,InSAR
9/1/2024,2.254732525,InSAR
10/1/2024,2.266732525,InSAR
11/1/2024,2.286732525,InSAR
12/1/2024,2.301732525,InSAR
1/1/2025,2.325732525,InSAR
1/13/2025,2.33,Leveling
2/1/2025,2.333732525,InSAR
3/1/2025,2.343732525,InSAR
4/1/2025,2.369732525,InSAR
