datetime,Mean CH  - layer 2 (Principal Aquifer (Outside Corcoran))
2/1/1901,251.0309305
3/1/1901,243.9304397
4/1/1901,241.0539114
5/1/1901,239.0381951
6/1/1901,237.330254
7/1/1901,235.3207583
8/1/1901,234.0321661
9/1/1901,232.4574208
10/1/1901,231.5535113
11/1/1901,230.8645655
12/1/1901,230.4298727
1/1/1902,230.1210197
2/1/1902,229.802969
3/1/1902,229.6361462
4/1/1902,229.4211378
5/1/1902,229.1799101
6/1/1902,227.0219051
7/1/1902,225.7228724
8/1/1902,223.9173961
9/1/1902,223.4277576
10/1/1902,223.1285089
11/1/1902,222.5929486
12/1/1902,220.4721662
1/1/1903,219.2464228
2/1/1903,216.7376944
3/1/1903,214.6732082
4/1/1903,213.1927905
5/1/1903,211.1701953
6/1/1903,210.5659625
7/1/1903,209.8472155
8/1/1903,209.2097337
9/1/1903,208.9695268
10/1/1903,208.7790956
11/1/1903,208.60385
12/1/1903,208.428992
1/1/1904,208.2073823
2/1/1904,207.9905201
3/1/1904,206.2374167
4/1/1904,205.7362379
5/1/1904,203.9675973
6/1/1904,203.6471547
7/1/1904,203.4122558
8/1/1904,202.3388649
9/1/1904,201.920945
10/1/1904,201.3141219
11/1/1904,201.1135127
12/1/1904,200.9807767
1/1/1905,200.8069158
2/1/1905,200.1662457
3/1/1905,198.4460464
4/1/1905,197.2413982
5/1/1905,196.77941
6/1/1905,195.7730489
7/1/1905,195.4964336
8/1/1905,195.3339019
9/1/1905,195.0657472
10/1/1905,194.7415306
11/1/1905,194.4923166
12/1/1905,194.3357514
1/1/1906,194.1821533
2/1/1906,194.0474323
3/1/1906,193.9148068
4/1/1906,193.7722254
5/1/1906,193.6537133
6/1/1906,193.5203567
7/1/1906,193.3961494
8/1/1906,193.2379428
9/1/1906,193.1206462
10/1/1906,193.0112734
11/1/1906,192.8875622
12/1/1906,192.7958429
1/1/1907,192.6707561
2/1/1907,192.5737059
3/1/1907,192.4742787
4/1/1907,192.3241291
5/1/1907,192.2162745
6/1/1907,192.1411545
7/1/1907,192.0078742
8/1/1907,190.771025
9/1/1907,190.3646557
10/1/1907,190.1932273
11/1/1907,189.5145959
12/1/1907,189.1078847
1/1/1908,188.7822961
2/1/1908,188.4327902
3/1/1908,187.6919435
4/1/1908,187.5041864
5/1/1908,187.386142
6/1/1908,187.2811883
7/1/1908,187.1952185
8/1/1908,187.0920268
9/1/1908,186.9871092
10/1/1908,186.9093776
11/1/1908,186.8039497
12/1/1908,186.7342962
1/1/1909,186.6545056
2/1/1909,186.5786856
3/1/1909,186.5132563
4/1/1909,186.4443734
5/1/1909,186.3730781
6/1/1909,186.3110254
7/1/1909,186.2541684
8/1/1909,186.1767531
9/1/1909,186.1108776
10/1/1909,186.0568476
11/1/1909,186.000372
12/1/1909,185.9579076
1/1/1910,185.9164044
2/1/1910,185.8774115
3/1/1910,185.8443464
4/1/1910,185.819985
5/1/1910,185.7986652
6/1/1910,185.769153
7/1/1910,185.7426157
8/1/1910,185.7261032
9/1/1910,185.7024164
10/1/1910,185.6754103
11/1/1910,185.6555426
12/1/1910,185.6381181
1/1/1911,185.6219713
2/1/1911,185.6156546
3/1/1911,185.6037059
4/1/1911,185.5917787
5/1/1911,185.581273
6/1/1911,185.5713223
7/1/1911,185.5623212
8/1/1911,185.5533802
9/1/1911,185.552214
10/1/1911,185.5189038
11/1/1911,185.4954581
12/1/1911,185.4229663
1/1/1912,185.4049828
2/1/1912,185.3365138
3/1/1912,184.9531729
4/1/1912,184.8771151
5/1/1912,184.8267476
6/1/1912,184.7571927
7/1/1912,184.698635
8/1/1912,184.6360949
9/1/1912,184.5876788
10/1/1912,184.5275193
11/1/1912,184.4751086
12/1/1912,184.2688511
1/1/1913,184.222184
2/1/1913,184.1487016
3/1/1913,184.0906565
4/1/1913,184.0395696
5/1/1913,183.994051
6/1/1913,183.9493563
7/1/1913,183.908554
8/1/1913,183.8695215
9/1/1913,183.8340426
10/1/1913,183.8096248
11/1/1913,183.7814085
12/1/1913,183.7639009
1/1/1914,183.7381851
2/1/1914,183.7201672
3/1/1914,183.712328
4/1/1914,183.6996094
5/1/1914,183.6953178
6/1/1914,183.6868528
7/1/1914,183.685821
8/1/1914,183.680166
9/1/1914,183.6756398
10/1/1914,183.6721748
11/1/1914,183.6694185
12/1/1914,183.6727085
1/1/1915,183.6762506
2/1/1915,183.6748763
3/1/1915,183.6738723
4/1/1915,183.6768907
5/1/1915,183.6761648
6/1/1915,183.6704538
7/1/1915,183.6699349
8/1/1915,183.6694708
9/1/1915,183.6729299
10/1/1915,183.6725848
11/1/1915,183.6672895
12/1/1915,183.6708538
1/1/1916,183.6705861
2/1/1916,183.6703396
3/1/1916,183.6701277
4/1/1916,183.6699213
5/1/1916,183.6697425
6/1/1916,183.669585
7/1/1916,183.6694624
8/1/1916,183.6731366
9/1/1916,183.6730814
10/1/1916,183.6730578
11/1/1916,183.673048
12/1/1916,183.6730463
1/1/1917,183.6730463
2/1/1917,183.6683387
3/1/1917,183.6683387
4/1/1917,183.6683387
5/1/1917,183.6683387
6/1/1917,183.6683387
7/1/1917,183.6683387
8/1/1917,183.6683387
9/1/1917,183.6683387
10/1/1917,183.6683387
11/1/1917,183.6683387
12/1/1917,183.6683387
1/1/1918,183.6683387
2/1/1918,183.6683387
3/1/1918,183.6683387
4/1/1918,183.6683387
5/1/1918,183.6683387
6/1/1918,183.6683387
7/1/1918,183.6683387
8/1/1918,183.6683387
9/1/1918,183.6719344
10/1/1918,183.6719344
11/1/1918,183.6719344
12/1/1918,183.6755569
1/1/1919,183.6755569
2/1/1919,183.6755569
3/1/1919,183.6755569
4/1/1919,183.6755569
5/1/1919,183.6755569
6/1/1919,183.6755569
7/1/1919,183.6755569
8/1/1919,183.6755569
9/1/1919,183.6755569
10/1/1919,183.6755569
11/1/1919,183.6755569
12/1/1919,183.6755569
