Aquifer,Top,Bot,Thick_ft,Description
upper aquifer,0,15,15,sand
upper aquifer,15,20,5,sand
upper aquifer,20,25,5,sand
upper aquifer,25,27,2,clay
upper aquifer,27,35,8,sand
upper aquifer,35,36,1,sand
upper aquifer,36,38,2,clay
upper aquifer,38,40,2,sand
upper aquifer,40,41,1,sand
upper aquifer,41,42,1,clay
upper aquifer,42,66,24,sand
upper aquifer,66,113,47,sand
upper aquifer,113,115,2,clay
upper aquifer,115,118,3,clay
upper aquifer,118,121,3,sand
upper aquifer,121,125,4,clay
upper aquifer,125,127,2,sand
upper aquifer,130,132,2,sand
upper aquifer,132,134,2,clay
upper aquifer,134,138,4,sand
upper aquifer,138,142,4,clay
upper aquifer,142,150,8,clay
upper aquifer,150,155,5,sand
upper aquifer,156,160,4,clay
upper aquifer,160,161,1,clay
upper aquifer,161,162,1,clay
upper aquifer,165,170,5,clay
lower aquifer,170,171,1,sand
lower aquifer,171,173,2,sand
lower aquifer,173,175,2,clay
lower aquifer,175,177,2,sand
lower aquifer,177,180,3,clay
lower aquifer,180,200,20,sand
lower aquifer,200,202,2,sand
lower aquifer,202,205,3,clay
lower aquifer,205,210,5,clay
lower aquifer,210,230,20,clay
lower aquifer,230,260,30,sand
lower aquifer,260,265,5,sand
lower aquifer,265,270,5,clay
lower aquifer,270,280,10,clay
lower aquifer,280,310,30,sand
lower aquifer,310,350,40,clay
lower aquifer,350,370,20,sand
lower aquifer,370,391,21,sand
lower aquifer,391,404,13,clay
lower aquifer,404,412,8,sand
lower aquifer,412,420,8,clay
lower aquifer,420,424,4,sand
lower aquifer,424,429,5,clay
lower aquifer,429,478,49,sand
lower aquifer,478,479,1,sand
lower aquifer,479,481,2,clay
lower aquifer,481,516,35,sand
lower aquifer,516,517,1,sand
lower aquifer,517,518,1,clay
lower aquifer,518,520,2,clay
lower aquifer,520,534,14,sand
lower aquifer,534,542,8,sand
lower aquifer,542,573,31,clay
lower aquifer,573,581,8,sand
lower aquifer,581,590,9,clay
lower aquifer,590,596,6,sand
lower aquifer,596,601,5,clay
lower aquifer,601,603,2,sand
lower aquifer,603,605,2,clay
lower aquifer,605,612,7,clay
lower aquifer,612,616,4,sand
lower aquifer,616,621,5,clay
lower aquifer,621,626,5,sand
lower aquifer,626,632,6,clay
lower aquifer,632,636,4,clay
lower aquifer,636,639,3,sand
lower aquifer,639,642,3,clay
lower aquifer,642,655,13,sand
lower aquifer,655,683,28,clay
lower aquifer,683,687,4,sand
lower aquifer,687,691,4,clay
lower aquifer,691,713,22,clay
lower aquifer,713,733,20,clay
lower aquifer,733,735,2,sand
lower aquifer,735,737,2,clay
lower aquifer,737,739,2,sand
lower aquifer,739,742,3,clay
lower aquifer,742,747,5,sand
lower aquifer,747,753,6,clay
lower aquifer,753,757,4,sand
lower aquifer,757,761,4,clay
lower aquifer,761,764,3,sand
lower aquifer,764,767,3,clay
lower aquifer,767,769,2,sand
lower aquifer,769,772,3,clay
lower aquifer,772,774,2,sand
lower aquifer,774,777,3,clay
lower aquifer,777,778,1,clay
lower aquifer,778,779,1,clay
lower aquifer,779,782,3,sand
lower aquifer,782,785,3,clay
lower aquifer,785,786,1,clay
lower aquifer,786,787,1,sand
lower aquifer,787,788,1,clay
lower aquifer,788,792,4,sand
lower aquifer,792,796,4,clay
lower aquifer,796,799,3,sand
lower aquifer,799,802,3,clay
lower aquifer,802,810,8,sand
lower aquifer,810,819,9,clay
lower aquifer,819,821,2,sand
lower aquifer,821,824,3,clay
lower aquifer,824,825,1,sand
lower aquifer,825,826,1,clay
lower aquifer,826,829,3,sand
lower aquifer,829,832,3,clay
lower aquifer,832,836,4,sand
lower aquifer,836,840,4,clay
lower aquifer,840,845,5,sand
lower aquifer,845,850,5,clay
lower aquifer,850,854,4,sand
lower aquifer,854,859,5,clay
lower aquifer,859,863,4,sand
lower aquifer,863,868,5,clay
