Date,BLS,Alt,Aquifer
9/1/1928,,222.31,Upper
11/1/1929,,219.51,Upper
11/25/1930,,214.91,Upper
10/27/1931,,208.91,Upper
11/15/1932,,216.91,Upper
12/26/1933,,212.71,Upper
12/11/1934,,206.91,Upper
12/19/1935,,213.61,Upper
11/14/1936,,218.41,Upper
11/23/1937,,218.41,Upper
12/5/1938,,223.81,Upper
3/3/1939,,223.71,Upper
9/11/1939,,215.61,Upper
1/4/1940,,216.51,Upper
12/17/1940,,215.31,Upper
11/29/1941,,217.91,Upper
3/28/1942,,218.81,Upper
12/7/1942,,219.21,Upper
4/2/1943,,217.81,Upper
12/2/1943,,212.21,Upper
3/25/1944,,212.21,Upper
11/1/1944,,217.61,Upper
3/10/1945,,218.31,Upper
11/5/1945,,225.31,Upper
3/15/1946,,217.01,Upper
8/1/1946,,198.91,Upper
3/11/1947,,215.51,Upper
12/10/1947,,209.11,Upper
3/9/1948,,200.51,Upper
12/27/1948,,204.91,Upper
3/24/1949,,200.71,Upper
12/5/1949,,204.21,Upper
3/16/1950,,200.21,Upper
10/24/1950,,201.21,Upper
3/21/1951,,201.71,Upper
10/25/1951,,198.81,Upper
3/7/1952,,200.21,Upper
10/17/1952,,202.21,Upper
10/15/1953,,196.11,Upper
10/8/1954,,190.61,Upper
10/7/1955,,189.51,Upper
3/13/1956,,196.01,Upper
12/5/1956,,199.41,Upper
3/8/1957,,198.91,Upper
12/10/1957,,192.71,Upper
3/26/1958,,194.31,Upper
12/1/1958,,196.51,Upper
3/3/1959,,192.81,Upper
12/8/1959,,184.41,Upper
3/3/1960,,186.51,Upper
12/7/1960,,184.01,Upper
2/21/1961,,183.81,Upper
12/5/1961,,173.51,Upper
3/9/1962,,175.01,Upper
2/19/1963,,176.01,Upper
2/17/1964,,172.91,Upper
2/4/1965,,171.01,Upper
1/24/1966,,175.41,Upper
2/8/1967,,172.51,Upper
2/8/1968,,173.41,Upper
2/13/1969,,171.51,Upper
2/5/1970,,178.61,Upper
10/7/1970,,171.61,Upper
2/11/1971,,176.11,Upper
10/8/1971,,170.01,Upper
2/11/1972,,170.71,Upper
10/13/1972,,165.01,Upper
2/9/1973,,166.31,Upper
10/11/1973,,166.21,Upper
2/7/1974,,169.41,Upper
10/4/1974,,165.91,Upper
2/5/1975,,169.51,Upper
10/6/1975,,162.41,Upper
1/30/1976,,163.51,Upper
10/7/1976,,154.51,Upper
1/26/1977,,158.31,Upper
10/6/1977,,134.11,Upper
1/26/1978,,149.11,Upper
10/6/1978,,140.31,Upper
1/26/1979,,152.81,Upper
9/26/1979,,144.31,Upper
1/24/1980,,155.01,Upper
9/25/1980,,146.21,Upper
1/23/1981,,157.71,Upper
9/28/1981,,141.11,Upper
1/26/1982,,155.11,Upper
9/30/1982,,146.91,Upper
1/24/1983,,158.81,Upper
9/27/1983,,155.81,Upper
2/2/1984,,165.11,Upper
10/4/1984,,150.71,Upper
1/31/1985,,164.11,Upper
10/3/1985,,150.71,Upper
1/23/1986,,160.11,Upper
10/2/1986,,153.51,Upper
10/24/1986,,162.76,Upper
1/28/1987,,164.71,Upper
10/8/1987,,150.71,Upper
2/4/1988,,156.11,Upper
10/6/1988,,137.71,Upper
1/26/1989,,148.81,Upper
10/5/1989,,132.11,Upper
1/26/1990,,144.01,Upper
10/3/1990,,126.01,Upper
1/31/1991,,134.81,Upper
10/3/1991,,123.81,Upper
1/30/1992,,134.61,Upper
10/8/1992,,118.71,Upper
1/28/1993,,130.11,Upper
7/29/1993,,98.61,Upper
8/18/1993,,128.76,Upper
10/6/1993,,115.41,Upper
1/27/1994,,128.91,Upper
10/6/1994,,114.61,Upper
1/27/1995,,127.91,Upper
10/6/1995,,118.31,Upper
1/18/1996,,131.11,Upper
10/3/1996,,115.91,Upper
1/21/1997,,126.71,Upper
10/9/1997,,116.71,Upper
1/23/1998,,130.31,Upper
10/8/1998,,115.71,Upper
1/27/1999,,127.81,Upper
10/7/1999,,113.81,Upper
2/1/2000,,118.51,Upper
1/26/2001,,116.51,Upper
9/12/2001,,122.94,Upper
1/25/2003,,114.31,Upper
10/3/2003,,99.11,Upper
1/30/2004,,113.71,Upper
7/15/2004,,115.2,Upper
2/1/2005,,111.01,Upper
1/27/2006,,101.81,Upper
7/13/2006,,113.8,Upper
10/4/2006,,81.01,Upper
2/5/2007,,103.31,Upper
7/9/2007,,110.85,Upper
10/16/2007,,81.31,Upper
2/20/2008,,105.21,Upper
7/14/2008,,107.3,Upper
2/24/2009,,83.51,Upper
7/14/2009,,104.06,Upper
9/23/2009,,59.61,Upper
1/27/2010,,96.31,Upper
7/6/2010,,101.56,Upper
3/1/2011,,77.41,Upper
7/13/2011,,98.71,Upper
2/9/2012,,75.01,Upper
7/12/2012,,92.58,Upper
3/12/2013,,74.11,Upper
7/10/2013,,88,Upper
2/18/2014,,66.91,Upper
8/11/2015,,75.72,Upper
7/31/2017,,63.81,Upper
8/12/2019,,58.67,Upper
9/9/2019,,26.563,Upper
9/17/2019,,26.153,Upper
10/1/2019,,25.133,Upper
10/18/2019,,24.733,Upper
11/1/2019,,24.643,Upper
11/12/2019,,24.743,Upper
1/30/2020,,25.883,Upper
2/13/2020,,25.993,Upper
11/5/2020,,19.403,Upper
3/10/2021,,20.403,Upper
6/1/2021,,17.763,Upper
10/20/2021,,10.203,Upper
3/8/2022,,9.933,Upper
3/24/2023,,5.063,Upper
6/6/2023,,2.513,Upper
10/27/2023,,-0.407,Upper
3/6/2024,,1.493,Upper
12/10/1934,,207.63,Lower
11/17/1935,,215.73,Lower
12/1/1936,,219.43,Lower
12/31/1936,,221.73,Lower
11/23/1937,,218.73,Lower
4/26/1938,,221.03,Lower
5/13/1938,,225.83,Lower
7/12/1938,,230.43,Lower
8/5/1938,,217.73,Lower
11/15/1938,,222.23,Lower
6/8/1939,,226.93,Lower
9/22/1939,,212.43,Lower
12/19/1940,,216.73,Lower
10/6/1941,,218.73,Lower
4/27/1942,,228.93,Lower
6/1/1942,,232.73,Lower
12/7/1942,,219.63,Lower
4/2/1943,,215.53,Lower
12/4/1943,,215.53,Lower
3/27/1944,,214.93,Lower
10/4/1944,,218.03,Lower
4/5/1945,,221.63,Lower
9/11/1945,,226.03,Lower
1/15/1946,,223.73,Lower
12/17/1946,,213.73,Lower
3/11/1947,,214.73,Lower
12/11/1947,,208.13,Lower
3/9/1948,,204.33,Lower
12/23/1948,,204.03,Lower
3/24/1949,,202.43,Lower
12/20/1949,,202.13,Lower
10/24/1950,,198.23,Lower
3/21/1951,,201.53,Lower
10/24/1951,,197.73,Lower
3/6/1952,,199.43,Lower
10/17/1952,,194.43,Lower
10/15/1953,,192.03,Lower
10/8/1954,,193.53,Lower
3/13/1956,,196.83,Lower
12/5/1956,,196.63,Lower
3/8/1957,,197.53,Lower
12/10/1957,,195.93,Lower
3/25/1958,,196.83,Lower
12/1/1958,,196.73,Lower
3/5/1959,,194.83,Lower
3/4/1960,,192.43,Lower
12/7/1960,,184.03,Lower
2/24/1961,,186.83,Lower
12/5/1961,,176.73,Lower
