Date,Subsidence_ft,Source
1/1/1901,0,Leveling
1/1/1931,0,Leveling
3/1/1947,0,Leveling
3/10/1953,0.031102363,Leveling
5/1/1957,0.04901575,Leveling
4/1/1958,0.043536747,Leveling
10/18/2005,0.714835922,InSAR
10/19/2005,0.739737498,InSAR
10/20/2005,0.747053771,InSAR
10/21/2005,0.732224374,InSAR
10/22/2005,0.735045896,InSAR
10/23/2005,0.728287366,InSAR
10/24/2005,0.732486841,InSAR
10/25/2005,0.751712564,InSAR
10/26/2005,0.716968468,InSAR
10/27/2005,0.734258495,InSAR
10/28/2005,0.739704689,InSAR
10/29/2005,0.717099702,InSAR
10/30/2005,0.74728343,InSAR
10/31/2005,0.767493404,InSAR
11/1/2005,0.767657446,Leveling
11/2/2005,0.746758495,InSAR
11/3/2005,0.738425162,InSAR
11/4/2005,0.735439597,InSAR
11/5/2005,0.756535398,InSAR
11/6/2005,0.729468468,InSAR
11/7/2005,0.723530148,InSAR
11/8/2005,0.720807051,InSAR
11/9/2005,0.745774243,InSAR
11/10/2005,0.75076112,InSAR
11/11/2005,0.731207314,InSAR
11/12/2005,0.751975031,InSAR
11/13/2005,0.74439629,InSAR
11/14/2005,0.760472406,InSAR
11/15/2005,0.765065582,InSAR
11/16/2005,0.78458658,InSAR
11/17/2005,0.764015714,InSAR
11/18/2005,0.763654821,InSAR
11/19/2005,0.761358233,InSAR
11/20/2005,0.762965845,InSAR
11/21/2005,0.754107577,InSAR
11/22/2005,0.772250622,InSAR
11/23/2005,0.741706002,InSAR
11/24/2005,0.744494716,InSAR
11/25/2005,0.746003902,InSAR
11/26/2005,0.726942222,InSAR
11/27/2005,0.738589204,InSAR
11/28/2005,0.754435661,InSAR
11/29/2005,0.723595765,InSAR
11/30/2005,0.755190254,InSAR
12/1/2005,0.766640386,InSAR
12/2/2005,0.743904164,InSAR
12/3/2005,0.756961908,InSAR
12/4/2005,0.75896322,InSAR
12/5/2005,0.785242748,InSAR
12/6/2005,0.766837236,InSAR
12/7/2005,0.752270306,InSAR
12/8/2005,0.739803114,InSAR
12/9/2005,0.745938285,InSAR
12/10/2005,0.767591829,InSAR
12/11/2005,0.743510464,InSAR
12/12/2005,0.742952721,InSAR
12/13/2005,0.733963219,InSAR
12/14/2005,0.745380542,InSAR
12/15/2005,0.744166632,InSAR
12/16/2005,0.739704689,InSAR
12/17/2005,0.738753246,InSAR
12/18/2005,0.765065582,InSAR
12/19/2005,0.751417288,InSAR
12/20/2005,0.769232249,InSAR
12/21/2005,0.743083954,InSAR
12/22/2005,0.766115451,InSAR
12/23/2005,0.730157445,InSAR
12/24/2005,0.750006527,InSAR
12/25/2005,0.742821487,InSAR
12/26/2005,0.73189629,InSAR
12/27/2005,0.755649572,InSAR
12/28/2005,0.769297866,InSAR
12/29/2005,0.768379231,InSAR
12/30/2005,0.737933036,InSAR
12/31/2005,0.725203376,InSAR
1/1/2006,0.720446158,InSAR
1/2/2006,0.725268993,InSAR
1/3/2006,0.766082643,InSAR
1/4/2006,0.75650259,InSAR
1/5/2006,0.77126637,InSAR
1/6/2006,0.75548553,InSAR
1/7/2006,0.750400228,InSAR
1/8/2006,0.73947503,InSAR
1/9/2006,0.749415976,InSAR
1/10/2006,0.735538022,InSAR
1/11/2006,0.724120699,InSAR
1/12/2006,0.76368763,InSAR
1/13/2006,0.75095797,InSAR
1/14/2006,0.763031462,InSAR
1/15/2006,0.725564269,InSAR
1/16/2006,0.759127262,InSAR
1/17/2006,0.752007839,InSAR
1/18/2006,0.74111545,InSAR
1/19/2006,0.750990779,InSAR
1/20/2006,0.764179756,InSAR
1/21/2006,0.752270306,InSAR
1/22/2006,0.747972406,InSAR
1/23/2006,0.74748028,InSAR
1/24/2006,0.766115451,InSAR
1/25/2006,0.750072144,InSAR
1/26/2006,0.765754559,InSAR
1/27/2006,0.747250621,InSAR
1/28/2006,0.752565582,InSAR
1/29/2006,0.753877918,InSAR
1/30/2006,0.756994716,InSAR
1/31/2006,0.752992091,InSAR
2/1/2006,0.75794616,InSAR
2/2/2006,0.735308364,InSAR
2/3/2006,0.740229624,InSAR
2/4/2006,0.746561645,InSAR
2/5/2006,0.760275556,InSAR
2/6/2006,0.790065583,InSAR
2/7/2006,0.767427787,InSAR
2/8/2006,0.785931725,InSAR
2/9/2006,0.779501278,InSAR
2/10/2006,0.778418601,InSAR
2/11/2006,0.794199442,InSAR
2/12/2006,0.785964533,InSAR
2/13/2006,0.76490154,InSAR
2/14/2006,0.7491207,InSAR
2/15/2006,0.757191566,InSAR
2/16/2006,0.771824113,InSAR
2/17/2006,0.753352984,InSAR
2/18/2006,0.762473719,InSAR
2/19/2006,0.752139073,InSAR
2/20/2006,0.749186317,InSAR
2/21/2006,0.742854296,InSAR
2/22/2006,0.74318238,InSAR
2/23/2006,0.756371356,InSAR
2/24/2006,0.75568238,InSAR
2/25/2006,0.77208658,InSAR
2/26/2006,0.743116763,InSAR
2/27/2006,0.717591828,InSAR
2/28/2006,0.719002589,InSAR
3/1/2006,0.746397603,InSAR
3/2/2006,0.755912039,InSAR
3/3/2006,0.739967156,InSAR
3/4/2006,0.744855608,InSAR
3/5/2006,0.756174506,InSAR
3/6/2006,0.752237498,InSAR
3/7/2006,0.736325424,InSAR
3/8/2006,0.74439629,InSAR
3/9/2006,0.733110201,InSAR
3/10/2006,0.725761119,InSAR
3/11/2006,0.7366207,InSAR
3/12/2006,0.732978967,InSAR
3/13/2006,0.747709939,InSAR
3/14/2006,0.752992091,InSAR
3/15/2006,0.756601015,InSAR
3/16/2006,0.779730937,InSAR
3/17/2006,0.761850359,InSAR
3/18/2006,0.752926474,InSAR
3/19/2006,0.760013089,InSAR
3/20/2006,0.75630574,InSAR
3/21/2006,0.755321488,InSAR
3/22/2006,0.764015714,InSAR
3/23/2006,0.773956659,InSAR
3/24/2006,0.770019651,InSAR
