Aquifer,Top,Bot,Thick_ft,Description
Upper,0,1,1,sand
Upper,1,2,1,clay
Upper,2,19,17,sand
Upper,19,36,17,clay
Upper,36,37,1,sand
Upper,37,39,2,clay
Upper,39,43,4,sand
Upper,43,47,4,clay
Upper,47,49,2,sand
Upper,49,51,2,clay
Upper,51,58,7,sand
Upper,58,65,7,clay
Upper,65,66,1,sand
Upper,66,67,1,clay
Upper,67,75,8,sand
Upper,75,84,9,clay
Upper,84,85,1,sand
Upper,85,87,2,clay
Upper,87,93,6,sand
Upper,93,99,6,clay
Upper,99,105,6,sand
Upper,105,112,7,clay
Upper,112,114,2,sand
Upper,114,116,2,clay
Upper,116,127,11,sand
Upper,127,138,11,clay
Upper,138,141,3,sand
Upper,141,144,3,clay
Upper,144,145,1,sand
Upper,145,146,1,clay
Upper,146,151,5,sand
Upper,151,156,5,clay
Upper,156,157,1,sand
Upper,157,158,1,clay
Upper,158,159,1,sand
Upper,159,160,1,clay
Upper,160,165,5,sand
Upper,165,171,6,clay
Upper,171,181,10,sand
Upper,181,192,11,clay
Upper,192,197,5,sand
Upper,197,202,5,clay
Upper,202,207,5,sand
Upper,207,212,5,clay
Upper,212,216,4,sand
Upper,216,220,4,clay
Upper,220,224,4,sand
Upper,224,228,4,clay
Upper,228,231,3,sand
Upper,231,234,3,clay
Upper,234,235,1,sand
Upper,235,236,1,clay
Upper,236,240,4,sand
Upper,240,245,5,clay
Upper,245,248,3,sand
Upper,248,252,4,clay
Upper,252,254,2,sand
Upper,254,257,3,clay
Upper,257,259,2,sand
Upper,259,262,3,clay
Upper,262,267,5,sand
Upper,267,272,5,clay
Upper,272,275,3,sand
Upper,275,278,3,clay
Upper,278,280,2,sand
Upper,280,282,2,clay
Upper,282,285,3,sand
Upper,285,288,3,clay
Upper,288,290,2,sand
Upper,290,292,2,clay
Upper,292,322,30,sand
Upper,322,352,30,clay
Upper,352,368,16,sand
Upper,368,385,17,clay
Upper,385,399,14,sand
Upper,399,414,15,clay
Upper,414,430,16,sand
Upper,430,443,13,clay
Lower,443,446,3,clay
Lower,443,445,2,sand
Lower,445,479,34,sand
Lower,479,480,1,sand
Lower,480,482,2,clay
Lower,482,486,4,sand
Lower,486,490,4,clay
Lower,490,494,4,clay
Lower,494,508,14,sand
Lower,508,509,1,sand
Lower,509,510,1,clay
Lower,510,527,17,sand
Lower,527,528,1,sand
Lower,528,530,2,clay
Lower,530,536,6,sand
Lower,536,542,6,clay
Lower,542,555,13,clay
Lower,555,559,4,sand
Lower,559,581,22,clay
Lower,581,587,6,sand
Lower,587,588,1,sand
Lower,588,589,1,clay
Lower,589,595,6,sand
Lower,595,602,7,sand
Lower,602,611,9,clay
Lower,611,615,4,sand
Lower,615,622,7,sand
Lower,622,629,7,clay
Lower,629,646,17,sand
Lower,646,647,1,sand
Lower,647,657,10,clay
Lower,657,668,11,sand
Lower,668,685,17,clay
Lower,685,687,2,sand
Lower,687,692,5,clay
Lower,692,721,29,sand
Lower,721,725,4,sand
Lower,725,728,3,sand
Lower,728,731,3,clay
Lower,731,735,4,sand
Lower,735,795,60,sand
Lower,795,828,33,sand
Lower,828,857,29,clay
Lower,857,889,32,sand
Lower,889,893,4,clay
Lower,893,901,8,sand
Lower,901,908,7,sand
Lower,908,920,12,sand
Lower,920,929,9,clay
Lower,929,947,18,clay
Lower,947,953,6,sand
Lower,953,956,3,clay
Lower,956,965,9,sand
Lower,965,975,10,clay
Lower,975,980,5,sand
Lower,980,985,5,clay
Lower,985,987,2,sand
Lower,987,990,3,clay
Lower,990,1006,16,sand
Lower,1006,1022,16,clay
Lower,1022,1028,6,sand
Lower,1028,1035,7,clay
Lower,1035,1036,1,sand
Lower,1036,1037,1,clay
Lower,1037,1038,1,sand
Lower,1038,1040,2,clay
Lower,1040,1040,0,sand
Lower,1040,1041,1,clay
Lower,1041,1047,6,sand
Lower,1047,1053,6,clay
Lower,1053,1061,8,sand
Lower,1061,1070,9,clay
Lower,1070,1070,0,sand
Lower,1070,1071,1,clay
Lower,1071,1072,1,sand
Lower,1072,1074,2,clay
Lower,1074,1077,3,sand
Lower,1077,1080,3,clay
Lower,1080,1080,0,sand
Lower,1080,1081,1,clay
Lower,1081,1082,1,sand
Lower,1082,1083,1,clay
