Date,BLS,Alt,Aquifer
10/6/1925,,220.13,Upper
11/20/1925,,220.33,Upper
2/19/1926,,216.73,Upper
6/7/1926,,219.33,Upper
6/21/1926,,218.23,Upper
7/16/1926,,218.13,Upper
10/4/1926,,220.93,Upper
2/11/1927,,221.23,Upper
4/16/1927,,217.43,Upper
5/19/1927,,225.13,Upper
6/14/1927,,223.83,Upper
8/22/1927,,224.13,Upper
1/20/1928,,223.53,Upper
2/22/1928,,222.73,Upper
4/30/1928,,217.73,Upper
5/25/1928,,218.43,Upper
6/20/1928,,217.73,Upper
7/18/1928,,220.03,Upper
10/27/1928,,216.43,Upper
11/26/1928,,216.53,Upper
3/20/1929,,220.33,Upper
6/26/1929,,216.23,Upper
5/1/1930,,219.03,Upper
7/18/1930,,217.03,Upper
12/2/1930,,214.23,Upper
1/30/1931,,217.53,Upper
7/21/1931,,217.33,Upper
9/20/1932,,216.83,Upper
10/16/1933,,218.03,Upper
9/29/1936,,220.23,Upper
9/21/1937,,217.53,Upper
9/20/1938,,220.83,Upper
9/15/1939,,216.73,Upper
10/1/1940,,222.23,Upper
9/24/1941,,224.03,Upper
9/23/1942,,220.93,Upper
9/23/1943,,223.53,Upper
9/27/1945,,223.03,Upper
6/1/1946,,228.51,Upper
7/1/1946,,224.81,Upper
8/1/1946,,223.21,Upper
9/1/1946,,222.71,Upper
11/1/1946,,222.61,Upper
12/1/1946,,222.71,Upper
2/1/1947,,223.31,Upper
4/1/1947,,222.31,Upper
6/1/1947,,224.41,Upper
8/1/1947,,220.61,Upper
10/1/1947,,219.81,Upper
11/1/1947,,220.31,Upper
12/1/1947,,220.51,Upper
1/1/1948,,220.41,Upper
2/1/1948,,220.21,Upper
3/1/1948,,218.61,Upper
4/1/1948,,219.51,Upper
5/1/1948,,219.11,Upper
6/1/1948,,224.81,Upper
7/1/1948,,220.21,Upper
8/1/1948,,218.81,Upper
9/1/1948,,218.01,Upper
10/1/1948,,217.71,Upper
11/1/1948,,218.11,Upper
12/1/1948,,218.31,Upper
1/1/1949,,218.31,Upper
2/1/1949,,218.21,Upper
3/1/1949,,217.71,Upper
4/1/1949,,217.11,Upper
5/1/1949,,216.91,Upper
6/1/1949,,220.71,Upper
7/1/1949,,217.81,Upper
8/1/1949,,215.51,Upper
9/1/1949,,214.51,Upper
10/1/1949,,214.41,Upper
11/1/1949,,215.21,Upper
12/1/1949,,215.61,Upper
1/1/1950,,215.91,Upper
3/1/1950,,215.91,Upper
4/1/1950,,214.71,Upper
5/1/1950,,215.71,Upper
6/1/1950,,217.81,Upper
7/1/1950,,216.31,Upper
8/1/1950,,213.91,Upper
9/1/1950,,212.21,Upper
10/1/1950,,213.21,Upper
11/1/1950,,213.91,Upper
12/1/1950,,214.91,Upper
1/1/1951,,215.21,Upper
2/1/1951,,214.91,Upper
3/1/1951,,214.71,Upper
4/1/1951,,213.01,Upper
5/1/1951,,212.01,Upper
6/1/1951,,212.61,Upper
7/1/1951,,211.01,Upper
8/1/1951,,208.21,Upper
9/1/1951,,207.31,Upper
10/1/1951,,208.11,Upper
11/1/1951,,209.01,Upper
1/1/1952,,210.01,Upper
4/1/1952,,210.71,Upper
5/1/1952,,214.11,Upper
6/1/1952,,214.81,Upper
8/1/1952,,213.51,Upper
9/1/1952,,211.71,Upper
11/1/1952,,211.71,Upper
12/1/1952,,212.31,Upper
2/1/1953,,212.11,Upper
4/1/1953,,210.31,Upper
5/1/1953,,207.31,Upper
6/1/1953,,206.71,Upper
7/1/1953,,206.81,Upper
8/1/1953,,204.01,Upper
9/1/1953,,202.71,Upper
10/1/1953,,203.11,Upper
11/1/1953,,204.11,Upper
12/1/1953,,205.01,Upper
2/1/1954,,205.41,Upper
3/1/1954,,205.11,Upper
5/1/1954,,202.01,Upper
7/1/1954,,199.31,Upper
8/1/1954,,196.81,Upper
9/1/1954,,196.01,Upper
10/1/1954,,196.01,Upper
11/1/1954,,196.91,Upper
12/1/1954,,199.01,Upper
1/1/1955,,199.91,Upper
2/1/1955,,199.61,Upper
3/1/1955,,200.11,Upper
4/1/1955,,197.21,Upper
6/1/1955,,194.51,Upper
7/1/1955,,192.51,Upper
8/1/1955,,189.21,Upper
9/1/1955,,188.01,Upper
10/1/1955,,187.71,Upper
11/1/1955,,188.91,Upper
1/1/1956,,193.41,Upper
3/1/1956,,194.41,Upper
4/1/1956,,191.41,Upper
5/1/1956,,191.91,Upper
6/1/1956,,188.51,Upper
7/1/1956,,188.11,Upper
8/1/1956,,185.71,Upper
9/1/1956,,183.71,Upper
10/1/1956,,184.71,Upper
11/1/1956,,189.41,Upper
12/1/1956,,191.61,Upper
1/1/1957,,193.21,Upper
2/1/1957,,194.21,Upper
3/1/1957,,194.81,Upper
4/1/1957,,192.91,Upper
5/1/1957,,188.71,Upper
6/1/1957,,188.31,Upper
7/1/1957,,183.31,Upper
8/1/1957,,179.91,Upper
9/1/1957,,179.81,Upper
10/1/1957,,182.91,Upper
11/1/1957,,186.61,Upper
1/1/1958,,189.31,Upper
2/1/1958,,190.11,Upper
3/1/1958,,190.91,Upper
11/1/1958,,193.21,Upper
3/1/1959,,195.41,Upper
10/1/1959,,181.01,Upper
3/1/1960,,187.11,Upper
11/1/1960,,173.21,Upper
2/1/1961,,178.21,Upper
10/1/1961,,164.31,Upper
2/1/1962,,170.81,Upper
3/1/1963,,168.01,Upper
3/1/1964,,162.51,Upper
3/1/1965,,160.31,Upper
3/2/1966,,160.11,Upper
3/1/1967,,160.91,Upper
3/1/1968,,163.01,Upper
3/1/1969,,159.51,Upper
3/1/1970,,167.21,Upper
10/2/1970,,156.41,Upper
3/1/1971,,164.61,Upper
3/1/1972,,159.11,Upper
10/5/1972,,143.91,Upper
3/1/1973,,156.41,Upper
11/1/1973,,146.51,Upper
3/1/1974,,148.61,Upper
10/2/1974,,144.41,Upper
2/4/1975,,153.61,Upper
10/2/1975,,141.01,Upper
2/10/1976,,141.51,Upper
8/10/1976,,133.21,Upper
10/5/1976,,127.81,Upper
2/3/1977,,142.41,Upper
6/1/1977,,132.41,Upper
10/1/1977,,126.01,Upper
1/31/1978,,137.81,Upper
10/3/1978,,136.61,Upper
2/1/1979,,145.31,Upper
10/1/1979,,130.21,Upper
2/6/1980,,145.11,Upper
10/1/1980,,135.91,Upper
2/12/1981,,150.01,Upper
10/19/1981,,136.61,Upper
2/1/1982,,141.41,Upper
10/1/1982,,172.01,Upper
2/1/1983,,152.91,Upper
10/1/1985,,142.61,Upper
3/18/1996,,137.23,Upper
10/11/1996,,109.03,Upper
3/11/1997,,125.53,Upper
3/13/1998,,127.43,Upper
11/19/1998,,135.63,Upper
3/6/1999,,130.93,Upper
11/6/1999,,108.03,Upper
2/9/2000,,130.03,Upper
3/15/2001,,125.43,Upper
11/24/2001,,123.73,Upper
3/23/2002,,114.63,Upper
11/19/2002,,113.73,Upper
10/9/2003,,94.53,Upper
11/18/2004,,100.53,Upper
3/6/2005,,105.73,Upper
11/9/2005,,90.33,Upper
3/9/2006,,105.63,Upper
11/4/2006,,97.03,Upper
2/18/2007,,113.43,Upper
11/15/2007,,96.23,Upper
2/29/2008,,95.63,Upper
2/18/2009,,81.73,Upper
10/9/2009,,70.53,Upper
3/1/2010,,87.63,Upper
3/2/2011,,87.33,Upper
2/1/2012,,84.63,Upper
10/5/2015,,36.23,Upper
2/3/2016,,54.73,Upper
10/15/2018,,39.53,Upper
2/15/2019,,61.53,Upper
10/15/2019,,44.43,Upper
