Date,Subsidence_ft,Source
1/1/1921,0,Leveling
2/5/1943,0.088,Leveling
12/20/1959,0.59,Leveling
3/28/1963,0.754,Leveling
3/1/1966,0.889,Leveling
2/28/1972,1.243363528,Leveling
2/12/2015,2.33601443,Leveling
2/18/2015,2.328140414,InSAR
2/23/2015,2.32125065,InSAR
3/1/2015,2.313376634,InSAR
3/7/2015,2.305502618,InSAR
3/13/2015,2.312720467,InSAR
3/20/2015,2.324859574,InSAR
3/26/2015,2.335030178,InSAR
4/1/2015,2.345528867,InSAR
4/7/2015,2.339951439,InSAR
4/13/2015,2.33437401,InSAR
4/19/2015,2.329124667,InSAR
4/25/2015,2.323547239,InSAR
5/1/2015,2.339623354,InSAR
5/7/2015,2.35569947,InSAR
5/13/2015,2.371775585,InSAR
5/20/2015,2.38850787,InSAR
5/26/2015,2.39178871,InSAR
6/1/2015,2.395397636,InSAR
6/7/2015,2.398678476,InSAR
6/13/2015,2.401959316,InSAR
6/19/2015,2.41409842,InSAR
6/25/2015,2.42230052,InSAR
7/1/2015,2.420988185,InSAR
7/7/2015,2.4206601,InSAR
7/13/2015,2.426893701,InSAR
7/20/2015,2.431814961,InSAR
7/26/2015,2.430174541,InSAR
8/1/2015,2.43214304,InSAR
8/7/2015,2.438376641,InSAR
8/13/2015,2.44362598,InSAR
8/20/2015,2.438376641,InSAR
8/26/2015,2.44198556,InSAR
9/1/2015,2.455437011,InSAR
9/7/2015,2.47052887,InSAR
9/13/2015,2.488901569,InSAR
9/19/2015,2.501368771,InSAR
9/25/2015,2.50989895,InSAR
10/1/2015,2.51482021,InSAR
10/7/2015,2.518757221,InSAR
10/13/2015,2.52236614,InSAR
10/20/2015,2.52400656,InSAR
10/26/2015,2.528599741,InSAR
11/1/2015,2.53220866,InSAR
11/7/2015,2.53614567,InSAR
11/13/2015,2.541723101,InSAR
11/19/2015,2.54762861,InSAR
11/25/2015,2.552877949,InSAR
12/1/2015,2.564360889,InSAR
12/7/2015,2.580765089,InSAR
12/13/2015,2.593888449,InSAR
12/20/2015,2.609636491,InSAR
12/26/2015,2.612261148,InSAR
1/1/2016,2.618822828,InSAR
1/7/2016,2.623416009,InSAR
1/13/2016,2.63129003,InSAR
1/20/2016,2.637195552,InSAR
1/26/2016,2.646709968,InSAR
2/1/2016,2.649662729,InSAR
2/7/2016,2.65097507,InSAR
2/13/2016,2.65753675,InSAR
2/18/2016,2.663442272,InSAR
2/24/2016,2.667051191,InSAR
3/1/2016,2.664754588,InSAR
3/7/2016,2.66573885,InSAR
3/13/2016,2.670332031,InSAR
3/20/2016,2.681158788,InSAR
3/26/2016,2.692969832,InSAR
4/1/2016,2.691657491,InSAR
4/7/2016,2.689360888,InSAR
4/13/2016,2.69690683,InSAR
4/19/2016,2.705765088,InSAR
4/25/2016,2.704124668,InSAR
5/1/2016,2.702812352,InSAR
5/7/2016,2.709702111,InSAR
5/13/2016,2.71659187,InSAR
5/20/2016,2.728402889,InSAR
5/26/2016,2.738245409,InSAR
6/1/2016,2.740870091,InSAR
6/7/2016,2.74447901,InSAR
6/13/2016,2.74611943,InSAR
6/19/2016,2.74611943,InSAR
6/25/2016,2.745791351,InSAR
7/1/2016,2.748416008,InSAR
7/7/2016,2.757274266,InSAR
7/13/2016,2.764820208,InSAR
7/20/2016,2.771709992,InSAR
7/26/2016,2.776631252,InSAR
8/1/2016,2.77728741,InSAR
8/7/2016,2.77892783,InSAR
8/13/2016,2.78056825,InSAR
8/20/2016,2.791066928,InSAR
8/26/2016,2.79861287,InSAR
9/1/2016,2.805830708,InSAR
9/7/2016,2.80681497,InSAR
9/13/2016,2.80681497,InSAR
9/19/2016,2.804846446,InSAR
9/25/2016,2.807799232,InSAR
10/1/2016,2.811080072,InSAR
10/7/2016,2.814360912,InSAR
10/13/2016,2.821906854,InSAR
10/20/2016,2.82978085,InSAR
10/26/2016,2.838967212,InSAR
11/1/2016,2.85110631,InSAR
11/7/2016,2.863901566,InSAR
11/13/2016,2.870135192,InSAR
11/19/2016,2.873087928,InSAR
11/25/2016,2.876040714,InSAR
12/1/2016,2.879649608,InSAR
12/7/2016,2.887851708,InSAR
12/13/2016,2.89867849,InSAR
12/20/2016,2.906552486,InSAR
12/26/2016,2.910817588,InSAR
1/1/2017,2.918035426,InSAR
1/7/2017,2.914426532,InSAR
1/13/2017,2.919019688,InSAR
1/20/2017,2.93476773,InSAR
1/26/2017,2.931158786,InSAR
2/1/2017,2.95281235,InSAR
2/7/2017,2.958061714,InSAR
2/12/2017,2.96593571,InSAR
2/18/2017,2.963967186,InSAR
2/23/2017,2.967248026,InSAR
3/1/2017,2.974465914,InSAR
3/7/2017,2.973481652,InSAR
3/13/2017,2.976434388,InSAR
3/20/2017,2.976434388,InSAR
3/26/2017,2.98233991,InSAR
4/1/2017,2.989557748,InSAR
4/7/2017,2.99546327,InSAR
4/13/2017,3.00202495,InSAR
4/19/2017,3.005961948,InSAR
4/25/2017,3.011539366,InSAR
5/1/2017,3.016460626,InSAR
5/7/2017,3.01842915,InSAR
5/13/2017,3.022366148,InSAR
5/20/2017,3.019741466,InSAR
5/26/2017,3.01350789,InSAR
6/1/2017,3.007602368,InSAR
6/7/2017,3.004977686,InSAR
6/13/2017,3.006618106,InSAR
6/19/2017,3.011539366,InSAR
6/25/2017,3.01678873,InSAR
7/1/2017,3.017772992,InSAR
7/7/2017,3.018101046,InSAR
7/13/2017,3.022694252,InSAR
7/20/2017,3.027615512,InSAR
7/26/2017,3.030896352,InSAR
8/1/2017,3.035817612,InSAR
8/7/2017,3.040738872,InSAR
8/13/2017,3.04139503,InSAR
8/20/2017,3.043691608,InSAR
8/26/2017,3.046644394,InSAR
9/1/2017,3.047300552,InSAR
9/7/2017,3.04467587,InSAR
9/13/2017,3.03975461,InSAR
9/19/2017,3.039098452,InSAR
9/25/2017,3.043363554,InSAR
10/1/2017,3.048284814,InSAR
10/7/2017,3.057471126,InSAR
10/13/2017,3.062064332,InSAR
10/20/2017,3.066329434,InSAR
10/26/2017,3.07420343,InSAR
11/1/2017,3.086998686,InSAR
11/7/2017,3.093560366,InSAR
11/13/2017,3.095856994,InSAR
11/19/2017,3.09388847,InSAR
11/25/2017,3.092904208,InSAR
12/1/2017,3.097497414,InSAR
12/7/2017,3.104059094,InSAR
12/13/2017,3.108324146,InSAR
12/20/2017,3.11357351,InSAR
12/26/2017,3.120463294,InSAR
1/1/2018,3.120791348,InSAR
1/7/2018,3.12505645,InSAR
1/13/2018,3.127353028,InSAR
1/20/2018,3.130305814,InSAR
1/26/2018,3.13489897,InSAR
2/1/2018,3.136211286,InSAR
2/7/2018,3.135555128,InSAR
2/12/2018,3.136211286,InSAR
2/18/2018,3.13653939,InSAR
2/23/2018,3.13817981,InSAR
3/1/2018,3.139164072,InSAR
3/7/2018,3.142772966,InSAR
3/13/2018,3.145069594,InSAR
3/20/2018,3.139492126,InSAR
3/26/2018,3.140148334,InSAR
4/1/2018,3.14802233,InSAR
4/7/2018,3.153927852,InSAR
4/13/2018,3.157208692,InSAR
4/19/2018,3.161473794,InSAR
4/25/2018,3.163442268,InSAR
5/1/2018,3.161473794,InSAR
5/7/2018,3.16114569,InSAR
5/13/2018,3.159833374,InSAR
5/20/2018,3.157208692,InSAR
5/26/2018,3.15622443,InSAR
6/1/2018,3.155568272,InSAR
6/7/2018,3.156552534,InSAR
6/13/2018,3.162129952,InSAR
6/19/2018,3.168691632,InSAR
6/25/2018,3.175581366,InSAR
7/1/2018,3.181814942,InSAR
7/7/2018,3.186080094,InSAR
7/13/2018,3.19231367,InSAR
7/20/2018,3.202812398,InSAR
7/26/2018,3.203468506,InSAR
8/1/2018,3.209702082,InSAR
8/7/2018,3.215607654,InSAR
8/13/2018,3.21691997,InSAR
8/20/2018,3.209045974,InSAR
8/26/2018,3.218232286,InSAR
9/1/2018,3.223809754,InSAR
9/7/2018,3.229059118,InSAR
9/13/2018,3.237261218,InSAR
9/19/2018,3.242182478,InSAR
9/25/2018,3.255305838,InSAR
10/1/2018,3.255961946,InSAR
10/7/2018,3.26449215,InSAR
10/13/2018,3.26285173,InSAR
10/20/2018,3.264820254,InSAR
10/26/2018,3.273678462,InSAR
11/1/2018,3.27925593,InSAR
11/7/2018,3.282208666,InSAR
11/13/2018,3.283192978,InSAR
11/19/2018,3.290410766,InSAR
11/25/2018,3.296316338,InSAR
12/1/2018,3.302549914,InSAR
12/7/2018,3.306814966,InSAR
12/13/2018,3.311080118,InSAR
12/20/2018,3.315017066,InSAR
12/26/2018,3.317969802,InSAR
1/1/2019,3.324531482,InSAR
1/7/2019,3.330765158,InSAR
1/13/2019,3.33995147,InSAR
1/20/2019,3.344544626,InSAR
1/26/2019,3.347825466,InSAR
2/1/2019,3.352418622,InSAR
2/7/2019,3.352418622,InSAR
2/12/2019,3.351106306,InSAR
