datetime,Mean CH - layer 2 (Principal Aquifer)
2/1/1901,220.9172862
3/1/1901,220.2411709
4/1/1901,220.221186
5/1/1901,219.8540544
6/1/1901,219.9848678
7/1/1901,219.5266864
8/1/1901,219.3057367
9/1/1901,218.8625126
10/1/1901,218.7780101
11/1/1901,218.4594294
12/1/1901,218.0812354
1/1/1902,216.7533254
2/1/1902,215.9182129
3/1/1902,215.4523232
4/1/1902,214.830077
5/1/1902,214.2481963
6/1/1902,214.5927136
7/1/1902,214.1706715
8/1/1902,213.7081992
9/1/1902,213.5967161
10/1/1902,213.2562354
11/1/1902,212.6458469
12/1/1902,212.0083461
1/1/1903,211.6266885
2/1/1903,211.1977886
3/1/1903,210.8053572
4/1/1903,210.5352145
5/1/1903,210.3007448
6/1/1903,210.4097174
7/1/1903,209.6617332
8/1/1903,209.4174889
9/1/1903,209.5297785
10/1/1903,209.4672583
11/1/1903,209.4077967
12/1/1903,209.3496285
1/1/1904,209.2848575
2/1/1904,209.2376416
3/1/1904,209.433671
4/1/1904,209.3954896
5/1/1904,209.3601993
6/1/1904,209.3144725
7/1/1904,209.249576
8/1/1904,209.2180892
9/1/1904,209.1900798
10/1/1904,209.1656898
11/1/1904,209.1437674
12/1/1904,209.1258854
1/1/1905,209.0356733
2/1/1905,209.0195282
3/1/1905,208.9937821
4/1/1905,208.9686778
5/1/1905,208.9458497
6/1/1905,208.9203438
7/1/1905,208.9006186
8/1/1905,208.8835738
9/1/1905,208.8572874
10/1/1905,208.8159227
11/1/1905,208.971115
12/1/1905,208.9478258
1/1/1906,208.9218806
2/1/1906,209.1126079
3/1/1906,209.07148
4/1/1906,209.0289642
5/1/1906,208.9910532
6/1/1906,208.9505858
7/1/1906,208.9128412
8/1/1906,208.8757662
9/1/1906,208.8391938
10/1/1906,208.7808174
11/1/1906,208.7364064
12/1/1906,208.701636
1/1/1907,208.6707522
2/1/1907,208.6441799
3/1/1907,208.624113
4/1/1907,208.6042434
5/1/1907,208.5876828
6/1/1907,208.5723531
7/1/1907,208.5591673
8/1/1907,208.2685852
9/1/1907,208.2086737
10/1/1907,208.1978534
11/1/1907,208.1742343
12/1/1907,208.1518176
1/1/1908,208.131226
2/1/1908,208.1127612
3/1/1908,208.0917544
4/1/1908,208.0593744
5/1/1908,208.0407433
6/1/1908,208.025856
7/1/1908,208.0168602
8/1/1908,208.0066066
9/1/1908,207.9968848
10/1/1908,207.9895064
11/1/1908,207.9771447
12/1/1908,207.9234704
1/1/1909,207.9155251
2/1/1909,207.9075503
3/1/1909,207.9000681
4/1/1909,207.8909802
5/1/1909,207.8814828
6/1/1909,207.8708045
7/1/1909,207.8611308
8/1/1909,207.8520297
9/1/1909,207.8399372
10/1/1909,207.827598
11/1/1909,207.8163265
12/1/1909,207.8082001
1/1/1910,207.8013581
2/1/1910,207.7956083
3/1/1910,207.7907086
4/1/1910,207.7852086
5/1/1910,207.9971893
6/1/1910,207.9854119
7/1/1910,207.9515613
8/1/1910,207.9087905
9/1/1910,207.8631269
10/1/1910,207.8250329
11/1/1910,207.7969364
12/1/1910,207.7707162
1/1/1911,207.7468259
2/1/1911,207.7250108
3/1/1911,207.7040228
4/1/1911,207.692676
5/1/1911,207.6803154
6/1/1911,207.6669021
7/1/1911,207.6506386
8/1/1911,207.6351838
9/1/1911,207.6179743
10/1/1911,207.5824405
11/1/1911,207.567226
12/1/1911,207.5531681
1/1/1912,207.5443248
2/1/1912,207.5383429
3/1/1912,207.5330652
4/1/1912,207.5283862
5/1/1912,207.5272802
6/1/1912,207.5253184
7/1/1912,207.5220298
8/1/1912,207.5188118
9/1/1912,207.5182735
10/1/1912,207.5050295
11/1/1912,207.7061418
12/1/1912,207.6805555
1/1/1913,207.6616349
2/1/1913,207.6266768
3/1/1913,207.607749
4/1/1913,207.5658184
5/1/1913,207.2324871
6/1/1913,207.3755977
7/1/1913,207.3208209
