Date,BLS,Alt,Aquifer
1/1/1905,,265,Upper
1/1/1921,,255,Upper
11/30/1939,,204.1,Upper
2/1/1940,,206.2,Upper
3/5/1940,,211,Upper
12/2/1940,,199.8,Upper
2/24/1941,,205.5,Upper
11/14/1941,,195.8,Upper
12/17/1941,,197.9,Upper
11/18/1942,,189.8,Upper
11/17/1944,,169,Upper
2/22/1957,,209,Upper
10/8/1957,,207,Upper
2/18/1958,,230,Upper
9/29/1958,,252,Upper
2/5/1959,,253,Upper
10/6/1959,,222,Upper
2/17/1960,,240,Upper
9/28/1960,,211,Upper
2/5/1961,,244,Upper
2/15/1961,,232,Upper
2/9/1962,,218,Upper
10/11/1962,,211,Upper
2/11/1963,,223,Upper
9/26/1963,,221,Upper
2/7/1964,,233,Upper
10/6/1964,,223,Upper
2/1/1966,,251,Upper
2/6/1967,,249,Upper
1/30/1968,,257,Upper
1/30/1969,,251,Upper
9/23/1969,,244,Upper
1/26/1970,,260,Upper
9/21/1970,,243,Upper
1/26/1971,,266,Upper
9/20/1971,,247,Upper
1/24/1972,,267,Upper
9/26/1972,,238,Upper
1/29/1973,,269,Upper
9/24/1973,,257,Upper
2/11/1974,,271,Upper
10/1/1974,,262,Upper
1/27/1975,,275,Upper
9/22/1975,,266,Upper
1/20/1976,,274,Upper
7/27/1976,,259,Upper
10/5/1976,,250,Upper
1/25/1977,,266,Upper
8/3/1977,,195,Upper
10/3/1977,,219,Upper
1/23/1978,,248,Upper
10/2/1978,,254,Upper
1/22/1979,,260,Upper
9/19/1979,,252,Upper
1/21/1980,,265,Upper
9/23/1980,,262,Upper
2/4/1981,,272,Upper
9/29/1981,,257,Upper
1/29/1982,,276,Upper
10/5/1982,,266,Upper
2/3/1983,,288,Upper
10/5/1983,,276,Upper
2/10/1984,,296,Upper
10/9/1984,,265,Upper
2/1/1985,,293,Upper
10/10/1985,,266,Upper
2/6/1986,,294,Upper
10/3/1986,,291,Upper
2/6/1987,,296,Upper
10/14/1987,,286,Upper
2/3/1988,,295,Upper
10/7/1988,,270,Upper
1/31/1989,,288,Upper
10/10/1989,,271,Upper
2/14/1990,,282,Upper
10/5/1990,,261,Upper
2/1/1991,,275,Upper
10/4/1991,,264,Upper
1/30/1992,,271,Upper
10/12/1992,,250,Upper
1/28/1993,,269,Upper
10/5/1993,,263,Upper
2/1/1994,,267,Upper
10/11/1994,,256,Upper
1/31/1995,,257,Upper
10/11/1995,,238,Upper
1/19/1996,,265,Upper
10/10/1996,,241,Upper
10/9/1997,,246,Upper
1/22/1998,,276,Upper
10/20/1998,,258,Upper
2/8/1999,,268,Upper
4/24/2000,,262,Upper
1/5/2004,,261,Upper
1/4/2005,,235,Upper
4/5/2006,,264,Upper
11/6/2006,,264,Upper
3/30/2007,,264,Upper
9/30/2009,,226,Upper
9/19/2011,,231,Upper
2/5/2012,,232,Upper
10/20/2012,,229,Upper
2/20/2013,,233,Upper
10/25/2013,,214,Upper
2/18/2014,,214,Upper
11/20/2014,,160,Upper
3/11/2015,,174,Upper
10/15/2015,,148,Upper
3/10/2016,,156,Upper
11/10/2016,,147,Upper
4/10/2017,,147,Upper
10/23/2017,,146,Upper
2/15/2018,,147,Upper
10/10/2018,,150,Upper
2/25/2019,,150,Upper
11/21/2019,,149,Upper
12/11/1935,,224.74,Lower
12/4/1936,,224.64,Lower
12/1/1937,,222.94,Lower
10/26/1938,,215.14,Lower
11/25/1938,,221.34,Lower
1/11/1939,,224.54,Lower
2/9/1939,,226.44,Lower
3/16/1939,,219.24,Lower
4/17/1939,,216.94,Lower
12/4/1939,,218.34,Lower
3/4/1940,,225.44,Lower
12/2/1940,,216.14,Lower
2/24/1941,,222.14,Lower
11/18/1941,,213.14,Lower
11/28/1941,,214.44,Lower
12/17/1941,,216.44,Lower
1/23/1942,,218.54,Lower
2/16/1942,,223.24,Lower
3/13/1942,,212.54,Lower
8/17/1942,,185.94,Lower
11/16/1942,,207.44,Lower
11/20/1942,,208.84,Lower
12/9/1942,,211.64,Lower
1/11/1943,,215.64,Lower
2/15/1943,,219.64,Lower
3/23/1943,,222.34,Lower
11/10/1943,,200.44,Lower
12/8/1943,,208.34,Lower
1/7/1944,,209.94,Lower
11/25/1944,,205.64,Lower
2/3/1945,,211.84,Lower
11/29/1945,,200.44,Lower
12/13/1945,,204.64,Lower
11/25/1946,,194.24,Lower
11/26/1947,,203.44,Lower
2/10/1948,,186.44,Lower
1/30/1949,,186.94,Lower
11/28/1949,,175.44,Lower
2/2/1950,,181.44,Lower
2/27/1950,,190.44,Lower
11/30/1950,,176.44,Lower
1/31/1951,,177.24,Lower
11/29/1951,,177.44,Lower
1/27/1953,,175.24,Lower
11/30/1953,,176.94,Lower
2/24/1954,,182.64,Lower
11/24/1954,,176.44,Lower
1/31/1955,,190.54,Lower
1/25/1956,,179.24,Lower
1/29/1957,,190.34,Lower
1/29/1958,,190.54,Lower
10/7/1958,,180.54,Lower
10/2/1959,,118.44,Lower
2/16/1960,,190.54,Lower
9/30/1960,,198.94,Lower
2/8/1961,,178.14,Lower
9/26/1961,,82.34,Lower
2/7/1962,,163.65,Lower
10/10/1962,,156.35,Lower
9/17/1963,,144.05,Lower
1/27/1964,,185.65,Lower
9/21/1964,,131.65,Lower
1/26/1965,,185.65,Lower
10/1/1965,,155.15,Lower
1/25/1966,,184.65,Lower
9/26/1966,,139.65,Lower
2/3/1967,,172.45,Lower
9/20/1967,,156.25,Lower
1/31/1968,,188.65,Lower
1/29/1969,,173.85,Lower
9/26/1969,,170.85,Lower
1/30/1970,,193.65,Lower
9/28/1970,,145.15,Lower
1/27/1971,,178.95,Lower
9/22/1971,,139.85,Lower
1/26/1972,,178.25,Lower
2/1/1973,,174.65,Lower
9/26/1973,,129.95,Lower
1/28/1974,,185.35,Lower
9/25/1974,,148.15,Lower
1/30/1975,,189.45,Lower
9/24/1975,,269.15,Lower
1/22/1976,,160.05,Lower
7/29/1976,,90.65,Lower
10/5/1976,,106.65,Lower
10/5/1977,,72.65,Lower
2/6/1978,,134.65,Lower
10/3/1978,,104.65,Lower
1/31/1979,,160.65,Lower
9/29/1980,,152.65,Lower
2/17/1981,,173.65,Lower
1/28/1982,,167.65,Lower
9/30/1982,,162.65,Lower
2/8/1983,,168.65,Lower
9/29/1983,,190.65,Lower
1/26/1984,,207.65,Lower
10/9/1984,,171.65,Lower
1/22/1985,,199.65,Lower
10/4/1985,,166.65,Lower
10/8/1986,,202.65,Lower
1/26/1987,,217.65,Lower
10/6/1987,,169.65,Lower
10/12/1990,,123.65,Lower
10/14/1993,,135.85,Lower
10/11/1994,,88.55,Lower
2/22/1995,,149.15,Lower
10/11/1995,,134.15,Lower
1/31/1996,,157.25,Lower
10/15/1997,,143.05,Lower
2/10/1998,,169.25,Lower
10/27/1998,,156.05,Lower
1/29/1999,,181.65,Lower
10/14/1999,,149.15,Lower
1/14/2000,,174.95,Lower
1/16/2001,,170.15,Lower
10/8/2001,,114.05,Lower
1/24/2002,,160.05,Lower
11/13/2003,,139.55,Lower
1/26/2004,,156.75,Lower
11/8/2004,,119.85,Lower
3/18/2012,,55.5,Lower
10/4/2012,,53.3,Lower
4/9/2013,,18,Lower
11/9/2013,,-12.8,Lower
3/27/2014,,11.1,Lower
11/5/2014,,23.7,Lower
4/11/2015,,3.9,Lower
10/5/2015,,101.3,Lower
4/2/2016,,128.7,Lower
10/6/2016,,118.5,Lower
10/10/2017,,124.4,Lower
3/1/2018,,27.7,Lower
10/23/2018,,119.5,Lower
2/19/2019,,124.1,Lower
10/9/2019,,55.2,Lower
3/5/2020,,49.5,Lower
