Aquifer,Top,Bot,Thick_ft,Description
Upper,0,30,30,sand
Upper,30,60,30,clay
Upper,60,75,15,sand
Upper,75,90,15,clay
Upper,90,115,25,sand
Corcoran,115,140,25,clay
Corcoran,140,143,3,sand
Lower,143,150,7,sand
Lower,150,160,10,clay
Lower,160,175,15,sand
Lower,175,190,15,clay
Lower,190,205,15,sand
Lower,205,220,15,clay
Lower,220,230,10,sand
Lower,230,240,10,clay
Lower,240,255,15,sand
Lower,255,270,15,clay
Lower,270,295,25,sand
Lower,295,320,25,clay
Lower,320,325,5,sand
Lower,325,330,5,clay
Lower,330,335,5,sand
Lower,335,340,5,clay
Lower,340,355,15,sand
Lower,355,370,15,clay
Lower,370,400,30,sand
Lower,400,430,30,clay
Lower,430,435,5,sand
Lower,435,440,5,clay
Lower,440,445,5,sand
Lower,445,450,5,clay
Lower,450,475,25,sand
Lower,475,500,25,clay
Lower,500,505,5,sand
Lower,505,510,5,clay
Lower,510,525,15,sand
Lower,525,540,15,clay
Lower,540,555,15,sand
Lower,555,570,15,clay
Lower,570,580,10,sand
Lower,580,590,10,clay
Lower,590,620,30,sand
Lower,620,650,30,clay
Lower,650,655,5,sand
Lower,655,660,5,clay
Lower,660,680,20,sand
Lower,680,700,20,clay
Lower,700,715,15,sand
Lower,715,730,15,clay
Lower,730,750,20,sand
Lower,750,770,20,clay
Lower,770,775,5,sand
Lower,775,780,5,clay
Lower,780,785,5,sand
Lower,785,790,5,clay
Lower,790,800,10,sand
Lower,800,810,10,clay
Lower,810,825,15,sand
Lower,825,840,15,clay
Lower,840,872,32,sand
Lower,872,905,33,clay
Lower,905,938,33,sand
Lower,938,944,6,sand
Lower,944,950,6,clay
Lower,950,955,5,sand
Lower,955,960,5,clay
Lower,960,969,9,sand
Lower,969,978,9,clay
Lower,978,980,2,sand
Lower,980,982,2,clay
Lower,982,986,4,sand
Lower,986,990,4,clay
Lower,990,994,4,sand
Lower,994,998,4,clay
Lower,998,1000,2,sand
Lower,1000,1002,2,clay
Lower,1002,1005,3,sand
Lower,1005,1008,3,clay
Lower,1008,1014,6,sand
Lower,1014,1020,6,clay
Lower,1020,1023,3,sand
Lower,1023,1027,4,clay
Lower,1027,1031,4,sand
Lower,1031,1036,5,clay
Lower,1036,1043,7,sand
Lower,1043,1050,7,clay
Lower,1050,1059,9,sand
Lower,1059,1069,10,clay
Lower,1069,1070,1,sand
Lower,1070,1071,1,clay
Lower,1071,1081,10,sand
Lower,1081,1091,10,clay
Lower,1091,1094,3,sand
Lower,1094,1098,4,clay
Lower,1098,1104,6,sand
Lower,1104,1110,6,clay
Lower,1110,1115,5,sand
Lower,1115,1120,5,clay
Lower,1120,1126,6,sand
Lower,1126,1132,6,clay
Lower,1132,1137,5,sand
Lower,1137,1142,5,clay
Lower,1142,1146,4,sand
Lower,1146,1150,4,clay
Lower,1150,1155,5,sand
Lower,1155,1161,6,clay
Lower,1161,1169,8,sand
Lower,1169,1178,9,clay
Lower,1178,1184,6,sand
Lower,1184,1190,6,clay
Lower,1190,1195,5,sand
Lower,1195,1200,5,clay
