Date,Subsidence_ft,Source
1/1/1901,0,Leveling
1/1/1931,0.69,Leveling
1/1/1940,0.971436175,Leveling
1/1/1943,1.023,Leveling
1/1/1947,1.814,Leveling
1/1/1948,2.03,Leveling
1/1/1953,3.31,Leveling
1/1/1957,3.405,Leveling
1/1/1959,3.33,Leveling
1/1/1962,3.638,Leveling
1/1/1970,4.108636488,Leveling
1/1/1972,4.081372708,Leveling
11/18/2005,6.114653529,Leveling
11/18/2005,6.114653529,GPS
11/19/2005,6.119181088,GPS
11/20/2005,6.132763766,GPS
11/21/2005,6.109174526,GPS
11/22/2005,6.110388437,GPS
11/23/2005,6.101727019,GPS
11/24/2005,6.10067715,GPS
11/25/2005,6.08305904,GPS
11/26/2005,6.081090536,GPS
11/27/2005,6.082041979,GPS
11/28/2005,6.107927807,GPS
11/29/2005,6.095854316,GPS
11/30/2005,6.115211272,GPS
12/1/2005,6.103925182,GPS
12/2/2005,6.117015734,GPS
12/3/2005,6.09208135,GPS
12/4/2005,6.122691587,GPS
12/5/2005,6.125644343,GPS
12/6/2005,6.121772952,GPS
12/7/2005,6.100578725,GPS
12/8/2005,6.105139093,GPS
12/9/2005,6.1043845,GPS
12/10/2005,6.090178462,GPS
12/11/2005,6.084797885,GPS
12/12/2005,6.097166652,GPS
12/13/2005,6.092376625,GPS
12/14/2005,6.112488174,GPS
12/15/2005,6.114817571,GPS
12/16/2005,6.088078725,GPS
12/17/2005,6.099003922,GPS
12/18/2005,6.090900247,GPS
12/19/2005,6.099135156,GPS
12/20/2005,6.109666652,GPS
12/21/2005,6.092704709,GPS
12/22/2005,6.095887124,GPS
12/23/2005,6.109929119,GPS
12/24/2005,6.097625969,GPS
12/25/2005,6.083026231,GPS
12/26/2005,6.065047228,GPS
12/27/2005,6.078925181,GPS
12/28/2005,6.088767701,GPS
12/29/2005,6.090309696,GPS
12/30/2005,6.069049853,GPS
12/31/2005,6.052973737,GPS
1/1/2006,6.072724394,GPS
1/2/2006,6.060388435,GPS
1/3/2006,6.088308384,GPS
1/4/2006,6.106517046,GPS
1/5/2006,6.099725707,GPS
1/6/2006,6.07915484,GPS
1/7/2006,6.06458791,GPS
1/8/2006,6.058616782,GPS
1/9/2006,6.088341192,GPS
1/10/2006,6.083419932,GPS
1/11/2006,6.070723081,GPS
1/12/2006,6.076989486,GPS
1/13/2006,6.068524918,GPS
1/14/2006,6.077580037,GPS
1/15/2006,6.074299197,GPS
1/16/2006,6.077350378,GPS
1/17/2006,6.087422557,GPS
1/18/2006,6.071280824,GPS
1/19/2006,6.071379249,GPS
1/20/2006,6.096871376,GPS
1/21/2006,6.088898935,GPS
1/22/2006,6.090801822,GPS
1/23/2006,6.077481612,GPS
1/24/2006,6.081024919,GPS
1/25/2006,6.070690273,GPS
1/26/2006,6.104843817,GPS
1/27/2006,6.08489631,GPS
1/28/2006,6.090211271,GPS
1/29/2006,6.09063778,GPS
1/30/2006,6.098544604,GPS
1/31/2006,6.079614158,GPS
2/1/2006,6.070887123,GPS
2/2/2006,6.065670588,GPS
2/3/2006,6.063538042,GPS
2/4/2006,6.083485549,GPS
2/5/2006,6.086208646,GPS
2/6/2006,6.09864303,GPS
2/7/2006,6.086307071,GPS
2/8/2006,6.10766534,GPS
2/9/2006,6.090604972,GPS
2/10/2006,6.095427806,GPS
2/11/2006,6.10376114,GPS
2/12/2006,6.107960615,GPS
2/13/2006,6.102153528,GPS
2/14/2006,6.060224393,GPS
2/15/2006,6.083977675,GPS
2/16/2006,6.09493568,GPS
2/17/2006,6.089391061,GPS
2/18/2006,6.094804447,GPS
2/19/2006,6.082829381,GPS
2/20/2006,6.076234892,GPS
2/21/2006,6.076661402,GPS
2/22/2006,6.068557727,GPS
2/23/2006,6.081746704,GPS
